date,open,high,low,close,volume
2021-07-21,297.78,301.825,297.535,298.56,50556
2021-07-22,298.0,298.24,296.07,296.38,59498
2021-07-23,297.37,298.66,296.12,297.09,44236
2021-07-26,297.72,298.34,295.72,297.43,65620
2021-07-27,287.635,288.25,279.13,282.5,222087
2021-07-28,284.19,284.19,280.395,281.83,151032
2021-07-29,282.105,284.6,281.345,281.905,106998
2021-07-30,279.95,281.9,277.99,280.0,99695
2021-08-02,280.7,282.605,275.42,276.09,122379
2021-08-03,276.555,281.705,274.6,280.76,89093
2021-08-04,279.32,280.245,275.16,275.16,109418
2021-08-05,275.875,277.49,274.81,275.8,69277
2021-08-06,276.51,278.36,275.07,276.21,81794
2021-08-09,273.91,275.0,272.61,272.61,79940
2021-08-10,272.58,274.33,270.98,271.255,97736
2021-08-11,272.0,277.15,271.435,276.19,100291
2021-08-12,276.47,278.07,273.82,276.065,45207
2021-08-13,275.63,278.69,275.055,277.05,157004
2021-08-16,276.575,282.75,275.35,281.63,107412
2021-08-17,278.22,280.11,275.03,277.83,134801
2021-08-18,275.42,277.61,272.52,272.53,148906
2021-08-19,269.89,270.46,265.16,267.57,159241
2021-08-20,266.625,268.06,264.25,266.55,121543
2021-08-23,267.96,269.1,266.835,266.89,65071
2021-08-24,267.35,269.02,266.39,267.74,80566
2021-08-25,268.21,271.78,267.62,270.33,61316
2021-08-26,269.58,269.58,266.88,267.5,74255
2021-08-27,267.425,269.21,267.26,267.97,90264
2021-08-30,268.85,268.85,265.455,265.53,71022
2021-08-31,265.64,266.715,264.79,265.57,56982
2021-09-01,266.285,267.35,263.61,265.83,63939
2021-09-02,266.58,268.97,266.42,267.08,46942
2021-09-03,266.74,268.43,264.89,265.98,52429
2021-09-07,266.66,267.18,263.0,263.635,61712
2021-09-08,263.25,263.25,258.86,260.9,111509
2021-09-09,259.995,262.68,257.295,259.35,101810
2021-09-10,261.96,262.0,257.26,257.49,48453
2021-09-13,259.94,261.895,257.87,261.89,84716
2021-09-14,262.27,262.565,254.85,255.25,107817
2021-09-15,255.47,259.64,255.04,256.86,81634
2021-09-16,257.57,259.41,256.685,258.39,39767
2021-09-17,255.34,257.455,254.21,255.0,155652
2021-09-20,251.47,253.895,248.2,250.85,135471
