date,open,high,low,close,volume
2021-07-21,37.72,37.805,37.465,37.535,88628
2021-07-22,39.03,39.725,38.93,39.13,417329
2021-07-23,38.595,39.37,38.22,38.46,336052
2021-07-26,38.495,39.17,38.31,38.755,267951
2021-07-27,38.755,39.1,38.225,38.88,157104
2021-07-28,38.745,38.745,37.98,38.135,119811
2021-07-29,38.305,38.305,37.855,38.05,63947
2021-07-30,37.95,38.7,37.95,38.33,134420
2021-08-02,38.34,38.685,38.25,38.47,109825
2021-08-03,38.45,38.8,38.19,38.54,95658
2021-08-04,38.26,38.36,37.745,38.03,75329
2021-08-05,37.76,37.985,37.25,37.98,90284
2021-08-06,37.91,38.125,37.795,37.82,34103
2021-08-09,37.76,38.0,37.64,37.885,54726
2021-08-10,37.745,38.025,37.735,37.855,45722
2021-08-11,37.895,38.38,37.86,38.165,38027
2021-08-12,37.99,38.39,37.94,38.33,38712
2021-08-13,38.39,38.73,38.39,38.635,50575
2021-08-16,38.615,39.12,38.56,38.84,46819
2021-08-17,38.74,38.83,38.275,38.66,36224
2021-08-18,38.61,38.61,38.015,38.205,67087
2021-08-19,38.25,39.085,38.25,38.96,158231
2021-08-20,38.74,39.1,38.62,39.1,59293
2021-08-23,39.07,39.16,38.615,38.795,72731
2021-08-24,38.69,38.71,38.315,38.64,54969
2021-08-25,38.53,39.17,38.5,38.99,41549
2021-08-26,38.94,38.94,38.465,38.54,41735
2021-08-27,38.4,38.76,38.4,38.57,38201
2021-08-30,38.47,38.79,38.47,38.665,41815
2021-08-31,38.61,38.92,38.57,38.87,53112
2021-09-01,39.08,39.62,39.05,39.44,76746
2021-09-02,39.5,39.935,39.48,39.93,58773
2021-09-03,39.71,39.81,39.5,39.58,39824
2021-09-07,39.44,39.455,38.4,38.45,81610
2021-09-08,38.345,39.01,38.345,38.93,86649
2021-09-09,38.76,38.925,38.36,38.36,68236
2021-09-10,38.37,38.37,37.68,37.68,52221
2021-09-13,37.93,38.02,37.19,37.43,100395
2021-09-14,37.6,37.935,37.325,37.43,75680
2021-09-15,37.35,38.015,37.32,37.81,88364
2021-09-16,37.84,37.98,37.3,37.3,47311
2021-09-17,37.43,37.74,36.63,36.72,68958
2021-09-20,36.645,36.845,36.13,36.52,46528
2021-09-21,36.57,37.065,36.55,36.65,42526
2021-09-22,36.82,37.03,36.63,36.86,50310
2021-09-23,36.79,37.27,36.68,36.75,159447
2021-09-24,36.99,37.015,36.74,36.82,43673
2021-09-27,36.835,37.375,36.68,36.72,65853
2021-09-28,36.65,36.83,36.38,36.44,69046
2021-09-29,36.44,36.77,36.245,36.27,116810
2021-09-30,36.3,36.3,35.61,35.61,69202
2021-10-01,35.86,36.2,35.725,35.84,53795
2021-10-04,36.06,36.14,35.71,36.02,57377
2021-10-05,36.125,36.41,36.05,36.22,51571
2021-10-06,36.04,36.73,35.8,36.73,44172
2021-10-07,36.83,36.965,36.34,36.43,67221
2021-10-08,36.38,36.51,36.22,36.22,55029
2021-10-11,36.01,36.14,35.655,35.78,92736
2021-10-12,35.82,35.98,35.565,35.73,83775
2021-10-13,35.59,35.85,35.455,35.655,133488
2021-10-14,35.825,36.54,35.82,36.54,75510
2021-10-15,36.62,36.72,36.42,36.62,159455
2021-10-18,36.46,36.46,35.985,36.16,58540
2021-10-19,36.3,36.985,36.26,36.86,104631
2021-10-20,37.05,37.465,37.035,37.33,80662
2021-10-21,37.29,37.585,37.08,37.23,87135
2021-10-22,37.26,37.825,37.26,37.75,73233
2021-10-26,37.43,37.78,37.31,37.69,135831
2021-10-27,37.77,37.825,37.32,37.61,92469
2021-10-28,37.68,37.93,37.63,37.885,85418
2021-10-29,38.08,39.67,37.97,38.53,264319
2021-11-01,38.51,38.835,38.24,38.8,78614
2021-11-02,39.75,39.78,38.78,39.295,171483
2021-11-03,39.25,39.43,39.155,39.24,80092
2021-11-04,38.965,39.14,38.635,38.91,114378
2021-11-05,39.29,39.29,38.985,39.06,106035
2021-11-08,39.42,39.62,38.37,38.51,138136
2021-11-09,38.68,38.68,37.885,38.28,173935
2021-11-10,38.48,38.98,38.46,38.96,190005
2021-11-11,38.63,39.065,38.585,39.025,111545
2021-11-12,38.95,39.04,38.605,39.01,152560
2021-11-15,39.3,39.46,38.99,39.46,102190
2021-11-16,39.49,39.765,39.425,39.59,143294
2021-11-17,39.565,39.565,38.665,39.075,165614
2021-11-18,38.94,39.24,38.295,38.625,113100
2021-11-19,38.7,38.7,37.995,38.55,99519
2021-11-22,38.615,39.04,38.48,38.72,83479
2021-11-23,38.98,39.06,38.59,38.95,43099
2021-11-24,38.98,39.02,38.715,38.935,47488
2021-11-26,38.45,38.57,37.79,37.95,87572
2021-11-29,38.2,39.12,38.2,39.05,209666
2021-11-30,38.68,38.7,37.625,37.64,178004
2021-12-01,38.0,38.67,37.7,37.73,152764
2021-12-02,37.95,38.82,37.83,38.62,146090
2021-12-03,38.71,38.925,38.25,38.84,117549
2021-12-06,38.94,39.675,38.82,39.25,127625
2021-12-07,39.365,39.67,39.25,39.465,85431
2021-12-08,39.515,39.515,39.055,39.41,67346
2021-12-09,39.29,39.62,38.96,39.4,117012
2021-12-10,39.53,39.93,39.44,39.595,97191
2021-12-13,39.6,40.41,39.6,40.17,80057
2021-12-14,40.095,40.18,39.65,39.99,68847
2021-12-15,40.05,40.27,39.67,39.96,151734
2021-12-16,39.94,40.62,39.94,40.29,60802
2021-12-17,40.21,40.47,39.97,40.08,63562
2021-12-20,39.66,40.295,39.59,40.27,70393
2021-12-21,40.54,40.69,40.065,40.23,82957
2021-12-22,40.24,40.7,40.24,40.525,86519
2021-12-23,40.55,40.705,40.485,40.53,31326
2021-12-27,40.43,40.48,40.0,40.46,26794
2021-12-28,40.52,41.01,40.49,40.98,33834
2021-12-29,40.98,41.26,40.94,41.19,30968
2021-12-30,41.2,41.6,41.14,41.395,75677
2021-12-31,41.33,41.75,41.33,41.59,26851
2022-01-03,41.51,41.51,40.845,41.25,134285
2022-01-04,41.33,41.52,41.085,41.085,52263
2022-01-05,41.09,41.32,40.755,40.78,47190
2022-01-06,40.9,41.21,40.75,40.955,51580
2022-01-07,41.03,41.68,41.0,41.41,72305
2022-01-10,41.25,41.6,41.055,41.53,157929
2022-01-11,41.57,41.73,41.03,41.37,55439
2022-01-12,41.205,41.56,41.05,41.42,42494
2022-01-13,41.415,41.695,41.14,41.59,144771
2022-01-14,41.54,41.585,40.97,41.565,61922
2022-01-18,41.27,41.795,40.77,41.6,165148
2022-01-19,41.665,41.935,41.41,41.43,110350
2022-01-20,41.62,42.01,41.36,41.45,106110
2022-01-21,41.735,41.91,41.17,41.33,192654
2022-01-24,41.15,41.37,40.13,41.35,181894
2022-01-25,40.93,41.67,40.7,41.33,177617
2022-01-26,41.325,41.855,40.76,41.13,124777
2022-01-27,41.42,41.69,40.71,41.25,167959
2022-01-28,41.14,41.76,40.89,41.76,126782
2022-01-31,41.5,41.97,41.365,41.97,180402
2022-02-01,41.72,41.955,41.275,41.8,87107
2022-02-02,41.82,42.42,41.67,42.32,166626
2022-02-03,42.29,42.655,42.05,42.6,151960
2022-02-04,41.95,42.105,41.26,41.36,107764
2022-02-07,41.35,41.61,41.21,41.44,140063
2022-02-08,41.495,42.09,41.495,41.95,74318
2022-02-09,42.34,42.34,42.0,42.215,77567
2022-02-10,41.85,42.11,41.33,41.51,82246
2022-02-11,41.96,42.47,41.45,41.57,190251
2022-02-14,41.61,41.61,39.49,40.73,200914
2022-02-15,41.04,41.14,40.18,40.44,73646
2022-02-16,40.57,41.16,40.35,41.09,95264
2022-02-17,40.9,41.21,40.59,41.12,79551
2022-02-18,41.05,41.595,40.775,40.98,134142
2022-02-22,41.08,41.415,40.75,40.96,145206
2022-02-23,41.02,41.17,39.58,39.62,179253
2022-02-24,39.525,39.96,38.785,39.875,205875
2022-02-25,40.18,41.435,40.18,41.37,145150
2022-02-28,41.07,41.935,41.07,41.85,217892
2022-03-01,41.82,42.11,41.02,41.31,127065
2022-03-02,41.485,41.86,41.485,41.655,124441
2022-03-03,41.96,42.6,41.93,42.42,80821
2022-03-04,42.225,42.96,41.93,42.925,178032
2022-03-07,42.98,44.6,42.84,44.6,282212
2022-03-09,44.54,44.74,44.03,44.08,182720
2022-03-10,43.76,44.075,43.3,44.03,156666
2022-03-11,44.08,44.39,43.69,43.97,133568
2022-03-14,44.46,44.8,43.96,44.24,133893
2022-03-15,44.57,44.605,43.93,44.19,78661
2022-03-16,44.15,44.395,43.25,43.89,98785
2022-03-17,44.1,44.38,43.755,44.05,109760
2022-03-18,44.0,44.17,43.105,43.14,135603
2022-03-21,43.52,43.795,43.42,43.61,135843
2022-03-22,43.82,43.82,43.16,43.55,59954
2022-03-23,43.55,43.83,43.275,43.52,93858
2022-03-24,43.48,44.14,43.48,43.92,72618
2022-03-25,44.08,44.86,44.03,44.85,90697
2022-03-28,44.84,45.1,44.53,45.09,75942
2022-03-29,45.185,45.465,44.65,45.46,124624
2022-03-30,45.45,45.81,45.27,45.81,76035
2022-03-31,45.98,46.385,45.845,45.865,77275
2022-04-01,45.67,46.65,45.59,46.58,142292
2022-04-04,46.23,46.445,45.76,46.31,112788
2022-04-05,46.48,47.16,46.48,46.65,106371
2022-04-06,46.775,47.99,46.635,47.93,124002
2022-04-07,47.83,47.925,47.365,47.49,118500
2022-04-08,47.68,47.74,47.28,47.48,83972
2022-04-11,47.7,47.7,46.85,46.91,80657
2022-04-12,46.69,47.37,46.67,47.15,69572
2022-04-13,47.08,47.27,46.745,47.17,61915
2022-04-14,47.28,47.585,47.1,47.42,77552
2022-04-18,47.45,47.515,47.15,47.3,37927
2022-04-19,47.49,47.61,47.26,47.5,52151
2022-04-20,48.03,48.62,47.94,48.45,105784
2022-04-21,48.24,48.84,48.115,48.14,77615
2022-04-22,47.27,47.46,46.0,46.03,309624
2022-04-25,45.935,45.935,44.8,45.45,84567
2022-04-26,45.52,45.76,44.97,44.97,80285
2022-04-27,44.965,45.385,44.46,44.73,152530
2022-04-28,44.725,44.995,44.4,44.75,161787
2022-04-29,44.66,44.66,43.23,43.25,88876
