date,open,high,low,close,volume
2021-07-21,16.36,16.64,16.29,16.575,163209
2021-07-22,16.5,16.5,16.285,16.31,200714
2021-07-23,16.385,16.69,16.345,16.64,143253
2021-07-26,16.62,16.795,16.595,16.705,154230
2021-07-27,16.66,16.845,16.26,16.485,214535
2021-07-28,16.5,17.135,16.495,16.97,177331
2021-07-29,17.21,17.98,16.64,17.51,458644
2021-07-30,17.57,18.02,17.57,17.96,296625
2021-08-02,18.1,18.495,17.825,17.835,133390
2021-08-03,17.78,17.875,17.47,17.725,71912
2021-08-04,17.61,17.715,17.445,17.685,225627
2021-08-05,17.82,17.955,17.53,17.555,65624
2021-08-06,17.59,17.955,17.54,17.785,142479
2021-08-09,17.95,18.165,17.845,18.035,98540
2021-08-10,18.115,18.24,18.015,18.07,86403
2021-08-11,18.11,18.18,17.96,18.17,109420
2021-08-12,18.035,18.225,18.005,18.105,130734
2021-08-13,18.04,18.285,18.005,18.215,129964
2021-08-16,18.16,18.38,18.16,18.325,290517
2021-08-17,18.18,18.26,17.805,17.83,143405
2021-08-18,17.93,18.14,17.73,17.73,70018
2021-08-19,17.49,17.625,17.425,17.535,56273
2021-08-20,17.66,17.71,17.5,17.705,133992
2021-08-23,17.82,17.935,17.62,17.77,90719
2021-08-24,17.99,18.155,17.97,18.065,66764
2021-08-25,18.11,18.35,18.11,18.255,50591
2021-08-26,18.22,18.375,18.135,18.195,54225
2021-08-27,18.44,18.825,18.44,18.695,38616
2021-08-30,18.85,18.87,18.73,18.73,37435
2021-08-31,18.81,18.935,18.53,18.58,45671
2021-09-01,18.72,18.795,18.5,18.59,114763
2021-09-02,18.665,19.075,18.665,19.045,201709
2021-09-03,19.02,19.36,19.02,19.18,172272
2021-09-07,19.29,19.29,19.04,19.045,24120
2021-09-08,19.0,19.05,18.325,18.36,79725
2021-09-09,18.34,18.495,18.105,18.13,86698
2021-09-10,18.215,18.51,18.115,18.14,29252
2021-09-13,18.38,18.525,18.27,18.515,40499
2021-09-14,18.6,19.225,18.53,18.565,111561
2021-09-15,18.595,19.08,18.475,19.025,46869
2021-09-16,19.08,19.13,18.825,18.84,82428
2021-09-17,18.81,18.84,18.115,18.38,119502
2021-09-20,17.78,17.905,17.495,17.8,91607
2021-09-21,17.95,17.995,17.625,17.725,26147
2021-09-22,17.97,18.54,17.97,18.37,76032
2021-09-23,18.51,18.955,18.51,18.745,40414
2021-09-24,18.84,19.11,18.75,19.015,54913
2021-09-27,19.11,19.21,18.9,18.905,66569
2021-09-28,18.955,18.955,18.47,18.565,87024
2021-09-29,18.72,18.83,17.805,17.99,67204
2021-09-30,18.08,18.225,17.635,17.685,282310
2021-10-01,17.785,18.44,17.71,18.22,355110
2021-10-04,18.21,18.21,17.77,17.835,147262
2021-10-05,17.93,18.1,17.84,17.86,91964
2021-10-06,17.83,18.05,17.325,18.04,316427
2021-10-07,18.4,18.795,18.35,18.6,105333
2021-10-08,18.66,18.83,18.53,18.74,65149
2021-10-11,18.79,19.02,18.58,18.595,68480
2021-10-12,18.79,18.795,18.33,18.39,76799
2021-10-13,18.38,18.49,18.195,18.28,33385
2021-10-14,18.64,19.1,18.55,18.97,107446
2021-10-15,19.13,19.365,19.0,19.04,153390
2021-10-18,19.05,19.2,18.96,19.06,92367
2021-10-19,19.165,19.24,19.03,19.06,74238
2021-10-20,19.075,19.075,18.775,18.8,146024
2021-10-21,18.84,18.965,18.675,18.965,184504
2021-10-22,19.08,19.08,18.63,18.67,89897
2021-10-25,18.8,19.05,18.8,18.92,92410
2021-10-26,18.97,18.97,18.6,18.725,83771
2021-10-27,18.69,18.69,18.27,18.305,135735
2021-10-28,17.33,17.67,17.035,17.15,849970
2021-10-29,16.93,17.08,16.73,16.915,503920
2021-11-01,17.01,17.915,17.01,17.615,364522
2021-11-02,17.81,17.99,17.595,17.595,271608
2021-11-03,17.63,17.995,17.63,17.815,268453
2021-11-04,17.9,18.065,17.825,17.915,184919
2021-11-05,18.06,18.435,18.06,18.225,123000
2021-11-08,18.38,18.46,17.92,17.92,138621
2021-11-09,17.99,18.04,17.625,17.745,154528
2021-11-10,17.63,17.845,17.525,17.815,214841
2021-11-11,17.835,18.35,17.81,18.28,155228
2021-11-12,18.29,19.15,18.29,18.98,132165
2021-11-15,19.07,19.295,18.92,18.96,100619
2021-11-16,18.92,19.275,18.835,19.23,96727
2021-11-17,19.27,19.49,19.02,19.405,107599
2021-11-18,19.45,19.45,18.495,18.58,160748
2021-11-19,18.42,18.49,17.745,17.79,279351
2021-11-22,17.75,18.01,17.61,17.635,274981
2021-11-23,17.635,17.975,17.48,17.83,282289
2021-11-24,17.78,18.045,17.7,17.97,135429
2021-11-26,17.36,17.82,17.115,17.595,144302
2021-11-29,17.72,17.8,17.295,17.53,69464
2021-11-30,17.36,17.375,16.8,17.11,130752
2021-12-01,17.33,17.6,16.67,16.67,126668
2021-12-02,16.67,17.485,16.67,17.345,124453
2021-12-03,17.5,17.51,16.54,16.66,194093
2021-12-06,16.94,17.12,16.64,16.96,131655
2021-12-07,17.33,17.905,17.31,17.675,185859
2021-12-08,17.65,17.86,17.43,17.44,67383
2021-12-09,17.46,17.5,17.215,17.22,34268
2021-12-10,17.5,17.56,17.13,17.3,92581
2021-12-13,17.23,17.23,16.75,16.92,145028
2021-12-14,16.79,17.065,16.64,16.71,87741
2021-12-15,16.74,16.74,16.22,16.58,191044
2021-12-16,16.99,17.335,16.7,16.74,206773
2021-12-17,16.785,17.28,16.41,17.14,150487
2021-12-20,16.575,17.015,16.49,16.98,137104
2021-12-21,17.35,17.58,17.16,17.495,111977
2021-12-22,17.31,17.625,17.31,17.58,66610
2021-12-23,17.69,17.94,17.69,17.77,80020
2021-12-27,17.74,18.26,17.74,18.2,120660
2021-12-28,18.33,18.36,18.09,18.21,65540
2021-12-29,18.1,18.5,18.1,18.35,85508
2021-12-30,18.3,18.625,18.3,18.385,90612
2021-12-31,18.405,18.565,18.315,18.33,72584
2022-01-03,18.54,18.8,18.48,18.58,97354
2022-01-04,18.92,18.99,18.68,18.685,140254
2022-01-05,18.75,18.87,18.035,18.035,148564
2022-01-06,18.05,18.15,17.735,17.81,138230
2022-01-07,17.96,18.175,17.35,17.45,233660
2022-01-10,17.405,17.925,17.04,17.91,108756
2022-01-11,18.01,18.36,17.89,18.285,62309
2022-01-12,18.53,18.53,18.06,18.3,90749
2022-01-13,18.48,18.53,17.99,18.035,117113
2022-01-14,17.85,18.34,17.805,18.275,75400
2022-01-18,18.06,18.1,17.57,17.685,124733
2022-01-19,17.85,17.93,16.88,16.94,158079
2022-01-20,16.96,17.6,16.63,16.63,213945
2022-01-21,16.475,16.775,16.16,16.42,208748
2022-01-24,16.0,16.395,15.465,16.36,134622
2022-01-25,16.06,16.095,15.685,15.95,169933
2022-01-26,16.15,16.425,15.58,15.745,372326
2022-01-27,16.63,16.63,15.605,15.7,696743
2022-01-28,15.77,16.12,15.545,16.12,228452
2022-01-31,16.19,16.3,15.995,16.18,189251
2022-02-01,16.26,16.555,16.02,16.38,161160
2022-02-02,16.49,16.805,16.3,16.73,180312
2022-02-03,17.59,18.13,16.79,17.44,533553
2022-02-04,17.5,17.625,17.04,17.21,243670
2022-02-07,17.295,17.47,16.99,17.03,255416
2022-02-08,17.105,17.38,17.01,17.19,319822
2022-02-09,17.35,17.76,17.35,17.72,175600
2022-02-10,17.565,17.99,17.395,17.5,119720
2022-02-11,17.45,17.66,16.97,17.09,94894
2022-02-14,17.13,17.275,16.88,16.99,264187
2022-02-15,17.255,17.535,17.195,17.51,161693
2022-02-16,17.525,17.565,17.19,17.5,131212
2022-02-17,17.275,17.28,17.045,17.19,104782
2022-02-18,17.11,17.34,16.945,17.065,92094
2022-02-22,16.9,17.25,16.55,16.675,108711
2022-02-23,16.84,16.94,16.27,16.38,138011
2022-02-24,15.79,16.655,15.77,16.615,205810
2022-02-25,16.505,16.9,16.38,16.75,91313
2022-02-28,16.43,16.64,16.355,16.48,91874
2022-03-01,16.37,16.515,15.62,15.73,148237
2022-03-02,16.06,16.65,16.04,16.595,165790
2022-03-03,16.665,16.71,16.325,16.49,150955
2022-03-04,16.095,16.24,15.6,15.81,118358
2022-03-07,15.72,15.755,15.02,15.04,55758
2022-03-08,15.01,15.735,14.895,15.33,197955
2022-03-09,15.92,16.19,15.8,16.055,103432
2022-03-10,15.73,16.0,15.68,16.0,39593
2022-03-11,16.25,16.25,15.875,15.94,32897
2022-03-14,16.135,16.135,15.52,15.75,65303
2022-03-15,15.9,16.09,15.765,16.01,85635
2022-03-16,16.36,16.91,16.36,16.78,191758
2022-03-17,16.69,17.02,16.645,16.93,92228
2022-03-18,16.5,17.11,16.5,17.07,222680
2022-03-21,17.24,17.28,17.05,17.23,171428
2022-03-22,17.36,17.56,17.29,17.31,152305
2022-03-23,17.2,17.44,16.995,17.01,136453
2022-03-24,17.01,17.24,16.87,17.21,66797
2022-03-25,17.1,17.51,17.03,17.29,139536
2022-03-28,17.18,17.31,16.97,17.29,130917
2022-03-29,17.385,17.81,17.385,17.7,99087
2022-03-30,17.71,17.75,17.325,17.37,75829
2022-03-31,17.76,19.295,17.61,18.54,861432
2022-04-01,18.56,18.725,18.25,18.51,209157
2022-04-04,18.61,18.69,18.155,18.21,224402
2022-04-05,18.11,18.54,17.75,17.8,241212
2022-04-06,17.38,17.46,17.03,17.19,183941
2022-04-07,17.14,17.31,16.98,17.11,147512
2022-04-08,17.12,17.245,16.82,16.87,176567
2022-04-11,16.74,17.04,16.54,16.6,90257
2022-04-12,16.7,16.91,16.55,16.64,121937
2022-04-13,16.59,17.065,16.56,17.065,198057
2022-04-14,17.07,17.355,16.935,17.09,154781
2022-04-18,17.0,17.245,16.815,16.91,135932
2022-04-19,16.92,17.3,16.92,17.21,112581
2022-04-20,17.41,17.745,17.335,17.61,145103
2022-04-21,17.67,17.82,17.16,17.21,147418
2022-04-22,16.94,17.1,16.43,16.51,150994
2022-04-25,16.515,16.84,16.35,16.8,99715
2022-04-26,16.65,16.65,16.16,16.175,77173
2022-04-27,16.2,16.37,15.93,16.22,55802
2022-04-28,16.45,17.1,16.29,16.91,121453
2022-04-29,16.8,17.14,16.445,16.485,79042
2022-05-02,16.45,16.66,16.24,16.59,122153
2022-05-03,16.75,17.41,16.745,17.25,294762
2022-05-04,17.34,17.86,17.125,17.73,209354
2022-05-05,17.7,18.1,17.01,17.21,200668
2022-05-06,17.01,17.05,16.575,16.94,193154
2022-05-09,16.73,16.81,16.045,16.29,230912
2022-05-10,16.61,16.88,16.04,16.57,134781
2022-05-11,16.72,17.01,15.975,16.02,121951
2022-05-12,15.84,15.9,15.32,15.7,175229
2022-05-13,15.86,16.45,15.86,16.25,315384
2022-05-16,16.06,16.27,15.93,16.135,146420
2022-05-17,16.515,16.945,16.505,16.77,329986
2022-05-18,16.74,16.85,16.18,16.225,121766
2022-05-19,15.945,16.25,15.945,16.075,104955
2022-05-20,16.305,16.39,15.43,15.81,165321
2022-05-23,16.04,16.26,15.93,16.185,64452
2022-05-24,15.91,16.03,15.34,15.63,225736
2022-05-25,15.4,16.11,15.4,16.09,219081
2022-05-26,16.19,16.67,16.19,16.57,93150
2022-05-27,16.69,17.16,16.69,17.14,147332
2022-05-31,17.1,17.18,16.905,17.07,342988
2022-06-01,16.975,17.005,16.61,16.86,89656
2022-06-02,16.79,17.395,16.76,17.25,277509
2022-06-03,17.075,17.225,16.96,17.045,374939
2022-06-06,17.415,18.29,17.29,17.36,246832
2022-06-07,17.15,17.37,17.145,17.3,113839
2022-06-08,17.12,17.25,16.925,16.955,87663
2022-06-09,16.74,17.12,16.74,16.855,179251
2022-06-10,16.625,16.625,16.185,16.38,78439
2022-06-13,15.82,15.845,15.475,15.56,98769
2022-06-14,15.67,15.73,15.395,15.54,74531
2022-06-15,15.62,15.985,15.42,15.8,154157
2022-06-16,15.385,15.385,14.06,14.485,331032
2022-06-17,14.335,15.16,14.335,14.985,312665
2022-06-21,15.22,15.345,14.94,14.96,169906
2022-06-22,14.7,14.86,14.42,14.6,181887
2022-06-23,14.6,14.685,14.355,14.6,160384
2022-06-24,14.79,15.36,14.79,15.35,109028
2022-06-27,15.41,15.725,15.27,15.56,151413
2022-06-28,15.68,15.86,15.045,15.12,225733
2022-06-29,15.1,15.1,14.54,14.67,75547
2022-06-30,14.5,14.775,14.255,14.46,107907
2022-07-01,14.36,14.58,13.975,14.255,144404
2022-07-05,13.9,14.185,13.65,14.17,123844
2022-07-06,14.08,14.35,13.915,14.265,140410
2022-07-07,14.47,14.76,14.47,14.64,74630
2022-07-08,14.57,14.75,14.465,14.635,54310
2022-07-11,14.44,14.52,14.33,14.35,37650
2022-07-12,14.3,14.735,14.3,14.48,119958
2022-07-13,14.03,14.395,14.01,14.305,119971
2022-07-14,14.1,14.215,13.745,14.145,204374
2022-07-15,14.33,14.49,13.96,14.485,122383
2022-07-18,14.62,14.77,14.3,14.36,124669
2022-07-19,14.62,15.13,14.62,15.08,118320
2022-07-20,14.96,15.415,14.925,15.355,120261
2022-07-21,15.38,15.66,15.28,15.655,115509
2022-07-22,15.62,15.635,15.065,15.265,162968
2022-07-25,15.22,15.35,15.16,15.21,78118
2022-07-26,15.06,15.295,15.0,15.215,175513
2022-07-27,15.295,15.73,15.23,15.61,173318
2022-07-28,15.855,16.52,15.76,16.415,380987
2022-07-29,16.43,17.15,16.38,16.805,231284
2022-08-01,16.59,16.76,16.44,16.635,114697
2022-08-02,16.375,16.705,16.31,16.595,219881
2022-08-03,16.64,16.91,16.405,16.845,77538
2022-08-04,16.85,17.06,16.76,16.945,144587
2022-08-05,16.85,17.255,16.74,17.165,97980
2022-08-08,17.18,17.555,17.18,17.32,334311
2022-08-09,17.245,17.315,16.845,16.865,246507
2022-08-10,17.29,18.515,17.29,18.425,343789
2022-08-11,18.71,19.185,18.495,18.63,310725
2022-08-12,18.76,19.375,18.755,18.85,281190
2022-08-15,18.78,19.1,18.68,18.985,87718
2022-08-16,18.92,19.095,18.73,18.765,159212
2022-08-17,18.58,18.635,18.095,18.6,145945
2022-08-18,18.53,19.535,18.53,19.45,179741
2022-08-19,19.175,19.175,18.465,18.575,75988
2022-08-22,18.04,18.4,17.91,18.15,128288
2022-08-23,18.175,18.42,18.145,18.165,94949
2022-08-24,17.98,18.31,17.98,18.185,217233
2022-08-25,18.35,18.755,18.35,18.745,61771
2022-08-26,18.69,18.855,18.135,18.155,120683
2022-08-29,18.07,18.495,18.045,18.28,75136
2022-08-30,18.38,18.41,17.975,18.03,85116
2022-08-31,18.06,18.16,17.79,17.81,90831
2022-09-01,17.535,17.62,17.025,17.355,119366
2022-09-02,17.625,17.805,17.275,17.36,96544
2022-09-06,17.465,17.525,17.08,17.3,104964
2022-09-07,17.24,18.085,17.185,18.035,184845
2022-09-08,17.86,18.97,17.735,18.96,244611
2022-09-09,19.19,19.545,19.12,19.38,229813
2022-09-12,19.44,19.61,18.97,19.44,185874
2022-09-13,18.72,18.825,18.275,18.365,146120
2022-09-14,18.36,18.425,18.08,18.375,147417
2022-09-15,18.22,18.565,17.935,18.06,111030
2022-09-16,17.62,17.835,17.5,17.755,114362
