date,open,high,low,close,volume
2021-07-21,102.32,104.88,102.32,104.72,167207
2021-07-22,104.12,104.48,101.6,101.6,192800
2021-07-23,102.4,103.0,101.12,101.72,83676
2021-07-26,101.36,103.44,101.24,103.4,118500
2021-07-27,106.4,107.68,102.4,104.72,343805
2021-07-28,105.28,107.84,104.36,105.0,117945
2021-07-29,105.68,107.0,104.72,106.32,100131
2021-07-30,105.28,105.68,103.36,103.64,172418
2021-08-02,104.25,107.11,100.45,100.575,198462
2021-08-03,100.19,103.19,98.135,103.07,121608
2021-08-04,101.87,103.45,101.49,102.93,161217
2021-08-05,103.13,104.6,102.565,102.995,134368
2021-08-06,103.68,105.215,103.51,104.56,93233
2021-08-09,103.41,104.25,102.105,103.7,77582
2021-08-10,103.905,106.31,103.24,106.095,83603
2021-08-11,105.67,106.11,103.89,106.075,55847
2021-08-12,106.12,107.18,105.25,106.52,48865
2021-08-13,106.435,106.435,104.595,104.945,45753
2021-08-16,104.09,104.16,102.3,103.34,58147
2021-08-17,102.71,103.25,100.37,101.61,109820
2021-08-18,101.21,103.46,101.04,101.305,71740
2021-08-19,100.06,100.745,98.695,99.42,102606
2021-08-20,99.4,100.655,99.12,100.06,99572
2021-08-23,100.64,101.45,100.43,100.94,162714
2021-08-24,101.33,103.51,101.21,103.27,145894
2021-08-25,103.42,105.11,102.635,104.705,170312
2021-08-26,104.44,104.58,102.855,103.48,179305
2021-08-27,103.975,106.14,103.94,106.1,307874
2021-08-30,106.28,106.4,104.82,105.22,157463
2021-08-31,104.97,106.31,104.46,105.38,155579
2021-09-01,105.41,105.42,103.27,103.64,134524
2021-09-02,104.14,106.28,104.02,106.25,183601
2021-09-03,105.89,107.29,104.09,104.74,139017
2021-09-07,104.385,104.92,102.325,103.49,198089
2021-09-08,102.94,104.69,100.47,102.565,205038
2021-09-09,102.34,104.86,102.12,103.38,162320
2021-09-10,103.3,103.94,101.78,102.005,218139
2021-09-13,102.69,104.825,102.11,104.465,150716
2021-09-14,104.48,104.51,100.095,100.4,231383
2021-09-15,100.79,102.455,100.73,102.175,125452
2021-09-16,102.27,102.64,100.85,101.36,83293
2021-09-17,100.93,101.81,100.13,100.46,186676
2021-09-20,98.01,99.85,97.31,99.8,210437
2021-09-21,99.93,99.93,96.22,96.82,350749
2021-09-22,97.805,99.015,97.8,98.53,249678
2021-09-23,99.78,104.07,99.52,102.94,289967
2021-09-24,102.74,104.185,102.66,103.83,130394
2021-09-27,104.52,106.3,104.52,105.34,192355
2021-09-28,105.14,106.74,104.76,105.74,345823
2021-09-29,106.165,106.99,105.37,106.27,232967
2021-09-30,106.1,107.07,102.98,103.01,212715
2021-10-01,104.29,106.37,103.685,105.77,234630
2021-10-04,105.93,107.05,104.6,104.88,254961
2021-10-05,104.99,105.95,103.79,104.885,105157
2021-10-06,103.53,104.42,102.06,104.32,114055
2021-10-07,104.42,106.47,104.42,105.54,143007
2021-10-08,105.375,106.2,104.68,104.72,93766
2021-10-11,104.69,105.75,104.03,104.07,71223
2021-10-12,103.725,103.93,101.575,102.77,153255
2021-10-13,102.11,103.2,101.19,102.41,150272
2021-10-14,103.19,103.64,102.42,102.72,122730
2021-10-15,103.36,105.88,103.36,104.37,139662
2021-10-18,103.51,104.56,103.16,104.1,90098
2021-10-19,104.37,104.97,103.69,104.72,51155
2021-10-20,104.74,106.0,103.92,105.99,125141
2021-10-21,105.77,106.365,103.075,103.075,254306
2021-10-22,103.05,104.505,102.62,104.04,121585
2021-10-26,105.35,110.95,105.35,107.52,357271
2021-10-27,107.93,108.26,103.695,103.83,272490
2021-10-28,103.47,105.37,103.15,105.275,251754
2021-10-29,104.86,105.09,104.13,104.87,190473
2021-11-01,105.6,106.745,105.28,106.23,175952
2021-11-02,106.255,107.11,105.32,106.69,152934
2021-11-03,106.23,106.28,104.83,105.99,129377
2021-11-04,106.09,106.4,104.3,105.25,144881
2021-11-05,106.93,109.65,106.93,108.73,264755
2021-11-08,109.55,110.27,108.35,108.39,156822
2021-11-09,114.88,116.15,110.645,111.29,1043858
2021-11-10,112.5,112.5,108.14,109.0,266088
2021-11-11,108.42,109.585,106.8,106.93,155131
2021-11-12,107.47,107.92,106.47,107.58,236145
2021-11-15,108.16,108.63,106.23,106.63,149253
2021-11-16,106.11,106.11,102.82,103.37,398130
2021-11-17,103.59,103.665,101.44,102.01,260130
2021-11-18,101.385,101.48,99.185,100.44,303836
2021-11-19,99.78,100.74,99.365,99.96,291242
2021-11-22,100.395,101.97,100.395,101.03,223058
2021-11-23,101.875,102.21,101.165,102.105,381028
2021-11-24,101.73,102.315,101.32,102.27,196173
2021-11-26,96.81,98.07,95.54,97.78,344886
2021-11-29,99.44,100.43,96.85,98.31,492085
2021-11-30,96.6,97.37,94.475,94.87,412146
2021-12-01,96.585,96.84,92.94,92.99,407822
2021-12-02,94.48,95.76,92.82,95.21,323990
2021-12-03,95.16,95.295,91.75,92.74,469109
2021-12-06,94.07,96.89,93.34,95.98,189762
2021-12-07,96.54,98.33,96.35,97.535,243617
2021-12-08,97.56,98.93,96.98,98.31,212050
2021-12-09,97.785,98.19,97.03,97.85,123763
2021-12-10,98.25,98.25,96.46,96.98,89399
2021-12-13,96.025,96.18,92.835,93.1,253725
2021-12-14,92.85,94.05,91.735,92.11,308723
2021-12-15,92.27,92.4,90.205,92.06,262241
2021-12-16,92.62,94.3,92.21,92.54,335437
2021-12-17,92.11,93.06,90.13,91.46,261482
2021-12-20,89.86,90.08,88.41,89.99,197928
2021-12-21,90.77,93.65,90.77,93.05,317193
2021-12-22,92.42,93.705,92.2,93.05,105966
2021-12-23,93.32,94.52,93.32,94.025,139667
2021-12-27,93.63,94.66,93.48,94.61,159945
2021-12-28,94.48,96.06,94.44,95.26,167823
2021-12-29,94.99,95.4,94.51,94.81,97820
2021-12-30,94.65,95.86,94.63,94.68,106541
2021-12-31,94.27,94.89,93.92,94.48,131898
2022-01-03,95.22,97.44,95.1,96.24,195598
2022-01-04,98.83,100.02,98.15,99.37,293628
2022-01-05,100.16,101.73,99.3,99.37,273935
2022-01-06,100.77,101.03,99.42,99.96,184091
2022-01-07,99.83,102.22,99.83,101.365,350404
2022-01-10,101.83,101.83,98.95,99.44,271569
2022-01-11,100.37,102.36,100.0,101.77,243513
2022-01-12,101.69,102.57,101.64,102.16,253675
2022-01-13,102.47,103.62,101.84,102.44,191822
2022-01-14,101.565,103.27,100.92,103.17,124600
2022-01-18,102.59,103.71,102.18,102.86,307707
2022-01-19,102.3,102.97,100.48,100.62,277747
2022-01-20,100.35,101.755,97.97,98.22,311833
2022-01-21,97.5,98.34,95.92,96.38,432314
2022-01-24,94.52,97.4,92.4,96.88,646401
2022-01-25,91.12,92.34,88.37,91.025,1625209
2022-01-26,91.6,91.86,88.055,89.33,678715
2022-01-27,90.02,91.67,88.14,89.91,508120
2022-01-28,89.325,92.14,88.88,92.09,347797
2022-01-31,91.58,94.555,91.08,94.48,319697
2022-02-01,94.84,98.42,94.79,97.995,420713
2022-02-02,97.445,98.545,96.16,98.05,266791
2022-02-03,97.18,99.16,96.785,98.29,311203
2022-02-04,97.66,100.045,97.66,99.02,456780
2022-02-07,99.38,100.58,98.56,99.87,190337
2022-02-08,100.38,100.49,98.65,99.33,220088
2022-02-09,99.79,100.44,99.14,99.31,130699
2022-02-10,98.25,100.67,98.11,98.82,225627
2022-02-11,99.0,100.22,96.17,96.83,336886
2022-02-14,96.28,97.35,95.57,96.59,277077
2022-02-15,97.99,101.38,97.95,100.92,433753
2022-02-16,100.35,101.89,100.22,101.4,182088
2022-02-17,100.2,100.355,97.89,98.51,181371
2022-02-18,98.165,98.9,91.96,92.65,898451
2022-02-22,92.62,95.16,92.4,94.15,600986
2022-02-23,93.695,94.86,92.385,92.56,438817
2022-02-24,90.5,93.075,87.75,92.635,796934
2022-02-25,93.32,97.37,93.08,96.38,415605
2022-02-28,94.66,95.78,94.16,95.5,272475
2022-03-01,94.96,96.02,91.87,92.26,357807
2022-03-02,93.41,94.895,93.11,94.18,158044
2022-03-03,95.16,95.28,91.995,92.45,353784
2022-03-04,90.48,90.48,87.53,89.14,523166
2022-03-07,88.68,89.1,85.32,85.38,361733
2022-03-08,87.03,87.03,87.03,87.03,200
2022-03-09,91.38,92.95,91.1,91.28,439098
2022-03-10,88.08,91.55,87.875,91.35,240892
2022-03-11,92.88,93.6,91.69,92.33,327520
