date,open,high,low,close,volume
2022-12-16,56.0,56.0,56.0,56.0,720
2022-12-19,56.85,56.875,56.75,56.75,4700
2022-12-20,56.75,56.75,56.75,56.75,0
2022-12-21,57.45,57.45,56.545,56.89,9087
2022-12-22,58.75,58.75,57.0,57.65,24172
2022-12-23,58.25,58.25,57.75,57.805,3859
2022-12-27,58.0,58.0,57.625,57.625,200
2022-12-28,58.0,58.0,57.09,57.51,2571
2022-12-29,58.25,58.64,58.0,58.13,28490
2022-12-30,57.75,58.575,57.75,58.295,9565
2023-01-03,58.73,59.0,55.92,56.02,89032
2023-01-04,54.27,60.69,53.61,60.2,1392759
2023-01-05,60.5,62.92,58.16,58.99,483917
2023-01-06,59.32,59.535,57.9,58.96,232564
2023-01-09,58.86,59.98,57.75,58.14,334162
2023-01-10,59.08,60.03,58.07,60.0,458675
2023-01-11,60.41,66.295,60.1,65.0,610394
2023-01-12,66.1,66.52,63.7,65.65,486683
2023-01-13,64.89,65.47,63.78,65.44,273544
2023-01-17,64.17,64.79,63.26,63.35,172813
2023-01-18,63.1,63.18,61.99,62.01,128370
2023-01-19,61.45,64.5,61.45,63.955,165521
2023-01-20,63.7,67.73,63.63,66.76,158202
2023-01-23,66.955,69.9,66.865,69.52,255721
2023-01-24,68.86,70.63,68.86,69.66,131983
2023-01-25,68.43,69.595,66.95,68.7,100641
2023-01-26,68.56,69.44,67.8,69.23,124119
2023-01-27,68.745,70.51,68.595,70.08,139453
2023-01-30,68.53,73.915,68.05,71.5,221505
2023-01-31,71.0,71.0,68.5,69.5,246765
2023-02-01,69.145,70.545,67.54,69.985,178503
2023-02-02,69.66,71.85,69.025,70.63,184281
2023-02-03,69.63,70.605,69.1,70.54,154432
2023-02-06,69.99,72.295,69.695,71.87,161498
2023-02-07,71.425,72.155,71.1,71.6,222368
2023-02-08,71.25,71.42,70.03,70.2,57363
2023-02-09,70.43,70.7,68.23,68.4,54113
2023-02-10,68.55,69.53,68.245,69.25,115357
2023-02-13,68.64,69.87,67.95,69.4,189312
2023-02-14,68.76,73.17,68.76,72.61,154218
2023-02-15,72.74,73.54,71.8,72.29,152278
2023-02-16,71.465,71.82,70.39,70.87,125218
2023-02-17,71.46,73.45,71.41,73.17,165332
2023-02-21,72.97,73.07,72.26,72.4,145664
2023-02-22,72.62,72.92,70.86,71.89,309841
2023-02-23,72.63,76.19,72.63,75.88,253160
2023-02-24,74.995,75.38,74.24,74.97,243134
2023-02-27,75.125,76.98,74.72,76.04,236460
2023-02-28,76.08,76.31,75.3,76.0,86392
2023-03-01,75.445,75.73,75.03,75.27,97667
2023-03-02,74.845,75.45,74.625,75.02,110941
2023-03-03,75.305,76.86,75.25,76.375,97028
2023-03-06,75.86,77.12,75.75,76.68,204040
2023-03-07,76.46,76.75,75.94,76.29,177493
2023-03-08,76.365,77.37,76.24,76.66,123133
2023-03-09,77.06,77.365,75.92,76.38,158356
2023-03-10,75.87,76.405,74.515,74.99,401791
2023-03-13,74.7,77.435,74.13,76.26,117441
2023-03-14,77.13,78.75,76.4,77.2,99332
2023-03-15,75.93,76.72,75.6,76.69,144254
2023-03-16,76.14,77.415,75.88,76.6,110347
2023-03-17,76.805,77.53,75.51,75.8,87598
2023-03-20,75.595,75.77,74.68,75.16,83933
2023-03-21,75.68,76.67,75.62,76.48,74209
2023-03-22,76.38,76.7,74.89,74.89,76597
2023-03-23,75.395,76.645,74.925,75.7,91539
2023-03-24,75.08,76.47,75.0,76.395,29887
2023-03-27,76.82,77.34,76.28,76.39,37907
2023-03-28,76.4,76.94,76.215,76.94,42768
2023-03-29,77.77,79.42,77.18,79.2,137243
2023-03-30,79.77,82.25,79.5,82.13,126468
2023-03-31,82.26,82.5,81.66,82.04,83343
2023-04-03,81.94,82.51,81.56,81.81,89231
2023-04-04,81.835,82.125,81.51,81.55,45047
2023-04-05,81.665,81.725,80.67,81.07,130016
2023-04-06,80.815,81.03,80.09,80.18,75480
2023-04-10,79.92,80.62,79.79,80.54,101303
2023-04-11,80.42,80.68,79.97,80.545,76570
2023-04-12,80.77,81.805,80.64,81.76,110024
2023-04-13,81.595,83.135,81.38,82.97,94933
2023-04-14,82.78,83.23,81.98,82.38,68266
2023-04-17,82.275,83.1,82.275,82.71,26891
2023-04-18,83.11,84.12,83.0,83.68,102171
2023-04-19,83.82,86.86,83.75,85.8,106224
2023-04-20,85.44,86.265,84.74,84.985,99993
2023-04-21,85.4,86.495,85.22,86.49,128925
2023-04-24,86.67,87.8,86.46,87.8,102300
2023-04-25,83.0,83.1,78.94,80.425,774549
2023-04-26,79.6,80.24,77.585,80.105,169127
2023-04-27,80.81,81.505,80.715,81.49,112499
2023-04-28,81.59,81.725,81.07,81.36,57688
2023-05-01,81.25,81.7,80.73,80.78,129811
2023-05-02,80.29,80.6,77.915,78.44,144855
2023-05-03,78.54,80.34,78.03,79.72,103311
2023-05-04,80.145,80.26,77.7,78.27,104848
2023-05-05,79.07,79.465,78.86,79.0,46860
2023-05-08,78.81,79.485,78.74,79.43,31332
2023-05-09,78.775,78.785,76.18,76.37,130308
2023-05-10,76.59,76.63,74.97,75.88,97865
2023-05-11,75.655,75.655,74.71,75.01,95214
2023-05-12,74.955,75.0,74.3,74.95,100955
2023-05-15,75.17,75.53,74.71,74.87,69710
2023-05-16,75.3,78.25,75.3,77.79,71490
2023-05-17,78.1,80.58,76.3,80.32,97940
2023-05-18,80.59,80.715,79.22,79.7,45660
2023-05-19,80.31,80.92,79.12,79.345,49657
2023-05-22,79.36,79.36,78.77,79.06,98878
2023-05-23,78.92,79.715,77.1,77.17,44740
2023-05-24,77.03,77.07,76.11,76.45,71364
2023-05-25,76.52,80.05,75.685,79.87,195979
2023-05-26,80.11,80.11,78.38,78.43,171593
2023-05-30,78.4,79.0,77.43,78.02,120348
2023-05-31,78.58,79.675,77.75,79.515,336347
2023-06-01,79.73,80.06,78.945,79.83,114812
2023-06-02,80.55,80.86,79.9,79.945,171196
2023-06-05,80.18,80.59,78.845,80.53,47807
2023-06-06,78.585,82.945,78.2,82.945,389395
2023-06-07,82.155,82.17,80.22,80.395,132838
2023-06-08,77.37,78.385,76.75,77.77,923845
2023-06-09,78.045,78.38,77.06,77.08,188772
2023-06-12,77.375,78.3,76.91,78.3,191530
2023-06-13,78.405,78.405,76.72,77.78,189995
2023-06-14,78.05,78.76,77.48,78.55,135510
2023-06-15,78.6,79.15,78.255,79.11,106113
2023-06-16,79.29,80.04,78.525,78.61,128567
2023-06-20,78.38,79.135,77.78,78.915,123347
2023-06-21,78.615,80.0,78.615,79.66,166254
2023-06-22,79.87,80.74,79.63,80.22,149534
2023-06-23,79.9,80.295,79.01,79.77,131744
2023-06-26,79.92,80.21,77.75,77.79,82359
2023-06-27,78.23,78.28,76.24,77.08,128307
2023-06-28,76.86,77.22,76.35,77.21,106404
2023-06-29,77.42,78.7,77.36,78.7,115106
2023-06-30,79.43,81.345,79.4,81.24,129581
2023-07-03,81.345,81.41,79.91,80.7,49171
2023-07-05,80.375,81.28,80.02,80.62,106970
2023-07-06,79.84,80.26,79.0,79.14,117908
2023-07-07,78.75,80.095,78.31,79.6,111284
2023-07-10,80.21,80.76,80.06,80.62,97704
2023-07-11,80.7,81.445,80.235,81.25,57808
2023-07-12,81.89,82.66,81.535,81.68,64659
2023-07-13,81.595,81.97,80.92,81.4,50756
2023-07-14,81.59,82.14,81.345,81.795,64290
2023-07-17,81.91,82.33,81.1,81.15,76622
2023-07-18,80.83,82.79,80.83,82.43,107145
2023-07-19,82.885,82.92,81.67,81.77,73720
2023-07-20,82.2,83.13,81.8,81.87,106176
2023-07-21,82.15,83.11,82.075,82.6,123737
2023-07-24,82.42,82.59,80.28,80.63,170804
2023-07-25,80.975,82.26,78.615,80.195,201846
2023-07-26,80.08,80.17,77.3,77.43,101316
2023-07-27,77.86,78.79,76.25,76.86,133110
2023-07-28,77.43,78.19,76.89,77.89,52362
2023-07-31,77.575,78.03,76.29,78.01,127952
2023-08-01,77.405,78.03,77.13,77.7,84805
2023-08-02,77.47,77.78,76.16,76.56,89119
2023-08-03,76.59,76.635,75.71,76.05,96944
2023-08-04,75.91,76.71,75.68,75.91,72956
2023-08-07,76.155,76.155,75.19,75.61,47094
2023-08-08,75.29,75.33,73.355,73.93,118327
2023-08-09,73.715,74.855,73.44,73.95,97632
2023-08-10,74.075,74.56,72.125,72.31,124876
2023-08-11,71.94,72.02,70.91,71.56,144396
2023-08-14,71.44,71.85,70.94,71.79,93423
2023-08-15,71.705,71.705,70.195,70.55,147886
2023-08-16,71.19,72.24,70.42,70.64,127354
2023-08-17,70.52,70.52,68.25,68.37,147303
2023-08-18,68.18,68.71,67.905,68.34,112736
2023-08-21,69.33,69.37,68.67,68.96,88926
2023-08-22,69.335,69.335,68.675,68.93,95856
2023-08-23,69.23,69.51,68.84,68.98,79014
2023-08-24,69.44,69.44,68.305,68.42,132131
2023-08-25,68.54,68.86,67.64,68.59,70515
2023-08-28,68.77,69.635,68.77,69.31,97074
2023-08-29,69.38,70.5,69.38,70.49,51184
2023-08-30,70.64,70.98,70.24,70.39,56239
2023-08-31,70.5,71.1,69.92,70.46,113552
2023-09-01,70.825,70.825,69.11,69.2,99615
2023-09-05,68.865,68.865,67.43,67.69,113687
2023-09-06,67.53,67.67,66.07,67.01,118755
2023-09-07,67.94,67.94,65.83,65.91,86028
2023-09-08,65.65,65.66,64.735,64.91,78546
2023-09-11,65.435,67.29,65.39,66.61,165594
2023-09-12,66.29,66.355,65.23,65.39,119652
2023-09-13,65.73,65.875,64.22,64.5,81481
2023-09-14,64.91,66.06,64.715,65.98,111956
2023-09-15,66.13,66.5,65.58,66.44,119408
2023-09-18,65.87,66.96,65.87,66.32,69487
2023-09-19,66.66,66.66,65.365,66.11,47608
2023-09-20,65.83,66.54,64.91,65.01,45122
2023-09-21,64.88,64.88,63.82,63.89,55761
2023-09-22,63.895,64.805,63.81,64.34,68834
2023-09-25,64.44,67.035,64.44,66.465,124858
2023-09-26,66.35,67.405,66.18,66.22,121001
2023-09-27,66.88,68.405,66.3,68.28,141469
2023-09-28,68.74,70.54,68.02,69.78,113811
2023-09-29,70.08,70.08,67.945,68.04,92202
2023-10-02,67.9,68.66,67.64,67.84,55809
2023-10-03,67.28,67.28,66.46,67.02,44874
2023-10-04,67.25,68.07,66.53,67.9,86720
2023-10-05,68.28,68.415,66.7,67.62,77366
2023-10-06,67.05,68.99,66.65,68.46,66211
2023-10-09,67.8,68.06,67.25,67.81,61355
2023-10-10,67.98,68.62,67.69,68.15,69660
2023-10-11,67.98,68.17,67.07,67.8,50289
2023-10-12,67.56,67.63,66.17,66.5,66851
2023-10-13,66.29,67.57,66.29,67.14,51606
2023-10-16,67.255,67.345,66.41,66.86,49860
2023-10-17,66.46,67.365,66.145,66.805,27764
2023-10-18,66.15,66.245,65.13,65.25,53861
2023-10-19,65.01,66.65,64.98,65.46,71920
2023-10-20,65.0,65.18,63.875,64.05,67856
