date,open,high,low,close,volume
2024-04-02,142.85,152.25,138.66,139.6,1148717
2024-04-03,142.185,144.0,135.895,137.525,666156
2024-04-04,135.4,139.29,125.325,126.0,936204
2024-04-05,125.5,128.13,119.135,122.7,1734100
2024-04-08,125.9,131.59,125.9,129.935,1026651
2024-04-09,130.47,133.57,128.315,132.23,880926
2024-04-10,129.665,139.92,128.95,138.35,762605
2024-04-11,139.2,139.2,136.57,136.57,422591
2024-04-12,134.73,138.02,133.67,133.995,217150
2024-04-15,134.16,134.81,129.93,131.75,241276
2024-04-16,131.98,132.935,128.33,130.05,418637
2024-04-17,131.92,138.15,131.27,134.75,459921
2024-04-18,138.15,138.26,135.495,137.22,336162
2024-04-19,137.31,140.57,134.905,135.08,295059
2024-04-22,135.33,137.14,132.36,136.735,151682
2024-04-23,138.025,148.28,138.025,147.74,312274
2024-04-24,147.32,149.845,144.35,146.33,293466
2024-04-25,143.0,152.11,139.22,148.26,325972
2024-04-26,152.735,156.79,150.23,153.05,322529
2024-04-29,154.2,159.5,154.115,159.005,460104
2024-04-30,158.305,163.005,152.32,153.76,194657
2024-05-01,154.19,156.5,149.425,151.69,158385
2024-05-02,154.15,155.4,151.7,153.7,209635
2024-05-03,155.655,166.99,155.61,166.38,459333
2024-05-06,167.215,171.005,164.57,169.17,320251
2024-05-07,168.715,173.44,167.23,167.365,387162
2024-05-08,166.735,167.01,163.26,164.11,260876
2024-05-09,165.495,168.705,164.66,166.445,223276
2024-05-10,169.2,170.47,166.06,167.245,188404
2024-05-13,165.2,167.21,160.33,161.48,159453
2024-05-14,160.54,166.5,158.93,165.66,258572
2024-05-15,168.325,172.25,167.0,167.88,120512
2024-05-16,168.21,169.915,166.385,166.42,98583
2024-05-17,166.435,166.435,160.97,162.62,108804
2024-05-20,162.61,163.62,160.26,160.99,68203
2024-05-21,159.63,164.42,159.215,164.08,84046
2024-05-22,164.295,167.12,163.34,163.77,115404
2024-05-23,166.275,169.93,161.52,161.675,171461
2024-05-24,162.955,177.675,162.565,177.41,225809
2024-05-28,177.885,182.135,176.87,178.05,143263
2024-05-29,175.55,178.52,174.41,177.315,55364
2024-05-30,176.32,177.76,174.6,175.265,79997
2024-05-31,176.755,179.76,165.57,176.09,195677
2024-06-03,178.175,178.69,166.5,170.22,136122
2024-06-04,168.87,169.25,161.38,163.055,291408
2024-06-05,165.31,167.71,162.545,163.485,284291
2024-06-06,163.555,163.94,155.55,160.38,369716
2024-06-07,159.45,165.605,159.45,162.095,270189
2024-06-10,160.875,169.865,160.875,166.62,112954
2024-06-11,164.94,168.42,163.46,168.175,82919
2024-06-12,172.95,179.1,171.67,177.54,187394
2024-06-13,179.4,181.78,172.96,176.315,167945
2024-06-14,172.12,172.59,166.32,170.16,92032
2024-06-17,170.245,171.83,166.29,168.85,96445
2024-06-18,167.785,180.1,166.77,179.57,166298
2024-06-20,178.47,185.12,176.03,177.25,192296
2024-06-21,175.82,176.4,170.57,175.785,104309
2024-06-24,176.425,178.94,175.02,178.305,126991
2024-06-25,179.41,181.45,176.38,181.425,231042
2024-06-26,181.105,181.55,177.7,180.0,206389
2024-06-27,178.88,178.88,173.33,175.99,189602
2024-06-28,174.485,175.8,167.33,171.54,320785
2024-07-01,170.42,170.92,165.17,167.585,168059
2024-07-02,166.5,171.655,166.5,170.01,121752
2024-07-03,170.365,174.72,169.295,172.75,75321
2024-07-05,171.55,177.38,171.55,176.21,113870
2024-07-08,177.25,178.35,174.26,174.385,51928
2024-07-09,174.06,174.755,172.71,172.96,54690
2024-07-10,174.8,179.8,174.78,179.69,117882
2024-07-11,182.005,182.81,176.73,176.76,108117
2024-07-12,177.405,184.24,174.675,180.49,120026
2024-07-15,180.5,181.62,176.59,177.405,162938
2024-07-16,178.36,183.66,178.36,182.82,119005
2024-07-17,180.0,180.015,162.95,165.88,387193
2024-07-18,167.61,171.28,159.465,161.67,280052
2024-07-19,161.8,163.67,159.46,163.33,154112
2024-07-22,167.28,168.25,163.955,166.73,96185
2024-07-23,167.06,170.865,166.42,170.41,210507
2024-07-24,167.34,172.035,162.8,162.81,318752
2024-07-25,165.73,165.73,156.525,159.95,318915
2024-07-26,165.465,173.87,164.485,173.13,192152
2024-07-29,174.3,174.715,169.99,171.99,110200
2024-07-30,173.1,173.915,162.48,162.72,183617
2024-07-31,171.605,180.25,171.605,178.19,251855
2024-08-01,180.365,183.52,171.82,174.07,384570
2024-08-02,168.94,169.375,161.77,164.825,252019
2024-08-05,151.5,165.19,150.7,162.08,267777
2024-08-06,161.245,166.33,160.67,164.28,184227
2024-08-07,169.53,172.705,164.84,166.18,177362
2024-08-08,169.5,177.415,165.12,177.205,151041
2024-08-09,176.73,179.52,172.745,179.2,212363
2024-08-12,177.83,180.5,174.45,176.42,146021
2024-08-13,177.91,180.21,175.33,179.635,91983
2024-08-14,179.745,185.055,178.39,184.205,127736
2024-08-15,185.45,190.68,181.93,188.755,198954
2024-08-16,188.45,188.455,180.7,184.12,91922
2024-08-19,184.175,185.45,181.31,185.45,84198
2024-08-20,184.235,185.845,181.825,184.15,74765
2024-08-21,182.57,185.14,181.81,184.315,64011
2024-08-22,186.05,186.52,182.455,186.1,115730
2024-08-23,178.31,183.5,173.28,183.475,356687
2024-08-26,181.06,183.21,179.29,182.02,223833
2024-08-27,180.5,187.02,180.5,185.66,91673
2024-08-28,184.39,184.93,180.98,183.88,94114
2024-08-29,185.85,195.47,185.71,191.51,191754
2024-08-30,196.0,201.22,194.41,201.0,140630
2024-09-03,202.07,202.07,187.85,192.575,196771
2024-09-04,193.21,204.07,192.84,199.82,192096
2024-09-05,197.875,200.66,194.28,198.49,208833
2024-09-06,199.26,200.86,193.39,198.44,229076
2024-09-09,200.495,202.56,197.91,201.905,93635
2024-09-10,203.0,203.0,199.14,202.09,161105
2024-09-11,203.375,210.06,201.65,209.27,370711
2024-09-12,200.625,216.8,200.13,215.25,284083
2024-09-13,220.86,228.465,220.255,226.01,271799
2024-09-16,228.0,231.445,225.26,230.07,181571
2024-09-17,236.555,239.7,233.71,238.51,339984
2024-09-18,238.5,241.33,234.255,235.57,139430
2024-09-19,243.305,244.72,238.39,244.47,136139
2024-09-20,245.0,250.32,242.385,245.49,125730
2024-09-23,247.825,254.78,247.4,251.78,103729
2024-09-24,254.1,257.25,252.31,255.53,129128
2024-09-25,256.74,257.62,252.39,255.04,113013
2024-09-26,257.5,258.45,247.18,251.44,155177
2024-09-27,250.83,254.27,249.62,249.64,128293
2024-09-30,250.5,255.24,249.5,254.905,143898
2024-10-01,255.5,257.465,251.1,256.57,121303
2024-10-02,251.18,257.285,248.84,252.41,149159
2024-10-03,253.205,257.145,250.935,254.655,165028
2024-10-04,256.2,266.375,253.35,265.66,139368
2024-10-07,265.01,265.82,260.635,262.51,94389
2024-10-08,264.13,266.22,262.36,264.35,112925
2024-10-09,264.61,269.225,263.025,266.57,116654
2024-10-10,264.1,266.505,261.86,264.62,99705
2024-10-11,264.08,270.02,261.06,266.82,95619
2024-10-14,267.45,270.71,265.83,269.48,105883
2024-10-15,270.29,270.63,260.31,266.44,101902
2024-10-16,269.05,276.14,267.72,274.78,116123
2024-10-17,279.39,281.11,271.93,271.97,144131
2024-10-18,272.57,275.23,271.39,272.77,205558
2024-10-21,275.41,276.92,272.36,276.395,220153
2024-10-22,272.18,278.21,271.395,276.675,154109
2024-10-23,272.0,282.61,269.21,279.965,250383
2024-10-24,285.94,297.425,283.23,296.78,246608
2024-10-25,296.88,298.44,292.63,293.505,246555
2024-10-28,295.08,295.52,288.2,289.32,189727
2024-10-29,288.025,298.92,284.435,298.88,152848
2024-10-30,301.38,301.53,294.88,297.675,133547
2024-10-31,299.94,303.52,296.585,302.025,97469
2024-11-01,304.165,311.53,300.77,301.12,132299
2024-11-04,297.9,301.155,294.09,295.895,98042
2024-11-05,295.285,316.14,295.285,315.62,194720
2024-11-06,321.53,338.415,319.315,336.18,188553
2024-11-07,337.94,340.19,332.65,336.99,105329
2024-11-08,336.87,341.5,335.825,341.225,66848
2024-11-11,345.69,349.78,338.795,349.54,118509
2024-11-12,346.87,348.89,319.35,323.3,395253
2024-11-13,333.01,342.99,331.0,333.5,166208
2024-11-14,333.0,334.79,325.28,325.88,163695
2024-11-15,326.255,338.995,326.25,329.79,135780
2024-11-18,327.05,333.19,322.42,325.29,86533
2024-11-19,320.01,340.39,318.27,339.89,126670
2024-11-20,344.94,346.41,338.47,342.54,121093
2024-11-21,350.0,356.4,339.44,339.67,126911
2024-11-22,339.43,349.63,335.105,348.9,180980
2024-11-25,354.195,354.26,328.44,328.44,129909
2024-11-26,330.82,340.71,330.615,338.84,91214
2024-11-27,339.48,339.48,330.035,335.66,113113
2024-11-29,334.01,336.365,332.725,334.43,34226
2024-12-02,338.01,346.46,337.53,337.53,94951
2024-12-03,338.71,339.325,327.34,331.75,102209
2024-12-04,336.08,344.64,334.3,343.81,88748
2024-12-05,345.635,354.58,345.635,348.33,106260
2024-12-06,348.5,349.21,341.385,346.51,65798
2024-12-09,338.1,339.45,325.02,335.44,127448
2024-12-10,332.22,336.275,322.44,327.485,201681
2024-12-11,335.39,350.47,333.45,343.83,229553
2024-12-12,340.865,341.89,328.28,329.6,112366
2024-12-13,333.995,337.56,330.0,331.935,60573
2024-12-16,337.53,340.01,331.285,337.8,83480
2024-12-17,333.505,333.565,323.735,328.31,94798
2024-12-18,327.75,331.88,314.36,317.235,96312
2024-12-19,327.79,337.37,323.15,332.77,180652
2024-12-20,328.63,345.47,328.1,342.82,129507
2024-12-23,344.03,345.44,337.19,339.34,17189
2024-12-24,347.85,348.59,343.575,346.53,25004
2024-12-26,344.75,345.13,339.41,343.14,41204
2024-12-27,339.42,340.085,332.83,333.915,74971
2024-12-30,324.14,335.045,324.14,330.225,43450
2024-12-31,330.26,332.63,327.67,329.09,66809
2025-01-02,333.275,342.195,328.77,338.94,93614
2025-01-03,333.46,354.505,333.26,354.15,103223
2025-01-06,371.0,375.52,366.7,371.19,122949
2025-01-07,374.61,374.62,357.74,368.29,102929
2025-01-08,359.21,368.48,348.37,366.18,175520
2025-01-10,363.5,367.8,351.75,367.04,149996
2025-01-13,356.405,366.82,353.88,366.7,148647
2025-01-14,377.23,388.3,373.7,382.44,93933
2025-01-15,392.25,392.41,381.09,386.975,103180
2025-01-16,393.985,396.89,387.54,391.2,80429
2025-01-17,393.05,403.92,390.89,401.42,86182
2025-01-21,405.45,417.21,396.21,416.0,137907
2025-01-22,431.63,433.58,419.28,426.875,226330
2025-01-23,425.0,447.33,424.06,437.6,157875
2025-01-24,431.93,433.47,416.31,420.18,148849
2025-01-27,336.49,352.77,322.42,330.0,549259
2025-01-28,350.1,355.27,317.83,355.15,548806
2025-01-29,358.735,367.96,346.805,353.15,260208
2025-01-30,365.4,387.415,365.4,382.89,351776
2025-01-31,386.335,386.52,370.98,372.82,224252
2025-02-03,351.43,366.905,349.665,361.59,227625
2025-02-04,361.155,365.06,349.69,356.33,130124
2025-02-05,363.49,369.475,359.99,367.61,132750
2025-02-06,366.235,380.05,365.45,374.7,121542
2025-02-07,380.4,388.68,375.47,378.02,128794
2025-02-10,379.205,385.36,372.31,385.36,87357
2025-02-11,382.02,382.02,369.665,373.435,109699
2025-02-12,362.255,378.07,360.18,369.76,89399
2025-02-13,375.75,377.01,360.68,370.28,123706
2025-02-14,365.2,368.43,357.57,367.28,115715
2025-02-18,369.39,377.32,364.18,373.085,110530
2025-02-19,372.39,375.95,366.545,374.89,83165
2025-02-20,376.17,382.63,353.24,359.57,204515
2025-02-21,358.245,358.245,325.76,327.72,326664
2025-02-24,324.86,328.32,304.0,316.08,381101
2025-02-25,307.26,322.01,298.04,317.66,365029
2025-02-26,334.995,341.875,328.0,335.32,261920
2025-02-27,346.5,346.5,322.5,326.0,218198
2025-02-28,322.725,335.99,319.735,335.165,198368
2025-03-03,335.84,336.11,308.92,315.9,283175
2025-03-04,304.55,321.65,294.9,312.98,357060
2025-03-05,316.47,323.5,311.84,317.03,291327
2025-03-06,304.05,309.07,288.3,293.15,337505
2025-03-07,293.21,300.45,279.78,289.19,272815
2025-03-10,275.97,281.09,266.5,270.0,393704
2025-03-11,268.99,291.14,268.99,284.12,326689
2025-03-12,305.93,306.19,293.46,298.79,145830
2025-03-13,297.0,303.4,285.91,300.235,153363
2025-03-14,309.04,315.64,303.705,313.81,158587
2025-03-17,313.0,335.21,313.0,332.36,148563
2025-03-18,329.78,329.97,314.73,318.85,142614
2025-03-19,324.13,343.36,321.27,335.7,168854
2025-03-20,329.83,342.29,329.83,336.36,215222
2025-03-21,331.5,334.975,325.71,334.21,124099
2025-03-24,344.76,349.43,339.35,343.43,166598
2025-03-25,344.235,344.64,333.415,336.175,150234
2025-03-26,333.84,333.84,314.83,317.65,196981
2025-03-27,309.99,314.66,302.76,302.92,236288
2025-03-28,302.23,308.45,299.22,302.77,143553
2025-03-31,291.36,305.94,288.61,304.955,195507
2025-04-01,308.385,316.08,302.58,315.29,157397
2025-04-02,307.51,335.71,307.51,330.99,159860
2025-04-03,309.5,315.61,293.52,297.38,455289
2025-04-04,275.97,276.42,252.94,271.5,414992
2025-04-07,257.0,298.49,253.895,286.31,324350
2025-04-08,301.93,306.33,279.78,287.03,324427
2025-04-09,285.45,333.05,285.45,326.665,335445
2025-04-10,309.525,321.74,303.6,309.61,225520
2025-04-11,310.01,322.98,307.24,321.29,126319
2025-04-14,330.83,330.83,318.1,322.305,113093
2025-04-15,324.895,331.05,324.19,328.66,65789
2025-04-16,319.47,332.0,317.01,328.04,237831
2025-04-17,335.0,338.89,322.0,323.51,180933
2025-04-21,319.5,323.92,306.21,312.94,123230
2025-04-22,318.2,331.01,318.2,326.36,154542
2025-04-23,356.585,358.495,333.19,335.79,244737
2025-04-24,343.47,366.53,338.27,360.54,211320
2025-04-25,360.49,376.01,358.15,372.27,190493
2025-04-28,371.25,379.64,362.075,369.98,123271
2025-04-29,369.435,372.09,363.58,370.92,83549
2025-04-30,359.755,371.44,358.53,370.49,132198
2025-05-01,385.64,387.26,379.24,382.15,152660
2025-05-02,391.305,403.18,386.2,396.5,171219
2025-05-05,392.725,403.78,392.03,401.1,126510
2025-05-06,395.3,402.555,393.105,400.89,138679
2025-05-07,400.195,407.17,397.705,406.965,94088
2025-05-08,409.75,412.49,394.08,394.08,146946
2025-05-09,395.5,399.77,387.42,399.73,100180
2025-05-12,415.47,418.445,408.98,416.95,128028
2025-05-13,423.41,443.88,421.505,433.35,256299
2025-05-14,439.4,440.2,432.04,432.26,125883
2025-05-15,430.0,432.57,425.67,426.6,177933
2025-05-16,429.38,430.295,423.48,428.04,396817
2025-05-19,423.85,446.94,423.845,446.61,160476
2025-05-20,444.88,451.29,443.16,449.7,125098
2025-05-21,447.755,462.905,447.75,453.27,128852
2025-05-22,453.495,464.47,449.505,458.625,138234
2025-05-23,461.285,469.395,459.46,464.61,148983
2025-05-27,472.45,475.81,466.4,471.33,185860
2025-05-28,469.01,486.97,467.96,485.14,192375
2025-05-29,488.005,488.065,462.0,471.35,185190
2025-05-30,469.0,473.555,463.815,472.91,241998
2025-06-02,478.75,486.065,473.46,485.31,92111
2025-06-03,493.24,500.04,485.42,493.085,136736
2025-06-04,492.955,498.05,486.66,488.44,103021
2025-06-05,491.23,493.6,479.815,483.91,132095
2025-06-06,487.67,488.76,479.11,484.995,135777
2025-06-09,490.0,491.38,479.89,480.18,96674
2025-06-10,482.375,482.41,459.11,464.98,167685
2025-06-11,464.32,484.09,464.2,483.19,142195
2025-06-12,479.05,489.08,479.05,487.51,106976
2025-06-13,480.205,484.11,475.105,478.27,93963
