date,open,high,low,close,volume
2021-07-21,68.91,69.01,68.02,68.38,618659
2021-07-22,68.06,68.785,67.83,68.64,82060
2021-07-23,68.89,69.325,68.64,69.02,153522
2021-07-26,68.885,69.3,68.475,68.74,145394
2021-07-27,68.59,69.04,68.35,68.93,207724
2021-07-28,68.91,70.14,68.74,70.1,294711
2021-07-29,70.28,70.39,69.78,69.865,285401
2021-07-30,68.7,68.99,68.01,68.29,261667
2021-08-02,68.325,68.64,67.845,68.35,109786
2021-08-03,68.5,69.835,68.29,69.8,103438
2021-08-04,69.64,69.98,69.04,69.26,223306
2021-08-05,69.21,69.33,68.54,69.32,170129
2021-08-06,69.16,69.22,68.685,68.775,76432
2021-08-09,68.785,69.24,68.115,68.475,148730
2021-08-10,68.255,69.265,68.05,69.22,210255
2021-08-11,69.46,70.85,69.445,69.845,275352
2021-08-12,70.2,70.98,69.745,70.98,199796
2021-08-13,70.81,71.38,70.81,71.155,101070
2021-08-16,71.27,71.79,71.05,71.79,216588
2021-08-17,71.61,73.09,71.56,73.03,206382
2021-08-18,72.68,73.32,71.9,71.92,156030
2021-08-19,71.69,72.265,71.53,71.64,113796
2021-08-20,71.68,72.88,71.48,72.42,155597
2021-08-23,72.83,73.03,72.5,72.54,182804
2021-08-24,72.51,72.56,71.9,72.255,137507
2021-08-25,71.92,71.92,70.94,71.41,95790
2021-08-26,71.56,72.03,71.14,71.42,136101
2021-08-27,71.31,72.43,71.205,71.24,153967
2021-08-30,71.18,72.19,71.18,72.02,90888
2021-08-31,71.98,72.825,71.9,72.79,251076
2021-09-01,72.68,72.68,71.39,71.87,141282
2021-09-02,71.92,72.38,71.41,72.34,104412
2021-09-03,72.11,72.36,71.775,71.95,135152
2021-09-07,71.08,71.27,70.35,71.21,115338
2021-09-08,71.27,71.9,71.125,71.89,75846
2021-09-09,71.53,71.61,70.605,70.62,121483
2021-09-10,70.99,71.43,70.26,70.99,114855
2021-09-13,71.56,71.85,70.84,71.16,151600
2021-09-14,70.71,71.05,70.18,70.46,75862
2021-09-15,70.47,72.475,70.465,71.79,167273
2021-09-16,71.785,71.86,70.81,71.27,150345
2021-09-17,70.83,71.7,70.48,71.61,146915
2021-09-20,70.92,71.92,70.35,70.97,326774
2021-09-21,71.31,72.04,71.13,71.76,127177
2021-09-22,72.02,72.02,71.085,71.38,183722
2021-09-23,71.44,72.08,71.41,71.68,148601
2021-09-24,71.635,71.87,71.19,71.22,137108
2021-09-27,71.11,71.23,70.31,70.41,117177
2021-09-28,70.0,70.54,69.68,69.99,173754
2021-09-29,70.08,71.39,69.98,70.93,130313
2021-09-30,71.22,71.52,69.8,69.8,166493
2021-10-01,68.95,69.41,67.66,68.52,235933
2021-10-04,68.355,68.98,67.33,67.55,165629
2021-10-05,67.43,68.115,67.26,67.35,110653
2021-10-06,67.47,67.7,66.9,67.49,232187
2021-10-07,67.53,68.305,67.31,68.11,90939
2021-10-08,68.05,68.38,67.91,68.06,147600
2021-10-11,68.11,68.44,67.89,68.08,109454
2021-10-12,68.14,68.31,67.295,67.365,173688
2021-10-13,67.41,67.95,67.23,67.64,164802
2021-10-14,68.36,68.72,68.02,68.15,138208
2021-10-15,68.415,68.49,67.61,67.63,190706
2021-10-18,67.56,67.57,65.79,65.9,227407
2021-10-19,65.99,66.97,65.9,66.9,203185
2021-10-20,66.88,67.305,66.8,66.87,176202
2021-10-21,66.925,67.06,66.53,66.96,120513
2021-10-22,67.07,67.265,66.51,67.24,125876
2021-10-25,67.16,67.97,66.8,67.65,122070
2021-10-26,67.94,68.35,67.71,67.72,164458
2021-10-27,67.83,67.84,66.605,66.77,155266
2021-10-28,66.69,67.59,66.69,67.345,143368
2021-10-29,65.7,65.74,64.065,64.88,552232
2021-11-01,64.83,65.93,64.71,65.64,157995
2021-11-02,65.66,66.025,64.68,65.905,220368
2021-11-03,65.68,67.56,65.63,67.42,314004
2021-11-04,67.1,67.1,65.97,66.47,206095
2021-11-05,65.95,66.86,65.84,66.35,217099
2021-11-08,65.98,66.39,65.51,65.98,116006
2021-11-09,66.35,66.84,65.91,66.15,186348
2021-11-10,66.66,67.83,66.66,67.325,296573
2021-11-11,67.15,67.48,66.755,67.405,85364
2021-11-12,67.61,67.715,67.22,67.54,105479
2021-11-15,67.46,67.81,67.005,67.19,135080
2021-11-16,67.33,67.99,66.82,66.89,297096
2021-11-17,66.85,67.53,66.56,67.47,327915
2021-11-18,67.55,68.26,67.39,67.78,749819
2021-11-19,68.19,68.8,67.8,68.7,157369
2021-11-22,68.71,70.35,68.01,70.005,318837
2021-11-23,69.92,70.87,69.74,70.66,232581
2021-11-24,70.74,71.015,69.53,70.06,227341
2021-11-26,70.01,70.73,69.93,70.42,201206
2021-11-29,70.53,71.315,70.21,70.65,175803
2021-11-30,70.36,70.88,68.88,68.88,345345
2021-12-01,69.105,70.02,68.65,68.93,218481
2021-12-02,69.17,70.28,68.84,69.68,278425
2021-12-03,69.98,70.43,69.32,69.525,235285
2021-12-06,69.51,70.77,69.42,69.5,376197
2021-12-07,69.41,69.845,68.91,69.64,127392
2021-12-08,70.02,70.4,68.91,69.72,175516
2021-12-09,69.77,70.725,69.24,70.26,189199
