date,open,high,low,close,volume
2021-07-21,93.49,95.375,93.29,93.67,18406
2021-07-22,92.82,94.355,92.39,93.04,31117
2021-07-23,93.75,94.04,93.08,93.33,17925
2021-07-26,93.54,94.59,93.17,93.87,27300
2021-07-27,93.07,94.2,92.725,93.32,14265
2021-07-28,94.05,94.26,92.85,93.13,17385
2021-07-29,94.285,94.73,93.8,94.19,20782
2021-07-30,94.51,94.51,92.9,93.09,25584
2021-08-02,94.61,94.74,92.56,92.6,16317
2021-08-03,91.79,92.69,91.79,92.26,31139
2021-08-04,91.34,92.68,91.34,91.72,30761
2021-08-05,93.23,93.23,91.96,92.57,11028
2021-08-06,93.49,94.51,93.49,94.07,14055
2021-08-09,93.695,94.905,93.575,94.3,12436
2021-08-10,94.05,96.025,94.05,95.615,18409
2021-08-11,95.685,97.56,95.295,97.55,21486
2021-08-12,97.02,97.03,96.46,96.67,13300
2021-08-13,96.63,96.63,96.15,96.37,16462
2021-08-16,95.43,97.15,95.41,96.22,14307
2021-08-17,95.91,96.435,95.3,96.26,9821
2021-08-18,95.57,96.45,95.57,95.595,8290
2021-08-19,95.37,95.89,94.36,94.84,8557
2021-08-20,94.555,95.17,94.17,94.97,15819
2021-08-23,96.26,96.5,95.875,95.875,8796
2021-08-24,96.27,96.85,96.1,96.5,12079
2021-08-25,96.58,97.82,96.51,97.09,6912
2021-08-26,96.99,96.99,95.435,95.565,8429
2021-08-27,95.41,97.355,95.41,96.96,10506
2021-08-30,96.85,96.85,95.9,95.93,11733
2021-08-31,95.985,97.0,95.7,96.06,23311
2021-09-01,96.35,96.43,95.06,95.43,10010
2021-09-02,95.65,95.87,94.55,94.83,13532
2021-09-03,94.7,94.7,93.93,94.28,7171
2021-09-07,93.95,94.65,92.98,93.12,14791
2021-09-08,93.29,93.29,92.28,92.925,4537
2021-09-09,92.89,94.22,92.89,93.07,10212
2021-09-10,93.87,93.95,91.97,91.97,8016
2021-09-13,93.465,93.77,92.57,93.21,17202
2021-09-14,93.58,93.58,92.075,92.11,10425
2021-09-15,92.66,92.75,92.06,92.26,9766
2021-09-16,92.22,92.35,91.36,91.85,8373
2021-09-17,92.18,92.18,89.35,89.71,48898
2021-09-20,88.29,88.29,86.25,87.92,17300
2021-09-21,87.625,87.625,86.25,86.71,14669
2021-09-22,87.44,88.465,87.0,87.88,22139
2021-09-23,89.38,90.09,88.9,88.95,16547
2021-09-24,89.23,90.31,88.72,88.75,12893
2021-09-27,89.14,91.62,89.0,91.08,16644
2021-09-28,91.82,91.82,89.72,89.75,9266
2021-09-29,89.76,90.52,89.63,90.09,9226
2021-09-30,90.45,90.45,89.03,89.03,23448
2021-10-01,89.035,90.845,88.7,90.28,11060
2021-10-04,90.61,90.61,89.44,89.905,16836
2021-10-05,90.225,91.81,89.67,91.645,13636
2021-10-06,91.325,92.61,90.26,92.495,24848
2021-10-07,93.865,95.105,93.86,93.995,34985
2021-10-08,94.035,94.85,93.695,94.39,12719
2021-10-11,94.78,95.47,93.54,93.54,5476
2021-10-12,93.78,94.25,93.37,94.075,22015
2021-10-13,93.75,94.28,92.51,94.08,12183
2021-10-14,95.28,96.045,94.79,96.045,9175
2021-10-15,97.135,98.11,96.79,97.5,16077
2021-10-18,96.88,97.615,96.56,97.025,14043
2021-10-19,97.415,98.39,97.36,97.49,39301
2021-10-20,97.34,98.53,97.34,98.53,5703
2021-10-21,92.37,94.38,92.37,93.51,44295
2021-10-22,93.88,94.15,92.805,93.22,17496
2021-10-26,93.12,93.37,91.77,91.79,29029
2021-10-27,91.34,92.52,90.84,90.885,27984
2021-10-28,91.225,91.6,90.8,91.04,47940
2021-10-29,90.83,91.3,88.81,89.01,45017
2021-11-01,89.93,91.615,89.93,91.49,31379
2021-11-02,91.405,92.175,91.34,91.99,12731
2021-11-03,91.96,93.1,91.93,92.465,20005
2021-11-04,91.85,92.58,91.68,92.55,13470
2021-11-05,93.71,95.39,93.71,94.87,61800
2021-11-08,95.58,96.08,93.63,93.86,16170
2021-11-09,93.17,93.54,92.275,92.33,51536
2021-11-10,92.77,93.61,92.44,92.74,31468
2021-11-11,92.48,93.41,92.48,93.38,24193
2021-11-12,93.32,94.55,92.61,94.45,13041
2021-11-15,94.335,95.03,93.84,94.575,18842
2021-11-16,94.51,95.51,94.51,94.69,102310
2021-11-17,94.8,94.8,93.51,94.185,15654
2021-11-18,94.03,94.03,92.89,93.14,31054
2021-11-19,92.515,93.3,91.965,92.46,47979
2021-11-22,93.215,93.83,92.41,92.82,23160
2021-11-23,92.99,94.75,92.82,94.67,30908
2021-11-24,94.37,94.58,93.59,93.61,14479
2021-11-26,89.18,89.39,87.97,89.21,19112
2021-11-29,89.68,90.19,88.21,88.49,53100
2021-11-30,87.385,88.16,86.32,86.51,53242
2021-12-01,87.79,88.92,85.28,85.28,93341
2021-12-02,85.835,89.63,85.64,88.98,50148
2021-12-03,88.68,89.52,88.5,88.89,23286
2021-12-06,90.8,92.59,90.54,91.49,26868
2021-12-07,91.72,92.48,91.67,91.915,12739
2021-12-08,91.91,92.44,91.9,92.2,10157
2021-12-09,91.19,92.225,91.19,91.73,12701
2021-12-10,92.23,92.42,91.13,91.94,17072
2021-12-13,91.44,91.745,91.15,91.22,10257
2021-12-14,91.65,93.035,91.58,91.82,15748
2021-12-15,91.16,92.65,91.15,92.27,20688
2021-12-16,92.54,93.21,91.67,91.81,24826
2021-12-17,91.1,91.25,89.635,89.65,25672
2021-12-20,88.485,88.485,85.62,86.79,23419
2021-12-21,88.98,91.15,88.83,90.75,29631
2021-12-22,90.485,91.81,90.485,91.74,25273
2021-12-23,92.85,93.23,92.43,92.67,14545
2021-12-27,92.25,93.37,92.25,93.34,9807
2021-12-28,94.11,94.68,94.0,94.21,10604
2021-12-29,94.68,94.84,94.29,94.69,14793
2021-12-30,94.96,95.75,94.16,94.17,10475
2021-12-31,94.16,94.64,93.74,93.8,7949
2022-01-03,94.83,95.89,94.82,94.915,13166
2022-01-04,96.31,97.83,96.31,97.475,17381
2022-01-05,98.52,98.92,97.33,97.51,26408
2022-01-06,98.815,99.01,97.97,98.89,18117
2022-01-07,98.99,100.87,98.99,100.72,27377
2022-01-10,101.77,101.77,100.175,100.96,25973
2022-01-11,101.33,102.25,100.21,102.115,11552
2022-01-12,104.39,105.76,102.775,104.26,37183
2022-01-13,104.9,105.74,103.82,104.13,38005
2022-01-14,103.365,106.0,103.365,105.99,18414
2022-01-18,106.065,106.065,103.67,105.18,25663
2022-01-19,104.805,105.17,103.6,104.06,15957
2022-01-20,104.17,105.67,103.22,103.43,34881
2022-01-21,102.16,103.0,100.795,101.025,19442
2022-01-24,99.8,102.32,98.46,102.07,20542
2022-01-25,99.73,103.55,98.595,102.57,24450
2022-01-26,102.855,104.79,102.305,102.72,32527
2022-01-27,103.825,104.28,100.31,101.105,14794
2022-01-28,100.38,102.02,99.195,102.02,17226
2022-01-31,101.41,102.41,101.265,102.34,28361
2022-02-01,102.135,103.13,100.8,102.79,34629
2022-02-02,102.925,104.29,102.36,104.01,35972
2022-02-03,104.245,104.245,100.88,102.37,44746
2022-02-04,102.26,104.88,102.26,103.88,18976
2022-02-07,103.885,104.99,103.715,103.8,29126
2022-02-08,105.16,106.31,105.055,105.99,18860
2022-02-09,106.51,107.375,106.21,106.21,27952
2022-02-10,107.09,108.595,105.57,106.18,31677
2022-02-11,105.83,107.38,104.75,105.35,23562
2022-02-14,104.65,105.23,103.48,103.99,58323
2022-02-15,105.73,106.37,105.25,105.55,33092
2022-02-16,105.95,106.33,105.345,105.94,42212
2022-02-17,104.44,105.09,103.66,104.65,42922
2022-02-18,104.8,105.51,104.48,105.13,37699
2022-02-22,104.97,104.995,103.28,104.0,28119
2022-02-23,105.12,105.3,102.89,103.28,22211
2022-02-24,100.845,100.845,98.09,100.14,69624
2022-02-25,102.69,104.08,101.995,103.57,41936
2022-02-28,101.105,101.6,100.23,100.98,50155
2022-03-01,100.24,100.24,96.78,96.97,69604
2022-03-02,98.84,100.65,98.81,99.95,36479
2022-03-03,100.29,100.425,99.29,99.6,15422
2022-03-04,97.38,97.85,96.11,97.18,26232
2022-03-07,95.77,96.08,94.12,94.22,36466
2022-03-09,98.91,99.0,97.35,97.44,34041
2022-03-10,96.19,97.825,95.47,96.05,35557
2022-03-11,97.44,97.59,96.44,96.815,39261
2022-03-14,98.16,98.61,96.83,97.03,13697
2022-03-15,98.25,98.25,97.02,97.67,38344
2022-03-16,99.28,99.53,97.99,99.37,36208
2022-03-17,98.12,98.7,97.59,98.56,30035
2022-03-18,98.26,98.38,96.91,98.19,41694
2022-03-21,98.465,99.45,97.94,99.45,34514
2022-03-22,100.73,102.185,100.73,101.44,30509
2022-03-23,100.91,101.44,99.61,99.61,26307
2022-03-24,100.095,100.62,99.96,100.45,17989
2022-03-25,100.68,102.245,100.68,102.19,26895
2022-03-28,102.18,102.21,101.4,101.98,28036
2022-03-29,103.69,103.69,102.55,102.9,26587
2022-03-30,102.21,102.65,101.76,102.1,17558
2022-03-31,102.43,102.835,100.67,100.73,44355
2022-04-01,101.295,101.42,100.03,100.49,30304
2022-04-04,99.955,99.955,98.57,99.03,17795
2022-04-05,99.59,101.42,98.98,100.805,37862
2022-04-06,100.96,102.3,100.44,101.58,35486
2022-04-07,101.875,101.95,99.96,101.505,35953
2022-04-08,101.905,103.0,101.14,102.39,37941
2022-04-11,102.965,104.73,102.61,102.79,26281
2022-04-12,102.04,103.6,101.03,101.55,24275
2022-04-13,100.41,102.38,100.39,102.31,25435
2022-04-14,102.375,103.325,102.375,102.91,17073
2022-04-18,102.97,103.36,101.65,101.85,30150
2022-04-19,102.405,102.87,101.9,102.67,39784
2022-04-20,103.65,105.6,103.59,105.47,24271
2022-04-21,104.5,106.515,104.5,105.91,46591
2022-04-22,105.58,105.58,103.45,103.45,52897
2022-04-25,101.695,102.28,99.1,102.035,35646
2022-04-26,100.48,101.895,99.96,100.0,24073
2022-04-27,100.27,101.83,100.21,100.57,18989
2022-04-28,100.47,101.84,99.93,101.84,35117
2022-04-29,100.945,101.19,97.9,98.06,27280
2022-05-02,98.72,99.34,96.49,98.09,24205
2022-05-03,98.75,99.54,98.065,99.05,25659
2022-05-04,99.05,102.12,98.9,102.12,21967
2022-05-05,100.84,101.19,98.75,99.4,44361
2022-05-06,99.31,100.7,98.75,99.98,19494
2022-05-09,98.95,99.65,98.09,98.54,13561
2022-05-10,99.67,99.83,96.58,97.35,29101
2022-05-11,98.16,99.195,97.14,97.16,26010
2022-05-12,96.36,96.84,93.57,95.18,41965
2022-05-13,96.09,97.19,95.59,96.155,49534
2022-05-16,96.41,97.18,95.0,96.26,41683
2022-05-17,97.79,98.53,96.91,98.27,36640
2022-05-18,97.6,97.6,95.5,95.69,36824
2022-05-19,94.685,95.385,92.495,93.89,38983
2022-05-20,94.71,94.83,92.0,93.61,27312
2022-05-23,95.04,96.075,94.69,95.65,20445
2022-05-24,94.87,95.06,93.05,94.64,19183
2022-05-25,94.95,95.4,94.13,95.09,24938
2022-05-26,96.47,97.27,96.07,96.93,29419
2022-05-27,96.84,98.11,96.775,98.06,27438
2022-05-31,96.905,98.255,96.905,97.6,38938
2022-06-01,97.76,98.01,96.07,97.33,12544
2022-06-02,97.15,98.07,96.39,98.02,23729
2022-06-03,96.925,97.43,96.37,96.43,12258
2022-06-06,96.455,98.375,96.455,97.74,10054
2022-06-07,97.51,99.025,97.03,99.025,14408
2022-06-08,97.985,98.215,97.1,97.22,18054
2022-06-09,97.12,97.12,95.43,95.47,25446
2022-06-10,93.7,93.7,91.78,91.78,23010
2022-06-13,90.16,90.16,87.92,88.45,22155
2022-06-14,89.295,90.075,88.82,89.49,37262
2022-06-15,92.465,94.61,92.185,93.27,64335
2022-06-16,91.79,91.79,89.85,90.47,63466
2022-06-17,90.535,92.33,90.535,92.27,53350
2022-06-21,93.7,94.96,93.415,94.75,41448
2022-06-22,93.15,94.75,93.03,94.43,55085
2022-06-23,94.465,95.07,93.895,94.82,65168
2022-06-24,95.645,99.38,95.645,99.06,41808
2022-06-27,98.845,99.26,98.18,98.86,37404
2022-06-28,100.56,100.56,97.92,98.04,32682
2022-06-29,98.01,98.25,97.415,97.96,28413
2022-06-30,96.645,98.03,96.28,97.48,57581
2022-07-01,98.27,100.79,97.385,100.33,38850
2022-07-05,97.77,97.77,96.03,97.54,64780
2022-07-06,97.525,98.8,96.63,98.415,62097
2022-07-07,99.87,99.97,98.93,98.955,22224
2022-07-08,99.87,100.305,99.23,99.23,39707
2022-07-11,99.375,100.675,99.375,100.46,41855
2022-07-12,100.13,101.58,99.77,100.13,33626
2022-07-13,98.5,98.76,97.22,98.03,41536
2022-07-14,96.13,97.82,95.71,97.25,28971
2022-07-15,98.61,99.075,97.88,98.82,22701
2022-07-18,99.42,99.65,97.845,98.135,23028
2022-07-19,99.69,101.04,99.69,100.47,23175
2022-07-20,100.56,100.62,99.49,99.76,35826
2022-07-21,99.505,100.775,98.99,100.725,19774
2022-07-22,100.85,101.04,100.06,100.72,25059
2022-07-25,100.785,101.85,100.785,101.45,17287
2022-07-26,101.5,101.59,100.31,100.7,28196
2022-07-27,101.04,101.62,100.255,101.31,31234
2022-07-28,100.47,100.71,96.35,99.47,88409
2022-07-29,99.905,101.5,99.755,100.75,41757
2022-08-01,99.53,99.53,98.48,99.1,32276
2022-08-02,99.4,99.43,97.735,97.85,31715
2022-08-03,98.39,99.16,98.035,98.98,21496
2022-08-04,98.71,98.93,97.61,97.72,15904
2022-08-05,97.98,98.57,97.645,97.77,37519
2022-08-08,98.87,98.87,98.04,98.17,17454
2022-08-09,98.71,100.2,98.71,100.135,39573
2022-08-10,101.74,101.81,101.295,101.595,21080
2022-08-11,101.93,101.95,101.295,101.53,29355
2022-08-12,102.28,103.27,102.09,103.27,18788
2022-08-15,102.345,103.17,102.345,102.82,12554
2022-08-16,102.85,103.85,102.85,103.52,23949
2022-08-17,102.96,103.72,102.65,103.52,18670
2022-08-18,103.895,104.94,103.895,104.94,10283
2022-08-19,104.56,104.56,103.355,103.97,17654
2022-08-22,102.65,102.755,100.87,100.97,23234
2022-08-23,100.99,101.355,100.28,100.315,17503
2022-08-24,100.155,100.85,99.55,100.56,14043
2022-08-25,100.89,101.71,100.865,101.13,9686
2022-08-26,101.2,101.2,98.78,98.81,15244
2022-08-29,98.0,98.43,97.29,97.96,18442
2022-08-30,97.6,98.14,97.31,97.89,14243
2022-08-31,98.2,98.21,97.065,97.24,21107
2022-09-01,96.73,97.445,96.28,97.445,25291
2022-09-02,97.63,99.14,96.42,96.72,16651
2022-09-06,98.15,98.4,97.07,97.52,18220
2022-09-07,97.56,99.885,97.56,99.8,16574
2022-09-08,99.77,101.955,99.59,100.92,39267
2022-09-09,101.6,103.525,101.46,102.77,30605
2022-09-12,102.94,103.75,102.84,103.48,18643
2022-09-13,101.925,102.97,101.845,102.06,25068
2022-09-14,101.915,102.445,100.32,101.14,24572
2022-09-15,100.81,102.465,100.81,101.83,36599
2022-09-16,101.24,102.615,100.81,102.29,45169
2022-09-19,102.07,103.42,101.685,103.415,24945
2022-09-20,103.095,103.88,102.75,103.675,44158
2022-09-21,104.485,105.17,103.49,103.735,63016
2022-09-22,103.815,104.21,102.21,102.73,31142
2022-09-23,101.23,101.56,98.45,99.99,31168
2022-09-26,99.515,100.0,98.37,99.025,22959
2022-09-27,99.68,100.13,97.93,98.45,29543
2022-09-28,98.655,101.5,98.41,100.9,27218
2022-09-29,100.01,100.79,99.64,100.25,25191
2022-09-30,100.45,101.8,99.6,99.66,21567
2022-10-03,100.735,102.49,99.83,102.03,32328
2022-10-04,103.39,106.86,103.24,106.63,18358
2022-10-05,106.43,106.95,106.06,106.48,14035
2022-10-06,106.245,106.99,106.08,106.69,16189
2022-10-07,106.25,106.25,104.95,105.98,14268
2022-10-10,106.55,107.37,106.21,107.25,23425
2022-10-11,107.205,108.395,106.24,106.71,17797
2022-10-12,106.27,108.4,106.27,106.82,37349
2022-10-13,105.135,110.96,105.125,110.295,21442
2022-10-14,111.11,111.83,108.45,108.96,56732
2022-10-17,111.105,111.105,110.03,110.66,22410
2022-10-18,112.475,113.46,112.055,113.36,62475
2022-10-19,113.81,113.99,112.5,112.57,36311
2022-10-20,112.5,112.54,109.54,109.81,18964
2022-10-21,110.51,113.57,110.51,113.485,30818
2022-10-24,114.69,115.32,114.04,115.28,32831
2022-10-25,114.555,115.52,114.555,114.63,30860
2022-10-26,115.7,115.7,114.135,114.59,26866
2022-10-27,115.18,116.46,111.595,111.94,58245
2022-10-28,112.37,113.965,111.495,113.615,88930
2022-10-31,113.405,115.81,113.405,115.54,34648
2022-11-01,115.935,115.94,113.3,114.18,51462
2022-11-02,114.415,114.87,112.22,112.28,74993
2022-11-03,110.84,112.79,110.08,112.33,28222
