date,open,high,low,close,volume
2021-07-21,367.93,374.77,367.93,373.62,76083
2021-07-22,373.31,373.55,368.64,372.7,55798
2021-07-23,375.09,377.53,371.665,374.14,61752
2021-07-26,373.53,376.33,373.12,375.89,66371
2021-07-27,372.76,375.14,369.61,374.66,103740
2021-07-28,374.82,376.99,372.58,374.31,99522
2021-07-29,378.13,379.28,375.04,377.405,50531
2021-07-30,376.42,379.5,373.12,375.07,59263
2021-08-02,376.12,386.63,375.955,378.07,121702
2021-08-03,379.86,381.21,372.02,380.2,58087
2021-08-04,377.99,382.38,375.81,378.03,50904
2021-08-05,380.97,384.24,380.97,384.15,72926
2021-08-06,389.13,398.8,388.875,397.94,154884
2021-08-09,396.16,404.53,393.72,399.88,119273
2021-08-10,400.13,410.38,399.87,407.91,150598
2021-08-11,408.755,414.535,407.345,413.96,118702
2021-08-12,414.165,418.32,410.75,415.15,85816
2021-08-13,415.0,415.0,408.35,410.77,55737
2021-08-16,407.76,408.4,402.215,408.36,50795
2021-08-17,403.1,407.88,400.37,404.995,66290
2021-08-18,402.52,405.99,398.61,398.74,62248
2021-08-19,393.785,397.69,391.49,393.71,104530
2021-08-20,391.49,396.395,391.29,396.14,66924
2021-08-23,401.53,404.09,399.21,401.49,67727
2021-08-24,403.93,409.66,403.59,408.5,127197
2021-08-25,410.105,416.61,409.31,413.19,90529
2021-08-26,415.8,420.59,411.27,412.28,99671
2021-08-27,412.81,419.8,412.81,419.58,86027
2021-08-30,420.58,420.58,412.86,413.57,56475
2021-08-31,412.98,414.84,409.265,413.5,87948
2021-09-01,413.64,416.04,410.53,413.64,137801
2021-09-02,414.415,417.49,412.78,414.48,55042
2021-09-03,413.9,414.82,410.8,411.31,41311
2021-09-07,411.43,414.57,409.8,410.26,76017
2021-09-08,409.25,410.7,404.75,405.0,84305
2021-09-09,404.78,408.74,404.315,404.36,102672
2021-09-10,408.085,409.43,403.18,403.55,84867
2021-09-13,406.68,409.32,403.875,409.32,88478
2021-09-14,409.85,416.82,402.85,403.93,145662
2021-09-15,397.85,403.53,396.26,402.0,148829
2021-09-16,404.11,405.75,394.93,396.64,102568
2021-09-17,396.97,398.81,388.87,391.39,160650
2021-09-20,377.88,380.79,372.5,377.7,144015
2021-09-21,381.21,381.21,374.38,375.83,104230
2021-09-22,380.88,389.24,380.67,385.39,134019
2021-09-23,390.01,393.73,388.495,391.8,124824
2021-09-24,390.14,392.48,388.82,390.77,89353
2021-09-27,395.72,400.97,395.28,399.64,145919
2021-09-28,400.09,404.2,388.475,389.55,118267
2021-09-29,391.64,391.87,384.52,384.855,85814
2021-09-30,387.535,387.535,376.74,377.91,110564
2021-10-01,379.1,382.64,376.11,379.97,128497
2021-10-04,382.0,386.6,372.83,374.14,140809
2021-10-05,377.53,388.17,376.16,385.86,107421
2021-10-06,382.02,389.51,378.99,387.97,93447
2021-10-07,394.29,397.7,389.83,390.67,77756
2021-10-08,390.82,394.23,388.5,392.79,65485
2021-10-11,393.61,396.75,385.095,385.3,75662
2021-10-12,385.53,388.51,381.24,386.69,115803
2021-10-13,387.56,388.35,378.94,386.37,82760
2021-10-14,391.61,393.17,382.27,391.0,99178
2021-10-15,402.31,407.21,396.99,406.37,209641
2021-10-18,407.9,415.9,407.81,413.61,110441
2021-10-19,413.55,415.85,409.89,412.07,78057
2021-10-20,410.72,414.33,406.275,407.99,78156
2021-10-21,406.25,412.53,404.75,407.32,78125
2021-10-22,409.77,415.29,409.1,414.39,69610
2021-10-26,416.31,419.71,414.33,417.59,63862
2021-10-27,415.06,417.97,410.55,410.99,78716
2021-10-28,412.25,414.9,409.2,414.65,46834
2021-10-29,414.225,415.76,411.405,413.42,56117
2021-11-01,417.31,418.73,413.31,416.8,57707
2021-11-02,415.95,426.09,412.79,423.77,103881
2021-11-03,422.95,423.22,412.59,417.61,102382
2021-11-04,415.53,415.53,403.11,407.99,165095
2021-11-05,411.25,414.37,406.15,407.12,64450
2021-11-08,409.27,413.41,407.96,408.29,49711
2021-11-09,406.45,407.395,400.12,405.36,104127
2021-11-10,402.61,405.39,397.34,399.17,89680
2021-11-11,400.42,403.66,398.875,402.355,47887
2021-11-12,401.68,405.09,399.27,405.09,50120
2021-11-15,406.01,407.1,404.28,404.73,43341
2021-11-16,404.33,405.52,399.23,403.2,50728
2021-11-17,402.31,402.31,391.48,391.48,164227
2021-11-18,391.92,393.515,385.78,391.24,94005
2021-11-19,382.24,390.24,381.29,387.495,135356
2021-11-22,393.29,402.42,390.195,396.04,130381
2021-11-23,401.21,406.95,398.43,406.34,80918
2021-11-24,404.08,407.34,398.42,399.3,81494
2021-11-26,385.17,391.69,382.84,389.77,93457
2021-11-29,393.14,396.13,382.45,386.51,95126
2021-11-30,382.935,386.66,377.33,381.0,158466
2021-12-01,385.0,389.97,376.52,376.52,98200
2021-12-02,378.475,388.95,376.53,387.44,95962
2021-12-03,389.35,389.35,379.24,382.6,94716
2021-12-06,387.985,393.485,383.85,389.44,79699
2021-12-07,393.655,401.61,393.655,400.23,99244
2021-12-08,401.33,401.7,395.485,397.03,50308
2021-12-09,394.93,399.7,393.565,396.465,67874
2021-12-10,398.18,398.71,388.69,391.08,64836
2021-12-13,390.71,390.71,382.93,384.62,108639
