date,open,high,low,close,volume
2021-07-21,464.13,464.13,456.38,457.72,11141
2021-07-22,455.665,457.15,454.39,454.55,5906
2021-07-23,455.06,459.225,454.89,458.69,9202
2021-07-26,456.15,458.025,453.4,455.9,9755
2021-07-27,454.59,456.9,453.11,456.28,9722
2021-07-28,456.965,456.965,448.68,454.29,11866
2021-07-29,456.06,461.65,455.8,461.45,24970
2021-07-30,443.41,453.21,442.5,444.21,42931
2021-08-02,438.84,444.05,438.84,440.19,27855
2021-08-03,444.24,447.09,439.63,444.78,24849
2021-08-04,443.685,444.32,437.59,439.515,27984
2021-08-05,442.38,444.21,438.04,439.36,54596
2021-08-06,440.3,440.3,435.45,438.65,14284
2021-08-09,436.36,438.25,435.66,437.18,8611
2021-08-10,439.87,444.95,439.87,442.35,11267
2021-08-11,444.045,446.485,441.72,444.49,18590
2021-08-12,446.405,446.405,437.96,437.96,17427
2021-08-13,439.015,440.41,437.81,438.205,8468
2021-08-16,436.335,442.845,436.01,439.83,11178
2021-08-17,437.455,438.245,432.98,436.61,14271
2021-08-18,434.09,436.8,428.07,428.07,19108
2021-08-19,428.215,432.37,425.12,429.46,12910
2021-08-20,433.74,435.29,430.93,431.09,19324
2021-08-23,433.78,435.87,432.165,432.42,16096
2021-08-24,434.06,435.725,431.1,431.1,14011
2021-08-25,432.05,436.59,432.05,435.9,10431
2021-08-26,432.53,433.395,428.37,428.74,19138
2021-08-27,431.49,433.11,430.97,432.39,6510
2021-08-30,433.335,438.395,433.335,434.88,15195
2021-08-31,432.99,436.95,432.03,434.355,13838
2021-09-01,432.24,432.305,425.05,429.7,28631
2021-09-02,431.77,435.97,431.04,435.7,32186
2021-09-03,431.505,433.615,429.035,429.365,16774
2021-09-07,426.665,426.7,421.68,421.8,27588
2021-09-08,420.56,421.305,414.31,418.37,32415
2021-09-09,418.37,420.735,415.66,417.23,17351
2021-09-10,418.75,418.75,414.84,415.05,13510
2021-09-13,417.785,417.785,408.09,413.3,21163
2021-09-14,412.075,412.345,407.95,409.74,42883
2021-09-15,407.91,414.63,407.91,412.22,25563
2021-09-16,410.9,412.46,408.9,409.22,12601
2021-09-17,407.085,407.085,402.09,402.635,13519
2021-09-20,396.18,404.8,396.18,404.61,15591
2021-09-21,404.59,406.49,401.17,401.55,13007
2021-09-22,402.36,404.545,401.52,402.19,5972
2021-09-23,405.145,406.36,402.99,403.42,9155
2021-09-24,405.83,406.56,404.9,406.01,6136
2021-09-27,407.17,413.105,407.17,408.36,14294
2021-09-28,408.84,409.28,402.55,402.62,16371
2021-09-29,404.95,406.81,401.58,401.78,7184
2021-09-30,402.5,404.735,393.38,393.38,12675
2021-10-01,392.33,401.38,391.285,398.28,9630
2021-10-04,401.0,401.0,393.855,397.35,13554
2021-10-05,400.11,405.47,397.93,402.81,11543
2021-10-06,400.165,409.84,399.24,409.84,15018
2021-10-07,419.71,422.55,415.64,416.655,25363
2021-10-08,414.685,418.895,414.3,417.69,11391
2021-10-11,419.19,420.17,413.815,413.87,6076
2021-10-12,415.74,426.77,415.63,420.64,13987
2021-10-13,422.05,423.01,417.99,421.62,11964
2021-10-14,423.595,428.065,422.8,428.01,11549
2021-10-15,431.0,431.0,428.87,429.09,11942
2021-10-18,428.73,432.045,428.61,430.99,7272
2021-10-19,432.99,437.75,431.8,436.5,11238
2021-10-20,437.415,438.23,436.18,437.22,4214
2021-10-21,436.1,438.21,435.015,437.425,3122
2021-10-22,440.96,440.96,436.95,437.2,4291
2021-10-26,434.37,435.5,430.57,430.835,9111
2021-10-27,430.07,431.725,422.255,424.45,17036
2021-10-28,427.21,431.525,427.08,430.56,18000
2021-10-29,450.0,465.95,445.0,463.59,49122
2021-11-01,464.25,468.805,462.06,468.11,13503
2021-11-02,468.945,474.75,468.945,471.02,18053
2021-11-03,470.29,476.64,469.17,474.66,21566
2021-11-04,475.09,483.43,475.07,479.88,17918
2021-11-05,482.31,483.51,472.435,472.955,13027
2021-11-08,471.485,474.95,470.46,474.95,6279
2021-11-09,475.315,482.84,475.315,482.84,5330
2021-11-10,481.86,482.92,477.91,481.22,4584
2021-11-11,479.39,484.55,479.39,484.015,9638
2021-11-12,486.52,490.63,486.52,489.62,2942
2021-11-15,490.41,490.41,484.75,484.87,7526
2021-11-16,489.075,493.93,489.075,489.58,5467
2021-11-17,486.03,487.22,483.345,486.6,6490
2021-11-18,487.29,487.29,481.99,482.12,8665
2021-11-19,482.19,484.83,481.57,482.89,15074
2021-11-22,483.19,495.52,483.19,492.6,25420
2021-11-23,493.48,498.42,490.525,498.1,16601
2021-11-24,496.69,500.77,496.355,498.6,13371
2021-11-26,491.775,495.59,489.0,489.71,9025
2021-11-29,492.05,497.87,489.315,496.185,11119
2021-11-30,491.54,491.54,481.19,481.22,16316
2021-12-01,485.31,488.27,477.73,477.73,28842
2021-12-02,478.29,491.05,478.29,487.11,7689
2021-12-03,488.86,491.94,483.81,491.94,16977
2021-12-06,498.945,501.96,493.52,499.97,12144
2021-12-07,502.26,510.185,502.26,508.08,17783
2021-12-08,506.46,507.505,500.975,505.55,9260
2021-12-09,504.46,505.1,503.19,503.49,7338
2021-12-10,505.4,514.43,504.74,513.46,14549
2021-12-13,510.285,510.285,505.05,506.93,15629
2021-12-14,505.08,508.43,503.34,506.94,9007
2021-12-15,507.22,514.77,507.22,513.98,10780
2021-12-16,516.35,516.35,504.905,508.36,11448
2021-12-17,506.815,509.2,491.08,493.12,9095
2021-12-20,487.65,490.56,480.65,489.59,19783
2021-12-21,492.825,497.43,490.94,497.38,13234
2021-12-22,497.205,500.72,497.205,499.95,9182
2021-12-23,505.9,508.04,502.96,502.96,9254
2021-12-27,506.59,516.16,506.59,516.14,9202
2021-12-28,518.19,521.15,516.655,520.95,13926
2021-12-29,522.72,526.79,522.72,526.24,7510
2021-12-30,525.21,525.21,516.64,516.68,9074
2021-12-31,518.1,519.87,515.23,518.51,6890
2022-01-03,513.62,513.62,506.45,509.82,8494
2022-01-04,511.73,522.86,511.73,521.08,13769
2022-01-05,519.93,523.34,508.81,508.81,18281
2022-01-06,508.97,514.24,506.39,509.47,17948
2022-01-07,507.6,510.69,506.13,506.3,10877
2022-01-10,501.22,501.32,495.61,498.81,10053
2022-01-11,491.88,506.27,491.26,506.13,8407
