date,open,high,low,close,volume
2021-07-21,13.87,14.18,13.87,14.04,179984
2021-07-22,13.9,14.04,13.685,13.745,149089
2021-07-23,13.935,14.05,13.765,13.805,120915
2021-07-26,13.82,14.07,13.815,13.925,124078
2021-07-27,13.75,13.99,13.615,13.92,184809
2021-07-28,14.035,14.13,13.785,14.0,211320
2021-07-29,14.145,14.485,14.005,14.36,533860
2021-07-30,14.35,14.35,13.945,14.075,472629
2021-08-02,14.16,14.47,14.0,14.0,695508
2021-08-03,14.145,14.505,13.805,14.46,483261
2021-08-04,14.265,14.475,14.15,14.255,301322
2021-08-05,14.47,14.545,14.295,14.43,707828
2021-08-06,14.58,14.9,14.58,14.735,213157
2021-08-09,14.665,14.835,14.48,14.65,283517
2021-08-10,14.58,14.895,14.535,14.865,362357
2021-08-11,14.93,15.25,14.8,15.245,348878
2021-08-12,15.215,15.355,15.085,15.325,573489
2021-08-13,15.34,15.38,15.115,15.155,205469
2021-08-16,15.0,15.085,14.84,14.95,305865
2021-08-17,14.83,14.955,14.57,14.81,255010
2021-08-18,14.75,15.005,14.655,14.7,589356
2021-08-19,14.61,14.725,14.445,14.615,396711
2021-08-20,14.545,14.79,14.53,14.755,242512
2021-08-23,14.86,15.085,14.86,15.035,383954
2021-08-24,15.03,15.34,15.03,15.295,430618
2021-08-25,15.455,15.785,15.32,15.655,251201
2021-08-26,15.66,15.715,15.345,15.395,505358
2021-08-27,15.44,15.695,15.42,15.65,237452
2021-08-30,15.66,15.69,15.36,15.36,252126
2021-08-31,15.43,15.605,15.335,15.535,211962
2021-09-01,15.555,15.585,15.24,15.315,325060
2021-09-02,15.28,15.495,15.255,15.36,406786
2021-09-03,15.4,15.405,15.155,15.25,364497
2021-09-07,15.33,15.56,15.285,15.305,167061
2021-09-08,15.3,15.385,15.145,15.25,153490
2021-09-09,15.215,15.535,15.17,15.34,241174
2021-09-10,15.43,15.455,15.245,15.335,283110
2021-09-13,15.58,15.675,15.285,15.435,456231
2021-09-14,15.42,15.485,14.935,15.035,409922
2021-09-15,15.055,15.355,15.05,15.17,343167
