date,open,high,low,close,volume
2021-07-21,122.1,125.28,122.1,124.9,85778
2021-07-22,124.48,124.55,122.33,123.16,67268
2021-07-23,124.155,125.56,123.64,125.24,122501
2021-07-26,124.73,127.25,123.515,126.65,129842
2021-07-27,124.915,128.53,124.915,128.52,108113
2021-07-28,129.375,129.83,126.64,129.61,127665
2021-07-29,129.09,136.78,127.795,134.53,229992
2021-07-30,133.26,133.7,131.04,131.4,153563
2021-08-02,131.975,132.84,127.11,127.87,103988
2021-08-03,128.0,128.0,123.53,126.08,166108
2021-08-04,124.215,125.74,123.13,124.555,134846
2021-08-05,126.065,127.245,125.32,126.34,70920
2021-08-06,127.03,127.33,125.64,126.65,87449
2021-08-09,125.185,125.26,122.86,124.58,74694
2021-08-10,124.78,127.23,124.32,126.45,63483
2021-08-11,124.73,126.18,124.155,125.01,132756
2021-08-12,124.205,124.74,122.6,123.325,63336
2021-08-13,123.43,123.43,121.34,122.26,103361
2021-08-16,120.975,122.48,120.41,121.47,108896
2021-08-17,120.365,120.715,119.39,119.98,79675
2021-08-18,119.23,120.42,118.16,118.99,167677
2021-08-19,118.43,119.38,117.59,119.185,167993
2021-08-20,118.38,122.33,118.38,121.81,127161
2021-08-23,122.725,123.7,122.02,123.06,72459
2021-08-24,124.5,127.94,124.42,126.87,97944
2021-08-25,126.9,127.85,125.55,127.44,57282
2021-08-26,126.16,126.52,124.59,125.635,80006
2021-08-27,125.91,127.95,125.91,127.59,69024
2021-08-30,126.86,126.86,125.24,125.76,64460
2021-08-31,126.04,126.1,124.05,124.87,133605
2021-09-01,125.595,125.8,124.31,125.3,113591
2021-09-02,124.745,125.525,123.82,124.4,158080
2021-09-03,123.845,124.075,120.85,123.06,102835
2021-09-07,122.445,123.94,121.96,123.39,102479
2021-09-08,123.515,124.13,121.46,122.72,95253
2021-09-09,122.52,126.95,122.52,125.84,87482
2021-09-10,126.6,128.85,125.54,127.38,96312
2021-09-13,128.2,130.23,126.93,130.19,76568
2021-09-14,130.03,132.11,129.52,131.82,92014
2021-09-15,130.38,131.85,128.9,131.36,94168
2021-09-16,130.845,132.51,130.845,131.98,50214
2021-09-17,133.01,133.34,130.89,131.15,62997
2021-09-20,128.92,130.15,126.98,128.985,109459
2021-09-21,130.075,130.78,127.75,127.88,49838
2021-09-22,128.91,130.04,128.3,129.16,66301
2021-09-23,129.88,135.09,129.88,134.5,138171
2021-09-24,134.65,136.24,133.985,135.51,99327
2021-09-27,136.47,139.335,136.47,138.86,156833
2021-09-28,138.23,140.21,136.15,136.65,133031
2021-09-29,136.825,136.825,133.62,135.16,103810
2021-09-30,134.965,134.965,131.78,132.1,114698
2021-10-01,134.75,138.53,134.75,138.14,245206
2021-10-04,138.18,141.44,136.95,138.475,274272
2021-10-05,138.68,140.8,137.945,139.77,98901
2021-10-06,137.95,139.58,135.75,139.34,85571
2021-10-07,140.51,143.25,140.21,141.13,80505
2021-10-08,141.42,142.43,140.97,141.55,123463
2021-10-11,141.855,143.745,141.29,142.94,102958
2021-10-12,143.46,145.08,143.07,144.65,127725
2021-10-13,145.25,145.25,140.71,140.8,192806
2021-10-14,142.095,142.405,141.28,141.58,75177
2021-10-15,143.9,145.41,143.71,144.51,152709
2021-10-18,143.71,144.71,142.87,143.98,125647
2021-10-19,144.91,144.91,140.81,140.82,95916
2021-10-20,140.7,141.825,139.5,140.16,118113
2021-10-21,140.14,141.6,139.825,141.49,72641
2021-10-22,140.72,142.72,140.72,141.635,48529
2021-10-26,144.1,145.195,143.505,144.42,138779
2021-10-27,140.9,149.005,140.9,147.21,292738
2021-10-28,148.19,148.42,145.61,146.0,128901
2021-10-29,145.71,146.445,142.86,144.0,98848
2021-11-01,144.33,145.46,143.32,144.795,104945
2021-11-02,144.87,144.87,140.64,141.39,114936
2021-11-03,140.845,146.805,139.89,145.27,156237
2021-11-04,146.06,148.06,146.05,147.4,66714
2021-11-05,151.615,153.685,148.77,151.85,158965
2021-11-08,152.12,154.4,150.615,151.16,79795
2021-11-09,150.76,151.485,146.79,148.49,80875
2021-11-10,147.73,149.18,145.34,146.54,56076
2021-11-11,146.45,147.04,143.42,143.54,84396
2021-11-12,143.79,145.43,142.88,143.55,86577
2021-11-15,143.875,144.2,142.42,142.83,29889
2021-11-16,143.47,144.27,140.315,141.73,127647
2021-11-17,140.99,144.73,139.95,144.53,206040
2021-11-18,145.29,145.75,142.64,143.59,47225
2021-11-19,141.13,145.05,137.27,144.39,189841
2021-11-22,145.06,145.6,141.92,143.94,120914
2021-11-23,145.135,146.69,144.595,145.71,69657
2021-11-24,144.33,146.27,143.0,145.25,49264
2021-11-26,135.47,136.46,132.415,136.26,321322
2021-11-29,138.335,140.4,137.955,138.18,167649
2021-11-30,135.92,137.43,134.09,135.08,140446
2021-12-01,137.735,138.53,129.92,130.07,144205
2021-12-02,131.26,140.56,131.26,139.69,142886
2021-12-03,138.35,140.29,135.65,138.855,204075
2021-12-06,141.24,145.99,141.24,144.34,177451
2021-12-07,146.75,148.7,142.16,143.16,149435
2021-12-08,144.47,145.41,142.05,144.37,99644
2021-12-09,142.74,144.98,142.585,144.315,41891
2021-12-10,145.04,146.62,142.645,146.16,87164
2021-12-13,144.29,144.29,140.94,142.41,66098
2021-12-14,142.04,145.16,141.425,141.96,150155
2021-12-15,142.36,142.36,138.02,140.28,118082
2021-12-16,141.37,142.135,139.0,139.06,106090
2021-12-17,138.25,141.71,137.78,140.97,117650
2021-12-20,138.5,141.085,137.59,140.33,123361
2021-12-21,142.325,148.6,142.325,148.6,172980
2021-12-22,148.475,153.44,148.475,152.56,98541
2021-12-23,154.0,155.2,152.605,154.7,58273
2021-12-27,153.75,155.4,152.42,155.265,70546
2021-12-28,154.98,156.01,154.075,154.95,57060
2021-12-29,154.16,155.77,154.15,155.37,37738
2021-12-30,155.99,156.54,154.57,154.91,74537
2021-12-31,154.765,156.87,154.58,156.0,45114
2022-01-03,156.3,157.0,152.82,154.48,99839
2022-01-04,156.8,159.11,155.99,155.99,97094
2022-01-05,156.04,156.26,151.835,151.835,80484
2022-01-06,152.94,153.555,151.17,152.04,133269
2022-01-07,153.06,154.885,152.0,152.0,92111
2022-01-10,151.55,152.04,146.16,148.555,151126
2022-01-11,149.1,153.5,147.8,152.445,135260
2022-01-12,153.43,154.035,149.75,149.925,88899
2022-01-13,150.62,152.06,149.21,149.78,132312
2022-01-14,149.37,149.375,146.51,147.99,173320
2022-01-18,146.34,146.34,143.94,144.55,388038
2022-01-19,145.49,145.49,141.94,142.24,422667
2022-01-20,144.04,146.7,141.84,142.24,117495
2022-01-21,141.905,145.15,141.31,142.38,247988
2022-01-24,138.87,140.565,134.695,140.48,388819
2022-01-25,138.03,143.46,134.67,142.335,247266
2022-01-26,143.73,148.57,143.3,144.83,163654
2022-01-27,145.835,146.95,136.89,137.31,297559
2022-01-28,138.66,143.53,136.73,143.43,150439
2022-01-31,142.52,145.41,141.47,145.13,115413
2022-02-01,145.52,146.22,143.68,145.71,207605
2022-02-02,145.675,145.86,142.78,144.57,109136
2022-02-03,144.08,145.82,142.75,144.17,191495
2022-02-04,143.49,147.035,142.5,145.5,84508
2022-02-07,147.47,149.43,146.49,148.62,97186
2022-02-08,149.57,153.7,148.68,153.385,235304
2022-02-09,154.99,157.455,152.92,153.15,172278
2022-02-10,151.84,156.37,151.21,154.155,269478
2022-02-11,155.145,155.725,149.3,149.46,183361
2022-02-14,150.69,154.43,149.85,151.46,282642
2022-02-15,154.73,159.005,154.73,158.03,328861
2022-02-16,157.475,160.83,155.015,156.36,354953
