date,open,high,low,close,volume
2026-06-16,276.75,276.75,276.75,276.75,784
2026-06-17,280.5,280.5,270.17,270.17,1290
2026-06-18,270.17,270.17,270.17,270.17,0
2026-06-22,272.5,272.5,270.0,270.0,1508
2026-06-23,270.0,270.0,270.0,270.0,0
2026-06-24,253.74,253.74,253.5,253.5,1282
2026-06-25,238.005,238.005,226.475,226.475,1823
2026-06-26,219.295,236.505,206.8,220.59,66171
2026-06-29,231.205,237.0,212.85,223.43,442310
2026-06-30,223.34,227.61,214.51,220.51,334980
2026-07-01,214.245,231.405,213.295,226.77,337326
2026-07-02,230.395,248.565,221.51,247.15,231752
2026-07-06,250.25,266.14,236.865,237.82,338590
2026-07-07,242.585,246.0,233.99,238.24,307068
2026-07-08,231.425,235.58,223.115,224.54,207415
2026-07-09,225.12,229.515,217.43,223.22,168556
2026-07-10,222.78,228.51,218.99,220.455,115122
2026-07-13,219.51,221.58,210.46,213.01,115842
2026-07-14,214.035,214.955,205.56,207.55,155790
2026-07-15,204.075,215.4,204.075,212.585,135672
2026-07-16,210.89,215.775,204.265,208.48,133300
2026-07-17,207.63,217.415,205.51,212.19,160103
2026-07-20,209.35,209.35,199.9,199.99,126420
