date,open,high,low,close,volume
2021-07-21,14.07,14.25,13.965,14.23,322115
2021-07-22,14.21,14.21,13.925,14.03,227005
2021-07-23,14.09,14.155,14.025,14.09,94505
2021-07-26,14.35,14.67,14.35,14.42,289469
2021-07-27,14.175,14.4,14.07,14.34,156915
2021-07-28,14.48,14.54,14.205,14.47,151451
2021-07-29,14.61,14.66,14.47,14.555,182172
2021-07-30,14.45,14.57,14.4,14.485,153960
2021-08-02,14.58,14.865,14.485,14.485,377314
2021-08-03,14.56,14.87,14.33,14.85,106921
2021-08-04,14.77,14.81,14.545,14.65,273440
2021-08-05,14.75,14.82,14.65,14.68,147056
2021-08-06,14.83,14.98,14.775,14.88,89700
2021-08-09,14.85,14.86,14.66,14.725,136164
2021-08-10,14.69,14.82,14.63,14.82,328376
2021-08-11,14.89,15.28,14.77,15.18,154957
2021-08-12,15.21,15.22,15.04,15.2,148489
2021-08-13,15.12,15.13,14.96,14.98,150115
2021-08-16,14.92,15.03,14.675,15.0,514390
2021-08-17,14.89,14.95,14.66,14.935,208931
2021-08-18,14.86,14.955,14.7,14.71,491577
2021-08-19,14.58,14.58,14.275,14.385,236166
2021-08-20,14.37,14.585,14.36,14.585,117978
2021-08-23,14.64,14.8,14.55,14.705,156522
2021-08-24,14.7,14.9,14.65,14.83,135695
2021-08-25,14.84,15.22,14.81,15.11,149811
2021-08-26,15.23,15.53,15.105,15.12,249014
2021-08-27,15.07,15.485,14.995,15.435,345064
2021-08-30,15.52,15.52,15.235,15.32,387963
2021-08-31,15.34,15.53,15.325,15.455,378009
2021-09-01,15.5,15.53,15.21,15.345,261920
2021-09-02,15.415,15.48,15.245,15.42,267180
2021-09-03,15.52,15.885,15.39,15.49,517485
2021-09-07,15.41,15.41,14.98,15.025,378177
2021-09-08,15.005,15.02,14.51,14.53,494168
2021-09-09,14.48,14.745,14.46,14.65,245913
2021-09-10,14.54,14.64,14.285,14.3,169108
2021-09-13,14.34,14.375,14.13,14.295,410851
2021-09-14,14.385,14.385,13.715,13.76,466130
2021-09-15,13.78,13.865,13.65,13.745,612990
2021-09-16,13.76,13.85,13.645,13.67,236581
2021-09-17,13.535,13.6,13.365,13.55,702105
2021-09-20,13.26,13.4,13.08,13.26,387609
2021-09-21,13.37,13.39,13.0,13.01,196955
2021-09-22,13.14,13.285,13.14,13.14,257642
2021-09-23,13.22,13.6,13.22,13.44,247313
2021-09-24,13.36,13.57,13.36,13.41,130399
2021-09-27,13.42,14.185,13.42,14.0,445650
2021-09-28,14.02,14.33,14.02,14.18,258522
2021-09-29,14.17,14.24,14.0,14.09,334897
2021-09-30,14.27,14.71,14.25,14.25,852535
2021-10-01,14.35,14.7,14.33,14.63,378263
2021-10-04,14.62,15.045,14.615,14.855,680012
2021-10-05,14.91,15.15,14.785,15.035,543218
2021-10-06,14.8,14.915,14.455,14.71,771610
2021-10-07,14.865,14.93,14.75,14.78,229707
2021-10-08,14.9,15.055,14.77,14.82,361996
2021-10-11,14.9,15.08,14.82,14.86,256703
2021-10-12,14.81,14.86,14.65,14.7,189500
2021-10-13,14.69,14.82,14.52,14.72,164489
2021-10-14,14.79,15.055,14.775,15.04,144790
2021-10-15,15.16,15.285,15.14,15.145,264534
2021-10-18,15.04,15.33,15.005,15.125,182054
2021-10-19,15.23,15.44,15.095,15.37,253704
2021-10-20,15.35,15.65,15.31,15.48,234526
2021-10-21,15.37,15.64,15.29,15.5,252826
2021-10-22,15.495,15.675,15.36,15.36,335261
2021-10-26,15.45,15.45,14.755,14.89,432036
2021-10-27,14.825,14.825,14.475,14.585,371447
2021-10-28,14.61,14.895,14.48,14.765,393515
2021-10-29,14.78,15.085,14.64,14.645,500798
2021-11-01,14.74,15.01,14.695,14.975,221451
2021-11-02,14.97,15.255,14.96,15.245,226499
2021-11-03,15.14,15.445,15.13,15.275,180499
2021-11-04,15.24,15.36,15.14,15.27,260910
2021-11-05,15.38,15.52,15.345,15.46,340290
2021-11-08,15.55,15.64,15.41,15.435,236344
2021-11-09,15.415,15.585,15.375,15.53,114799
2021-11-10,15.51,15.905,15.51,15.71,209496
2021-11-11,15.79,15.95,15.745,15.935,170249
2021-11-12,15.275,15.35,14.58,14.63,439383
2021-11-15,14.71,14.76,14.42,14.71,239126
2021-11-16,14.725,14.815,14.545,14.585,279297
2021-11-17,14.57,14.7,14.445,14.56,177955
2021-11-18,14.54,14.645,14.31,14.625,280600
2021-11-19,14.52,14.585,14.34,14.39,234025
2021-11-22,14.46,14.975,14.455,14.76,171859
2021-11-23,14.79,14.835,14.635,14.8,253699
2021-11-24,14.825,15.04,14.815,14.87,288300
2021-11-26,14.45,14.535,14.24,14.43,161433
2021-11-29,14.58,14.705,14.35,14.59,288055
2021-11-30,14.57,14.6,14.11,14.37,576532
2021-12-01,14.06,14.56,13.88,14.21,764707
2021-12-02,14.32,15.11,14.24,14.99,401862
2021-12-03,15.15,15.64,14.9,15.18,642136
2021-12-06,15.43,15.52,15.105,15.115,303593
2021-12-07,15.29,15.605,15.1,15.475,591855
2021-12-08,15.54,15.795,15.475,15.57,631093
2021-12-09,15.4,15.515,15.3,15.38,264592
2021-12-10,15.56,15.58,15.125,15.215,321884
2021-12-13,15.16,15.22,14.615,14.8,233003
2021-12-14,14.56,14.94,14.55,14.57,302180
2021-12-15,14.69,14.815,14.5,14.79,530753
2021-12-16,14.87,15.185,14.82,14.94,682022
2021-12-17,14.94,15.15,14.805,15.075,628409
2021-12-20,14.91,14.94,14.6,14.84,430091
2021-12-21,15.03,15.42,15.03,15.42,230771
2021-12-22,15.36,15.56,15.295,15.56,150137
2021-12-23,15.63,15.875,15.6,15.76,156715
2021-12-27,15.71,15.965,15.71,15.92,97106
2021-12-28,15.89,16.03,15.88,15.97,104715
2021-12-29,16.005,16.21,16.005,16.06,123706
2021-12-30,16.05,16.17,15.87,15.89,115903
2021-12-31,15.91,16.0,15.75,15.76,124839
2022-01-03,15.9,16.235,15.89,16.15,326998
2022-01-04,16.4,16.945,16.38,16.83,868927
2022-01-05,16.85,17.345,16.85,16.91,219605
2022-01-06,17.07,17.14,16.785,16.97,414417
2022-01-07,17.015,17.235,16.995,17.13,345355
2022-01-10,17.22,17.32,16.74,17.0,350002
2022-01-11,17.08,17.085,16.81,17.05,561644
2022-01-12,17.11,17.26,16.965,17.15,208705
2022-01-13,17.22,17.59,17.07,17.49,385638
2022-01-14,17.36,17.595,17.17,17.56,330685
2022-01-18,17.51,17.59,17.205,17.32,255453
2022-01-19,17.29,17.365,16.72,16.74,592755
2022-01-20,16.85,17.025,16.51,16.66,735000
2022-01-21,16.65,16.65,16.115,16.13,316761
2022-01-24,15.79,16.125,15.46,16.11,546718
2022-01-25,15.85,15.985,15.4,15.89,588951
2022-01-26,16.07,16.145,15.625,15.87,484101
2022-01-27,16.06,16.315,15.62,15.8,463463
2022-01-28,15.76,16.14,15.69,16.13,497494
2022-01-31,16.06,16.39,15.89,16.33,494874
2022-02-01,16.38,16.855,16.3,16.81,413501
2022-02-02,16.8,17.07,16.775,17.05,339695
2022-02-03,17.0,17.15,16.84,16.85,231557
2022-02-04,16.74,17.005,16.64,16.84,166187
2022-02-07,16.92,17.045,16.79,16.92,184775
2022-02-08,17.1,17.145,16.925,17.095,194855
2022-02-09,17.21,17.315,17.105,17.3,238252
2022-02-10,17.18,17.755,17.18,17.345,239137
2022-02-11,17.37,17.575,17.085,17.2,227734
2022-02-14,17.255,17.28,16.725,16.86,264493
2022-02-15,16.97,17.465,16.97,17.37,228302
2022-02-16,17.32,17.715,17.32,17.635,230664
2022-02-17,17.5,17.54,17.195,17.23,202677
2022-02-18,17.23,17.505,17.165,17.33,165569
2022-02-22,17.19,17.41,16.765,16.95,366011
2022-02-23,17.04,17.09,16.55,16.61,293116
2022-02-24,16.11,16.28,15.76,16.265,360184
2022-02-25,16.15,16.15,15.465,16.01,778681
2022-02-28,15.77,15.98,15.585,15.91,686225
2022-03-01,15.96,16.045,15.265,15.4,533271
2022-03-02,16.15,17.18,16.15,16.98,852045
2022-03-03,16.98,16.995,16.6,16.735,530752
2022-03-04,16.44,16.45,16.1,16.43,256693
2022-03-07,16.39,16.39,15.735,15.76,262132
2022-03-09,16.38,16.565,16.3,16.37,333330
2022-03-10,16.06,16.37,16.0,16.35,439747
2022-03-11,16.495,16.685,16.39,16.55,406822
2022-03-14,16.62,16.795,16.165,16.31,477148
2022-03-15,16.265,16.655,16.205,16.54,630268
2022-03-16,16.67,16.845,16.48,16.77,467293
2022-03-17,16.55,16.79,16.28,16.73,402702
2022-03-18,16.67,17.095,16.45,17.03,446285
2022-03-21,17.2,17.3,16.86,17.05,235202
2022-03-22,17.18,17.295,16.99,17.14,663588
2022-03-23,17.07,17.195,16.96,16.96,287310
2022-03-24,17.065,17.15,16.93,17.065,603312
2022-03-25,17.13,17.57,17.12,17.54,344495
2022-03-28,17.44,17.44,17.115,17.38,255851
2022-03-29,17.58,17.615,17.38,17.56,145815
2022-03-30,17.45,17.615,17.205,17.28,116033
2022-03-31,17.04,17.155,16.705,16.71,389019
2022-04-01,16.87,16.87,16.065,16.28,302027
2022-04-04,16.27,16.375,15.98,16.32,512928
2022-04-05,16.2,16.315,15.75,15.8,198712
2022-04-06,15.72,15.74,15.47,15.57,248914
2022-04-07,15.95,16.085,15.61,16.0,539652
2022-04-08,16.08,16.29,15.86,16.11,291201
2022-04-11,16.02,16.215,15.8,15.82,157238
2022-04-12,15.47,15.84,15.325,15.405,357063
2022-04-13,15.465,15.545,15.325,15.48,449298
2022-04-14,15.5,15.62,15.345,15.38,251147
2022-04-18,15.43,15.75,15.41,15.72,314506
2022-04-19,15.91,16.165,15.83,16.11,325417
2022-04-20,16.3,16.66,16.3,16.52,348959
2022-04-21,16.57,16.735,16.275,16.32,465223
2022-04-22,16.2,16.2,15.73,15.74,234590
2022-04-25,15.595,15.625,15.245,15.6,252870
2022-04-26,15.4,15.6,15.255,15.27,203737
2022-04-27,15.28,15.475,15.05,15.37,312061
2022-04-28,15.585,15.815,15.54,15.71,477998
2022-04-29,15.65,15.925,15.39,15.43,583215
2022-05-02,15.43,15.54,15.0,15.38,244981
2022-05-03,15.5,15.67,15.355,15.47,342511
2022-05-04,15.52,16.105,15.52,16.09,380306
2022-05-05,15.95,16.13,15.755,15.96,650141
2022-05-06,15.9,15.93,15.575,15.7,391962
2022-05-09,15.51,15.99,15.505,15.85,438899
2022-05-10,16.03,16.43,15.885,16.23,461829
2022-05-11,16.23,16.42,15.56,15.58,326238
2022-05-12,15.59,15.675,15.285,15.64,381209
2022-05-13,15.78,16.025,15.685,15.95,248239
2022-05-16,15.875,16.07,15.76,15.98,241964
2022-05-17,16.27,16.795,16.24,16.76,455742
2022-05-18,16.55,16.62,15.65,15.76,311937
2022-05-19,15.385,15.385,14.585,15.05,826543
2022-05-20,14.67,14.74,13.54,14.15,869262
2022-05-23,14.23,14.57,14.175,14.5,335115
2022-05-24,14.37,14.615,14.015,14.57,413181
2022-05-25,14.43,15.04,14.43,14.92,569130
2022-05-26,14.95,15.17,14.885,15.09,356746
2022-05-27,15.67,15.97,15.575,15.79,346481
2022-05-31,15.7,15.83,15.41,15.6,418164
2022-06-01,15.83,16.02,15.59,15.79,373060
2022-06-02,14.77,15.01,14.24,14.96,734618
2022-06-03,14.78,15.175,14.78,15.08,248600
2022-06-06,15.23,15.42,15.095,15.22,260035
2022-06-07,15.09,15.385,14.87,15.35,261765
2022-06-08,15.22,15.26,14.97,14.97,156719
