date,open,high,low,close,volume
2021-07-21,28.395,28.635,28.11,28.51,446667
2021-07-22,28.58,28.64,27.72,27.785,273018
2021-07-23,27.97,28.4,27.93,28.2,201120
2021-07-26,28.43,28.8,28.38,28.48,164178
2021-07-27,28.12,28.395,27.86,28.39,235926
2021-07-28,28.51,28.665,28.17,28.475,127972
2021-07-29,28.7,28.97,28.63,28.78,169383
2021-07-30,28.53,28.97,28.445,28.865,156628
2021-08-02,29.035,29.47,28.92,29.14,648973
2021-08-03,29.29,29.645,29.115,29.525,300883
2021-08-04,29.285,29.57,29.06,29.06,152891
2021-08-05,29.3,29.36,29.03,29.255,104623
2021-08-06,29.29,29.68,29.25,29.32,189353
2021-08-09,29.38,29.54,29.22,29.315,323645
2021-08-10,29.395,29.935,29.365,29.73,311726
2021-08-11,29.645,30.38,29.6,30.105,244461
2021-08-12,30.115,30.475,30.03,30.395,154822
2021-08-13,30.06,30.06,28.985,29.015,305484
2021-08-16,28.92,29.53,28.645,29.455,254523
2021-08-17,29.28,29.28,28.43,28.69,306860
2021-08-18,28.2,28.785,28.13,28.205,214824
2021-08-19,27.925,28.115,27.55,27.795,263878
2021-08-20,27.835,28.345,27.835,28.21,159773
2021-08-23,28.43,28.66,28.24,28.545,218924
2021-08-24,28.63,28.985,28.515,28.895,176170
2021-08-25,28.93,29.72,28.87,29.39,340347
2021-08-26,29.58,29.61,28.965,29.075,256679
2021-08-27,27.89,29.095,27.52,28.91,896258
2021-08-30,29.16,30.215,29.0,29.735,280132
2021-08-31,29.79,30.35,29.665,29.73,343692
2021-09-01,29.63,29.795,29.15,29.225,312741
2021-09-02,29.385,29.73,29.29,29.605,212078
2021-09-03,29.48,30.025,29.45,29.855,177158
2021-09-07,29.53,29.535,28.65,28.65,398998
2021-09-08,28.55,28.58,28.03,28.2,233117
2021-09-09,28.13,28.52,27.89,28.205,298113
2021-09-10,28.35,28.58,27.98,27.99,201479
2021-09-13,28.32,28.465,28.12,28.375,175824
2021-09-14,28.37,28.37,27.49,27.56,132990
2021-09-15,27.56,28.075,27.4,27.94,285639
2021-09-16,27.92,28.18,27.85,28.035,167280
2021-09-17,27.88,27.945,27.485,27.68,187895
2021-09-20,27.07,27.295,26.805,27.23,238613
2021-09-21,27.48,27.48,26.77,26.84,319602
2021-09-22,27.26,27.77,27.195,27.595,265669
2021-09-23,27.75,28.215,27.71,27.97,186672
2021-09-24,27.985,28.185,27.885,27.89,119329
2021-09-27,27.87,28.96,27.85,28.725,223373
2021-09-28,28.6,29.525,28.52,28.57,508091
2021-09-29,27.785,27.98,27.18,27.31,413218
2021-09-30,27.57,28.045,27.205,27.35,251776
2021-10-01,27.565,28.25,27.355,28.1,199557
2021-10-04,27.96,28.535,27.96,28.09,417854
2021-10-05,28.175,28.495,27.955,28.295,179061
2021-10-06,27.84,28.13,27.4,27.75,354230
2021-10-07,27.98,28.375,27.92,28.045,231149
2021-10-08,28.15,28.34,27.81,27.9,377064
2021-10-11,28.04,28.1,27.595,27.68,238704
2021-10-12,27.68,27.75,26.46,26.56,602765
2021-10-13,26.5,26.635,26.12,26.465,329446
2021-10-14,26.77,27.61,26.7,27.49,195391
2021-10-15,27.62,28.61,27.62,28.27,558769
2021-10-18,28.155,28.915,28.155,28.6,353927
2021-10-19,28.72,29.06,28.645,28.87,249292
2021-10-20,28.955,29.29,28.51,28.6,257799
2021-10-21,29.38,30.8,29.37,30.57,853041
2021-10-22,30.51,30.99,30.35,30.48,580180
2021-10-26,30.74,30.74,29.985,30.135,560247
2021-10-27,30.17,30.3,29.655,29.69,672686
2021-10-28,29.945,30.54,29.855,30.465,209330
2021-10-29,30.28,30.64,30.105,30.32,412697
2021-11-01,30.445,31.25,30.36,31.25,298530
2021-11-02,31.28,31.62,30.78,31.02,268254
2021-11-03,30.9,31.37,30.755,31.25,102018
2021-11-04,31.415,31.65,31.11,31.33,206102
2021-11-05,31.63,32.035,31.525,31.95,311130
2021-11-08,31.9,32.25,31.525,31.59,215492
2021-11-09,31.58,32.095,31.535,31.77,123223
2021-11-10,31.67,32.13,31.395,31.51,282104
2021-11-11,31.61,32.06,31.595,31.67,102322
2021-11-12,31.63,31.915,31.43,31.82,233615
2021-11-15,31.81,32.0,31.225,31.35,200987
2021-11-16,31.35,31.67,31.21,31.21,118986
2021-11-17,31.09,31.295,30.845,30.92,277070
2021-11-18,31.06,31.465,30.645,31.425,338270
2021-11-19,31.41,31.79,31.22,31.455,322560
2021-11-22,31.6,32.56,31.415,31.93,438579
2021-11-23,32.04,32.53,31.85,32.205,452437
2021-11-24,34.0,36.21,34.0,35.45,1430554
2021-11-26,34.59,35.235,34.41,34.6,236272
2021-11-29,34.69,36.085,34.69,35.93,372245
2021-11-30,35.58,35.93,34.95,35.29,527631
2021-12-01,35.83,38.35,35.7,36.44,727943
2021-12-02,36.39,38.265,36.39,37.65,1007518
2021-12-03,37.855,38.47,37.145,37.55,664222
2021-12-06,37.82,38.21,36.925,36.94,426736
2021-12-07,37.37,37.69,36.98,37.27,518687
2021-12-08,37.43,37.52,36.64,36.71,363188
2021-12-09,36.0,36.44,35.815,36.15,786981
2021-12-10,36.7,36.84,35.98,36.45,323581
2021-12-13,36.31,36.39,35.245,35.27,364892
2021-12-14,34.98,35.865,34.86,35.59,287434
2021-12-15,35.73,36.31,35.34,36.3,339697
2021-12-16,36.46,37.02,36.19,36.695,456138
2021-12-17,36.81,37.285,36.485,36.58,498621
2021-12-20,36.08,36.185,35.605,36.115,370438
2021-12-21,36.69,37.05,36.305,37.03,214093
2021-12-22,37.04,37.345,36.465,37.29,389974
2021-12-23,37.34,38.035,37.26,37.645,254536
2021-12-27,37.63,38.18,37.63,38.12,131998
2021-12-28,38.17,38.36,37.745,37.96,146616
2021-12-29,37.9,38.395,37.9,37.97,125418
2021-12-30,38.055,38.18,37.695,37.75,116866
2021-12-31,37.88,38.07,37.63,37.66,96989
2022-01-03,37.84,38.16,37.61,38.02,180494
2022-01-04,38.43,39.48,38.43,39.22,316831
2022-01-05,39.27,39.62,38.87,38.885,280599
2022-01-06,38.61,38.95,38.17,38.69,305601
2022-01-07,38.82,39.0,38.4,38.65,184036
2022-01-10,38.585,38.975,37.995,38.95,446534
2022-01-11,39.0,39.19,38.67,39.19,219268
2022-01-12,39.3,39.625,38.935,39.01,271378
2022-01-13,39.11,39.315,38.645,38.745,356574
2022-01-14,38.39,38.51,37.98,38.41,433162
2022-01-18,38.0,38.31,37.545,37.64,219019
2022-01-19,37.72,38.02,36.55,36.6,249995
2022-01-20,36.66,37.24,36.03,36.11,404134
2022-01-21,36.0,36.0,34.8,34.845,424099
2022-01-24,34.295,35.65,34.15,35.62,637384
2022-01-25,35.0,35.39,33.61,34.95,379977
2022-01-26,35.64,36.18,34.835,35.22,571185
2022-01-27,35.9,36.45,35.01,35.21,366589
2022-01-28,35.13,36.32,34.92,36.32,283333
2022-01-31,36.14,36.805,35.93,36.735,357467
2022-02-01,36.89,37.475,36.76,37.465,313964
2022-02-02,37.575,38.225,37.575,38.17,430215
2022-02-03,37.85,38.43,37.665,37.72,322436
2022-02-04,37.55,37.98,37.02,37.61,211590
2022-02-07,37.61,37.71,37.155,37.475,327578
2022-02-08,37.545,38.095,37.27,37.99,271722
2022-02-09,38.12,38.485,37.815,38.395,388465
2022-02-10,38.09,39.065,37.945,38.14,280214
2022-02-11,38.15,38.39,37.12,37.34,172005
2022-02-14,37.22,37.31,36.06,36.5,243099
2022-02-15,36.85,37.4,36.74,37.35,277103
2022-02-16,37.13,38.05,37.13,37.89,312345
2022-02-17,37.33,37.73,36.39,36.41,379988
2022-02-18,36.43,36.765,36.0,36.2,320101
2022-02-22,36.05,36.22,34.63,35.2,278686
2022-02-23,35.5,35.64,34.39,34.53,380050
2022-02-24,33.22,34.57,33.09,34.53,566857
2022-02-25,33.97,34.69,33.225,34.45,558607
2022-02-28,34.11,34.66,33.54,34.345,596827
2022-03-01,34.0,35.265,33.74,34.04,1984893
2022-03-02,34.785,36.585,34.785,36.285,2009850
2022-03-03,36.6,36.77,36.02,36.625,1279426
2022-03-04,36.29,36.505,35.635,36.34,1141120
2022-03-07,36.02,36.16,35.125,35.64,1353832
2022-03-09,36.5,36.58,35.61,36.04,1793823
2022-03-10,35.69,36.165,35.1,36.15,1074294
2022-03-11,36.335,36.75,35.48,36.285,1344604
2022-03-14,36.26,36.52,33.76,34.07,1071043
2022-03-15,34.01,35.19,33.865,34.87,1282114
2022-03-16,35.12,35.8,34.78,35.8,1223851
2022-03-17,35.37,35.42,33.74,34.49,1846578
2022-03-18,34.91,37.565,34.16,36.97,3040169
2022-03-21,36.9,37.74,36.73,37.54,1576917
2022-03-22,37.935,38.525,37.395,38.22,1441614
2022-03-23,37.98,38.79,37.72,37.72,1161005
2022-03-24,37.81,38.75,37.795,38.52,774650
2022-03-25,38.5,39.83,38.495,39.82,820126
2022-03-28,38.51,39.085,37.59,38.73,1209333
2022-03-29,39.2,39.865,38.69,39.72,624848
2022-03-30,39.725,40.36,38.75,38.84,545813
2022-03-31,37.03,37.08,35.815,36.315,2210545
2022-04-01,36.12,36.58,35.005,35.59,1337222
2022-04-04,35.81,36.675,35.76,36.635,1201180
2022-04-05,36.3,36.74,35.835,36.0,674836
2022-04-06,35.53,35.72,34.465,34.91,1143148
2022-04-07,39.1,41.46,38.7,40.06,4106461
2022-04-08,39.11,40.16,38.29,38.63,1690016
2022-04-11,38.45,39.22,38.02,38.19,704560
2022-04-12,38.46,39.53,37.76,37.88,713313
2022-04-13,37.72,38.16,37.69,37.95,550944
2022-04-14,37.96,38.07,37.45,37.475,460134
2022-04-18,37.575,38.665,37.575,38.42,566997
2022-04-19,38.46,38.86,38.26,38.68,437720
2022-04-20,38.99,39.775,38.99,39.38,437244
2022-04-21,39.24,39.505,38.23,38.3,400610
2022-04-22,38.06,38.06,36.75,36.8,406289
2022-04-25,36.69,37.045,36.23,37.005,436064
2022-04-26,36.82,37.24,36.33,36.34,471151
2022-04-27,36.45,37.16,36.09,36.45,488785
2022-04-28,36.97,37.92,36.64,37.56,345492
2022-04-29,37.66,38.2,36.565,36.65,323996
2022-05-02,36.61,37.065,36.025,37.06,532064
2022-05-03,36.95,38.15,36.925,37.91,353506
2022-05-04,38.11,39.51,37.655,39.36,521995
2022-05-05,38.95,39.1,37.505,37.97,460209
2022-05-06,37.33,37.63,36.33,37.1,480484
2022-05-09,36.25,37.22,36.145,37.03,491968
2022-05-10,37.82,38.775,37.42,37.53,572110
2022-05-11,37.17,37.71,35.79,35.84,606237
2022-05-12,35.575,36.365,35.005,35.86,1122433
2022-05-13,36.175,36.995,35.975,36.77,666521
2022-05-16,36.855,37.855,36.43,37.5,473996
2022-05-17,38.4,39.69,38.2,39.63,661601
2022-05-18,38.84,39.02,36.72,36.88,718523
2022-05-19,36.31,36.62,35.105,35.74,859342
2022-05-20,35.7,35.78,33.47,34.65,586201
2022-05-23,34.66,35.125,34.18,35.07,627444
2022-05-24,34.74,34.86,33.91,34.77,441948
2022-05-25,34.545,36.065,34.41,35.53,499837
2022-05-26,35.58,36.955,35.58,36.76,454213
2022-05-27,38.05,39.125,38.0,38.73,785454
2022-05-31,38.54,39.5,38.29,38.79,938610
2022-06-01,39.81,40.73,39.05,40.32,1238477
2022-06-02,39.9,40.185,39.22,39.89,434802
2022-06-03,39.36,40.27,39.28,39.81,185846
2022-06-06,40.07,40.57,39.3,39.5,287306
2022-06-07,38.88,39.46,38.59,39.36,206608
2022-06-08,38.95,38.97,37.855,37.965,503083
2022-06-09,37.77,38.11,36.665,36.67,423337
2022-06-10,35.89,36.23,35.25,35.25,557525
2022-06-13,34.37,34.66,33.605,33.765,541087
2022-06-14,33.78,34.11,33.365,33.77,575116
2022-06-15,34.2,34.925,33.87,34.41,462608
2022-06-16,33.58,33.61,32.305,32.75,669404
2022-06-17,32.88,33.805,32.64,33.59,450939
2022-06-21,34.63,34.885,34.075,34.275,337782
2022-06-22,33.81,34.07,33.415,33.73,415986
2022-06-23,33.97,34.035,33.45,33.86,296298
2022-06-24,34.32,35.25,34.31,35.25,314181
2022-06-27,35.36,35.75,35.17,35.37,288584
2022-06-28,35.45,35.69,34.185,34.44,316660
2022-06-29,34.35,34.36,33.44,33.59,443941
2022-06-30,32.96,33.395,32.61,32.78,399048
2022-07-01,32.68,32.83,31.48,31.86,490326
2022-07-05,30.88,31.555,30.01,31.55,713442
2022-07-06,31.54,31.675,30.78,31.14,307855
2022-07-07,31.66,31.995,31.475,31.77,299562
2022-07-08,31.93,32.42,31.56,32.11,199226
2022-07-11,31.58,31.815,31.28,31.42,223304
2022-07-12,31.455,31.935,31.055,31.34,432274
2022-07-13,30.685,31.385,30.53,31.05,250241
2022-07-14,30.48,31.275,30.26,31.18,355105
2022-07-15,31.69,31.69,31.33,31.665,256131
2022-07-18,32.0,32.395,31.37,31.5,346350
2022-07-19,32.03,32.885,31.97,32.83,470920
2022-07-20,32.95,33.465,32.58,32.935,258082
2022-07-21,32.86,33.505,32.54,33.45,275211
2022-07-22,33.3,33.555,32.31,32.5,343300
2022-07-25,32.645,32.72,32.205,32.59,236183
2022-07-26,32.57,32.63,31.885,31.965,313490
2022-07-27,32.16,32.78,31.86,32.6,326347
2022-07-28,32.78,33.195,32.315,32.91,156298
2022-07-29,33.0,33.415,32.53,33.38,236483
2022-08-01,33.09,33.825,33.09,33.68,155857
2022-08-02,33.27,33.28,32.44,32.75,204068
2022-08-03,32.945,33.26,32.305,32.955,272232
2022-08-04,32.84,33.275,32.615,33.25,287722
2022-08-05,32.8,33.985,32.8,33.585,210448
2022-08-08,33.9,34.04,33.355,33.45,224425
2022-08-09,33.17,33.17,32.05,32.49,423383
2022-08-10,33.14,34.335,33.14,33.95,278144
2022-08-11,34.13,34.775,34.06,34.19,235298
2022-08-12,34.36,34.68,34.055,34.64,228236
2022-08-15,34.405,34.74,34.15,34.41,174713
2022-08-16,34.33,34.8,34.31,34.5,189942
2022-08-17,34.24,34.665,34.02,34.3,297367
2022-08-18,34.7,35.315,34.29,35.245,230208
2022-08-19,34.57,34.61,33.66,34.21,339851
2022-08-22,33.69,33.795,33.295,33.415,181865
2022-08-23,33.45,33.97,33.35,33.39,259072
2022-08-24,33.22,33.42,32.945,33.24,266678
2022-08-25,33.51,34.515,33.51,34.5,331924
2022-08-26,33.56,33.58,31.375,31.38,614860
