date,open,high,low,close,volume
2021-07-21,119.58,120.83,119.36,120.23,60471
2021-07-22,120.23,120.505,119.66,120.36,55466
2021-07-23,120.59,121.55,120.46,121.4,72379
2021-07-26,121.05,121.05,119.8,120.42,43666
2021-07-27,120.11,121.81,120.01,121.06,81274
2021-07-28,121.27,121.78,120.66,121.27,70074
2021-07-29,120.315,122.38,119.86,120.82,185279
2021-07-30,120.81,121.34,119.64,119.81,146253
2021-08-02,120.28,120.42,119.255,119.43,65861
2021-08-03,119.43,119.515,117.58,119.09,60753
2021-08-04,118.64,119.765,118.53,119.53,74359
2021-08-05,119.83,119.86,118.61,119.435,87347
2021-08-06,119.99,120.17,119.52,120.025,54235
2021-08-09,120.22,120.44,119.27,119.97,83044
2021-08-10,119.755,120.16,118.77,119.62,57008
2021-08-11,119.855,120.085,118.52,118.72,47609
2021-08-12,118.36,118.36,117.295,118.02,52867
2021-08-13,117.88,118.055,116.66,116.84,47898
2021-08-16,116.16,118.07,115.955,118.07,52877
2021-08-17,117.69,118.24,117.1,117.57,48039
2021-08-18,117.1,117.67,115.32,115.36,70984
2021-08-19,114.535,116.77,114.14,116.42,62950
2021-08-20,116.635,117.87,116.195,117.14,27004
2021-08-23,117.855,118.72,117.73,118.06,38886
2021-08-24,118.29,118.29,117.135,117.375,34514
2021-08-25,117.51,117.84,117.22,117.29,46083
2021-08-26,117.62,117.76,117.24,117.56,42683
2021-08-27,117.89,118.565,117.56,118.49,54641
2021-08-30,118.47,120.06,118.47,119.31,48541
2021-08-31,119.56,119.925,119.22,119.53,59185
2021-09-01,119.48,120.94,118.95,120.57,56083
2021-09-02,120.86,121.45,120.04,120.73,50780
2021-09-03,120.515,121.66,120.515,121.14,50295
2021-09-07,120.855,120.865,118.435,118.73,107056
2021-09-08,118.375,119.915,118.375,119.74,89654
2021-09-09,119.9,120.785,119.48,119.515,48261
2021-09-10,119.94,119.94,118.73,118.84,79946
2021-09-13,119.86,120.56,117.38,118.51,192701
2021-09-14,118.895,119.31,118.525,119.3,84052
2021-09-15,119.13,119.72,118.425,118.71,160414
2021-09-16,118.415,119.25,118.33,118.93,146660
2021-09-17,118.45,118.61,117.405,117.68,85251
2021-09-20,116.21,117.53,115.63,116.81,80631
2021-09-21,116.935,117.9,116.56,116.73,75350
2021-09-22,117.25,117.52,116.47,116.9,118171
2021-09-23,117.45,119.24,117.37,118.87,135266
2021-09-24,118.77,119.88,118.77,119.78,82021
2021-09-27,119.74,119.74,117.885,118.61,104567
2021-09-28,118.15,118.15,115.67,116.58,139068
2021-09-29,116.795,118.28,116.79,116.84,103616
2021-09-30,117.475,117.63,114.83,114.85,115033
2021-10-01,115.075,116.07,113.9,115.395,83872
2021-10-04,115.48,116.15,114.06,114.69,103925
2021-10-05,115.7,118.5,115.7,118.11,138120
2021-10-06,117.805,122.665,117.805,122.64,619993
2021-10-07,123.61,127.04,123.61,126.41,155506
2021-10-08,126.66,128.21,126.215,128.09,100571
2021-10-11,127.66,129.32,127.3,127.57,92241
2021-10-12,127.82,128.77,127.26,127.57,52387
2021-10-13,127.91,128.51,126.63,128.35,95479
2021-10-14,129.39,129.39,128.54,128.75,93593
2021-10-15,129.52,129.72,128.47,129.4,104078
2021-10-18,130.82,130.82,129.56,130.34,44901
2021-10-19,130.89,131.06,130.28,130.95,52120
2021-10-20,131.25,131.54,129.84,130.205,49279
2021-10-21,130.21,130.54,129.39,129.5,97978
2021-10-22,129.8,131.84,129.8,131.59,55016
2021-10-26,133.845,135.765,133.71,133.71,94099
2021-10-27,133.25,134.68,132.82,132.91,91484
2021-10-28,133.26,138.0,133.175,135.505,142548
2021-10-29,135.36,138.795,135.33,138.45,113052
2021-11-01,138.55,139.14,136.97,137.15,81843
2021-11-02,137.525,139.79,137.505,138.77,85414
2021-11-03,138.55,138.79,136.15,137.13,74465
2021-11-04,137.46,138.2,136.03,136.51,112135
2021-11-05,136.975,137.885,135.71,136.1,116577
2021-11-08,136.42,136.42,135.15,135.765,102017
2021-11-09,135.17,135.68,134.92,135.39,114019
2021-11-10,135.45,135.45,133.8,134.29,125915
2021-11-11,134.02,134.64,133.61,133.99,90686
2021-11-12,134.8,135.39,134.12,135.3,83220
2021-11-15,136.05,136.05,134.95,135.26,32596
2021-11-16,135.36,136.77,135.36,136.05,94588
2021-11-17,135.68,136.5,134.8,136.265,96612
2021-11-18,135.81,136.8,135.35,135.35,55035
2021-11-19,134.86,135.18,133.24,133.29,84804
2021-11-22,133.79,134.66,132.82,132.99,72146
2021-11-23,132.64,132.89,130.94,132.04,102328
2021-11-24,131.825,132.58,131.395,132.23,97472
2021-11-26,131.16,132.085,129.29,129.68,81983
2021-11-29,131.0,132.57,130.51,131.76,68576
2021-11-30,130.54,132.57,130.54,130.77,151109
2021-12-01,132.01,132.61,129.0,129.0,102774
2021-12-02,129.315,132.5,129.08,131.26,126775
2021-12-03,131.81,131.81,128.7,130.18,147870
2021-12-06,131.115,131.685,130.29,130.835,70325
2021-12-07,133.09,134.24,133.09,134.04,52366
2021-12-08,133.85,135.91,133.8,135.53,62387
2021-12-09,134.67,135.4,133.95,134.65,85468
2021-12-10,135.22,135.71,134.365,135.54,90925
2021-12-13,135.505,136.16,135.03,135.565,172602
2021-12-14,134.65,134.91,131.96,133.83,126485
2021-12-15,133.94,135.25,133.175,135.25,70741
2021-12-16,135.76,136.67,135.03,135.88,136917
2021-12-17,135.22,135.24,133.23,133.44,144666
2021-12-20,132.41,132.77,131.11,132.54,73006
2021-12-21,133.435,134.18,132.6,134.08,43612
2021-12-22,133.845,135.32,133.64,135.24,53205
2021-12-23,135.66,136.61,135.66,135.83,19814
2021-12-27,136.85,137.82,136.31,137.74,30646
2021-12-28,137.985,138.2,137.45,137.62,32027
2021-12-29,137.835,138.385,137.17,137.22,27307
2021-12-30,137.79,137.79,136.69,136.73,29274
2021-12-31,136.76,137.39,136.62,136.76,17979
2022-01-03,136.62,136.62,133.22,133.93,99837
2022-01-04,134.25,134.71,132.79,134.05,74856
2022-01-05,134.705,134.705,132.33,132.36,80113
2022-01-06,132.48,133.39,131.48,133.26,55976
2022-01-07,133.05,133.765,131.67,133.32,63443
2022-01-10,132.115,132.27,130.6,131.59,79191
2022-01-11,131.2,132.06,129.35,131.95,90321
2022-01-12,132.77,133.87,132.59,133.53,109420
2022-01-13,133.54,133.885,129.25,129.38,75519
2022-01-14,128.64,128.64,125.66,126.6,148270
2022-01-18,125.425,126.915,124.365,126.43,124570
2022-01-19,127.43,128.305,125.82,125.84,140552
2022-01-20,126.33,127.98,125.86,126.18,107115
2022-01-21,126.27,127.415,125.41,125.64,159349
2022-01-24,123.5,125.88,121.13,125.34,108962
2022-01-25,124.045,124.92,121.96,123.92,187974
2022-01-26,125.205,125.72,120.97,122.24,140689
2022-01-27,123.84,125.14,121.53,122.44,124865
2022-01-28,122.24,124.52,120.69,124.41,150101
2022-01-31,124.61,126.89,124.57,126.64,113766
2022-02-01,127.22,127.22,125.38,127.05,111701
2022-02-02,127.24,129.17,126.61,129.12,121778
2022-02-03,127.48,128.54,125.66,128.03,221761
2022-02-04,126.98,130.76,126.98,129.77,141446
2022-02-07,129.88,129.88,127.36,127.72,74989
2022-02-08,127.17,128.06,124.51,127.555,141097
2022-02-09,129.49,130.63,128.91,129.03,86654
2022-02-10,127.18,128.6,126.29,126.7,134507
2022-02-11,126.87,127.41,125.0,125.89,124417
2022-02-14,126.3,126.37,123.95,124.82,91546
2022-02-15,126.685,127.01,124.77,125.29,110798
2022-02-16,124.81,126.56,124.35,125.73,191069
2022-02-17,124.755,125.05,123.1,123.28,216173
2022-02-18,123.79,124.15,122.13,122.93,97385
2022-02-22,122.9,123.77,122.49,123.04,267429
2022-02-23,123.54,126.12,123.335,123.65,161358
2022-02-24,121.17,128.05,121.17,128.025,223859
2022-02-25,127.99,128.81,126.4,128.49,363532
2022-02-28,126.415,128.75,126.415,128.13,113373
2022-03-01,127.825,129.07,127.05,127.77,202229
2022-03-02,129.58,130.65,128.54,129.94,110520
2022-03-03,130.6,132.62,130.29,131.41,144872
2022-03-04,131.05,135.85,130.35,135.7,211847
2022-03-07,135.86,137.18,132.34,132.39,281023
2022-03-09,126.585,129.37,124.645,128.89,231833
2022-03-10,127.155,129.675,126.72,129.5,392365
2022-03-11,129.505,129.92,126.24,126.29,136439
2022-03-14,126.55,128.42,125.58,126.18,251854
2022-03-15,127.405,130.58,127.405,130.23,172951
2022-03-16,130.65,131.74,129.15,131.62,190315
2022-03-17,131.46,133.59,131.46,133.59,170227
2022-03-18,134.14,137.27,134.005,136.87,139269
2022-03-21,136.905,137.02,135.35,135.97,78951
2022-03-22,136.17,136.875,135.64,136.39,123826
2022-03-23,135.74,135.74,134.74,134.895,207248
2022-03-24,135.605,135.605,134.15,135.06,185586
2022-03-25,135.6,135.73,134.51,135.27,96819
2022-03-28,135.2,135.58,134.78,135.17,110611
2022-03-29,135.28,135.28,131.49,132.65,145353
2022-03-30,133.04,134.675,132.735,134.36,111279
2022-03-31,134.02,135.96,132.12,132.12,156115
2022-04-01,132.475,132.82,131.57,132.71,106711
2022-04-04,132.63,132.73,130.07,130.63,88076
2022-04-05,130.81,133.48,130.08,130.545,195731
2022-04-06,129.8,130.25,128.42,129.11,253688
2022-04-07,128.73,130.365,128.1,129.64,169409
2022-04-08,130.465,132.205,129.73,129.9,298810
2022-04-11,129.52,129.79,126.77,128.11,242038
2022-04-12,127.935,129.27,124.6,124.81,170194
2022-04-13,124.97,126.07,124.27,125.79,135285
2022-04-14,125.63,126.48,124.09,124.51,173548
2022-04-18,123.98,124.51,122.09,122.65,104536
2022-04-19,122.63,123.05,121.63,122.95,236720
2022-04-20,123.45,125.36,122.7,123.86,135738
2022-04-21,124.42,124.42,120.4,120.75,160036
2022-04-22,120.63,120.84,117.11,117.245,261017
2022-04-25,116.51,116.9,114.52,116.87,250986
2022-04-26,116.92,116.97,114.23,114.36,149948
2022-04-27,114.49,117.29,114.19,116.71,331966
2022-04-28,117.29,119.585,116.86,119.28,207930
2022-04-29,118.34,119.44,115.55,115.69,239136
2022-05-02,115.22,116.6,111.77,113.45,170250
2022-05-03,113.58,115.22,113.58,114.46,212743
2022-05-04,114.8,114.8,103.04,109.96,540140
2022-05-05,107.725,107.725,100.905,101.66,569490
2022-05-06,100.885,101.44,98.67,99.77,746102
2022-05-09,98.2,102.0,96.58,96.87,321888
2022-05-10,99.32,100.03,95.44,96.42,485028
2022-05-11,95.81,97.71,94.53,94.54,453064
2022-05-12,94.45,97.14,93.59,95.49,362228
2022-05-13,96.95,99.19,95.78,98.26,260801
2022-05-16,97.89,98.28,96.275,97.29,164675
2022-05-17,98.86,99.27,97.48,99.085,269711
2022-05-18,97.92,98.11,94.73,95.14,165374
2022-05-19,93.79,96.9,93.5,95.9,263077
2022-05-20,96.65,97.68,95.725,97.62,126506
2022-05-23,98.35,98.625,96.765,98.05,102527
2022-05-24,97.835,98.75,96.525,98.315,115816
2022-05-25,96.935,98.555,96.66,97.6,301148
2022-05-26,97.55,100.11,97.23,99.53,314159
2022-05-27,100.545,102.68,100.42,102.68,155122
2022-05-31,102.4,102.85,101.76,102.39,215792
2022-06-01,102.09,103.4,101.53,101.99,251597
2022-06-02,102.245,103.07,101.87,102.91,157138
2022-06-03,102.2,102.405,100.91,100.94,88270
2022-06-06,101.89,102.72,100.57,100.89,87615
2022-06-07,100.37,101.87,100.29,101.77,125971
2022-06-08,102.23,103.61,101.32,101.34,89075
2022-06-09,100.53,101.24,99.4,99.47,124110
2022-06-10,98.11,98.78,97.075,97.775,105639
2022-06-13,96.31,97.94,95.25,96.78,125045
2022-06-14,96.01,96.35,93.525,94.06,121671
2022-06-15,94.885,96.89,93.835,95.63,92845
2022-06-16,93.445,95.18,93.41,94.95,127643
2022-06-17,94.46,94.7,90.05,90.32,462590
2022-06-21,91.44,94.11,91.38,93.775,181304
2022-06-22,92.575,95.2,92.3,93.9,140642
2022-06-23,95.49,96.9,95.34,96.73,109227
2022-06-24,97.18,97.93,96.25,97.93,180414
2022-06-27,98.45,99.13,97.445,98.7,179265
2022-06-28,98.745,99.33,96.73,96.76,213101
2022-06-29,96.85,97.26,95.56,96.38,116684
2022-06-30,95.265,95.44,93.35,94.035,163421
2022-07-01,93.79,95.39,93.05,95.28,106953
2022-07-05,94.62,96.07,93.685,96.03,116859
2022-07-06,96.58,96.58,94.94,95.51,101878
2022-07-07,95.67,97.29,95.595,96.66,138290
2022-07-08,96.02,96.49,95.63,95.86,54688
2022-07-11,95.54,95.59,94.16,94.52,100022
2022-07-12,94.82,96.42,93.18,93.32,78312
2022-07-13,92.525,94.91,92.36,94.51,126198
2022-07-14,93.345,93.9,92.505,93.57,109981
2022-07-15,95.16,95.98,94.89,95.71,125498
2022-07-18,97.07,97.07,94.69,94.87,104155
2022-07-19,95.52,97.02,94.89,96.89,111680
2022-07-20,97.13,98.89,97.13,98.45,177567
2022-07-21,98.41,99.58,97.905,99.52,231398
2022-07-22,99.1,100.49,98.32,99.16,186614
2022-07-25,99.44,99.65,98.11,98.99,88652
2022-07-26,98.365,98.475,96.8,97.65,82246
2022-07-27,97.68,97.965,96.155,97.48,134890
