date,open,high,low,close,volume
2021-07-21,55.22,56.275,55.01,56.235,563649
2021-07-22,56.06,56.54,55.71,55.97,832351
2021-07-23,54.635,54.635,52.33,53.06,2619642
2021-07-26,52.76,54.535,52.76,54.35,1273213
2021-07-27,53.02,53.19,52.31,53.18,953880
2021-07-28,53.03,53.915,52.945,53.07,623639
2021-07-29,53.47,54.085,53.33,53.685,465805
2021-07-30,53.65,53.87,53.26,53.74,402985
2021-08-02,54.01,54.46,53.535,53.68,500840
2021-08-03,53.87,54.16,53.265,54.07,315422
2021-08-04,54.25,54.44,53.7,53.89,486433
2021-08-05,53.92,54.02,53.62,53.9,392368
2021-08-06,53.85,54.125,53.74,53.97,381590
2021-08-09,54.08,54.405,53.84,54.065,270885
2021-08-10,54.21,54.385,53.52,53.95,490807
2021-08-11,54.33,54.335,53.84,54.12,476299
2021-08-12,54.17,54.18,53.26,53.525,486239
2021-08-13,53.5,53.515,53.055,53.5,427120
2021-08-16,53.26,53.49,53.0,53.47,394546
2021-08-17,53.17,53.17,52.23,52.72,683823
2021-08-18,52.59,53.015,52.12,52.135,366301
2021-08-19,52.025,52.66,51.58,52.44,427211
2021-08-20,52.125,52.36,51.435,52.02,435350
2021-08-23,52.58,53.535,52.51,53.215,527881
2021-08-24,53.565,53.965,53.335,53.83,549760
2021-08-25,54.07,54.23,53.735,53.8,337865
2021-08-26,53.71,53.725,52.975,53.16,464905
2021-08-27,53.21,53.94,52.925,53.89,502460
2021-08-30,54.245,54.87,53.76,53.94,306250
2021-08-31,54.4,54.4,53.67,54.05,425984
2021-09-01,54.115,54.15,53.54,53.68,395443
2021-09-02,53.885,53.885,53.35,53.74,385016
2021-09-03,53.44,54.065,53.33,53.51,263006
2021-09-07,53.56,53.945,53.45,53.66,272949
2021-09-08,53.73,53.87,52.995,53.58,934144
2021-09-09,53.65,53.88,53.34,53.42,341873
2021-09-10,53.85,54.98,53.82,53.83,412179
2021-09-13,54.66,55.485,54.415,55.03,437704
2021-09-14,55.355,55.42,54.285,54.55,641140
2021-09-15,54.6,55.14,54.45,55.14,365718
2021-09-16,54.89,54.94,54.25,54.86,464086
2021-09-17,54.5,54.51,53.67,54.28,491496
2021-09-20,53.21,53.495,52.325,53.02,537020
2021-09-21,53.2,53.445,52.85,52.9,364783
2021-09-22,53.32,53.86,53.13,53.53,519654
2021-09-23,53.75,54.3,53.68,54.095,641207
2021-09-24,53.76,54.4,53.76,54.23,343384
2021-09-27,53.93,54.86,53.89,54.675,357660
2021-09-28,54.065,54.58,53.97,54.01,741101
2021-09-29,53.86,54.035,53.18,53.49,564876
2021-09-30,53.74,53.98,53.305,53.305,457286
2021-10-01,53.69,54.1,53.05,53.82,361170
2021-10-04,53.92,54.31,53.21,53.51,558315
2021-10-05,53.72,54.34,53.48,53.945,400377
2021-10-06,53.42,54.05,53.075,53.99,479512
2021-10-07,54.29,54.985,54.13,54.13,462449
2021-10-08,54.54,54.58,53.705,53.81,333700
2021-10-11,53.83,54.41,53.42,53.43,231307
2021-10-12,53.545,53.68,52.01,52.2,556985
2021-10-13,52.52,52.565,51.87,52.29,411869
2021-10-14,52.85,53.995,52.735,53.9,622273
2021-10-15,54.2,54.48,53.82,54.46,678802
2021-10-18,54.17,54.555,53.75,54.46,377586
2021-10-19,54.575,55.22,54.4,55.205,494010
2021-10-20,55.18,55.485,55.09,55.38,539776
2021-10-21,54.92,56.06,54.855,56.06,732171
2021-10-22,50.34,50.53,49.14,49.455,3175376
2021-10-25,49.82,50.06,49.31,49.41,1229611
2021-10-26,49.405,49.41,47.93,48.27,1519152
2021-10-27,48.52,48.79,47.875,47.875,961729
2021-10-28,48.17,48.34,47.88,48.1,943209
2021-10-29,48.08,49.265,47.95,49.01,1239664
2021-11-01,49.345,49.595,49.01,49.56,885312
2021-11-02,49.61,49.89,49.24,49.88,555579
2021-11-03,49.96,50.445,49.71,50.39,399670
2021-11-04,50.19,50.34,49.735,50.34,868900
2021-11-05,50.63,51.575,50.6,50.92,712779
2021-11-08,51.46,51.985,51.07,51.57,700900
2021-11-09,51.65,51.74,50.78,51.215,512540
2021-11-10,50.84,51.375,50.715,50.75,662554
2021-11-11,51.05,51.06,50.41,50.535,786261
2021-11-12,50.595,50.9,50.19,50.33,540336
2021-11-15,50.45,50.62,50.125,50.285,554904
2021-11-16,50.37,51.145,50.36,50.595,554255
2021-11-17,50.6,50.93,49.985,50.22,1027982
2021-11-18,50.23,50.235,48.97,49.67,555634
2021-11-19,49.62,49.67,49.245,49.51,668117
2021-11-22,49.56,50.845,49.41,49.81,900600
2021-11-23,50.16,50.45,48.93,49.13,751946
