date,open,high,low,close,volume
2021-07-21,506.52,514.58,503.3,514.54,77252
2021-07-22,516.46,521.94,514.1,521.17,67863
2021-07-23,524.195,532.33,522.48,528.59,64594
2021-07-26,527.645,529.845,523.65,529.36,55528
2021-07-27,528.5,530.47,516.65,522.91,56664
2021-07-28,525.035,527.07,521.19,523.25,36017
2021-07-29,525.325,529.24,524.365,525.55,33686
2021-07-30,526.83,530.81,525.31,530.22,54056
2021-08-02,533.14,534.65,525.53,527.52,36000
2021-08-03,528.57,531.95,524.97,529.81,51363
2021-08-04,532.54,536.96,529.18,536.08,30730
2021-08-05,536.48,540.41,535.06,537.97,89103
2021-08-06,534.83,537.25,530.15,533.52,53054
2021-08-09,533.63,537.19,531.87,535.4,63228
2021-08-10,537.99,539.88,528.84,530.38,70366
2021-08-11,530.13,532.96,526.67,532.33,62421
2021-08-12,532.5,537.85,531.02,537.07,25529
2021-08-13,535.78,541.09,534.51,540.58,28310
2021-08-16,539.46,542.94,536.75,542.94,77600
2021-08-17,542.11,542.11,534.25,536.22,66618
2021-08-18,534.45,539.59,532.45,532.71,45835
2021-08-19,529.99,547.67,529.64,543.47,58599
2021-08-20,545.04,549.29,543.04,545.3,53820
2021-08-23,548.83,553.59,548.83,552.25,71632
2021-08-24,553.285,554.57,549.035,553.715,68432
2021-08-25,577.31,581.0,551.13,555.76,136416
2021-08-26,548.695,556.42,547.01,552.46,81179
2021-08-27,554.63,566.15,554.3,566.07,77674
2021-08-30,567.45,567.95,563.77,565.775,39661
2021-08-31,567.005,567.005,563.29,565.94,62948
2021-09-01,567.57,567.57,562.715,562.91,101502
2021-09-02,564.345,564.73,555.9,559.78,58000
2021-09-03,559.0,566.575,559.0,563.4,47694
2021-09-07,562.59,562.59,555.63,560.5,60663
2021-09-08,559.99,568.29,559.875,567.58,52819
2021-09-09,568.44,572.44,566.72,567.86,36061
2021-09-10,571.26,572.845,567.14,567.56,59402
2021-09-13,570.27,571.175,551.88,557.69,67471
2021-09-14,565.54,571.06,563.22,568.38,49265
2021-09-15,569.91,572.26,564.74,571.705,62590
2021-09-16,570.85,574.63,568.3,572.86,71224
2021-09-17,570.92,572.34,560.92,561.61,59624
2021-09-20,551.01,559.95,547.58,554.64,72123
2021-09-21,557.81,559.385,553.7,555.27,49378
2021-09-22,559.01,564.66,553.855,562.68,41802
2021-09-23,567.0,578.07,566.555,577.19,52034
2021-09-24,572.735,579.16,570.44,578.32,42832
2021-09-27,572.95,573.5,561.47,567.21,86508
2021-09-28,561.61,562.78,544.48,545.23,173504
2021-09-29,548.86,552.81,545.35,546.9,47142
2021-09-30,549.54,552.34,539.36,539.6,88017
2021-10-01,541.395,546.05,534.1,543.51,63966
2021-10-04,535.05,535.05,519.0,525.18,95758
2021-10-05,527.7,536.65,527.06,533.01,47365
2021-10-06,526.44,536.97,526.44,534.59,49158
2021-10-07,538.56,544.29,537.11,537.43,55372
2021-10-08,539.555,539.555,529.63,530.98,62026
2021-10-11,528.06,533.315,525.05,525.05,50668
2021-10-12,527.66,533.385,524.25,527.64,49688
2021-10-13,532.405,539.14,532.335,535.06,80146
2021-10-14,542.16,549.2,542.16,543.91,54048
2021-10-15,545.43,552.95,545.43,552.64,41464
2021-10-18,551.03,564.65,548.59,564.42,56795
2021-10-19,568.05,573.04,564.535,572.63,56314
2021-10-20,573.795,575.32,569.37,570.29,54247
2021-10-21,569.025,578.83,567.17,578.8,41659
2021-10-22,580.35,591.56,580.35,590.91,49305
2021-10-25,590.6,604.135,590.6,602.87,55855
2021-10-26,605.33,612.755,602.47,608.43,111803
2021-10-27,609.57,617.295,607.1,613.31,108529
2021-10-28,613.905,620.39,606.15,615.63,57530
2021-10-29,612.75,626.48,612.69,625.99,36405
2021-11-01,628.48,629.235,607.44,608.78,41511
2021-11-02,610.51,625.655,610.5,618.33,78304
2021-11-03,615.36,625.15,609.65,622.72,49709
2021-11-04,623.0,631.06,622.31,625.89,67220
2021-11-05,626.995,629.22,612.97,615.04,75002
2021-11-08,619.49,619.49,608.73,615.29,116479
2021-11-09,614.45,617.605,611.8,612.99,50535
2021-11-10,611.1,617.18,603.69,604.01,75835
2021-11-11,609.33,610.505,605.91,606.48,51744
2021-11-12,613.56,628.3,611.48,627.27,71842
2021-11-15,626.28,632.87,622.705,626.19,54903
2021-11-16,627.025,646.47,627.0,645.41,80134
2021-11-17,643.75,644.38,630.5,635.2,115288
2021-11-18,635.52,635.52,626.6,629.82,74500
2021-11-19,714.52,716.59,681.95,692.88,217211
2021-11-22,692.0,692.605,661.425,661.96,137815
2021-11-23,652.32,671.68,649.73,671.32,141018
2021-11-24,663.26,684.56,661.03,684.17,84238
