date,open,high,low,close,volume
2021-07-21,58.86,59.0,58.435,58.47,50606
2021-07-22,58.59,58.59,57.67,57.83,53430
2021-07-23,57.925,58.23,57.56,58.09,61617
2021-07-26,58.085,58.64,57.95,58.455,117790
2021-07-27,58.45,59.15,57.54,58.74,66168
2021-07-28,58.685,59.07,58.15,58.49,80531
2021-07-29,58.48,58.48,56.77,58.02,209653
2021-07-30,57.85,58.43,57.17,57.81,62116
2021-08-02,58.26,59.07,57.4,57.53,56816
2021-08-03,57.81,58.935,57.24,58.68,126138
2021-08-04,58.25,58.49,57.675,57.73,37440
2021-08-05,57.985,58.44,57.28,57.41,82539
2021-08-06,57.79,58.18,57.61,57.87,53181
2021-08-09,57.9,59.05,57.72,58.59,136553
2021-08-10,58.82,60.21,58.66,59.65,166998
2021-08-11,60.04,60.315,59.62,60.07,56185
2021-08-12,60.04,60.175,59.265,59.93,48720
2021-08-13,59.575,59.62,58.99,59.22,48476
2021-08-16,58.95,59.61,58.19,59.49,71716
2021-08-17,59.22,59.3,58.31,58.925,94564
2021-08-18,58.54,59.685,58.48,58.54,79676
2021-08-19,58.15,58.58,57.66,58.155,36795
2021-08-20,58.01,59.09,58.01,58.74,43691
2021-08-23,58.965,58.965,58.18,58.46,86524
2021-08-24,58.68,59.14,58.62,58.9,41212
2021-08-25,58.81,59.795,58.71,59.47,33111
2021-08-26,59.38,59.38,58.93,59.12,30314
2021-08-27,59.36,60.32,59.36,60.13,72187
2021-08-30,60.31,60.31,59.33,59.38,58234
2021-08-31,59.35,60.24,59.35,60.07,57580
2021-09-01,60.15,60.175,59.365,59.84,49529
2021-09-02,60.02,60.31,59.95,60.28,44990
2021-09-03,60.1,60.37,59.73,59.91,55759
2021-09-07,59.45,59.49,58.51,58.695,67894
2021-09-08,58.25,58.82,58.24,58.47,98505
2021-09-09,58.37,59.07,58.36,58.595,46965
2021-09-10,58.96,59.3,58.34,58.34,55577
2021-09-13,59.0,59.035,58.36,58.605,45008
2021-09-14,58.35,58.45,57.66,57.74,47409
2021-09-15,57.63,58.13,57.51,57.93,100047
2021-09-16,58.19,58.335,57.84,57.865,50834
2021-09-17,57.7,57.85,56.34,56.58,72740
2021-09-20,55.47,55.945,54.8,55.87,81464
2021-09-21,56.12,56.13,55.06,55.24,53045
2021-09-22,55.78,56.61,55.66,56.17,97249
2021-09-23,56.55,57.63,56.51,57.13,48672
2021-09-24,56.83,57.69,56.83,57.05,30837
2021-09-27,57.035,57.72,56.98,57.32,28567
2021-09-28,57.64,57.79,56.95,57.01,33917
2021-09-29,57.13,57.5,56.75,57.17,111797
2021-09-30,57.49,57.49,55.88,55.91,77009
2021-10-01,53.24,53.675,52.58,53.29,88654
2021-10-04,53.2,54.06,53.05,53.83,130535
2021-10-05,53.97,54.675,53.45,54.35,72003
2021-10-06,54.36,54.37,53.12,54.07,57545
2021-10-07,54.57,54.815,54.21,54.27,74130
2021-10-08,54.33,54.68,54.09,54.4,85120
2021-10-11,54.86,56.15,54.7,55.745,116029
2021-10-12,55.565,56.425,55.21,55.73,119551
2021-10-13,56.185,56.52,54.095,55.28,130474
2021-10-14,55.55,55.99,54.95,55.845,90816
2021-10-15,55.29,55.3,52.59,53.28,327890
2021-10-18,52.815,53.32,52.71,52.83,118848
2021-10-19,52.235,52.48,51.74,52.07,150117
2021-10-20,52.25,53.83,52.21,53.54,182030
2021-10-21,53.5,53.76,52.775,53.17,66140
2021-10-22,53.41,53.91,52.96,53.04,109492
2021-10-26,53.075,53.43,52.49,53.01,149978
2021-10-27,51.95,51.95,49.81,50.18,264527
2021-10-28,50.04,50.515,49.56,49.7,208833
2021-10-29,49.65,50.645,49.51,49.66,128039
2021-11-01,48.75,49.66,48.63,49.09,200126
2021-11-02,49.5,49.85,48.84,48.98,245516
2021-11-03,48.89,50.03,48.845,49.92,133939
2021-11-04,49.75,50.18,48.53,48.71,84676
2021-11-05,49.1,49.72,48.835,48.88,100281
2021-11-08,49.0,49.57,48.87,49.31,88056
2021-11-09,49.12,49.5,48.91,49.29,105481
2021-11-10,49.515,50.065,49.3,49.72,148499
2021-11-11,49.89,50.28,49.47,50.14,100388
2021-11-12,49.83,49.95,49.185,49.275,81112
2021-11-15,49.33,49.465,49.045,49.46,145097
2021-11-16,49.33,49.825,49.255,49.27,125606
2021-11-17,49.1,49.34,48.77,48.93,109684
2021-11-18,48.9,49.36,48.34,48.57,78821
2021-11-19,48.08,48.08,47.265,47.58,223736
2021-11-22,47.61,48.75,46.95,48.45,169927
2021-11-23,48.42,48.56,48.01,48.34,119582
2021-11-24,48.28,48.345,47.47,47.55,75176
2021-11-26,46.54,47.77,46.2,47.555,67288
2021-11-29,48.11,48.11,47.21,47.21,119571
2021-11-30,46.815,46.815,45.28,45.52,175599
2021-12-01,46.13,46.64,45.15,45.15,150325
2021-12-02,45.51,46.19,45.1,45.9,180373
2021-12-03,45.93,47.005,45.88,46.45,362001
2021-12-06,46.855,47.45,46.855,47.03,393449
2021-12-07,47.18,47.18,46.26,46.66,321787
2021-12-08,46.865,47.16,46.22,46.41,230016
2021-12-09,46.17,46.65,45.8,46.12,300846
2021-12-10,46.25,46.42,45.77,45.9,61455
2021-12-13,45.86,46.12,45.28,45.85,120597
2021-12-14,45.83,46.25,45.4,45.55,187211
2021-12-15,45.725,46.29,44.885,46.215,215499
2021-12-16,46.435,47.135,46.41,46.98,243678
2021-12-17,47.03,47.155,45.76,45.82,193548
2021-12-20,45.295,45.295,43.87,44.565,237220
2021-12-21,45.03,45.67,45.03,45.315,126136
2021-12-22,45.36,45.625,44.92,45.235,78320
2021-12-23,45.505,46.01,45.505,45.84,77849
2021-12-27,45.86,46.385,45.75,46.35,77941
2021-12-28,46.57,46.78,46.47,46.68,60998
2021-12-29,46.68,46.98,46.59,46.725,46858
2021-12-30,46.89,47.19,46.625,46.7,92296
2021-12-31,46.73,47.16,46.64,47.0,65966
2022-01-03,47.22,47.51,46.65,46.8,98972
2022-01-04,47.105,49.03,47.105,48.47,124435
2022-01-05,48.48,49.38,48.48,48.69,198973
2022-01-06,49.16,49.26,48.095,48.34,117228
