date,open,high,low,close,volume
2021-07-21,48.435,48.97,48.34,48.64,121547
2021-07-22,48.565,48.925,48.35,48.5,88527
2021-07-23,48.8,48.96,48.13,48.6,96360
2021-07-26,48.62,49.03,48.585,48.86,33416
2021-07-27,48.43,48.91,48.08,48.2,107270
2021-07-28,48.14,48.28,47.36,47.36,128945
2021-07-29,47.455,48.61,47.455,48.19,104522
2021-07-30,48.3,48.915,48.075,48.85,86186
2021-08-02,49.1,49.85,48.32,48.37,102454
2021-08-03,48.51,49.805,47.98,49.63,65408
2021-08-04,49.68,51.02,49.39,50.31,827742
2021-08-05,50.75,51.39,49.9,50.135,330222
2021-08-06,50.49,50.86,49.82,49.84,114516
2021-08-09,49.635,49.79,49.06,49.5,83110
2021-08-10,49.49,51.07,49.47,51.05,180249
2021-08-11,51.01,51.52,50.68,51.52,83313
2021-08-12,51.65,52.055,51.57,52.005,75617
2021-08-13,52.095,52.64,51.89,52.44,181394
2021-08-16,52.16,52.465,51.715,52.32,85465
2021-08-17,51.8,52.04,50.68,50.85,96277
2021-08-18,50.78,51.08,50.42,50.47,73028
2021-08-19,50.035,50.185,49.32,49.75,90119
2021-08-20,49.75,50.12,49.48,50.05,49690
2021-08-23,50.54,51.27,50.49,50.955,72466
2021-08-24,51.2,51.97,51.2,51.8,68739
2021-08-25,51.85,52.38,51.7,52.1,118153
2021-08-26,52.07,52.15,51.34,51.83,105473
2021-08-27,52.115,53.39,52.04,52.85,138975
2021-08-30,52.78,53.54,52.515,53.26,81585
2021-08-31,53.38,53.38,52.68,53.015,94604
2021-09-01,53.09,53.12,52.41,52.76,116703
2021-09-02,53.32,54.455,53.32,53.805,188141
2021-09-03,53.89,54.195,52.64,52.945,197771
2021-09-07,52.74,53.035,51.5,51.75,131259
2021-09-08,51.74,52.86,51.6,52.73,254233
2021-09-09,52.72,54.12,52.72,53.89,259154
2021-09-10,54.25,55.23,54.12,54.74,248357
2021-09-13,55.31,55.53,53.405,54.0,241700
2021-09-14,54.16,54.185,52.9,53.54,175744
2021-09-15,53.45,55.02,53.36,55.01,129080
2021-09-16,54.805,55.15,54.25,54.58,150311
2021-09-17,54.36,54.71,53.875,54.3,160184
2021-09-20,52.725,53.51,52.4,52.99,103689
2021-09-21,53.4,53.42,52.16,52.945,109004
2021-09-22,53.345,53.7,52.84,52.88,113093
2021-09-23,53.23,53.775,53.03,53.69,126508
2021-09-24,53.74,53.93,53.21,53.51,74671
2021-09-27,53.7,54.685,53.37,53.37,154112
2021-09-28,52.96,53.165,51.33,51.53,87792
2021-09-29,51.72,51.91,51.25,51.42,96626
2021-09-30,51.365,51.52,50.39,50.41,209885
2021-10-01,50.56,51.16,50.05,50.82,53618
2021-10-04,50.8,51.32,50.565,50.75,88521
2021-10-05,50.83,51.75,50.52,51.17,92705
2021-10-06,50.485,51.29,50.09,51.15,132471
2021-10-07,51.87,52.45,51.67,51.67,144955
2021-10-08,51.475,51.565,50.7,50.98,67842
2021-10-11,50.84,51.14,50.065,50.07,72324
