date,open,high,low,close,volume
2021-07-21,229.68,230.78,228.69,229.34,16829
2021-07-22,229.01,229.13,227.34,227.66,17596
2021-07-23,228.56,228.67,225.78,226.35,37673
2021-07-26,227.06,227.25,225.14,226.97,41026
2021-07-27,226.03,228.43,225.25,227.65,47716
2021-07-28,227.655,228.4,225.42,225.91,30880
2021-07-29,226.94,228.485,226.035,228.41,55886
2021-07-30,222.9,227.25,221.59,226.63,131964
2021-08-02,227.61,228.23,225.38,225.56,81667
2021-08-03,226.05,230.9,225.54,230.61,39067
2021-08-04,229.04,230.65,227.68,227.75,26107
2021-08-05,228.735,228.735,226.73,226.9,18969
2021-08-06,227.59,228.67,226.92,227.6,27056
2021-08-09,226.61,227.47,226.17,227.21,17135
2021-08-10,228.72,231.57,228.27,230.7,43668
2021-08-11,231.32,234.11,231.32,233.86,37440
2021-08-12,233.53,234.6,232.53,232.6,31087
2021-08-13,232.6,233.24,231.9,233.07,43119
2021-08-16,231.93,235.57,231.89,235.19,33582
2021-08-17,234.45,234.71,231.92,233.21,60861
2021-08-18,232.14,233.185,229.745,229.745,30365
2021-08-19,228.8,230.79,228.8,229.99,19237
2021-08-20,230.0,231.75,229.51,230.61,29534
2021-08-23,231.395,232.55,230.44,230.74,16302
2021-08-24,231.155,231.71,229.85,230.555,38266
2021-08-25,230.755,231.915,229.9,230.63,32722
2021-08-26,229.155,230.14,228.465,230.14,33686
2021-08-27,231.19,232.42,230.025,230.67,26888
2021-08-30,231.39,233.87,231.39,232.76,19789
2021-08-31,233.0,233.07,231.93,232.945,34179
2021-09-01,231.54,232.14,230.13,231.18,26670
2021-09-02,232.58,232.77,229.93,231.04,40904
2021-09-03,230.31,230.79,228.4,228.57,22049
2021-09-07,227.14,227.14,221.14,221.52,119304
2021-09-08,220.745,222.81,220.38,221.83,65005
2021-09-09,221.92,222.5,219.735,220.005,60463
2021-09-10,220.63,221.09,218.685,218.685,17664
2021-09-13,220.45,220.45,217.46,219.28,59961
2021-09-14,220.42,220.46,216.38,217.0,34828
2021-09-15,217.24,220.57,217.19,220.275,55458
2021-09-16,219.49,219.49,217.73,217.82,34092
2021-09-17,216.72,217.045,214.755,215.9,36459
2021-09-20,212.52,215.62,212.52,215.575,55347
2021-09-21,215.245,215.52,213.27,213.82,67457
2021-09-22,215.115,217.7,214.93,215.57,51233
2021-09-23,217.88,218.71,217.33,217.89,47570
2021-09-24,217.18,218.26,215.775,215.94,68949
2021-09-27,215.81,217.815,215.55,216.54,35587
2021-09-28,216.72,216.95,213.63,213.73,74439
2021-09-29,212.35,214.32,211.84,213.21,50375
2021-09-30,214.59,214.59,206.64,206.64,47632
2021-10-01,207.86,208.16,204.08,206.755,102759
2021-10-04,206.55,209.04,205.25,208.0,140152
2021-10-05,208.0,213.83,207.065,212.51,66559
2021-10-06,211.42,212.48,208.31,212.46,33690
2021-10-07,214.68,216.02,214.41,215.24,34661
2021-10-08,214.59,217.38,213.415,216.33,39676
2021-10-11,216.76,217.88,213.87,213.94,40053
2021-10-12,214.2,215.24,212.92,213.72,21140
2021-10-13,214.085,216.73,213.2,214.78,64549
2021-10-14,216.42,221.765,216.17,221.45,58940
2021-10-15,222.07,224.45,222.07,223.49,26264
2021-10-18,221.52,223.67,221.05,221.81,35299
2021-10-19,223.71,224.03,222.47,223.08,18451
2021-10-20,223.6,224.86,223.22,223.6,24858
2021-10-21,222.155,224.57,221.115,224.57,16329
