date,open,high,low,close,volume
2021-07-21,133.99,134.49,132.98,133.71,16973
2021-07-22,132.87,132.87,131.77,132.27,6612
2021-07-23,133.57,133.96,132.6,133.96,8500
2021-07-26,133.49,133.6,132.92,133.34,16636
2021-07-27,132.56,134.31,132.16,133.635,21359
2021-07-28,132.8,135.8,132.485,135.05,23981
2021-07-29,135.29,137.32,135.29,136.46,18647
2021-07-30,136.4,136.57,134.97,135.17,16526
2021-08-02,136.065,138.06,133.935,133.935,40484
2021-08-03,133.09,133.09,128.93,129.37,96701
2021-08-04,127.88,129.49,126.68,128.79,38667
2021-08-05,130.765,130.765,128.53,128.74,13992
2021-08-06,129.78,129.78,128.415,128.84,27792
2021-08-09,129.19,131.255,128.08,130.4,48184
2021-08-10,130.47,132.39,130.15,131.57,27329
2021-08-11,132.595,136.31,132.59,136.185,52526
2021-08-12,136.32,139.6,136.32,139.51,76789
2021-08-13,139.89,139.89,137.73,138.03,65374
2021-08-16,136.99,138.75,136.01,138.115,24343
2021-08-17,136.71,137.05,134.655,135.7,50720
2021-08-18,135.51,136.49,134.01,134.09,23199
2021-08-19,133.645,133.645,131.53,131.99,22523
2021-08-20,132.27,132.89,131.05,132.83,20320
2021-08-23,133.33,133.65,132.215,132.91,14190
2021-08-24,134.12,134.59,133.54,134.59,11842
2021-08-25,135.0,135.83,134.97,135.465,11969
2021-08-26,134.61,134.79,133.475,133.63,14053
2021-08-27,134.44,136.25,134.44,135.99,7664
2021-08-30,135.58,136.075,135.155,135.36,7769
2021-08-31,135.265,135.76,134.34,134.92,11348
2021-09-01,135.32,135.325,133.735,134.67,20169
2021-09-02,136.58,136.58,135.35,136.34,17420
2021-09-03,136.35,137.67,135.945,137.28,7604
2021-09-07,137.19,137.19,133.335,133.365,29913
2021-09-08,133.15,135.925,132.655,135.8,53821
2021-09-09,135.695,137.52,135.54,135.56,35337
2021-09-10,136.38,136.38,133.18,133.37,32812
2021-09-13,134.34,135.45,133.41,134.71,21461
2021-09-14,135.5,135.5,132.97,132.97,14518
2021-09-15,132.85,136.2,132.64,135.95,20989
2021-09-16,135.6,136.685,133.625,133.65,24841
2021-09-17,132.92,133.52,130.3,130.58,23406
2021-09-20,128.08,129.1,126.07,127.9,25131
2021-09-21,127.71,128.23,126.37,126.81,11593
2021-09-22,128.15,130.95,127.75,130.51,52453
2021-09-23,131.62,135.03,131.53,134.84,51447
2021-09-24,134.99,136.73,134.685,135.94,40349
2021-09-27,137.02,138.86,136.96,138.29,35668
2021-09-28,137.865,138.515,135.48,136.1,29946
2021-09-29,135.83,137.51,135.82,136.4,29141
2021-09-30,136.37,136.475,132.56,132.6,42308
2021-10-01,133.365,135.49,131.955,134.57,54773
2021-10-04,134.53,136.28,130.28,131.36,61853
2021-10-05,131.575,133.4,130.44,132.31,24413
2021-10-06,131.26,132.77,129.69,132.3,29010
2021-10-07,133.86,135.83,133.79,134.82,12035
2021-10-08,134.47,135.92,134.34,135.36,12366
2021-10-11,134.82,136.4,134.0,134.0,22938
2021-10-12,133.75,134.52,132.79,133.0,24146
2021-10-13,132.95,133.65,131.63,133.19,12061
2021-10-14,133.955,134.93,133.83,134.39,17499
2021-10-15,135.78,135.98,133.765,133.93,19446
2021-10-18,132.35,134.27,132.31,134.01,15052
2021-10-19,134.49,135.07,133.57,133.695,31453
2021-10-20,134.7,137.08,134.53,136.37,33938
2021-10-21,136.43,136.87,135.715,136.86,30915
2021-10-22,137.305,138.085,136.66,136.91,27159
2021-10-26,139.53,140.04,138.18,138.26,12012
2021-10-27,138.06,138.06,135.855,136.0,25499
2021-10-28,138.59,141.31,138.36,139.27,25885
2021-10-29,140.14,140.995,139.95,140.44,25467
2021-11-01,141.41,142.29,140.21,140.73,17819
2021-11-02,141.17,141.17,138.97,140.695,13409
2021-11-03,140.605,141.24,139.11,141.16,19730
2021-11-04,141.89,142.81,141.33,141.74,15435
2021-11-05,143.76,144.89,142.35,142.6,24872
2021-11-08,144.33,146.085,143.31,144.88,40501
2021-11-09,145.97,146.01,144.37,144.535,31951
2021-11-10,144.82,145.86,144.28,145.57,44844
2021-11-11,145.24,146.175,144.37,144.51,14514
2021-11-12,144.9,145.325,143.77,145.315,19814
2021-11-15,146.42,147.44,145.19,145.32,24803
2021-11-16,146.32,147.79,146.06,147.18,14849
