date,open,high,low,close,volume
2021-07-21,70.2,70.7,69.92,70.555,88027
2021-07-22,70.59,70.59,69.8,70.15,128425
2021-07-23,70.64,71.15,70.36,70.91,57254
2021-07-26,71.0,71.06,70.13,70.69,75560
2021-07-27,70.02,71.085,69.93,70.76,92342
2021-07-28,70.55,70.72,69.76,70.29,97795
2021-07-29,70.99,71.77,70.54,71.645,158149
2021-07-30,70.41,71.605,69.27,71.41,224567
2021-08-02,71.64,72.34,70.675,70.695,133404
2021-08-03,71.055,72.35,70.63,72.27,74106
2021-08-04,71.89,72.465,71.36,71.41,166638
2021-08-05,71.78,72.175,71.31,71.9,163932
2021-08-06,72.39,72.64,71.905,72.08,56238
2021-08-09,71.72,71.995,71.32,71.73,56163
2021-08-10,71.93,72.62,71.65,72.33,59562
2021-08-11,72.45,72.995,72.39,72.98,64865
2021-08-12,72.94,73.19,72.51,73.0,59778
2021-08-13,72.91,73.09,72.63,72.84,102705
2021-08-16,72.635,73.63,72.41,73.51,56267
2021-08-17,72.93,73.03,71.97,73.0,82850
2021-08-18,72.8,73.4,72.43,72.44,76709
2021-08-19,71.845,73.445,71.65,73.025,100514
2021-08-20,73.255,73.56,72.85,73.41,89676
2021-08-23,73.66,74.315,73.375,74.16,96667
2021-08-24,74.285,74.92,74.24,74.63,56868
2021-08-25,74.82,75.67,74.685,75.13,62106
2021-08-26,75.12,75.27,74.675,74.805,55056
2021-08-27,75.25,75.625,74.595,74.72,87906
2021-08-30,75.04,75.34,74.7,74.96,97535
2021-08-31,74.85,75.285,74.49,74.845,106308
2021-09-01,74.92,74.92,74.055,74.33,79854
2021-09-02,74.73,75.115,74.52,75.11,146754
2021-09-03,75.05,75.355,74.49,75.02,135033
2021-09-07,74.96,74.96,72.85,73.325,159198
2021-09-08,73.135,75.56,73.015,74.685,235271
2021-09-09,75.15,76.815,75.05,75.625,149429
2021-09-10,76.4,76.4,75.05,75.08,86693
2021-09-13,75.66,75.92,74.13,74.735,180767
2021-09-14,75.045,75.39,74.3,74.38,224582
2021-09-15,74.3,76.01,74.25,75.78,86729
2021-09-16,75.845,76.16,75.25,75.32,127366
2021-09-17,74.93,75.53,74.4,74.59,148995
2021-09-20,73.295,73.37,71.775,72.75,181619
2021-09-21,73.37,73.48,71.99,72.26,202821
2021-09-22,72.98,73.41,72.645,72.82,92934
2021-09-23,73.38,74.615,73.38,74.07,136791
2021-09-24,73.37,73.895,73.37,73.58,66533
2021-09-27,73.54,73.72,71.865,71.92,225910
2021-09-28,71.38,71.42,69.66,70.44,206290
2021-09-29,70.65,71.35,70.29,70.49,141785
2021-09-30,70.855,71.07,68.06,68.07,173559
2021-10-01,68.37,69.3,67.8,69.0,138844
2021-10-04,68.71,69.24,67.97,68.57,129915
2021-10-05,68.98,70.05,68.55,69.27,74747
2021-10-06,68.655,69.58,68.49,69.49,175834
2021-10-07,70.15,71.085,70.08,70.3,144058
2021-10-08,70.43,70.56,68.98,69.01,78617
2021-10-11,68.95,69.63,68.735,68.8,136642
2021-10-12,69.11,69.17,67.96,68.13,82190
2021-10-13,68.33,69.24,68.205,68.965,87648
2021-10-14,69.495,71.25,69.495,71.22,128910
2021-10-15,71.74,72.34,71.26,71.26,164654
2021-10-18,70.695,72.15,70.695,72.105,113105
2021-10-19,72.67,73.055,72.26,72.455,96585
2021-10-20,72.48,73.55,72.335,73.09,88688
2021-10-21,72.95,73.965,72.655,73.95,76818
2021-10-22,74.24,74.67,73.785,73.855,103977
2021-10-26,74.17,74.19,73.06,73.06,56835
2021-10-27,72.92,73.62,71.71,71.74,110082
2021-10-28,72.48,73.52,72.48,73.41,132121
2021-10-29,73.04,73.81,72.94,73.34,81724
2021-11-01,73.23,74.05,72.94,73.56,181998
2021-11-02,73.89,74.69,73.67,74.23,187188
2021-11-03,73.44,73.52,71.91,72.47,186912
2021-11-04,72.53,73.83,72.53,73.83,199203
2021-11-05,74.4,74.77,73.15,74.67,228192
2021-11-08,75.59,75.81,74.28,74.47,97746
2021-11-09,74.78,76.52,74.53,76.42,122841
2021-11-10,76.11,76.78,75.95,76.18,64501
2021-11-11,76.38,76.38,75.87,76.16,63749
2021-11-12,76.765,78.27,76.44,78.22,110050
2021-11-15,78.03,79.12,78.025,78.34,211283
2021-11-16,78.355,80.0,78.35,79.7,135297
2021-11-17,79.9,80.01,78.95,79.59,109951
2021-11-18,79.8,80.42,79.44,80.355,176288
2021-11-19,80.165,81.13,80.08,80.84,204746
2021-11-22,81.11,81.14,79.57,79.59,124362
2021-11-23,79.5,80.025,78.56,79.245,127242
2021-11-24,78.6,79.39,78.51,78.89,87071
2021-11-26,77.45,78.25,76.98,77.48,68504
2021-11-29,78.42,78.775,77.78,78.34,142946
2021-11-30,77.77,77.77,74.57,74.77,223973
2021-12-01,76.08,77.89,74.95,74.95,157965
2021-12-02,75.58,77.1,75.58,76.62,98597
2021-12-03,77.15,78.14,76.59,77.95,161807
2021-12-06,78.55,79.02,78.19,78.19,245519
2021-12-07,79.01,79.975,78.44,79.16,110769
2021-12-08,79.39,79.86,78.94,79.58,123832
2021-12-09,79.325,79.96,78.95,78.98,182659
2021-12-10,78.87,79.47,78.66,79.33,111803
2021-12-13,79.405,79.65,78.51,78.9,108178
2021-12-14,78.11,79.24,77.085,77.75,108734
2021-12-15,77.92,78.765,77.0,78.65,216288
2021-12-16,79.135,79.82,78.63,79.09,98831
2021-12-17,78.69,78.96,76.82,77.03,192554
2021-12-20,76.045,76.26,74.36,75.93,177095
2021-12-21,77.2,77.32,75.96,77.17,86584
2021-12-22,77.11,77.84,77.05,77.66,66694
2021-12-23,78.16,78.77,78.11,78.11,69038
2021-12-27,78.32,79.76,78.32,79.74,55055
2021-12-28,79.955,80.6,79.81,80.39,58666
2021-12-29,80.805,81.02,80.51,81.0,79732
2021-12-30,81.47,81.61,80.88,81.01,82134
2021-12-31,81.1,81.745,81.05,81.27,80177
2022-01-03,81.175,81.37,78.73,79.35,169656
2022-01-04,79.76,81.43,79.76,80.35,98831
2022-01-05,80.32,80.83,78.96,79.04,120089
2022-01-06,79.26,80.99,79.26,80.42,131721
2022-01-07,80.165,80.46,79.26,79.275,84667
2022-01-10,78.5,78.5,76.39,78.45,119022
2022-01-11,78.71,79.63,77.61,79.55,108379
2022-01-12,80.45,80.995,79.67,80.04,93246
2022-01-13,80.135,80.46,78.17,78.39,91865
2022-01-14,77.755,77.755,75.73,76.56,160328
2022-01-18,75.805,75.805,74.05,74.75,254540
2022-01-19,74.92,75.63,73.58,73.73,117751
2022-01-20,73.97,74.975,72.585,72.66,174213
2022-01-21,72.61,73.82,72.14,72.72,245727
2022-01-24,71.445,74.1,70.55,73.78,242141
2022-01-25,72.74,73.45,70.79,72.96,218572
2022-01-26,73.42,75.14,71.9,72.52,177205
2022-01-27,73.02,73.79,71.26,71.53,205863
2022-01-28,71.025,72.21,70.46,72.09,187645
2022-01-31,72.0,72.715,71.55,72.64,317429
2022-02-01,73.07,73.18,71.05,72.31,363564
2022-02-02,72.96,74.465,71.13,72.28,373637
2022-02-03,71.04,71.04,68.605,68.88,215631
2022-02-04,68.215,68.89,66.2,67.47,403847
2022-02-07,67.8,67.8,66.49,66.69,199869
2022-02-08,66.95,68.055,66.4,67.44,244759
2022-02-09,68.8,70.21,68.8,69.38,222539
2022-02-10,68.04,69.75,67.97,68.33,187042
2022-02-11,68.52,68.58,66.13,66.44,139046
2022-02-14,66.365,66.96,65.78,66.5,347591
2022-02-15,67.49,68.265,67.27,67.7,197909
2022-02-16,67.6,67.895,67.08,67.5,145647
2022-02-17,66.86,67.31,65.735,65.83,205374
2022-02-18,66.15,66.19,65.19,65.37,224139
2022-02-22,65.05,65.83,64.7,65.21,210131
2022-02-23,65.14,65.54,63.52,63.84,158322
2022-02-24,62.5,64.015,61.81,63.85,353858
2022-02-25,63.74,65.62,63.67,65.4,153376
