date,open,high,low,close,volume
2021-07-21,152.05,153.61,151.39,152.86,239712
2021-07-22,152.89,153.36,150.0,150.86,216039
2021-07-23,151.65,152.825,150.275,150.61,132698
2021-07-26,150.185,151.94,150.18,151.595,272527
2021-07-27,150.05,152.45,149.85,151.41,203987
2021-07-28,152.22,152.75,150.9,151.71,293500
2021-07-29,153.05,153.82,151.96,152.98,279923
2021-07-30,152.68,153.655,151.23,151.75,254358
2021-08-02,152.605,154.405,151.07,151.09,418701
2021-08-03,151.73,153.3,149.56,152.86,311063
2021-08-04,150.99,153.35,150.96,151.2,367388
2021-08-05,152.28,153.67,152.2,153.085,231859
2021-08-06,155.2,157.8,155.13,157.505,377659
2021-08-09,157.52,158.545,156.27,157.27,182418
2021-08-10,156.725,159.97,156.39,159.26,187693
2021-08-11,160.0,161.49,159.23,161.17,223246
2021-08-12,161.73,162.33,160.56,161.79,242773
2021-08-13,161.8,162.0,159.585,159.95,215441
2021-08-16,158.97,159.0,156.8,158.96,280757
2021-08-17,157.75,158.84,155.28,156.99,452818
2021-08-18,156.19,158.0,155.39,155.445,324578
2021-08-19,153.16,155.54,153.04,154.28,219350
2021-08-20,153.88,154.895,153.18,154.75,155869
2021-08-23,155.28,157.085,155.28,156.66,153003
2021-08-24,157.13,158.525,156.905,157.605,308752
2021-08-25,158.545,161.775,157.97,160.93,411783
2021-08-26,162.35,163.815,161.17,161.77,294382
2021-08-27,162.1,163.15,161.32,163.08,253069
2021-08-30,163.25,163.41,159.96,160.45,187487
2021-08-31,160.32,161.31,159.37,159.97,410539
2021-09-01,160.145,160.73,159.03,159.635,198031
2021-09-02,160.01,161.6,159.53,160.42,405526
2021-09-03,160.72,160.84,159.21,159.52,149668
2021-09-07,159.965,161.33,158.97,159.13,258640
2021-09-08,159.0,159.545,158.095,158.48,197107
2021-09-09,158.16,160.775,158.16,159.16,180897
2021-09-10,160.53,160.65,157.225,157.36,200318
2021-09-13,158.64,160.01,158.12,159.85,186266
2021-09-14,160.45,161.33,156.27,157.09,286746
2021-09-15,156.81,158.665,156.52,158.19,220175
2021-09-16,159.375,160.855,157.27,158.09,219788
2021-09-17,157.38,158.95,157.05,157.73,240610
2021-09-20,154.17,154.53,150.51,152.9,301966
2021-09-21,153.54,154.5,152.6,152.98,262622
2021-09-22,155.17,157.22,155.11,155.88,279307
2021-09-23,157.88,161.69,157.69,161.21,316437
2021-09-24,161.23,163.58,160.92,163.05,333865
2021-09-27,164.9,167.37,164.71,166.99,256146
2021-09-28,167.8,169.29,165.685,166.15,395178
2021-09-29,166.13,166.85,165.165,165.95,210760
2021-09-30,166.85,166.85,162.8,163.78,375448
2021-10-01,163.97,168.275,163.79,167.18,312855
2021-10-04,167.185,170.38,165.75,166.91,399318
2021-10-05,167.21,169.99,166.67,168.65,260682
2021-10-06,167.51,169.09,166.02,169.0,196249
2021-10-07,171.115,171.51,169.6,170.1,196512
2021-10-08,170.18,171.28,169.36,170.2,181450
2021-10-11,170.94,171.26,166.46,166.67,286564
2021-10-12,165.75,166.65,164.79,165.24,254966
2021-10-13,164.69,165.24,160.62,160.94,570426
2021-10-14,161.76,163.99,160.1,163.48,384205
2021-10-15,165.34,167.16,164.18,166.59,297231
2021-10-18,166.31,168.55,165.92,166.55,257598
2021-10-19,167.4,168.64,166.61,168.62,227365
2021-10-20,168.335,170.86,167.565,170.86,202147
2021-10-21,170.73,171.25,168.71,169.52,230076
2021-10-22,169.775,172.08,169.775,171.81,234468
2021-10-26,171.19,172.465,170.57,171.41,218373
2021-10-27,170.12,170.65,167.35,167.88,365530
2021-10-28,168.435,170.48,168.0,170.41,196310
2021-10-29,171.095,172.24,169.4,169.89,174214
2021-11-01,171.87,172.275,169.015,169.78,228720
2021-11-02,169.75,171.66,168.93,170.47,166738
2021-11-03,170.18,171.11,169.16,170.53,266627
2021-11-04,170.0,170.19,166.535,168.28,317987
2021-11-05,169.14,170.04,167.41,168.12,311883
2021-11-08,169.05,170.83,168.755,169.1,192516
2021-11-09,167.79,168.45,166.595,167.77,240626
2021-11-10,167.365,168.92,167.29,167.63,156930
2021-11-11,167.55,168.68,167.14,167.65,178832
2021-11-12,167.53,167.73,165.79,166.86,335154
2021-11-15,167.2,167.785,166.05,166.6,203627
2021-11-16,167.0,167.0,165.13,165.46,198893
2021-11-17,165.21,165.51,163.41,164.47,263143
2021-11-18,164.25,164.8,162.69,163.02,125586
2021-11-19,160.58,162.1,159.47,160.91,299816
2021-11-22,164.34,165.975,163.11,164.36,331134
2021-11-23,165.99,168.54,165.48,168.23,405060
2021-11-24,168.46,169.365,166.47,166.96,198906
2021-11-26,161.88,162.61,158.835,162.13,372610
2021-11-29,163.15,164.77,159.88,161.11,292168
2021-11-30,159.3,160.6,158.29,158.76,329077
2021-12-01,161.12,163.13,157.89,157.89,330603
2021-12-02,159.9,163.25,158.85,161.24,389631
2021-12-03,161.77,161.77,157.2,158.2,301419
2021-12-06,160.78,162.575,159.5,160.22,265019
2021-12-07,161.39,163.35,161.29,162.585,206472
2021-12-08,162.8,163.09,160.19,160.69,304507
2021-12-09,159.76,160.91,158.7,160.44,293634
2021-12-10,161.34,161.48,159.17,159.81,286759
2021-12-13,159.37,159.76,157.35,157.89,218923
2021-12-14,157.92,160.84,157.8,159.07,300025
2021-12-15,159.85,159.85,157.46,157.775,352552
2021-12-16,160.37,161.81,158.74,160.4,556362
2021-12-17,159.2,159.37,155.19,156.785,292736
2021-12-20,154.53,154.55,151.88,153.87,344767
2021-12-21,155.41,157.16,155.19,156.06,256643
2021-12-22,155.76,157.03,155.32,156.69,196223
2021-12-23,157.61,159.11,157.21,157.26,157679
2021-12-27,157.63,158.19,156.43,158.14,174806
2021-12-28,158.24,160.12,158.1,158.66,225155
2021-12-29,158.96,159.59,158.18,158.56,150818
2021-12-30,159.335,160.22,158.38,158.42,141433
2021-12-31,158.54,159.24,157.98,158.32,98274
2022-01-03,159.86,162.64,159.62,161.69,309970
2022-01-04,164.52,168.56,164.29,167.79,598130
2022-01-05,167.89,168.345,163.765,163.77,449638
2022-01-06,166.94,167.28,163.9,165.56,500528
2022-01-07,165.82,167.52,165.18,167.2,366453
2022-01-10,169.13,169.25,165.55,167.26,353090
2022-01-11,168.27,168.44,166.4,167.56,381305
2022-01-12,168.55,169.56,167.21,168.51,276142
2022-01-13,168.67,169.79,167.915,168.24,327820
2022-01-14,160.8,161.01,156.895,157.87,1433195
2022-01-18,155.78,155.78,150.56,151.48,966042
2022-01-19,151.2,151.89,148.59,149.01,826390
2022-01-20,148.83,150.61,147.37,147.63,574494
2022-01-21,147.2,147.48,144.28,145.13,623282
2022-01-24,141.8,145.45,139.585,144.94,829447
2022-01-25,143.44,146.83,140.81,146.55,551424
2022-01-26,148.76,150.55,146.01,147.99,528463
2022-01-27,149.56,150.3,144.16,145.29,593211
2022-01-28,144.79,146.745,142.175,146.61,420668
2022-01-31,145.69,148.77,144.71,148.62,425530
2022-02-01,148.76,151.46,148.35,151.17,387604
2022-02-02,150.59,150.77,148.09,149.96,326947
2022-02-03,150.08,151.62,148.34,148.65,459283
2022-02-04,149.34,153.49,148.79,152.59,632339
2022-02-07,153.33,153.34,150.9,153.07,545396
2022-02-08,154.94,158.44,154.87,155.95,505573
2022-02-09,156.69,157.41,155.84,156.61,268240
2022-02-10,156.98,159.01,155.255,155.87,643574
2022-02-11,154.99,158.19,153.0,153.9,417250
2022-02-14,152.98,153.62,150.33,152.39,391112
2022-02-15,154.45,155.92,153.88,154.68,375807
