date,open,high,low,close,volume
2021-07-21,35.95,35.99,35.485,35.49,115007
2021-07-22,35.465,35.755,35.25,35.73,111400
2021-07-23,35.81,36.18,35.66,36.08,114727
2021-07-26,36.03,36.25,35.945,36.045,258984
2021-07-27,36.02,36.21,35.43,35.49,151031
2021-07-28,35.36,35.52,35.17,35.32,232833
2021-07-29,35.41,35.48,34.88,34.92,160628
2021-07-30,35.01,35.38,35.01,35.2,165335
2021-08-02,34.3,34.525,33.965,34.375,704113
2021-08-03,34.57,34.85,34.33,34.82,331919
2021-08-04,34.85,34.85,34.22,34.38,122540
2021-08-05,34.43,34.64,34.285,34.455,162015
2021-08-06,34.35,34.55,34.2,34.29,168990
2021-08-09,34.28,34.43,34.175,34.365,203843
2021-08-10,34.4,34.505,34.27,34.365,114466
2021-08-11,34.52,34.725,34.435,34.67,160286
2021-08-12,34.69,34.69,34.4,34.4,146372
2021-08-13,34.36,34.6,34.32,34.425,118642
2021-08-16,34.555,35.16,34.45,35.14,126061
2021-08-17,35.05,35.05,34.565,34.655,112526
2021-08-18,34.57,34.81,34.3,34.39,157694
2021-08-19,34.36,34.91,34.36,34.885,92675
2021-08-20,34.89,35.065,34.79,34.85,93455
2021-08-23,34.93,35.135,34.87,35.025,122639
2021-08-24,34.965,35.06,34.765,34.975,149295
2021-08-25,34.605,35.02,34.605,34.95,172933
2021-08-26,34.97,35.06,34.835,34.965,118340
2021-08-27,35.01,35.225,34.895,35.135,181905
2021-08-30,35.0,35.295,35.0,35.26,88510
2021-08-31,35.27,35.745,35.155,35.665,140065
2021-09-01,35.795,35.87,35.595,35.74,127458
2021-09-02,35.84,35.955,35.57,35.85,122535
2021-09-03,35.625,35.645,35.17,35.23,229764
2021-09-07,35.03,35.03,34.62,34.78,169578
2021-09-08,34.91,35.31,34.91,35.28,158925
2021-09-09,35.18,35.26,34.8,34.825,196675
2021-09-10,34.78,35.07,34.68,34.83,120468
2021-09-13,34.95,35.29,34.95,35.16,98803
2021-09-14,35.27,35.35,34.97,35.02,71070
2021-09-15,35.1,35.505,34.96,35.415,162178
2021-09-16,35.395,35.58,35.195,35.5,137184
2021-09-17,35.355,35.355,34.675,34.92,299875
2021-09-20,34.83,34.9,34.135,34.33,233326
2021-09-21,34.5,34.685,33.83,33.98,249120
2021-09-22,34.06,34.455,33.98,34.335,364130
2021-09-23,34.34,34.445,34.22,34.31,256889
2021-09-24,34.16,34.3,33.845,33.86,240822
2021-09-27,33.79,34.325,33.79,34.01,244690
2021-09-28,33.87,34.16,33.755,34.035,350263
2021-09-29,34.02,35.01,33.96,34.655,331699
2021-09-30,34.57,34.695,34.16,34.17,328063
2021-10-01,35.06,35.25,33.09,33.2,591771
2021-10-04,33.16,33.275,32.445,32.72,325283
2021-10-05,32.75,33.8,32.75,33.425,243056
2021-10-06,33.165,34.135,33.095,34.105,424645
2021-10-07,34.24,35.015,34.14,35.0,562466
2021-10-08,34.9,35.225,34.81,35.04,575207
2021-10-11,35.0,35.285,34.89,35.12,268038
2021-10-12,35.01,35.28,34.95,35.165,460959
2021-10-13,35.35,35.93,35.295,35.915,374045
2021-10-14,35.995,36.53,35.495,35.585,450816
2021-10-15,35.55,35.63,35.045,35.31,247379
2021-10-18,35.18,35.23,34.73,34.76,131162
2021-10-19,34.69,34.81,34.43,34.765,99543
2021-10-20,34.77,35.09,34.75,34.91,101436
2021-10-21,34.78,34.79,34.23,34.375,123840
2021-10-22,34.48,34.77,34.465,34.66,90939
2021-10-25,34.68,34.68,34.39,34.405,89146
2021-10-26,34.43,34.665,34.33,34.565,165421
2021-10-27,34.67,34.67,34.14,34.19,148027
2021-10-28,34.95,35.5,34.37,35.5,538068
2021-10-29,35.42,36.415,35.42,36.09,577873
2021-11-01,35.97,36.455,35.825,36.44,208339
2021-11-02,36.45,36.515,35.795,35.975,474677
2021-11-03,35.99,36.155,35.7,36.085,313199
2021-11-04,36.0,36.395,35.995,36.13,133296
2021-11-05,36.48,36.49,36.22,36.36,76622
2021-11-08,36.4,36.4,35.47,35.755,130378
2021-11-09,35.79,36.23,35.76,35.765,257521
2021-11-10,36.01,36.25,35.7,35.875,245625
2021-11-11,35.89,35.89,35.54,35.605,169379
2021-11-12,35.61,35.85,35.46,35.665,144373
2021-11-15,35.54,35.71,35.4,35.71,79197
2021-11-16,36.03,36.04,35.57,35.585,196724
2021-11-17,35.38,35.7,35.38,35.69,172628
2021-11-18,35.6,35.63,35.365,35.56,286234
2021-11-19,35.5,35.56,35.01,35.15,156179
2021-11-22,35.09,35.9,34.76,35.86,204348
2021-11-23,35.86,36.21,35.66,35.93,170654
2021-11-24,35.73,35.755,35.4,35.6,122041
2021-11-26,35.59,35.59,34.93,35.01,132186
2021-11-29,34.65,35.25,34.65,35.15,267801
2021-11-30,35.12,35.12,33.935,33.98,191563
2021-12-01,34.38,34.41,33.57,33.57,240487
2021-12-02,33.875,34.37,33.86,34.14,446578
2021-12-03,34.22,34.505,34.0,34.47,394500
2021-12-06,34.81,35.09,34.68,34.785,440511
2021-12-07,34.62,35.005,34.43,34.9,256308
2021-12-08,34.91,34.91,34.355,34.79,273744
2021-12-09,34.71,34.79,34.29,34.595,278728
2021-12-10,34.81,35.58,34.74,35.3,349276
2021-12-13,35.39,35.54,35.18,35.3,374548
2021-12-14,35.29,35.485,35.04,35.06,394714
2021-12-15,35.18,35.77,35.065,35.64,265629
2021-12-16,35.58,36.025,35.49,35.705,350699
2021-12-17,35.57,36.05,35.54,35.705,179162
2021-12-20,35.25,35.53,35.06,35.49,171569
2021-12-21,35.47,35.565,35.16,35.315,94573
2021-12-22,35.19,35.9,35.19,35.88,111903
2021-12-23,35.92,36.02,35.67,35.93,121542
2021-12-27,35.64,36.14,35.64,36.11,52705
2021-12-28,36.04,36.36,36.04,36.36,93290
2021-12-29,36.39,36.675,36.285,36.59,189673
2021-12-30,36.725,36.975,36.655,36.69,168204
2021-12-31,36.565,36.95,36.47,36.86,104038
2022-01-03,36.66,36.74,36.26,36.71,93468
2022-01-04,36.81,37.4,36.765,37.265,253290
2022-01-05,36.93,37.535,36.93,37.02,242067
2022-01-06,37.04,37.87,37.02,37.44,259483
2022-01-07,37.2,37.41,36.99,37.32,345112
2022-01-10,37.4,37.54,37.125,37.31,407975
2022-01-11,37.18,37.895,37.04,37.82,294380
2022-01-12,37.74,38.02,37.61,38.01,256056
2022-01-13,38.04,38.5,37.89,38.49,324890
2022-01-14,38.39,39.35,38.175,39.27,435559
2022-01-18,39.02,39.02,38.03,38.17,352268
2022-01-19,38.225,38.61,38.02,38.375,478904
2022-01-20,38.4,38.65,38.08,38.115,310982
2022-01-21,38.33,38.71,37.82,37.84,320881
2022-01-24,38.1,38.28,37.37,38.19,457322
2022-01-25,37.97,38.405,37.435,38.08,544124
2022-01-26,37.78,38.135,37.17,37.385,447467
2022-01-27,37.5,38.52,37.42,37.59,212198
2022-01-28,37.24,37.67,37.08,37.62,268998
2022-01-31,37.43,38.06,37.31,37.94,279155
2022-02-01,37.8,38.185,37.475,38.145,167155
2022-02-02,38.22,38.885,38.22,38.765,308438
2022-02-03,38.88,38.96,38.455,38.76,266563
2022-02-04,38.4,38.64,37.89,38.23,215343
2022-02-07,38.46,38.72,38.15,38.58,452006
2022-02-08,38.73,39.025,38.5,38.84,257235
2022-02-09,39.05,39.12,38.585,38.67,121173
2022-02-10,38.16,38.69,38.02,38.29,289725
2022-02-11,38.23,38.4,37.94,38.01,226128
2022-02-14,38.2,38.21,37.61,38.085,218139
2022-02-15,38.35,38.59,37.89,37.905,212643
2022-02-16,38.045,38.165,37.66,37.935,198213
2022-02-17,37.81,38.215,37.715,37.93,377354
2022-02-18,37.79,38.605,37.79,38.475,284898
2022-02-22,38.645,38.745,38.155,38.58,177179
2022-02-23,38.56,38.68,38.07,38.08,212916
2022-02-24,37.23,37.53,35.94,36.64,273959
2022-02-25,36.95,38.405,36.89,38.28,328100
2022-02-28,37.5,38.7,37.36,38.675,330816
2022-03-01,38.46,38.77,37.98,38.17,344487
2022-03-02,38.26,38.77,38.065,38.605,147101
2022-03-03,38.7,38.86,38.53,38.61,198456
2022-03-04,38.22,39.02,37.94,38.88,185916
2022-03-07,38.635,39.24,38.07,38.125,253873
2022-03-08,38.13,38.34,37.14,37.2,291498
2022-03-09,37.9,37.93,37.0,37.6,404393
2022-03-10,37.41,38.02,36.51,37.19,281739
2022-03-11,37.54,37.74,36.75,36.815,382766
2022-03-14,36.845,37.18,36.84,37.05,256045
2022-03-15,37.35,37.495,37.095,37.32,193330
2022-03-16,37.295,37.635,36.76,37.455,571310
2022-03-17,37.5,38.1,37.5,37.795,172589
2022-03-18,37.73,37.88,37.46,37.79,235021
2022-03-21,37.86,38.08,37.48,37.77,109626
2022-03-22,37.45,37.985,37.425,37.83,156896
2022-03-23,37.78,37.93,36.82,36.83,137559
2022-03-24,36.96,37.26,36.82,37.25,162795
2022-03-25,37.245,37.63,37.185,37.58,81900
2022-03-28,37.69,38.02,37.37,38.0,189979
2022-03-29,38.01,38.445,37.865,38.29,154614
2022-03-30,38.1,38.29,37.885,38.155,158798
2022-03-31,38.14,38.315,37.89,37.91,134059
2022-04-01,38.015,38.235,37.76,38.22,86397
2022-04-04,37.995,38.36,37.63,38.35,94653
2022-04-05,38.1,38.175,36.89,36.93,383339
2022-04-06,36.97,38.04,36.84,37.84,221842
2022-04-07,37.8,37.845,37.29,37.6,192812
2022-04-08,37.69,37.87,37.42,37.65,136618
2022-04-11,37.79,38.02,37.59,37.59,119937
2022-04-12,37.745,37.89,37.365,37.62,164534
2022-04-13,37.73,37.85,37.465,37.66,179715
2022-04-14,37.77,37.79,37.185,37.24,148949
2022-04-18,37.34,37.45,36.585,36.785,318371
2022-04-19,36.92,37.68,36.78,37.54,380409
2022-04-20,37.79,38.04,37.535,38.015,196253
2022-04-21,38.07,38.285,37.48,37.51,219753
2022-04-22,37.545,37.635,36.985,37.0,141564
2022-04-25,37.33,37.44,36.645,37.29,228006
2022-04-26,37.16,37.63,37.03,37.04,377389
2022-04-27,37.31,38.185,37.23,37.865,382490
2022-04-28,37.125,38.26,36.72,37.99,372379
2022-04-29,37.97,38.545,37.33,37.42,462684
2022-05-02,37.7,37.73,36.05,36.525,353020
2022-05-03,36.86,37.495,36.725,37.19,625322
2022-05-04,37.165,37.305,36.58,37.22,433804
2022-05-05,37.285,37.325,36.725,37.08,333345
