date,open,high,low,close,volume
2021-07-21,30.39,31.73,30.39,31.7,442790
2021-07-22,31.56,31.79,31.21,31.45,390300
2021-07-23,31.61,32.19,31.55,32.08,472380
2021-07-26,31.96,32.22,31.6,31.85,361110
2021-07-27,31.4,31.4,30.26,30.91,869860
2021-07-28,31.06,31.68,30.95,31.58,336500
2021-07-29,31.31,32.01,31.05,31.87,929320
2021-07-30,33.8,35.66,33.56,34.81,1807840
2021-08-02,34.87,35.55,34.48,34.57,698080
2021-08-03,34.93,34.93,34.36,34.68,524640
2021-08-04,34.78,35.59,34.78,35.38,549400
2021-08-05,35.54,35.66,34.95,35.43,535430
2021-08-06,35.36,35.48,35.16,35.37,494700
2021-08-09,35.31,35.61,35.13,35.19,377670
2021-08-10,35.05,35.07,34.06,34.21,796050
2021-08-11,34.41,34.48,33.67,34.26,907300
2021-08-12,33.74,33.74,32.82,32.82,976040
2021-08-13,32.75,32.91,32.59,32.74,390880
2021-08-16,32.87,33.09,32.62,32.92,262320
2021-08-17,32.42,32.48,31.74,32.27,709730
2021-08-18,32.05,32.63,31.73,31.74,338860
2021-08-19,31.49,32.33,31.42,32.2,343450
2021-08-20,32.48,32.71,31.56,31.99,456020
2021-08-23,32.54,32.96,32.34,32.87,444550
2021-08-24,32.96,33.43,32.65,32.79,451090
2021-08-25,32.92,33.51,32.9,33.4,515670
2021-08-26,33.44,33.67,33.27,33.38,236780
2021-08-27,33.57,34.35,33.49,34.29,343340
2021-08-30,34.54,34.64,33.9,34.19,292850
2021-08-31,34.06,34.19,33.41,33.95,389320
2021-09-01,34.11,34.11,33.53,33.54,445460
2021-09-02,33.73,33.96,33.54,33.77,185030
2021-09-03,33.66,34.25,33.66,34.18,280060
2021-09-07,34.26,34.3,33.8,34.19,308660
2021-09-08,33.99,33.99,33.46,33.67,228020
2021-09-09,33.62,34.88,33.6,34.79,933030
2021-09-10,35.13,35.9,35.06,35.06,730350
2021-09-13,35.38,35.79,34.96,35.57,489870
2021-09-14,35.99,36.42,35.37,35.65,853640
2021-09-15,35.61,36.75,35.42,36.73,680710
2021-09-16,36.53,37.37,36.33,37.19,1038420
2021-09-17,37.23,37.29,36.67,37.01,753870
2021-09-20,35.9,36.0,34.98,35.55,562340
2021-09-21,35.76,35.83,35.0,35.66,448660
2021-09-22,35.91,36.6,35.65,36.56,341330
2021-09-23,36.64,37.23,36.63,37.08,483570
2021-09-24,36.84,37.06,36.79,36.96,170780
2021-09-27,36.58,36.9,36.37,36.6,377560
2021-09-28,35.51,35.58,34.64,34.7,798500
2021-09-29,34.89,34.97,33.5,33.53,975680
2021-09-30,33.76,34.22,33.46,33.46,426970
2021-10-01,33.67,33.67,32.89,33.51,517240
2021-10-04,33.2,33.21,32.66,32.91,518100
2021-10-05,33.23,33.43,32.82,33.1,368290
2021-10-06,32.54,32.99,32.46,32.95,435430
2021-10-07,33.38,33.57,32.93,33.0,581110
2021-10-08,33.01,33.01,32.52,32.59,197120
2021-10-11,32.46,33.11,32.45,32.51,231230
2021-10-12,32.67,32.67,31.82,31.97,352390
2021-10-13,32.37,32.56,31.91,32.05,428600
2021-10-14,33.13,33.13,32.77,32.99,565970
2021-10-15,33.13,33.22,32.82,32.92,352330
2021-10-18,32.39,32.8,32.24,32.66,777490
2021-10-19,32.77,33.27,32.6,33.23,443120
2021-10-20,33.25,33.38,32.86,33.1,831100
2021-10-21,32.5,33.6,32.5,33.58,441290
2021-10-22,34.27,35.74,34.05,34.3,711130
2021-10-25,34.36,34.73,34.23,34.3,488280
2021-10-26,34.67,34.75,33.75,34.21,485290
2021-10-27,34.05,34.5,33.66,34.05,705820
2021-10-28,36.81,38.8,35.27,35.52,1448840
2021-10-29,35.2,37.35,35.2,37.28,1042860
2021-11-01,37.25,38.04,36.92,38.04,651040
2021-11-02,38.1,38.88,38.1,38.88,902670
2021-11-03,39.01,39.39,38.32,39.37,857700
2021-11-04,39.42,40.96,39.42,40.95,1164730
2021-11-05,41.2,41.83,40.59,41.71,1490850
2021-11-08,41.73,41.89,41.09,41.28,778090
2021-11-09,41.36,41.74,41.11,41.71,443160
2021-11-10,41.1,41.63,40.34,40.45,513540
2021-11-11,41.06,41.41,40.94,41.27,435670
2021-11-12,41.25,41.71,41.01,41.33,418920
2021-11-15,41.75,41.83,41.08,41.32,402870
2021-11-16,41.2,42.38,41.2,42.34,429790
2021-11-17,42.22,42.38,41.76,41.99,363180
2021-11-18,42.37,42.44,41.74,42.33,295330
2021-11-19,42.17,42.68,42.12,42.24,446190
2021-11-22,42.47,42.68,40.76,40.77,613880
2021-11-23,40.62,41.22,40.23,41.22,468700
2021-11-24,40.64,41.32,40.15,41.32,311270
2021-11-26,40.68,40.99,39.73,39.96,585080
2021-11-29,40.36,41.44,40.36,41.42,590850
2021-11-30,41.19,41.8,40.63,40.79,872310
2021-12-01,41.61,42.79,40.86,41.14,967080
2021-12-02,40.89,41.52,40.13,40.23,1204080
2021-12-03,40.92,41.08,39.48,40.08,1072810
2021-12-06,40.34,40.34,39.05,39.95,1045810
2021-12-07,40.64,42.03,40.64,41.93,724690
2021-12-08,41.86,42.23,41.42,42.14,371340
2021-12-09,41.57,41.99,40.89,40.95,761210
2021-12-10,41.63,41.73,40.44,41.08,499330
2021-12-13,41.04,41.06,39.72,39.98,763640
2021-12-14,39.59,40.21,39.49,39.97,540700
2021-12-15,39.89,41.12,39.3,41.08,1078190
2021-12-16,41.21,41.3,39.54,39.72,679140
2021-12-17,39.53,39.71,38.71,39.16,1000250
2021-12-20,38.96,39.29,38.22,38.54,932590
2021-12-21,40.33,41.18,40.14,40.94,1172530
2021-12-22,40.55,41.34,40.48,41.33,362820
2021-12-23,41.93,42.43,41.66,42.06,423290
2021-12-27,42.31,44.16,42.31,44.04,864010
2021-12-28,44.24,44.24,43.06,43.17,531780
2021-12-29,43.38,43.88,43.24,43.51,263610
2021-12-30,43.54,43.56,42.64,42.75,321050
2021-12-31,42.86,43.14,42.85,43.02,230770
2022-01-03,43.52,43.54,42.66,43.5,672600
2022-01-04,43.44,43.68,41.82,43.13,630840
2022-01-05,43.21,43.49,41.99,42.05,527840
2022-01-06,42.06,43.49,41.84,43.25,723950
2022-01-07,43.14,43.35,41.62,41.66,664170
2022-01-10,40.92,41.95,40.49,41.9,743060
2022-01-11,41.62,42.59,41.11,42.57,553400
2022-01-12,43.0,43.68,43.0,43.41,839250
2022-01-13,44.67,45.69,42.06,42.19,1217220
2022-01-14,42.06,44.55,42.06,44.54,791590
2022-01-18,43.27,43.27,41.21,41.27,976710
2022-01-19,41.81,42.15,39.3,39.33,1037140
2022-01-20,39.91,40.74,38.24,38.34,1181960
2022-01-21,37.97,38.81,37.11,37.33,1363590
2022-01-24,36.77,39.35,36.41,39.18,1754390
2022-01-25,37.9,38.09,36.98,36.99,788140
2022-01-26,38.34,39.79,37.42,38.12,1584870
2022-01-27,37.73,37.8,35.92,36.23,2441220
2022-01-28,34.83,36.67,34.4,36.67,1419560
2022-01-31,37.07,38.97,36.69,38.9,1536590
2022-02-01,39.11,39.13,37.6,38.82,880600
2022-02-02,39.15,39.66,38.64,39.55,787830
2022-02-03,38.54,38.91,37.29,37.37,842610
2022-02-04,37.22,38.05,36.86,37.77,618850
2022-02-07,37.87,38.1,37.43,37.56,451080
2022-02-08,37.83,38.62,37.32,38.53,503330
2022-02-09,39.39,40.1,39.08,40.04,692340
2022-02-10,39.25,40.53,38.74,38.98,521890
2022-02-11,39.22,39.35,36.51,36.94,1127150
2022-02-14,37.12,37.68,35.93,36.49,781980
2022-02-15,37.55,38.92,37.49,38.75,617030
2022-02-16,38.27,38.73,37.76,38.57,581220
2022-02-17,37.89,38.0,36.54,36.62,1161610
2022-02-18,37.0,37.0,35.34,35.8,744690
2022-02-22,35.46,36.51,34.87,35.6,698620
2022-02-23,35.93,36.42,34.29,34.35,681600
