date,open,high,low,close,volume
2021-07-21,17.68,18.025,17.65,17.865,354135
2021-07-22,17.69,17.74,17.32,17.485,477634
2021-07-23,17.42,17.42,17.11,17.365,455537
2021-07-26,17.47,17.86,17.455,17.82,231255
2021-07-27,17.71,17.825,17.57,17.74,281824
2021-07-28,17.82,17.925,17.61,17.78,261081
2021-07-29,17.88,17.99,17.795,17.9,586846
2021-07-30,17.58,17.72,17.295,17.37,355208
2021-08-02,17.44,17.71,17.26,17.315,222633
2021-08-03,17.35,17.49,17.01,17.475,308363
2021-08-04,17.235,17.43,17.085,17.145,253134
2021-08-05,17.25,17.3,17.015,17.02,438371
2021-08-06,17.185,17.195,17.02,17.115,570362
2021-08-09,17.01,17.165,16.935,17.045,336257
2021-08-10,17.09,17.25,17.06,17.195,239247
2021-08-11,17.23,17.295,17.095,17.235,306724
2021-08-12,17.28,17.375,17.11,17.3,174944
2021-08-13,17.28,17.335,17.16,17.2,280790
2021-08-16,17.085,17.19,16.97,16.995,283010
2021-08-17,16.92,17.075,16.645,16.745,290479
2021-08-18,16.7,16.72,16.26,16.27,398633
2021-08-19,16.07,16.15,15.775,15.885,418197
2021-08-20,15.81,16.095,15.78,15.93,465788
2021-08-23,16.22,16.335,16.13,16.28,274672
2021-08-24,16.34,16.53,16.29,16.48,430173
2021-08-25,16.445,16.62,16.4,16.465,230859
2021-08-26,16.375,16.42,16.14,16.14,244224
2021-08-27,16.35,16.715,16.34,16.585,272388
2021-08-30,16.6,16.6,16.34,16.34,400305
2021-08-31,16.3,16.35,16.195,16.28,464508
2021-09-01,16.28,16.37,16.145,16.155,278670
2021-09-02,16.27,16.45,16.27,16.43,228748
2021-09-03,16.33,16.46,16.245,16.335,176561
2021-09-07,16.29,16.42,16.13,16.165,302385
2021-09-08,16.22,16.38,16.08,16.095,356269
2021-09-09,16.01,16.23,15.925,15.985,341057
2021-09-10,16.09,16.14,15.885,15.96,229823
2021-09-13,16.13,16.31,16.05,16.13,316428
2021-09-14,16.24,16.245,15.925,16.0,272477
2021-09-15,16.13,16.47,16.095,16.375,671729
2021-09-16,16.41,16.42,16.115,16.15,510968
2021-09-17,16.13,16.3,15.91,15.93,908922
2021-09-20,15.645,15.82,15.475,15.67,475911
2021-09-21,15.875,15.95,15.65,15.785,579020
2021-09-22,15.965,16.285,15.965,16.125,474600
2021-09-23,16.225,16.585,16.16,16.49,629914
2021-09-24,16.46,16.635,16.445,16.53,396819
2021-09-27,16.79,17.125,16.77,16.975,494934
2021-09-28,17.11,17.195,16.83,16.9,605820
2021-09-29,16.95,17.065,16.835,16.925,419686
2021-09-30,16.97,17.0,16.725,16.745,457858
2021-10-01,16.79,16.965,16.69,16.91,313377
2021-10-04,17.0,17.245,16.86,16.935,893856
2021-10-05,17.12,17.135,16.775,16.91,831026
2021-10-06,16.8,16.9,16.52,16.74,413992
2021-10-07,16.8,17.045,16.785,16.935,539755
2021-10-08,17.1,17.53,17.1,17.47,413244
2021-10-11,17.74,17.995,17.655,17.74,537488
2021-10-12,17.73,18.055,17.68,17.95,617073
2021-10-13,17.78,18.055,17.58,17.98,444097
2021-10-14,18.3,18.405,18.18,18.375,468022
2021-10-15,18.46,18.61,18.405,18.46,330420
2021-10-18,18.58,18.755,18.355,18.47,408429
2021-10-19,18.55,18.56,18.34,18.45,260986
2021-10-20,18.375,18.675,18.28,18.67,342107
2021-10-21,18.21,18.25,17.315,17.53,982076
2021-10-22,17.6,17.7,17.385,17.67,486000
2021-10-25,17.83,17.875,17.7,17.85,294951
2021-10-26,17.95,17.97,17.605,17.61,359205
2021-10-27,17.57,17.62,17.235,17.305,254418
2021-10-28,17.22,17.37,17.22,17.35,225812
2021-10-29,17.12,17.13,16.735,16.74,274006
2021-11-01,16.91,17.09,16.715,17.045,497971
2021-11-02,17.0,17.075,16.8,16.96,262264
2021-11-03,16.8,16.965,16.8,16.845,299143
2021-11-04,16.99,17.0,16.56,16.76,216803
2021-11-05,16.97,17.0,16.79,16.94,163468
2021-11-08,17.03,17.06,16.78,16.84,228509
2021-11-09,16.795,16.835,16.625,16.83,178009
2021-11-10,16.86,16.97,16.615,16.695,397841
2021-11-11,16.68,16.8,16.665,16.78,229825
2021-11-12,16.675,16.785,16.62,16.685,246426
2021-11-15,16.76,16.995,16.63,16.855,359408
2021-11-16,16.87,16.89,16.605,16.655,328553
2021-11-17,16.62,16.755,16.455,16.515,227774
2021-11-18,16.46,16.57,16.245,16.27,475510
2021-11-19,16.05,16.285,16.05,16.165,488962
2021-11-22,16.1,16.355,16.09,16.12,366684
2021-11-23,16.24,16.42,16.205,16.33,397208
2021-11-24,16.33,16.59,16.33,16.51,185542
2021-11-26,16.01,16.345,15.895,16.245,279083
2021-11-29,16.45,16.47,16.01,16.01,620971
2021-11-30,15.79,15.845,15.45,15.46,1343150
2021-12-01,15.8,16.09,15.26,15.26,444905
2021-12-02,15.38,15.775,15.31,15.74,569747
2021-12-03,15.85,15.87,15.48,15.595,425582
2021-12-06,15.8,15.965,15.65,15.78,319817
2021-12-07,15.98,16.32,15.91,16.23,472336
2021-12-08,16.27,16.38,16.205,16.25,359397
2021-12-09,16.13,16.145,15.94,16.01,230133
2021-12-10,16.13,16.17,15.93,16.165,311102
2021-12-13,16.13,16.19,15.8,15.94,423101
2021-12-14,15.95,16.15,15.76,15.825,575762
2021-12-15,15.84,15.975,15.54,15.875,672742
2021-12-16,16.03,16.125,15.83,15.865,524063
2021-12-17,15.86,15.86,15.485,15.605,721242
2021-12-20,15.31,15.32,15.015,15.255,390860
2021-12-21,15.4,15.785,15.4,15.65,404150
2021-12-22,15.55,15.63,15.37,15.565,221507
2021-12-23,15.65,15.75,15.6,15.645,250111
2021-12-27,15.635,15.83,15.49,15.815,261395
2021-12-28,15.82,15.975,15.745,15.865,215975
2021-12-29,15.87,15.945,15.755,15.83,196977
2021-12-30,15.83,15.97,15.785,15.8,122721
2021-12-31,15.77,15.94,15.76,15.86,127711
2022-01-03,15.96,16.355,15.89,16.345,282575
2022-01-04,16.5,16.775,16.425,16.595,481015
