date,open,high,low,close,volume
2021-07-21,98.79,100.59,98.74,100.575,51854
2021-07-22,99.01,100.34,98.28,100.17,113729
2021-07-23,100.665,103.18,100.665,102.86,77055
2021-07-26,102.98,103.62,100.85,101.29,71796
2021-07-27,100.79,102.93,100.2,102.37,78480
2021-07-28,102.105,102.71,100.69,100.81,38152
2021-07-29,101.895,106.68,101.85,106.485,118002
2021-07-30,105.19,107.44,105.14,105.14,53169
2021-08-02,105.64,107.22,104.98,105.9,86320
2021-08-03,106.04,107.345,104.77,107.31,50850
2021-08-04,107.36,107.86,105.49,105.49,89598
2021-08-05,106.4,106.75,105.18,105.46,44046
2021-08-06,105.23,106.335,103.67,104.06,63449
2021-08-09,103.84,104.975,103.07,103.77,40633
2021-08-10,103.71,107.15,103.71,105.72,43778
2021-08-11,105.43,108.87,105.28,108.865,32277
2021-08-12,108.51,109.35,107.005,107.52,28505
2021-08-13,108.06,108.355,106.83,108.21,35942
2021-08-16,107.63,110.09,107.28,108.76,40833
2021-08-17,106.94,107.41,103.41,104.55,44404
2021-08-18,103.245,105.74,102.62,103.95,34398
2021-08-19,102.48,104.28,102.375,103.73,80886
2021-08-20,104.14,105.58,103.88,105.33,34107
2021-08-23,105.68,105.68,102.44,104.39,61440
2021-08-24,105.67,108.47,104.95,107.05,41061
2021-08-25,107.21,108.88,106.51,108.24,48183
2021-08-26,108.04,108.14,105.65,106.3,35436
2021-08-27,106.26,108.56,106.26,107.95,51895
2021-08-30,108.25,108.31,106.7,107.82,37555
2021-08-31,108.05,108.3,106.65,107.265,67986
2021-09-01,107.88,109.71,106.95,108.63,75970
2021-09-02,108.905,109.41,107.5,107.54,55470
2021-09-03,106.47,106.865,104.62,105.61,42387
2021-09-07,105.15,106.02,103.76,104.33,45051
2021-09-08,101.84,103.68,100.56,100.9,117564
2021-09-09,101.38,101.38,99.57,100.2,67068
2021-09-10,101.1,101.98,99.615,99.67,89002
2021-09-13,100.19,100.19,97.27,99.46,132027
2021-09-14,100.2,100.55,97.69,98.57,73827
2021-09-15,98.01,98.855,97.2,98.51,60886
2021-09-16,98.18,101.165,98.18,100.29,40460
2021-09-17,100.19,101.63,100.0,101.32,55361
2021-09-20,98.61,100.53,96.6,98.22,147602
2021-09-21,96.37,98.805,95.56,97.72,116657
2021-09-22,99.79,99.89,97.865,98.05,73658
2021-09-23,98.365,100.54,98.12,99.5,239248
2021-09-24,99.215,100.33,98.25,99.95,155306
2021-09-27,99.27,99.97,98.26,99.44,108191
2021-09-28,98.25,98.71,95.18,96.25,112769
2021-09-29,97.33,98.93,96.26,96.36,152145
2021-09-30,97.46,97.46,93.67,93.67,182997
2021-10-01,94.51,94.69,93.25,93.65,123862
2021-10-04,93.17,94.0,92.13,92.29,241534
2021-10-05,92.375,93.42,91.45,91.82,280338
2021-10-06,91.76,94.19,91.71,93.25,87856
2021-10-07,94.28,95.74,93.985,94.09,138697
2021-10-08,94.23,94.55,93.26,93.845,214579
2021-10-11,93.63,94.63,93.39,93.49,112198
2021-10-12,93.635,95.01,93.37,94.5,227882
2021-10-13,94.8,95.58,94.04,95.06,167197
2021-10-14,95.83,98.52,95.8,98.33,161778
2021-10-15,98.9,99.73,97.1,97.1,196511
2021-10-18,97.3,100.26,97.29,100.13,130191
2021-10-19,100.08,100.64,99.02,99.87,130853
2021-10-20,100.3,103.025,100.08,102.2,178061
2021-10-21,101.53,102.05,100.86,101.4,166356
2021-10-22,101.84,102.71,100.2,100.5,250494
2021-10-26,100.88,100.88,99.51,100.44,120261
2021-10-27,101.05,104.03,99.74,99.77,264855
2021-10-28,100.32,100.78,99.87,100.27,222381
2021-10-29,99.99,101.35,99.58,99.915,123268
2021-11-01,100.6,101.8,99.26,101.12,70872
2021-11-02,100.71,100.75,99.23,100.01,90433
2021-11-03,99.955,103.24,99.955,101.87,81485
2021-11-04,102.72,104.21,101.13,101.37,89687
2021-11-05,102.175,104.79,102.175,104.3,75829
2021-11-08,104.52,105.26,103.625,104.39,24006
2021-11-09,106.33,108.12,105.51,107.61,76381
2021-11-10,106.46,108.27,104.66,105.06,82084
2021-11-11,105.58,107.01,105.36,106.39,58002
2021-11-12,106.625,108.53,106.41,108.24,46110
2021-11-15,107.69,108.02,106.83,106.94,104841
2021-11-16,107.11,109.265,106.415,108.11,87167
2021-11-17,108.885,110.83,107.91,110.405,80247
2021-11-18,111.24,111.425,109.76,111.16,66405
2021-11-19,111.0,114.385,111.0,111.42,100165
2021-11-22,111.75,112.46,110.26,110.26,56171
2021-11-23,110.03,110.95,108.66,110.69,79734
2021-11-24,109.855,110.685,109.41,109.75,61783
2021-11-26,107.85,109.02,106.56,107.21,63827
2021-11-29,107.84,108.27,106.15,107.21,163736
2021-11-30,106.895,109.04,104.335,105.05,143535
2021-12-01,109.245,111.15,107.34,108.58,118713
2021-12-02,109.005,114.02,108.74,113.11,128559
2021-12-03,114.16,114.65,111.025,112.36,95243
2021-12-06,113.53,115.43,112.6,114.8,133110
2021-12-07,115.8,115.88,113.94,114.825,98387
2021-12-08,115.07,116.3,114.545,115.335,86031
2021-12-09,114.85,117.2,114.44,115.53,169348
2021-12-10,116.16,117.1,114.78,116.93,172605
2021-12-13,117.46,117.46,112.97,113.16,163270
2021-12-14,111.95,112.59,109.79,111.13,191825
2021-12-15,111.45,113.2,110.02,113.14,160571
2021-12-16,108.84,110.91,106.99,108.6,280799
2021-12-17,108.23,108.24,104.83,105.79,202710
2021-12-20,104.4,106.31,103.45,105.82,121104
2021-12-21,106.96,109.12,106.96,108.72,95312
2021-12-22,109.03,112.44,109.03,112.36,99314
2021-12-23,112.43,112.7,111.31,112.02,41276
2021-12-27,113.08,113.49,111.82,113.49,36308
2021-12-28,113.55,115.03,113.44,114.49,70402
2021-12-29,114.505,116.7,114.49,116.09,58121
2021-12-30,116.13,116.46,114.97,115.25,60885
2021-12-31,115.13,116.71,114.705,116.17,42824
2022-01-03,115.77,116.11,111.175,111.84,106476
2022-01-04,112.345,113.02,111.35,112.54,119561
2022-01-05,112.01,115.465,110.39,110.825,179828
2022-01-06,110.36,110.4,106.91,108.16,158007
2022-01-07,107.61,107.755,102.8,102.91,176409
2022-01-10,101.26,104.23,100.96,104.03,129881
2022-01-11,103.73,107.98,103.63,107.78,126583
2022-01-12,107.89,109.045,106.97,107.94,151052
2022-01-13,111.315,112.05,107.3,108.59,248085
2022-01-14,108.28,109.705,106.97,108.22,91294
2022-01-18,106.03,106.175,100.92,101.22,127968
2022-01-19,98.37,100.8,96.63,96.87,244381
2022-01-20,98.5,99.16,95.49,95.59,268222
2022-01-21,95.34,98.08,94.98,95.31,146608
2022-01-24,93.9,95.06,93.075,94.74,26339
2022-01-25,98.11,99.25,96.26,97.92,227537
2022-01-26,99.155,99.63,91.74,93.14,330243
2022-01-27,92.0,94.385,91.16,91.7,165370
2022-01-28,92.15,93.48,89.14,93.48,184392
