date,open,high,low,close,volume
2021-07-21,291.965,294.65,291.965,294.13,92395
2021-07-22,296.88,296.885,294.55,295.21,71562
2021-07-23,297.75,298.98,296.21,298.86,61601
2021-07-26,299.55,299.91,296.95,298.23,50775
2021-07-27,297.32,300.59,295.88,298.85,33411
2021-07-28,297.865,298.66,296.66,296.9,52777
2021-07-29,297.83,300.57,297.39,299.54,88223
2021-07-30,302.28,308.77,302.23,307.39,164212
2021-08-02,308.72,310.01,300.12,300.12,106967
2021-08-03,301.225,303.15,300.205,302.91,97331
2021-08-04,304.7,307.57,304.7,305.58,63561
2021-08-05,307.71,308.9,304.5,304.82,62238
2021-08-06,305.48,306.78,304.26,305.73,30233
2021-08-09,305.75,305.75,301.79,303.15,37639
2021-08-10,301.86,304.65,301.06,301.77,108213
2021-08-11,307.345,307.45,303.725,306.1,122946
2021-08-12,308.42,308.42,304.95,306.5,24345
2021-08-13,308.365,309.37,307.4,309.37,33031
2021-08-16,310.25,311.6,308.37,311.495,32557
2021-08-17,311.715,311.97,307.89,311.68,53627
2021-08-18,312.78,314.28,309.83,309.86,58923
2021-08-19,307.87,311.83,307.87,311.17,70284
2021-08-20,311.06,314.07,310.76,313.91,106842
2021-08-23,312.97,314.25,312.83,312.83,28333
2021-08-24,313.95,313.95,311.98,312.53,34144
2021-08-25,310.57,313.48,310.04,312.92,24514
2021-08-26,313.555,313.555,311.31,311.45,40277
2021-08-27,313.44,314.8,312.42,314.62,32912
2021-08-30,315.46,316.205,314.68,315.54,31094
2021-08-31,315.04,315.415,313.6,314.47,34999
2021-09-01,313.49,315.37,312.235,313.84,66967
2021-09-02,314.73,315.66,313.795,315.57,50940
2021-09-03,314.76,316.15,313.35,313.42,48658
2021-09-07,316.62,317.03,312.79,315.65,61781
2021-09-08,314.34,315.72,310.41,311.38,78527
2021-09-09,312.84,315.49,312.18,312.67,59014
2021-09-10,313.06,314.035,310.19,310.42,36228
2021-09-13,315.33,315.355,311.375,313.34,92475
2021-09-14,315.665,315.665,311.02,311.89,42399
2021-09-15,313.5,315.0,311.63,314.8,84011
2021-09-16,314.28,314.31,310.03,313.05,56010
2021-09-17,309.5,311.18,306.0,309.21,180483
2021-09-20,302.08,304.48,299.59,302.15,90617
2021-09-21,305.625,306.09,303.065,305.1,62433
2021-09-22,306.05,309.22,305.77,306.07,96035
2021-09-23,308.75,311.73,308.75,310.51,51662
2021-09-24,308.24,311.1,308.06,310.31,35964
2021-09-27,310.69,312.24,308.6,309.27,55752
2021-09-28,305.21,305.21,298.235,299.87,139449
2021-09-29,299.39,300.47,298.36,299.07,35292
2021-09-30,299.02,300.42,293.37,293.37,55916
2021-10-01,295.415,298.52,292.93,297.75,62750
2021-10-04,296.76,297.95,292.09,294.69,87234
2021-10-05,295.05,299.645,294.43,297.86,50187
2021-10-06,294.3,296.215,290.41,296.0,79356
2021-10-07,298.01,302.36,297.94,299.07,55438
2021-10-08,299.79,299.83,295.73,296.135,35073
2021-10-11,295.765,298.12,294.85,294.99,31016
2021-10-12,295.79,296.98,294.27,295.85,49100
2021-10-13,298.78,302.085,297.87,301.03,51564
2021-10-14,304.52,309.08,303.81,308.83,34371
2021-10-15,308.54,309.35,306.58,308.51,58590
2021-10-18,307.195,308.49,305.97,308.0,44754
2021-10-19,308.03,310.93,307.07,310.69,42316
2021-10-20,311.275,311.9,310.33,311.17,33269
2021-10-21,311.06,311.57,308.5,311.53,40699
2021-10-22,313.26,314.93,312.92,314.02,62677
2021-10-26,317.53,319.1,316.82,316.85,41213
2021-10-27,319.23,321.42,316.83,318.89,65440
2021-10-28,316.835,318.37,315.69,317.92,106342
2021-10-29,317.33,322.475,316.875,319.25,48613
2021-11-01,321.32,324.16,320.57,322.97,47997
2021-11-02,327.2,328.72,326.07,327.42,69773
2021-11-03,329.1,330.08,325.38,328.38,87237
2021-11-04,329.665,331.61,328.495,331.52,155890
2021-11-05,331.7,332.51,330.745,332.08,61350
2021-11-08,335.41,337.86,335.18,337.59,62759
2021-11-09,339.235,339.39,337.53,338.57,54904
2021-11-10,338.245,338.54,335.59,336.64,77348
2021-11-11,337.56,337.56,335.67,335.67,35705
2021-11-12,337.575,337.575,335.92,337.0,56766
2021-11-15,336.5,336.51,332.87,333.99,67210
2021-11-16,333.98,335.295,332.87,332.95,79785
2021-11-17,334.245,334.245,331.16,331.45,91588
2021-11-18,331.65,331.65,329.385,331.0,46183
2021-11-19,331.14,333.12,330.755,332.09,48383
2021-11-22,332.6,334.36,329.855,329.855,36869
2021-11-23,328.82,331.46,328.82,330.28,43165
2021-11-24,325.01,328.08,325.01,327.22,62066
2021-11-26,322.92,324.3,319.87,320.88,37305
2021-11-29,321.33,322.6,318.67,320.72,78533
2021-11-30,320.0,320.575,315.85,318.22,110148
2021-12-01,321.7,325.74,318.27,318.27,71970
2021-12-02,320.075,324.59,319.69,323.8,131973
2021-12-03,325.98,326.73,318.34,320.66,104736
2021-12-06,324.97,326.31,323.53,325.0,63017
2021-12-07,331.13,332.51,330.23,330.6,69124
2021-12-08,333.735,333.96,330.98,333.21,54664
2021-12-09,330.9,333.88,330.57,332.18,27724
2021-12-10,333.66,334.725,332.86,334.09,35551
2021-12-13,333.62,335.46,331.66,334.18,35390
2021-12-14,335.35,335.82,333.12,334.61,61803
2021-12-15,336.07,341.41,334.78,341.38,42795
2021-12-16,340.9,343.25,338.71,340.085,65919
2021-12-17,338.625,338.625,333.175,333.78,51559
2021-12-20,329.59,330.64,327.11,330.26,73956
2021-12-21,330.935,333.98,329.8,332.83,39557
2021-12-22,331.91,335.51,331.465,335.29,36335
2021-12-23,335.22,340.48,335.22,339.08,48406
2021-12-27,341.5,343.835,341.345,343.565,43300
2021-12-28,343.06,344.9,343.06,343.76,38028
2021-12-29,344.17,346.4,344.03,345.36,28344
2021-12-30,345.93,346.03,344.02,344.33,56962
2021-12-31,343.65,346.93,343.65,346.35,28515
2022-01-03,346.475,346.49,338.43,338.58,74006
2022-01-04,338.91,345.63,338.36,344.79,70642
2022-01-05,347.155,352.1,346.37,346.4,76861
2022-01-06,344.85,345.35,337.82,338.1,80434
2022-01-07,338.19,338.19,333.49,336.21,61516
2022-01-10,333.46,335.54,331.04,335.21,55665
2022-01-11,334.21,336.29,331.19,336.24,62388
2022-01-12,338.2,341.88,337.2,341.15,58418
2022-01-13,338.33,339.66,332.805,333.17,100946
2022-01-14,328.68,330.58,325.31,328.74,79555
2022-01-18,322.975,323.18,318.51,321.13,119364
2022-01-19,324.86,326.77,321.86,322.25,77830
2022-01-20,324.27,327.48,321.29,322.11,70366
2022-01-21,320.44,322.01,315.7,316.095,94410
2022-01-24,313.62,313.65,307.68,310.8,35245
2022-01-25,310.56,316.15,306.58,313.64,83814
2022-01-26,316.43,317.655,306.13,309.1,117595
2022-01-27,311.165,313.99,307.55,311.39,104323
2022-01-28,308.25,314.97,305.49,314.97,121819
2022-01-31,310.21,318.77,309.88,318.77,110678
2022-02-01,320.42,322.07,316.38,321.42,131004
2022-02-02,320.5,324.505,320.27,322.27,70468
2022-02-03,318.87,319.3,310.99,311.89,96447
2022-02-04,302.41,304.31,297.665,297.92,193681
2022-02-07,296.83,299.49,295.615,296.56,90617
2022-02-08,296.73,299.54,294.96,298.84,84226
2022-02-09,303.035,304.945,301.77,304.385,136416
2022-02-10,309.74,316.78,307.405,308.82,154855
2022-02-11,307.095,308.97,293.68,294.81,110794
2022-02-14,294.15,295.83,290.46,293.59,113560
2022-02-15,300.21,302.42,299.09,302.01,84673
2022-02-16,301.32,305.215,299.22,303.94,94250
2022-02-17,301.41,302.62,298.29,298.855,70928
2022-02-18,300.36,305.16,298.8,302.98,178529
2022-02-22,292.71,294.86,289.74,293.65,155033
2022-02-23,295.79,297.095,290.71,291.03,206499
2022-02-24,276.8,285.86,276.8,285.09,229868
2022-02-25,287.64,297.62,287.63,297.62,143040
2022-02-28,287.97,294.6,287.97,293.13,121388
2022-03-01,291.91,293.03,280.77,282.41,162185
2022-03-02,284.415,291.81,282.465,290.19,152496
2022-03-03,290.35,291.77,285.74,287.36,110548
2022-03-04,278.9,281.52,276.415,281.52,198155
2022-03-07,280.99,281.155,269.88,270.93,203336
2022-03-09,283.03,296.15,282.18,292.55,240574
2022-03-10,280.82,288.0,280.29,283.34,157452
2022-03-11,288.27,289.28,280.39,280.39,131477
2022-03-14,288.66,292.605,284.66,285.25,149646
2022-03-15,290.46,294.54,287.41,294.2,176447
2022-03-16,302.03,307.21,298.67,304.64,130524
2022-03-17,303.02,310.05,302.55,309.3,67210
2022-03-18,304.71,312.47,304.71,311.665,83789
2022-03-21,311.78,312.085,308.54,310.62,61795
2022-03-22,312.14,313.22,309.65,311.97,54138
2022-03-23,308.16,310.46,306.97,307.37,106179
2022-03-24,310.11,318.075,310.1,318.075,117320
2022-03-25,320.35,320.83,315.92,318.95,78911
2022-03-28,319.62,322.66,319.125,322.61,154415
2022-03-29,327.59,328.485,320.77,326.33,170749
2022-03-30,324.69,326.47,322.57,325.47,96529
2022-03-31,323.43,324.76,319.24,319.45,81567
2022-04-01,321.64,322.86,320.37,322.855,103586
