date,open,high,low,close,volume
2021-07-21,380.26,384.42,379.52,380.87,32559
2021-07-22,380.225,381.47,378.365,379.76,36602
2021-07-23,381.75,382.415,380.36,380.87,33228
2021-07-26,373.85,373.85,366.57,368.02,109184
2021-07-27,368.97,375.44,368.83,374.65,53940
2021-07-28,375.35,375.87,370.705,372.925,39462
2021-07-29,375.56,375.56,371.8,372.5,39700
2021-07-30,372.49,373.64,370.11,371.55,30948
2021-08-02,372.44,374.635,368.12,368.18,40459
2021-08-03,369.45,369.68,366.06,369.38,51387
2021-08-04,363.77,364.975,359.68,361.78,74878
2021-08-05,363.02,363.02,360.03,360.72,50861
2021-08-06,362.57,363.26,360.62,362.0,28021
2021-08-09,360.38,362.18,359.85,360.81,29356
2021-08-10,360.49,362.95,360.15,362.395,28239
2021-08-11,362.02,364.08,361.0,363.385,35259
2021-08-12,363.42,364.19,359.12,359.705,42948
2021-08-13,360.305,360.72,357.62,357.84,69316
2021-08-16,358.37,360.44,356.06,360.26,161163
2021-08-17,359.27,362.425,358.86,361.6,46153
2021-08-18,360.32,360.32,356.63,356.65,32272
2021-08-19,355.015,359.805,353.65,353.655,37909
2021-08-20,354.71,358.625,354.52,357.43,27678
2021-08-23,357.84,358.95,356.63,357.55,22510
2021-08-24,358.52,360.155,358.155,358.99,29032
2021-08-25,359.04,360.46,358.14,358.77,25988
2021-08-26,358.74,361.91,357.51,361.62,50938
2021-08-27,363.4,364.26,361.235,362.02,31799
2021-08-30,362.665,363.82,361.91,362.09,27048
2021-08-31,359.435,360.77,358.83,359.87,38760
2021-09-01,359.24,359.24,356.57,356.82,50173
2021-09-02,356.965,358.72,355.52,358.135,89595
2021-09-03,357.82,358.27,355.76,356.015,45130
2021-09-07,354.56,354.56,349.17,349.19,83923
2021-09-08,349.71,353.535,349.63,351.45,75950
2021-09-09,350.35,351.525,348.015,348.985,65801
2021-09-10,349.395,350.06,345.865,345.94,71199
2021-09-13,347.915,349.06,342.76,346.37,85188
2021-09-14,348.14,348.14,342.71,344.35,79354
2021-09-15,344.765,346.805,343.98,345.02,42816
2021-09-16,345.485,345.78,340.81,341.38,64456
2021-09-17,341.07,342.755,339.42,340.84,63762
2021-09-20,337.4,340.65,335.89,338.46,47836
2021-09-21,339.2,340.01,335.17,336.3,39214
2021-09-22,339.44,342.95,339.44,341.88,58925
2021-09-23,340.43,344.75,340.28,344.07,61345
2021-09-24,348.61,352.83,347.63,349.61,56189
2021-09-27,351.89,357.21,351.71,353.26,73587
2021-09-28,353.86,354.56,350.01,352.16,50374
2021-09-29,348.22,352.2,345.005,350.455,75210
2021-09-30,351.62,352.3,344.92,344.92,68629
2021-10-01,347.05,349.66,342.86,347.74,31378
2021-10-04,349.595,349.94,344.01,346.03,49335
2021-10-05,345.27,350.3,345.27,347.73,25381
2021-10-06,346.58,350.14,344.39,350.14,52011
2021-10-07,351.75,354.22,351.495,351.75,32395
2021-10-08,352.43,355.05,350.88,353.8,26523
2021-10-11,354.7,359.21,354.335,357.0,57788
2021-10-12,356.645,360.065,356.58,358.34,23435
2021-10-13,358.89,362.37,353.68,361.84,57408
2021-10-14,362.61,364.03,360.51,362.09,31575
2021-10-15,364.245,366.17,364.09,365.51,26170
2021-10-18,363.73,367.75,361.875,364.97,40717
2021-10-19,365.77,371.075,363.67,371.075,40267
2021-10-20,371.75,372.505,369.94,371.04,33868
2021-10-21,369.57,373.23,367.41,373.13,27948
2021-10-22,373.35,376.915,372.9,374.77,57722
2021-10-26,348.75,351.0,326.075,332.115,304167
2021-10-27,332.98,336.16,330.76,330.98,72946
2021-10-28,329.67,334.58,325.16,331.35,114882
2021-10-29,330.58,334.33,328.85,332.29,61469
2021-11-01,330.94,334.14,330.1,330.89,106841
2021-11-02,331.43,331.92,325.33,326.24,124406
2021-11-03,325.37,332.99,324.715,331.33,79319
2021-11-04,331.33,335.7,331.3,335.46,198111
2021-11-05,337.55,340.485,336.51,339.71,55713
2021-11-08,341.625,342.9,337.62,341.76,41863
2021-11-09,341.59,341.59,337.175,338.12,66652
2021-11-10,339.47,340.48,337.55,337.55,53386
2021-11-11,335.05,336.91,334.71,335.86,47584
2021-11-12,336.2,340.27,336.13,339.155,48841
2021-11-15,340.87,341.59,339.55,340.89,36352
2021-11-16,342.1,343.57,339.81,340.42,36311
2021-11-17,340.705,343.32,340.6,341.995,69204
2021-11-18,342.17,343.06,340.38,341.985,69567
2021-11-19,340.95,342.99,339.56,341.48,60073
2021-11-22,341.77,347.52,341.58,345.03,64204
2021-11-23,345.53,348.04,344.755,345.23,35259
2021-11-24,346.51,346.71,343.1,343.57,38833
2021-11-26,339.06,343.21,338.57,342.63,50159
2021-11-29,344.01,344.01,339.26,341.17,76951
2021-11-30,336.79,338.23,333.05,333.16,88759
2021-12-01,335.27,335.78,328.325,328.41,115197
2021-12-02,331.08,333.89,328.44,330.46,147516
2021-12-03,332.14,334.35,330.38,333.72,84876
2021-12-06,337.53,342.36,337.53,339.92,77902
2021-12-07,340.195,341.76,338.8,339.175,70995
2021-12-08,341.39,342.36,339.13,341.18,105476
2021-12-09,340.07,345.06,338.47,343.66,75603
2021-12-10,345.65,346.96,344.68,344.97,45239
2021-12-13,344.505,346.48,341.84,345.8,95914
2021-12-14,343.75,348.4,343.75,345.68,51412
2021-12-15,345.62,345.62,340.01,344.33,53285
2021-12-16,345.89,347.96,343.79,344.84,45314
2021-12-17,345.94,347.155,343.42,343.93,56552
2021-12-20,340.815,341.14,333.54,337.47,166576
2021-12-21,339.035,343.24,339.035,340.8,137591
2021-12-22,342.65,344.31,342.37,343.0,75368
2021-12-23,344.99,348.24,344.99,347.03,42622
2021-12-27,347.16,350.76,347.16,350.28,33748
2021-12-28,350.11,355.12,349.98,353.76,54468
2021-12-29,354.37,355.3,353.12,354.27,24393
2021-12-30,355.38,357.7,353.59,353.77,31252
2021-12-31,353.07,357.0,352.1,355.49,28601
2022-01-03,355.0,356.19,353.14,354.41,43168
2022-01-04,355.69,363.52,355.69,362.04,48527
2022-01-05,362.42,363.3,357.91,358.14,78285
2022-01-06,360.59,361.01,357.59,358.045,78688
2022-01-07,360.0,362.91,358.425,360.23,66933
2022-01-10,362.3,369.41,362.3,363.18,104772
2022-01-11,363.695,365.0,361.52,364.23,53815
2022-01-12,364.085,365.97,359.73,361.32,93569
2022-01-13,360.22,367.3,360.22,365.29,55446
2022-01-14,364.94,372.99,363.995,372.66,113012
2022-01-18,370.3,377.31,369.05,376.64,194117
2022-01-19,374.44,381.33,374.44,377.45,294364
2022-01-20,376.92,381.065,374.01,375.21,109613
2022-01-21,373.77,377.09,370.065,371.26,97611
2022-01-24,370.68,374.48,368.09,372.285,56298
2022-01-25,378.44,388.0,372.12,387.17,169879
2022-01-26,388.0,393.48,383.78,391.095,120246
2022-01-27,388.64,395.565,384.83,389.02,113883
2022-01-28,386.68,393.25,384.97,393.25,78486
2022-01-31,390.51,390.96,384.83,389.46,110548
2022-02-01,389.425,390.12,386.38,386.93,96598
2022-02-02,387.72,387.95,385.62,387.14,96286
