date,open,high,low,close,volume
2021-07-21,194.705,195.41,193.98,195.15,97841
2021-07-22,195.81,196.94,194.95,196.78,79806
2021-07-23,198.0,201.38,197.67,200.895,105606
2021-07-26,196.05,197.9,193.84,197.76,130315
2021-07-27,197.64,197.72,191.55,193.55,171061
2021-07-28,193.73,195.32,192.08,192.37,82985
2021-07-29,193.01,194.25,192.02,193.61,125902
2021-07-30,192.85,195.22,192.435,192.63,146554
2021-08-02,193.86,193.86,190.87,190.88,120105
2021-08-03,191.76,194.58,191.57,193.93,104032
2021-08-04,193.49,193.77,189.82,189.82,171174
2021-08-05,190.79,192.55,190.015,190.69,121037
2021-08-06,191.43,192.54,189.835,190.13,134212
2021-08-09,189.805,189.805,187.85,188.0,119436
2021-08-10,187.91,190.8,187.41,189.755,128019
2021-08-11,191.0,194.66,191.0,194.445,140753
2021-08-12,193.89,194.83,190.825,191.95,105349
2021-08-13,191.47,192.245,189.765,190.49,117896
2021-08-16,190.04,193.88,189.19,193.67,142907
2021-08-17,187.33,187.33,182.09,182.2,358065
2021-08-18,189.17,203.64,188.8,199.76,643307
2021-08-19,198.84,203.28,198.5,202.6,216824
2021-08-20,202.88,208.86,202.84,208.15,154920
2021-08-23,208.96,209.39,205.75,206.09,116704
2021-08-24,206.395,206.395,202.87,203.33,143329
2021-08-25,203.41,206.78,203.215,206.28,147782
2021-08-26,205.645,206.79,204.07,205.66,118148
2021-08-27,205.03,207.52,205.03,205.83,125031
2021-08-30,208.31,209.395,204.9,205.04,163932
2021-08-31,206.18,206.4,203.35,203.75,109905
2021-09-01,204.38,204.95,201.62,203.32,126906
2021-09-02,203.99,206.61,203.75,206.07,92282
2021-09-03,204.87,206.82,204.37,205.96,88080
2021-09-07,205.86,207.06,204.93,205.06,101083
2021-09-08,204.17,204.34,201.515,204.0,132316
2021-09-09,204.165,204.69,202.57,202.87,88753
2021-09-10,204.98,206.56,204.18,204.33,75978
2021-09-13,205.87,207.17,204.79,206.05,94735
2021-09-14,206.69,206.92,204.01,204.08,105599
2021-09-15,204.01,206.15,201.53,205.625,109497
2021-09-16,206.03,209.33,206.0,208.42,140228
2021-09-17,208.04,211.865,207.945,209.03,174153
2021-09-20,206.34,208.45,203.08,205.26,165138
2021-09-21,206.13,208.16,205.48,206.25,99832
2021-09-22,207.87,210.23,206.73,208.84,120366
2021-09-23,210.02,211.6,207.8,207.975,225648
2021-09-24,208.1,208.66,206.89,207.92,77326
2021-09-27,208.18,212.17,207.9,210.63,73223
2021-09-28,209.22,209.46,204.77,205.475,136833
2021-09-29,206.56,208.17,206.03,207.13,64637
2021-09-30,207.015,207.34,202.27,202.75,138978
2021-10-01,203.76,205.33,201.94,203.68,98079
2021-10-04,202.875,204.57,201.59,204.56,220723
2021-10-05,205.93,207.72,204.17,204.19,97443
2021-10-06,203.94,205.07,201.99,203.97,110792
2021-10-07,205.69,209.57,205.615,207.9,122634
2021-10-08,205.57,207.62,204.67,206.15,86559
2021-10-11,208.06,211.73,207.94,208.86,256266
2021-10-12,209.805,211.63,209.78,209.78,66162
2021-10-13,211.05,213.56,210.6,212.12,92956
2021-10-14,214.48,216.555,213.47,216.47,106471
2021-10-15,218.29,219.99,217.54,219.1,145756
2021-10-18,218.885,222.58,218.885,221.77,67044
2021-10-19,222.19,223.51,221.59,222.91,78132
2021-10-20,224.4,225.29,222.72,224.92,107879
2021-10-21,224.62,227.595,224.59,227.41,68433
2021-10-22,227.97,229.82,227.57,228.76,67146
2021-10-26,233.43,233.56,230.51,231.09,106007
2021-10-27,233.25,234.915,231.685,231.92,86578
2021-10-28,232.99,234.21,231.25,231.74,107792
2021-10-29,230.57,234.68,230.57,233.8,89313
2021-11-01,235.15,235.74,230.23,231.77,454948
2021-11-02,232.31,234.11,231.32,233.03,114228
2021-11-03,233.93,234.55,232.08,234.35,172337
2021-11-04,235.08,238.91,235.04,237.74,200030
2021-11-05,239.11,239.11,235.11,235.67,154866
2021-11-08,236.55,238.03,233.235,234.71,183040
2021-11-09,235.38,237.11,233.04,233.91,287250
2021-11-10,232.56,235.58,231.74,232.51,148488
2021-11-11,234.29,234.6,231.295,232.26,168261
2021-11-12,234.06,236.69,232.11,236.3,147670
2021-11-15,236.15,237.125,234.49,235.02,168799
2021-11-16,240.55,246.685,239.53,244.92,271992
2021-11-17,250.21,255.005,245.29,245.68,495495
2021-11-18,246.36,249.97,245.23,247.32,215104
2021-11-19,247.43,250.72,245.97,249.65,131114
2021-11-22,250.6,256.235,250.01,252.35,168906
2021-11-23,251.615,252.65,248.61,251.82,132431
2021-11-24,249.815,253.4,249.11,252.6,87175
2021-11-26,249.62,251.84,247.27,247.76,109817
2021-11-29,250.6,252.07,248.43,248.525,171268
2021-11-30,247.585,250.44,244.54,244.54,215634
2021-12-01,247.1,252.23,245.23,245.29,218407
2021-12-02,246.645,251.6,245.84,250.48,210721
2021-12-03,252.075,253.71,247.08,248.56,258526
2021-12-06,252.42,254.13,250.76,251.11,151603
2021-12-07,253.7,257.515,252.54,256.89,136560
2021-12-08,256.74,258.525,254.55,256.85,114392
2021-12-09,255.345,260.79,255.03,258.0,119097
2021-12-10,258.865,261.47,257.85,261.45,87474
2021-12-13,262.79,263.05,256.4,257.01,250034
2021-12-14,254.785,256.79,250.51,252.46,230056
2021-12-15,249.7,258.33,249.31,257.65,220671
2021-12-16,258.68,258.68,253.14,253.2,176480
2021-12-17,252.23,253.04,247.52,248.035,234300
2021-12-20,245.22,245.91,242.61,245.57,193840
2021-12-21,248.01,248.215,243.63,246.925,147210
2021-12-22,247.53,249.92,246.34,249.74,76743
2021-12-23,250.0,251.67,249.21,250.18,104472
2021-12-27,251.89,253.78,251.51,253.78,56920
2021-12-28,254.25,254.89,253.0,253.99,70402
2021-12-29,255.25,258.5,255.085,257.52,72033
2021-12-30,258.54,259.13,256.06,256.41,45762
2021-12-31,256.445,259.69,256.04,258.47,62564
2022-01-03,259.21,259.97,253.16,255.56,171523
2022-01-04,255.83,260.81,255.83,259.81,134618
2022-01-05,258.665,259.43,254.805,254.83,233505
2022-01-06,257.65,258.43,255.06,257.85,161726
2022-01-07,256.915,256.915,250.76,251.15,185103
2022-01-10,246.9,248.08,240.63,247.84,223176
2022-01-11,248.165,249.94,244.97,249.565,196235
2022-01-12,251.05,254.67,249.94,250.67,142484
2022-01-13,253.05,253.54,250.16,250.66,125982
2022-01-14,247.71,247.84,241.5,243.3,262591
2022-01-18,238.55,239.05,234.33,238.46,208309
2022-01-19,239.63,241.09,234.305,234.83,159021
2022-01-20,236.02,237.54,223.345,223.85,394299
2022-01-21,222.775,229.665,221.58,224.82,341122
2022-01-24,220.85,225.43,220.28,225.32,57118
2022-01-25,226.96,231.84,224.66,230.02,290631
2022-01-26,232.56,234.66,225.74,228.135,249366
2022-01-27,231.48,232.93,223.95,225.935,268762
2022-01-28,227.72,235.11,224.8,234.95,184585
2022-01-31,234.18,237.54,232.86,237.34,217800
2022-02-01,238.335,239.18,233.88,238.26,156362
2022-02-02,238.53,240.44,236.65,239.17,91137
2022-02-03,235.66,239.3,233.82,234.17,118157
2022-02-04,233.99,233.99,225.18,229.2,257976
2022-02-07,230.215,230.825,224.6,227.04,142551
2022-02-08,227.35,232.53,226.04,231.57,133124
2022-02-09,234.715,236.2,232.85,233.62,131563
2022-02-10,230.55,232.78,225.805,227.36,169751
2022-02-11,227.735,229.54,224.96,225.96,135154
2022-02-14,224.13,226.96,223.15,225.97,102538
2022-02-15,228.63,229.84,227.01,228.09,128507
2022-02-16,226.91,228.06,223.61,226.75,166759
2022-02-17,225.51,227.09,223.27,223.69,198729
2022-02-18,223.12,225.705,220.53,222.82,316676
2022-02-22,217.36,221.33,210.85,214.6,482124
2022-02-23,221.18,227.635,214.145,215.22,785278
2022-02-24,208.87,214.25,206.425,213.44,420395
2022-02-25,214.01,219.68,210.21,219.21,267202
2022-02-28,217.14,221.3,215.82,220.99,276259
2022-03-01,221.185,224.36,220.23,221.61,251871
2022-03-02,221.53,229.935,221.36,228.64,217056
2022-03-03,229.71,230.63,225.19,226.38,167557
2022-03-04,224.48,226.63,221.81,224.05,168802
2022-03-07,223.79,227.96,222.08,222.37,411813
2022-03-09,227.98,230.085,225.63,225.63,195430
2022-03-10,223.39,224.32,219.14,224.14,170566
2022-03-11,223.71,227.34,222.03,222.24,172236
2022-03-14,224.37,227.645,221.385,226.45,192016
2022-03-15,227.9,232.26,227.57,231.04,127628
2022-03-16,232.95,234.27,226.93,231.34,191717
2022-03-17,229.915,234.4,228.37,234.31,186125
2022-03-18,233.58,235.99,229.965,235.99,269817
2022-03-21,236.71,238.255,225.71,227.69,251955
2022-03-22,227.75,229.78,225.44,228.53,153718
2022-03-23,227.44,227.73,219.86,220.95,215617
2022-03-24,221.0,221.9,218.05,219.19,146021
2022-03-25,220.73,220.88,211.44,212.88,329110
2022-03-28,211.69,213.84,207.67,213.8,318459
2022-03-29,217.76,221.14,216.54,219.515,224926
2022-03-30,215.72,217.15,208.965,209.41,417696
2022-03-31,206.17,208.56,202.04,202.23,380818
2022-04-01,203.03,203.92,201.44,202.47,237100
2022-04-04,201.545,204.24,199.79,204.16,196047
2022-04-05,203.32,207.99,201.685,204.895,292160
2022-04-06,200.91,202.67,196.66,200.81,376495
2022-04-07,199.275,204.03,197.575,202.72,277225
2022-04-08,201.84,207.69,200.74,206.84,234248
2022-04-11,204.805,208.305,203.395,204.69,228960
2022-04-12,208.76,210.32,203.41,204.23,243937
2022-04-13,203.36,206.83,203.28,205.625,125780
2022-04-14,206.165,207.3,201.18,201.3,160120
2022-04-18,200.72,202.0,197.36,198.47,191516
