date,open,high,low,close,volume
2021-07-21,61.0,63.86,61.0,63.7,836220
2021-07-22,63.25,63.8,63.06,63.59,1108730
2021-07-23,64.24,64.47,63.43,64.03,526330
2021-07-26,64.07,64.76,63.55,64.07,455770
2021-07-27,63.56,63.56,60.78,62.28,822940
2021-07-28,62.65,63.78,62.39,63.53,758200
2021-07-29,61.13,62.24,59.76,62.01,1486490
2021-07-30,61.27,63.74,61.22,63.72,946890
2021-08-02,64.62,65.85,64.12,64.2,675670
2021-08-03,64.58,64.81,63.83,64.55,383080
2021-08-04,65.05,65.46,64.16,64.97,1066860
2021-08-05,65.33,65.33,64.35,64.66,361190
2021-08-06,64.38,64.82,64.27,64.78,537550
2021-08-09,65.03,65.03,63.91,64.05,555950
2021-08-10,64.04,64.04,61.52,61.73,1077940
2021-08-11,61.88,62.09,59.65,60.83,1138400
2021-08-12,59.75,59.75,57.87,58.35,1493930
2021-08-13,58.33,58.59,57.75,58.01,668530
2021-08-16,57.88,59.03,57.88,58.9,661100
2021-08-17,58.14,58.73,57.16,57.89,575100
2021-08-18,58.21,58.53,56.93,56.93,460790
2021-08-19,56.54,57.91,56.21,57.65,773400
2021-08-20,58.35,58.35,56.0,56.6,850130
2021-08-23,57.27,58.61,57.27,58.41,1070250
2021-08-24,58.73,59.31,58.21,58.6,407810
2021-08-25,58.94,59.48,58.74,58.88,328700
2021-08-26,58.53,59.41,58.37,58.56,428200
2021-08-27,58.96,61.3,58.94,60.96,722990
2021-08-30,61.68,61.68,60.25,60.81,401220
2021-08-31,60.82,60.84,59.75,60.48,457900
2021-09-01,60.67,60.81,59.93,59.94,349170
2021-09-02,60.35,60.76,59.94,60.16,529690
2021-09-03,60.1,61.31,59.63,61.07,428210
2021-09-07,59.87,60.56,58.81,59.33,1225440
2021-09-08,59.04,59.12,57.66,58.34,1027590
2021-09-09,58.19,59.69,57.9,59.36,964790
2021-09-10,60.29,61.17,59.67,59.79,1021400
2021-09-13,60.32,61.45,59.96,60.84,654980
2021-09-14,60.06,61.12,59.87,60.33,836980
2021-09-15,60.33,61.17,59.71,61.12,497300
2021-09-16,60.42,61.7,59.98,61.55,700410
2021-09-17,61.33,61.33,60.37,60.91,662690
2021-09-20,59.39,59.39,58.13,59.02,706440
2021-09-21,59.26,59.4,57.88,58.67,792480
2021-09-22,59.34,60.33,58.94,60.14,471670
2021-09-23,59.99,61.75,59.73,61.24,501470
2021-09-24,60.35,61.37,60.19,61.23,344520
2021-09-27,60.28,62.19,60.28,61.66,650380
2021-09-28,59.81,60.59,58.5,58.54,982430
2021-09-29,58.83,58.87,56.71,56.74,794100
2021-09-30,57.15,57.72,56.84,56.92,442650
2021-10-01,57.05,57.36,56.08,56.91,452980
2021-10-04,56.64,56.64,54.84,55.05,709030
2021-10-05,55.41,56.29,55.06,55.56,726350
