date,open,high,low,close,volume
2021-07-21,376.12,380.78,375.08,380.17,88647
2021-07-22,381.0,382.84,377.07,382.23,575352
2021-07-23,386.26,394.485,385.89,393.56,295624
2021-07-26,391.08,392.74,388.31,392.74,85657
2021-07-27,390.71,395.18,386.02,390.5,193210
2021-07-28,391.51,391.51,382.33,383.46,206914
2021-07-29,389.26,394.65,388.01,388.815,188509
2021-07-30,389.0,389.0,383.115,385.73,91751
2021-08-02,388.785,389.63,373.835,375.32,220911
2021-08-03,375.945,376.24,359.7,367.54,303543
2021-08-04,367.915,369.12,363.62,368.03,190783
2021-08-05,369.0,371.93,367.2,371.93,142461
2021-08-06,371.685,375.43,371.085,374.7,82536
2021-08-09,373.99,373.99,368.965,370.67,125079
2021-08-10,372.75,372.75,364.155,367.99,194383
2021-08-11,368.75,369.89,363.78,364.25,261695
2021-08-12,362.41,363.17,357.94,361.83,267545
2021-08-13,362.35,363.41,360.71,362.715,128831
2021-08-16,359.81,363.8,356.675,363.47,156937
2021-08-17,362.225,364.46,359.795,363.35,235383
2021-08-18,362.63,365.65,360.67,360.9,152013
2021-08-19,356.83,359.76,354.85,357.4,126995
2021-08-20,356.445,358.235,353.45,355.0,234803
2021-08-23,357.76,362.175,357.3,361.0,209303
2021-08-24,362.69,366.09,361.465,361.765,141385
2021-08-25,362.255,362.255,358.565,359.13,127094
2021-08-26,357.99,357.99,351.97,352.99,180473
2021-08-27,351.76,356.43,351.76,355.79,125641
2021-08-30,355.99,357.8,352.36,353.08,141160
2021-08-31,352.975,354.16,344.72,346.21,349858
2021-09-01,348.4,352.045,347.59,349.58,244668
2021-09-02,350.535,350.535,339.375,341.17,380541
2021-09-03,340.63,344.09,338.94,340.2,370635
2021-09-07,344.72,348.0,343.05,344.76,370612
2021-09-08,345.55,351.96,345.475,351.1,309792
2021-09-09,350.79,353.52,350.0,351.24,172802
2021-09-10,354.52,354.52,347.05,347.45,142826
2021-09-13,350.17,351.65,346.43,347.74,126231
2021-09-14,349.3,349.78,345.3,345.78,217956
2021-09-15,347.04,347.29,343.53,344.72,149346
2021-09-16,345.63,347.55,344.88,346.31,161431
2021-09-17,344.69,345.62,340.82,343.185,165552
2021-09-20,338.1,340.74,335.86,339.62,134785
2021-09-21,342.12,343.075,337.33,337.39,180462
2021-09-22,339.37,343.74,338.84,343.31,128400
2021-09-23,345.96,354.77,345.29,354.03,252210
2021-09-24,353.46,359.89,352.8,358.24,212797
2021-09-27,357.235,362.485,355.34,356.76,177333
2021-09-28,355.82,355.91,349.09,351.19,165172
2021-09-29,352.58,357.18,352.425,352.99,127445
2021-09-30,355.155,355.845,347.59,347.59,214699
2021-10-01,349.35,363.1,347.29,360.185,197532
2021-10-04,360.2,360.39,339.34,344.39,424572
2021-10-05,346.565,348.52,342.96,343.22,149719
2021-10-06,339.655,348.81,339.655,348.63,153134
2021-10-07,351.36,357.725,350.94,354.0,128133
2021-10-08,355.85,359.71,354.23,354.94,129848
2021-10-11,353.99,354.58,347.065,347.48,127350
2021-10-12,348.87,349.72,345.01,345.36,99914
2021-10-13,346.755,349.28,337.02,342.35,207892
2021-10-14,344.9,345.56,340.83,344.44,142754
2021-10-15,348.61,356.4,347.79,355.93,170442
2021-10-18,353.41,359.94,350.36,358.45,147934
2021-10-19,358.84,362.18,357.66,362.15,104619
2021-10-20,361.515,362.45,356.23,356.68,95499
2021-10-21,355.07,356.38,347.27,356.14,208237
2021-10-22,357.01,361.37,355.03,358.7,110053
2021-10-26,363.17,367.22,356.81,357.39,223423
2021-10-27,347.39,347.53,333.92,335.51,578903
2021-10-28,345.1,350.48,328.98,333.35,794880
2021-10-29,331.18,338.1,331.18,335.33,281336
2021-11-01,335.39,340.78,332.955,333.985,389463
2021-11-02,335.0,335.39,326.77,328.6,369599
2021-11-03,328.745,329.53,323.56,329.345,163018
2021-11-04,331.07,338.45,329.405,335.24,408554
2021-11-05,343.53,350.09,341.35,348.72,806058
2021-11-08,348.01,353.095,347.775,349.86,322464
2021-11-09,349.84,349.84,339.725,344.51,197784
2021-11-10,350.0,359.58,349.61,358.18,399345
2021-11-11,358.735,359.5,352.76,354.33,617115
2021-11-12,355.945,363.83,355.945,363.505,430231
2021-11-15,365.12,371.08,360.74,361.28,255582
2021-11-16,364.19,371.03,362.15,369.6,250975
2021-11-17,359.52,367.47,351.74,359.24,866585
2021-11-18,361.03,362.48,344.89,348.32,559647
2021-11-19,345.83,346.52,339.205,339.82,555290
2021-11-22,339.87,341.04,319.83,321.17,1007648
2021-11-23,323.765,329.62,321.79,328.26,488005
2021-11-24,326.45,340.345,325.265,340.03,795411
2021-11-26,321.585,326.85,319.05,324.76,652953
2021-11-29,330.12,331.465,318.67,322.84,611324
2021-11-30,317.86,320.19,310.16,314.835,840732
2021-12-01,320.795,322.0,306.0,306.0,553623
2021-12-02,310.0,322.18,309.11,320.5,677665
2021-12-03,320.61,322.65,314.01,322.14,325061
2021-12-06,324.44,336.71,322.145,333.36,407139
2021-12-07,337.98,342.26,337.44,339.47,231654
2021-12-08,339.03,344.025,334.5,342.51,184020
2021-12-09,340.07,346.45,339.99,344.51,212465
2021-12-10,347.14,350.19,344.83,349.92,138151
2021-12-13,349.49,349.49,340.47,345.33,344076
2021-12-14,345.01,348.03,338.03,340.61,339729
2021-12-15,340.0,346.56,335.59,346.56,325419
2021-12-16,351.49,353.64,345.27,352.89,376276
2021-12-17,349.515,352.75,344.165,349.195,212934
2021-12-20,342.21,343.5,336.275,337.14,271766
2021-12-21,340.87,351.825,340.15,350.71,159084
2021-12-22,347.71,358.5,347.71,357.39,171716
2021-12-23,357.31,362.46,355.88,360.63,190279
2021-12-27,359.59,361.05,355.65,360.275,172199
2021-12-28,358.91,363.94,358.85,360.77,72367
2021-12-29,360.78,363.08,360.66,361.21,60609
2021-12-30,360.87,364.64,359.75,361.05,62290
2021-12-31,358.98,363.13,357.095,359.32,95034
2022-01-03,360.31,372.265,359.46,371.03,308534
2022-01-04,372.48,382.1,372.37,375.42,323941
2022-01-05,375.39,382.42,372.88,373.83,451088
2022-01-06,368.76,374.0,366.64,369.92,685923
2022-01-07,365.91,371.755,364.25,369.59,584543
2022-01-10,370.85,370.85,348.77,363.98,342861
2022-01-11,363.05,368.03,356.15,366.52,310914
2022-01-12,367.98,372.11,367.17,367.26,339020
2022-01-13,368.57,377.59,368.42,369.53,221437
2022-01-14,365.09,374.47,365.09,372.14,246506
2022-01-18,370.08,372.04,365.28,366.27,198175
2022-01-19,363.22,369.13,359.98,360.72,329540
2022-01-20,362.12,372.88,362.12,363.74,246678
