date,open,high,low,close,volume
2021-07-21,135.665,141.06,135.665,140.36,190777
2021-07-22,139.455,139.86,137.33,138.46,47886
2021-07-23,138.685,139.96,138.31,139.2,75319
2021-07-26,139.96,142.585,138.38,142.4,70639
2021-07-27,141.57,143.48,140.565,143.42,62558
2021-07-28,144.11,145.305,141.37,144.5,116979
2021-07-29,145.36,149.79,143.51,147.82,180369
2021-07-30,146.1,147.94,144.82,145.94,67853
2021-08-02,146.97,148.635,144.27,144.88,125996
2021-08-03,145.32,145.415,139.43,142.62,164713
2021-08-04,140.44,140.885,136.84,137.99,146766
2021-08-05,138.99,142.94,138.99,141.72,64572
2021-08-06,141.96,141.98,139.37,141.59,77983
2021-08-09,139.77,139.77,135.86,137.19,71347
2021-08-10,137.34,138.96,136.46,137.99,55374
2021-08-11,136.91,138.835,136.57,138.07,29301
2021-08-12,137.94,137.99,134.33,134.71,56599
2021-08-13,135.31,135.31,133.6,134.41,155850
2021-08-16,133.37,134.18,131.45,133.11,63683
2021-08-17,131.02,131.25,129.07,130.4,151200
2021-08-18,130.055,132.43,129.43,130.035,77299
2021-08-19,129.195,130.31,127.6,130.27,119074
2021-08-20,129.39,131.49,129.12,131.18,73275
2021-08-23,132.475,134.155,132.33,134.155,56417
2021-08-24,135.24,137.72,135.2,136.89,52578
2021-08-25,136.89,137.5,135.18,136.91,57854
2021-08-26,135.465,136.33,133.265,133.64,51899
2021-08-27,133.975,136.73,133.915,136.0,48211
2021-08-30,135.27,135.61,134.13,135.1,57983
2021-08-31,134.81,135.94,133.52,135.13,50151
2021-09-01,135.525,136.08,134.475,134.76,41407
2021-09-02,135.3,136.83,134.03,135.41,39525
2021-09-03,134.6,135.09,131.69,132.99,49304
2021-09-07,132.25,134.38,131.9,134.04,56035
2021-09-08,133.86,134.89,131.76,133.71,75283
2021-09-09,133.22,137.48,133.17,136.08,105963
2021-09-10,136.44,137.715,134.67,135.59,78362
2021-09-13,136.515,140.47,136.0,139.975,112801
2021-09-14,139.92,142.67,139.0,142.38,135900
2021-09-15,140.575,145.04,140.05,144.67,238040
2021-09-16,144.3,146.0,143.86,144.8,120701
2021-09-17,145.07,145.565,143.7,143.92,67556
2021-09-20,141.915,143.11,139.76,142.94,129699
2021-09-21,144.15,144.21,141.22,141.96,87532
2021-09-22,142.66,145.75,142.66,144.39,53407
2021-09-23,144.69,150.175,144.46,150.01,112878
2021-09-24,149.365,152.74,149.365,152.51,111041
2021-09-27,152.71,155.69,152.71,154.3,92067
2021-09-28,153.82,154.93,152.32,153.68,94296
2021-09-29,153.34,153.34,150.71,151.91,47731
2021-09-30,151.79,151.79,147.765,148.09,130211
2021-10-01,150.46,156.71,150.35,156.04,153542
2021-10-04,156.11,158.67,154.38,155.17,86647
2021-10-05,155.34,156.51,153.42,155.36,89372
2021-10-06,153.3,155.415,151.92,155.3,78119
2021-10-07,156.72,159.61,156.495,157.72,74611
2021-10-08,157.92,158.6,156.49,157.12,39483
2021-10-11,157.295,159.7,156.75,156.75,65780
2021-10-12,156.735,157.87,155.965,157.51,57519
2021-10-13,158.45,158.45,154.16,154.56,103535
2021-10-14,155.62,156.32,154.09,155.145,89209
2021-10-15,157.26,161.355,157.26,160.03,107889
2021-10-18,159.01,160.43,158.23,159.22,58782
2021-10-19,157.955,158.12,154.49,154.96,78998
2021-10-20,154.68,155.11,152.7,153.12,119020
2021-10-21,153.47,155.69,153.02,155.67,70621
2021-10-22,155.49,155.935,154.24,154.79,45936
2021-10-25,155.115,156.12,153.45,154.76,57972
2021-10-26,156.07,157.545,155.17,155.95,66158
2021-10-27,155.125,160.55,154.32,159.8,99975
2021-10-28,159.27,162.3,158.27,159.91,114538
