date,open,high,low,close,volume
2021-07-21,201.265,202.66,199.98,200.82,71162
2021-07-22,201.0,201.0,198.71,199.04,80485
2021-07-23,199.69,201.02,199.04,200.58,75940
2021-07-26,200.47,202.72,200.05,201.7,132186
2021-07-27,198.05,201.03,195.05,200.6,122822
2021-07-28,199.605,199.98,198.13,198.31,112561
2021-07-29,199.625,199.625,198.14,198.17,78522
2021-07-30,198.015,199.24,197.22,197.89,95106
2021-08-02,198.12,200.52,197.435,197.49,37105
2021-08-03,198.3,202.105,197.495,200.89,112235
2021-08-04,200.26,200.75,197.26,197.745,78042
2021-08-05,198.16,199.115,197.3,197.79,100965
2021-08-06,198.52,199.02,197.6,198.12,32360
2021-08-09,197.84,198.05,196.81,197.435,24712
2021-08-10,198.0,199.34,197.85,199.27,46184
2021-08-11,199.845,201.73,199.405,201.47,49566
2021-08-12,201.83,202.31,200.36,201.31,46856
2021-08-13,201.2,201.655,200.3,200.57,50557
2021-08-16,201.185,202.72,200.455,202.22,56484
2021-08-17,201.18,201.41,197.6,199.57,95434
2021-08-18,198.51,198.68,196.32,196.42,87729
2021-08-19,195.0,196.23,194.32,195.34,137533
2021-08-20,194.47,195.01,193.405,194.01,56285
2021-08-23,195.21,196.21,193.81,194.7,53960
2021-08-24,195.04,195.96,194.36,194.75,58826
2021-08-25,194.36,195.05,192.79,194.34,32468
2021-08-26,194.275,195.36,193.78,195.36,41294
2021-08-27,195.94,196.58,194.14,195.04,58332
2021-08-30,195.56,197.27,194.87,196.16,32253
2021-08-31,195.72,195.72,194.16,194.76,98481
2021-09-01,194.63,194.66,193.02,193.42,86130
2021-09-02,194.255,194.91,193.47,194.91,64171
2021-09-03,194.64,195.58,193.71,194.46,59381
2021-09-07,193.05,193.05,185.61,185.62,217077
2021-09-08,185.36,188.36,185.08,187.91,98811
2021-09-09,187.54,188.49,185.1,185.82,83995
2021-09-10,186.705,186.94,184.52,184.54,60536
2021-09-13,185.135,187.92,183.6,185.15,287593
2021-09-14,185.9,185.9,181.73,182.43,140548
2021-09-15,182.92,185.09,182.525,184.25,101276
2021-09-16,184.385,184.385,181.88,182.62,100632
2021-09-17,181.075,182.6,179.5,181.49,237073
2021-09-20,178.515,181.72,178.4,180.48,163106
2021-09-21,180.47,180.47,177.71,178.42,104665
2021-09-22,179.45,180.83,179.005,179.85,55353
2021-09-23,180.215,182.825,180.21,181.54,83553
2021-09-24,181.26,181.98,180.635,181.06,68055
2021-09-27,181.08,183.14,180.99,181.74,83124
2021-09-28,181.92,182.79,179.8,180.05,68127
2021-09-29,180.09,181.36,179.32,180.84,64362
2021-09-30,181.785,182.05,175.4,175.42,171925
2021-10-01,175.95,177.34,174.26,176.5,89944
2021-10-04,173.96,176.99,173.9,176.02,74102
2021-10-05,176.22,178.53,175.655,177.79,57976
2021-10-06,176.47,178.53,175.53,178.49,48648
2021-10-07,179.63,180.67,177.73,177.76,76277
2021-10-08,177.65,178.02,176.825,176.94,63140
