date,open,high,low,close,volume
2021-07-21,47.48,47.73,47.215,47.33,170864
2021-07-22,47.28,47.305,46.85,46.96,114079
2021-07-23,47.21,47.535,47.095,47.49,95803
2021-07-26,47.49,47.76,47.355,47.61,115275
2021-07-27,47.47,47.99,47.345,47.79,132885
2021-07-28,47.695,47.92,47.48,47.64,164254
2021-07-29,47.82,48.99,47.66,48.585,213320
2021-07-30,48.395,48.66,47.68,48.03,116981
2021-08-02,48.24,48.685,47.7,47.725,79684
2021-08-03,47.95,48.075,47.6,47.77,95303
2021-08-04,47.44,47.46,46.825,47.03,143531
2021-08-05,47.35,47.48,47.2,47.37,63184
2021-08-06,47.48,47.51,47.205,47.345,89239
2021-08-09,47.38,47.525,47.14,47.475,48627
2021-08-10,47.29,48.25,47.23,48.11,139921
2021-08-11,48.26,48.31,47.99,48.18,98449
2021-08-12,48.25,48.26,48.01,48.13,40861
2021-08-13,48.31,48.72,48.15,48.61,122130
2021-08-16,48.62,48.635,48.175,48.4,165949
2021-08-17,48.31,48.82,48.2,48.55,116366
2021-08-18,48.43,48.76,48.16,48.23,110913
2021-08-19,47.825,48.305,47.765,48.25,57464
2021-08-20,48.1,48.685,48.07,48.47,64593
2021-08-23,48.69,49.055,48.405,48.47,73032
2021-08-24,48.5,48.5,48.02,48.2,54578
2021-08-25,48.26,48.91,48.18,48.62,62370
2021-08-26,48.61,49.14,48.56,48.755,57020
2021-08-27,49.06,49.69,49.06,49.53,114180
2021-08-30,49.56,49.91,49.47,49.735,95777
2021-08-31,49.78,50.32,49.66,50.22,129724
2021-09-01,50.295,50.31,49.82,50.08,168820
2021-09-02,50.27,51.06,50.27,51.06,127391
2021-09-03,50.92,50.995,50.59,50.98,55082
2021-09-07,50.78,51.07,50.515,50.8,111414
2021-09-08,50.65,50.975,50.39,50.875,127999
2021-09-09,50.76,50.99,50.325,50.575,173279
2021-09-10,50.83,50.955,50.45,50.6,99990
2021-09-13,50.84,50.89,49.94,50.07,186249
2021-09-14,49.13,49.28,48.33,48.38,117518
2021-09-15,48.375,49.26,48.36,49.22,64625
2021-09-16,49.195,49.46,48.655,48.79,74475
2021-09-17,48.68,48.945,48.51,48.61,110949
2021-09-20,48.125,48.49,47.675,48.135,141351
2021-09-21,48.39,48.725,47.975,48.04,120707
2021-09-22,48.39,48.73,48.185,48.25,104995
2021-09-23,48.62,49.155,48.46,48.82,84060
2021-09-24,48.7,49.035,48.45,48.45,121146
2021-09-27,48.41,48.99,48.325,48.74,118985
2021-09-28,48.83,48.94,48.22,48.27,157030
2021-09-29,48.18,48.875,48.18,48.725,137545
2021-09-30,48.42,48.46,45.38,45.52,357721
2021-10-01,45.5,46.085,44.905,45.81,272986
2021-10-04,45.94,46.55,45.84,46.47,256266
2021-10-05,46.59,46.615,46.16,46.165,168497
2021-10-06,45.8,46.57,45.735,46.505,83126
2021-10-07,46.8,47.175,46.405,46.49,67785
2021-10-08,46.56,46.96,46.56,46.745,147583
2021-10-11,46.7,47.17,46.52,46.72,82461
2021-10-12,47.47,48.215,46.895,47.15,268338
2021-10-13,47.31,48.22,46.83,47.92,151315
2021-10-14,48.095,48.72,48.03,48.67,102614
2021-10-15,48.91,48.96,48.575,48.7,98016
2021-10-18,48.41,48.43,48.1,48.13,76087
2021-10-19,48.07,48.34,47.76,47.9,83959
2021-10-20,47.95,48.5,47.86,48.46,109857
