date,open,high,low,close,volume
2021-07-21,30.18,30.68,30.15,30.46,76409
2021-07-22,30.37,30.37,29.83,30.15,51508
2021-07-23,30.24,30.24,29.54,29.85,50643
2021-07-26,30.02,30.41,29.73,30.365,51837
2021-07-27,29.91,30.365,29.47,29.95,46733
2021-07-28,30.31,30.76,29.72,30.51,45697
2021-07-29,31.17,31.445,30.77,31.125,73996
2021-07-30,31.21,32.12,31.125,31.23,192174
2021-08-02,31.35,31.75,29.955,29.955,84238
2021-08-03,30.4,31.445,29.62,31.35,163396
2021-08-04,31.42,31.83,30.39,30.61,374725
2021-08-05,31.02,31.3,30.62,30.695,86370
2021-08-06,31.29,31.58,31.075,31.48,37225
2021-08-09,31.34,32.57,31.31,32.57,102521
2021-08-10,32.7,34.01,32.7,33.665,140478
2021-08-11,33.99,34.45,33.55,34.13,72770
2021-08-12,34.13,34.13,33.09,33.915,122577
2021-08-13,33.93,33.995,33.445,33.56,109015
2021-08-16,32.975,32.975,32.09,32.46,69606
2021-08-17,32.18,32.48,30.75,31.19,89719
2021-08-18,31.09,31.68,30.875,30.875,42200
2021-08-19,30.075,30.35,29.145,29.56,99234
2021-08-20,29.92,30.73,29.86,30.72,90471
2021-08-23,31.39,31.66,31.13,31.25,44031
2021-08-24,31.88,32.6,31.88,32.295,48297
2021-08-25,31.91,32.63,31.765,32.35,47179
2021-08-26,32.26,32.33,31.64,31.76,71810
2021-08-27,32.08,32.865,32.08,32.67,41714
2021-08-30,32.83,32.83,32.18,32.28,36988
2021-08-31,32.335,32.39,31.89,32.18,112987
2021-09-01,32.045,32.045,31.14,31.805,96610
2021-09-02,31.24,32.535,31.22,32.42,361941
2021-09-03,32.49,32.85,32.01,32.165,76234
2021-09-07,31.72,32.59,31.72,32.135,43466
2021-09-08,32.12,32.18,30.9,31.135,34125
2021-09-09,30.79,31.85,30.71,31.565,45544
2021-09-10,31.88,32.3,31.68,31.78,103639
2021-09-13,32.25,32.4,31.78,32.12,82887
2021-09-14,32.46,32.83,31.84,32.04,76165
2021-09-15,32.46,33.7,32.46,33.62,102726
2021-09-16,33.54,34.14,33.21,33.75,74414
2021-09-17,33.63,33.67,32.71,33.61,129721
2021-09-20,31.89,32.45,31.51,32.165,89334
2021-09-21,32.73,32.73,31.87,32.43,97002
2021-09-22,32.61,33.5,32.41,33.18,114030
2021-09-23,33.71,35.03,33.69,34.98,114507
2021-09-24,34.84,36.32,34.84,35.87,173412
2021-09-27,36.325,37.505,36.325,36.85,243081
2021-09-28,36.9,37.09,36.43,36.56,131638
2021-09-29,36.71,36.71,36.09,36.475,82278
2021-09-30,36.56,36.905,35.66,35.72,196471
2021-10-01,36.44,37.98,36.4,37.82,144473
2021-10-04,38.04,38.87,37.7,38.28,134064
2021-10-05,38.29,38.75,37.63,38.52,132061
2021-10-06,38.02,38.485,37.12,38.375,142622
2021-10-07,38.95,39.925,38.72,39.54,134524
2021-10-08,39.78,40.555,39.32,40.4,146911
2021-10-11,41.0,42.16,40.94,41.93,192549
2021-10-12,41.53,42.18,41.09,41.45,174917
2021-10-13,41.67,41.82,40.73,40.74,383142
2021-10-14,41.35,41.93,41.06,41.39,216736
2021-10-15,41.77,41.84,41.09,41.47,147684
2021-10-18,41.02,41.925,40.925,41.86,154019
2021-10-19,41.92,42.02,41.34,41.82,59942
2021-10-20,41.52,43.18,41.44,42.465,107127
2021-10-21,41.85,42.23,41.27,42.18,125822
2021-10-22,42.365,42.97,41.68,42.015,92501
2021-10-26,42.285,42.4,41.36,41.87,65043
2021-10-27,41.48,41.74,40.43,41.16,174745
2021-10-28,41.56,42.02,41.265,41.87,90563
2021-10-29,41.68,41.94,41.2,41.56,94611
2021-11-01,41.17,42.0,40.64,41.48,312740
2021-11-02,39.77,40.01,36.61,37.71,749354
2021-11-03,37.645,39.775,37.12,39.475,187279
2021-11-04,39.44,39.88,38.425,38.795,207639
2021-11-05,37.0,37.415,36.6,37.345,551361
2021-11-08,37.575,38.405,37.485,37.71,528388
2021-11-09,37.79,38.23,36.86,37.54,291232
2021-11-10,37.435,37.825,35.805,36.09,221887
2021-11-11,36.57,37.345,36.47,36.83,292495
2021-11-12,36.87,37.58,36.72,37.385,110086
2021-11-15,37.46,38.45,37.13,37.885,139399
2021-11-16,38.04,38.09,36.925,37.11,128978
2021-11-17,37.395,37.54,36.335,36.38,107440
2021-11-18,36.74,37.08,36.305,36.825,109512
2021-11-19,36.375,36.53,35.9,36.24,273977
2021-11-22,36.51,36.85,36.22,36.4,92485
