date,open,high,low,close,volume
2021-07-21,53.14,54.5,52.94,54.09,127555
2021-07-22,53.73,53.76,52.79,53.385,90628
2021-07-23,53.285,53.68,52.64,53.42,59844
2021-07-26,53.91,54.71,53.91,54.59,88864
2021-07-27,53.71,54.475,53.64,54.325,103189
2021-07-28,54.59,55.78,54.22,55.27,57938
2021-07-29,56.08,56.465,55.49,55.92,77135
2021-07-30,55.66,56.09,54.795,55.24,105759
2021-08-02,55.335,56.36,54.24,54.46,138513
2021-08-03,54.62,55.94,53.67,55.94,147126
2021-08-04,54.9,55.915,54.22,54.36,223794
2021-08-05,55.15,57.32,55.02,56.45,187751
2021-08-06,57.38,57.76,56.45,57.385,82953
2021-08-09,56.565,57.87,56.505,57.19,88232
2021-08-10,57.69,58.66,57.51,58.46,98177
2021-08-11,58.4,59.205,58.11,59.13,82228
2021-08-12,59.0,59.55,58.45,59.55,86524
2021-08-13,59.595,59.89,59.08,59.135,73636
2021-08-16,58.27,58.91,57.92,58.35,141813
2021-08-17,57.38,58.2,56.74,57.1,109188
2021-08-18,56.99,57.795,56.215,56.29,97500
2021-08-19,55.48,55.92,53.57,54.23,130779
2021-08-20,53.7,54.875,53.62,54.755,88817
2021-08-23,55.935,56.97,55.79,56.81,78253
2021-08-24,57.43,58.265,57.05,57.96,55458
2021-08-25,57.595,59.2,57.52,58.625,60069
2021-08-26,58.47,58.855,58.04,58.085,66213
2021-08-27,58.93,60.52,58.93,60.015,87996
2021-08-30,60.33,60.48,58.9,58.9,84414
2021-08-31,58.64,59.805,58.62,59.27,83230
2021-09-01,59.1,59.31,57.02,57.25,114472
2021-09-02,58.125,58.65,57.385,57.885,81005
2021-09-03,57.66,58.445,57.5,58.225,74919
2021-09-07,58.15,59.715,58.1,58.57,72143
2021-09-08,58.895,59.195,57.085,57.12,124855
2021-09-09,56.735,58.13,56.55,57.3,71102
2021-09-10,58.04,58.15,56.54,56.855,97012
2021-09-13,57.67,58.62,57.67,58.61,87910
2021-09-14,59.295,59.295,57.47,57.56,71494
2021-09-15,58.39,59.62,58.39,59.565,115667
2021-09-16,59.695,59.695,58.765,59.08,119198
2021-09-17,59.095,59.505,58.48,58.85,117623
2021-09-20,57.295,58.3,56.095,57.12,109431
2021-09-21,58.12,58.35,56.71,57.84,67741
2021-09-22,58.815,60.705,58.815,59.935,150646
2021-09-23,60.045,61.92,59.95,61.79,142308
2021-09-24,61.33,62.28,61.1,61.89,102923
2021-09-27,62.965,63.785,62.79,63.09,179553
2021-09-28,63.86,63.88,62.325,62.52,163831
2021-09-29,62.58,62.62,61.775,61.93,92682
2021-09-30,61.95,63.01,61.59,61.79,221662
2021-10-01,62.22,63.595,61.95,63.555,99197
2021-10-04,63.875,64.66,62.9,63.04,208518
2021-10-05,63.49,64.33,62.215,63.24,184507
2021-10-06,62.35,63.34,61.45,62.89,227194
2021-10-07,63.46,64.345,63.39,63.52,198454
2021-10-08,64.01,65.26,64.01,65.16,176684
2021-10-11,65.965,66.11,64.5,64.59,119641
2021-10-12,64.54,65.345,64.45,64.75,178244
2021-10-13,64.5,65.42,63.75,65.24,229553
2021-10-14,66.17,66.665,65.675,66.66,113597
2021-10-15,67.59,67.86,66.65,66.79,146879
2021-10-18,67.365,67.39,66.06,66.4,143064
2021-10-19,66.94,67.21,66.455,66.765,160281
2021-10-20,66.37,67.34,65.78,67.205,114002
2021-10-21,66.955,67.975,66.455,67.0,283551
2021-10-22,67.2,67.61,66.56,67.54,155774
2021-10-26,68.27,68.77,67.57,68.46,149260
2021-10-27,67.81,67.83,66.075,66.17,174900
2021-10-28,66.085,67.22,66.055,66.65,86277
2021-10-29,66.78,66.78,65.53,65.95,136405
2021-11-01,66.435,67.395,66.435,67.23,184996
2021-11-02,67.15,67.53,64.07,64.65,251435
2021-11-03,64.17,64.31,63.2,63.61,404666
2021-11-04,64.35,64.5,62.34,63.59,308912
2021-11-05,64.75,66.04,64.16,65.84,228791
2021-11-08,66.5,67.085,65.63,65.685,136470
2021-11-09,66.04,67.245,65.7,67.14,160593
2021-11-10,66.72,67.31,65.38,65.48,121940
2021-11-11,65.69,66.78,65.55,65.99,96799
2021-11-12,65.66,66.22,65.46,65.81,66563
2021-11-15,66.105,67.08,65.45,66.12,142446
2021-11-16,65.69,65.79,64.6,64.82,215165
2021-11-17,64.11,65.085,63.345,63.59,93652
2021-11-18,63.52,64.0,62.02,62.72,127336
2021-11-19,61.41,61.87,60.185,60.28,158486
2021-11-22,60.265,62.48,60.26,61.68,110304
2021-11-23,62.26,63.96,62.26,63.84,129958
2021-11-24,63.375,64.895,63.37,64.55,161427
2021-11-26,60.985,62.03,59.56,61.37,160769
2021-11-29,62.97,64.165,61.365,61.76,130870
2021-11-30,60.31,61.195,59.76,60.77,223224
2021-12-01,62.32,63.84,60.86,60.93,189191
2021-12-02,61.38,63.47,60.64,63.33,198884
2021-12-03,64.16,64.2,61.405,61.66,151588
2021-12-06,62.65,63.75,61.74,62.89,177461
2021-12-07,63.78,65.405,63.78,64.25,206326
2021-12-08,64.49,65.19,63.88,64.07,165178
2021-12-09,63.08,63.7,62.99,63.33,81163
2021-12-10,64.04,64.04,62.79,63.705,77106
2021-12-13,63.01,63.25,61.75,61.815,118096
2021-12-14,61.48,63.45,61.47,62.45,121532
2021-12-15,62.41,62.88,61.09,62.46,128786
2021-12-16,63.215,64.16,62.69,62.75,95707
2021-12-17,62.565,63.225,61.31,62.46,123806
2021-12-20,60.88,61.42,60.09,60.88,188195
2021-12-21,61.69,63.72,61.65,63.395,101475
2021-12-22,63.385,64.06,63.0,63.095,94130
2021-12-23,63.63,64.52,63.035,63.035,71121
2021-12-27,62.58,64.09,62.24,64.09,98072
2021-12-28,64.43,65.12,64.245,64.36,62783
2021-12-29,64.205,64.575,63.75,63.95,73201
2021-12-30,64.065,64.62,63.39,63.43,60766
2021-12-31,63.83,64.305,63.69,63.99,55554
2022-01-03,64.48,66.225,64.415,65.655,96115
2022-01-04,66.46,67.99,66.46,67.87,133884
2022-01-05,68.99,69.94,68.1,68.23,172240
2022-01-06,69.84,70.375,68.89,70.155,224298
2022-01-07,70.15,71.0,69.86,70.93,86970
2022-01-10,71.055,71.37,69.86,70.44,97682
2022-01-11,71.08,72.785,70.645,72.69,134414
2022-01-12,73.11,73.83,72.43,73.1,172270
2022-01-13,73.42,74.115,72.875,73.11,109990
2022-01-14,73.05,74.755,73.05,74.74,235750
2022-01-18,75.1,75.835,73.555,74.54,188738
2022-01-19,75.29,75.58,73.245,73.37,168835
2022-01-20,72.6,74.245,71.81,71.93,175906
2022-01-21,71.24,71.625,69.88,70.71,480991
2022-01-24,69.23,69.85,67.53,69.125,42363
2022-01-25,69.97,71.83,68.8,71.47,491384
2022-01-26,72.48,73.19,70.42,71.025,233817
2022-01-27,72.61,73.265,70.58,71.97,160809
2022-01-28,71.8,72.49,70.13,71.8,199099
2022-01-31,71.49,71.9,70.36,71.74,121732
2022-02-01,71.13,74.195,70.95,74.0,175848
2022-02-02,76.27,78.76,76.2,78.49,421626
2022-02-03,78.525,78.835,76.65,76.98,239985
2022-02-04,77.9,78.935,77.34,78.16,199440
2022-02-07,77.9,80.56,77.82,79.82,190988
2022-02-08,80.07,80.34,78.42,79.29,114208
2022-02-09,79.57,80.765,79.57,79.78,184047
2022-02-10,79.62,81.29,79.3,79.71,117129
2022-02-11,80.22,81.35,79.93,81.2,135214
2022-02-14,80.75,80.75,78.59,79.15,164173
2022-02-15,77.21,79.1,77.09,78.4,161128
2022-02-16,79.23,80.155,77.65,78.09,124640
2022-02-17,78.05,78.27,76.7,76.95,138531
2022-02-18,76.27,77.69,76.19,77.01,147481
2022-02-22,78.205,78.53,74.84,75.63,158697
2022-02-23,76.14,76.9,75.52,75.7,146242
2022-02-24,76.28,76.3,72.75,74.48,380534
2022-02-25,75.01,77.03,75.01,76.55,193250
2022-02-28,75.805,77.89,75.63,77.87,159152
2022-03-01,78.505,79.27,74.46,75.02,254591
2022-03-02,76.055,77.75,74.355,76.95,397757
2022-03-03,76.94,78.43,76.65,77.365,191322
2022-03-04,76.71,77.76,76.21,77.74,161458
2022-03-07,77.875,78.66,73.36,74.55,527366
2022-03-09,74.68,77.28,73.54,75.41,305001
2022-03-10,76.09,78.235,75.39,77.93,245214
2022-03-11,77.56,79.92,77.56,78.51,237659
2022-03-14,77.62,78.555,75.51,76.68,193081
2022-03-15,74.92,75.32,73.2,74.41,249710
2022-03-16,75.08,75.86,74.29,74.85,185121
2022-03-17,75.79,77.23,75.62,77.15,164130
2022-03-18,77.13,78.39,76.08,78.355,236452
2022-03-21,79.82,80.19,79.2,79.99,178007
2022-03-22,79.4,80.21,78.31,79.21,97863
2022-03-23,80.13,80.94,79.72,80.47,225711
2022-03-24,80.99,81.72,80.43,81.39,85899
2022-03-25,81.18,82.4,80.76,82.25,140348
2022-03-28,81.14,82.39,81.05,81.965,133140
2022-03-29,80.88,83.14,80.61,83.14,109092
2022-03-30,84.12,85.47,84.12,85.36,244478
2022-03-31,84.54,87.095,84.54,85.5,209383
2022-04-01,85.5,86.22,84.27,84.79,127592
2022-04-04,85.12,85.97,84.45,85.08,283913
2022-04-05,85.57,86.4,84.645,84.72,104484
2022-04-06,85.53,85.94,84.11,85.6,224276
2022-04-07,85.98,86.14,83.95,85.85,166865
2022-04-08,86.35,87.64,86.15,86.91,237097
2022-04-11,86.19,86.22,84.74,84.89,125225
2022-04-12,86.46,87.495,85.57,85.79,119735
2022-04-13,87.0,87.64,85.83,87.61,124554
2022-04-14,87.65,88.32,87.16,87.2,115384
2022-04-18,88.5,90.61,88.16,90.09,201380
2022-04-19,89.615,91.21,89.615,90.435,138137
2022-04-20,91.23,91.78,90.62,90.99,107776
2022-04-21,92.0,93.16,88.69,88.74,190728
2022-04-22,88.54,89.58,87.0,87.08,130021
2022-04-25,84.59,84.91,81.595,84.25,185461
2022-04-26,84.81,86.92,84.265,85.46,182258
2022-04-27,85.85,88.005,84.45,87.21,217939
2022-04-28,88.06,90.22,86.68,89.71,233687
2022-04-29,89.92,90.54,87.23,87.27,198482
2022-05-02,87.32,89.34,86.52,89.28,210160
2022-05-03,88.52,93.21,88.51,92.595,332248
2022-05-04,93.93,96.49,92.95,96.34,238524
2022-05-05,96.43,96.82,92.325,94.15,274038
2022-05-06,95.255,95.98,92.09,95.94,166348
2022-05-09,93.69,94.3,90.65,90.855,247771
2022-05-10,92.18,94.705,89.85,91.74,254084
2022-05-11,93.2,95.56,91.59,91.89,345856
2022-05-12,92.34,93.225,90.65,92.72,243989
2022-05-13,94.54,96.71,94.48,95.9,169469
2022-05-16,95.175,97.87,95.175,96.435,279805
2022-05-17,97.79,98.275,95.685,97.56,310611
2022-05-18,97.95,98.14,94.575,96.25,231915
2022-05-19,94.33,97.7,94.29,95.66,427084
2022-05-20,96.73,97.415,94.5,96.59,129045
2022-05-23,97.85,98.89,96.16,96.93,281038
2022-05-24,96.085,97.83,95.23,97.24,276628
2022-05-25,97.26,100.055,97.15,99.0,277412
2022-05-26,99.88,100.235,98.82,99.48,151632
2022-05-27,99.6,102.5,99.6,102.1,166435
2022-05-31,103.325,104.59,101.43,101.805,222879
2022-06-01,102.79,104.56,101.68,103.9,159904
2022-06-02,103.2,104.6,102.71,104.245,269057
