date,open,high,low,close,volume
2021-07-21,76.32,76.45,75.65,76.39,223904
2021-07-22,76.5,76.77,76.11,76.51,197184
2021-07-23,76.77,77.67,76.73,77.56,357792
2021-07-26,77.41,77.58,76.96,77.24,180481
2021-07-27,77.18,78.105,76.755,77.87,292176
2021-07-28,77.77,78.64,77.52,78.13,413995
2021-07-29,77.76,77.92,76.83,76.94,420508
2021-07-30,77.195,77.76,76.78,76.82,334102
2021-08-02,77.06,77.25,76.16,76.19,545554
2021-08-03,76.37,76.77,76.195,76.42,995246
2021-08-04,76.46,76.46,75.48,75.51,435868
2021-08-05,75.675,75.69,74.96,75.59,667115
2021-08-06,75.17,75.44,75.0,75.43,424123
2021-08-09,75.88,76.17,75.005,75.33,230095
2021-08-10,75.23,75.315,74.815,75.18,466632
2021-08-11,75.49,75.76,75.14,75.2,198781
2021-08-12,75.06,76.055,75.06,76.04,218389
2021-08-13,76.35,76.77,76.265,76.705,267406
2021-08-16,76.76,78.005,76.64,77.92,303574
2021-08-17,77.9,79.05,77.9,78.85,353601
2021-08-18,79.03,79.03,77.75,77.81,204953
2021-08-19,77.94,79.13,77.92,78.45,327075
2021-08-20,78.53,79.2,78.22,78.68,146807
2021-08-23,79.13,79.23,78.345,78.37,159534
2021-08-24,78.17,78.2,77.605,77.72,251621
2021-08-25,77.68,77.68,76.41,77.08,170367
2021-08-26,77.245,77.32,76.51,76.57,216372
2021-08-27,76.81,76.81,76.21,76.29,107441
2021-08-30,76.39,76.84,76.23,76.5,129543
2021-08-31,76.79,77.065,76.04,76.26,201369
2021-09-01,76.26,76.73,75.835,76.18,187799
2021-09-02,76.36,77.14,76.18,77.14,222397
2021-09-03,77.25,77.36,76.74,77.27,299288
2021-09-07,76.74,76.845,75.18,75.97,325151
2021-09-08,75.6,75.6,74.89,75.37,170566
2021-09-09,74.84,74.97,73.605,73.81,457839
2021-09-10,73.97,74.2,73.12,73.44,377008
2021-09-13,73.77,73.83,72.87,73.19,316474
2021-09-14,73.02,73.13,72.075,72.09,497774
2021-09-15,72.075,73.145,71.91,72.825,365139
2021-09-16,72.87,72.87,71.695,71.945,494557
2021-09-17,71.26,71.96,70.92,71.71,1152376
2021-09-20,71.14,72.6,71.13,71.91,440925
2021-09-21,72.16,72.67,71.775,71.985,451484
2021-09-22,72.335,72.4,71.865,72.06,388741
2021-09-23,72.68,74.035,72.61,73.04,435539
2021-09-24,73.53,74.63,73.4,73.6,612044
2021-09-27,73.54,74.24,73.35,73.35,422968
2021-09-28,73.525,73.805,72.69,73.36,422056
2021-09-29,73.68,75.7,73.595,75.09,577102
2021-09-30,75.72,76.63,75.12,75.13,587526
2021-10-01,81.6,84.295,80.63,81.4,2679475
2021-10-04,84.17,84.525,82.42,83.08,1343603
2021-10-05,82.7,83.38,81.3,81.59,946902
2021-10-06,81.58,81.63,80.165,80.66,425668
2021-10-07,81.66,82.66,81.05,81.94,352750
2021-10-08,81.61,81.66,80.535,80.61,417908
2021-10-11,81.43,81.43,79.87,79.93,243687
2021-10-12,79.97,79.97,79.255,79.59,235875
2021-10-13,79.59,79.65,78.79,78.93,358568
2021-10-14,78.87,79.65,77.98,78.32,447130
2021-10-15,78.2,79.03,78.0,78.34,351294
2021-10-18,78.53,78.53,77.115,77.15,369635
2021-10-19,78.65,79.5,78.115,79.5,571126
2021-10-20,79.38,81.23,79.32,81.06,304851
2021-10-21,81.11,81.24,80.32,81.16,352613
2021-10-22,81.1,81.48,80.9,81.15,360292
2021-10-26,81.9,82.33,81.73,82.25,297257
2021-10-27,82.48,82.48,81.3,81.54,272067
2021-10-28,83.35,86.855,83.35,86.56,1064191
2021-10-29,86.47,88.45,86.185,88.05,495686
2021-11-01,88.05,88.63,87.3,87.85,261312
2021-11-02,88.285,90.41,87.49,89.01,429835
2021-11-03,88.78,89.3,88.23,88.66,320714
2021-11-04,90.34,91.385,89.31,90.54,600539
2021-11-05,82.29,83.96,81.35,81.61,971572
2021-11-08,80.43,82.88,79.89,82.69,435099
2021-11-09,83.45,83.55,81.92,82.72,222261
2021-11-10,83.19,84.02,82.72,84.02,252471
2021-11-11,83.92,84.26,83.54,84.02,158069
2021-11-12,83.81,84.195,83.055,84.02,414848
2021-11-15,84.03,84.08,83.42,83.7,211549
2021-11-16,83.505,84.68,83.27,84.13,478978
2021-11-17,84.14,84.47,82.61,82.64,517561
2021-11-18,82.44,83.13,82.05,83.04,311027
2021-11-19,82.51,82.73,80.63,80.695,421513
2021-11-22,81.0,82.055,80.58,81.63,397990
2021-11-23,81.39,83.555,81.38,82.8,406475
2021-11-24,82.73,82.9,81.965,82.29,256121
2021-11-26,78.73,79.925,77.11,79.195,853771
2021-11-29,76.88,77.28,74.0,74.89,1088436
2021-11-30,74.77,75.01,73.84,74.87,644327
2021-12-01,75.49,76.905,74.42,74.42,848472
2021-12-02,74.345,74.75,73.32,73.9,526399
2021-12-03,74.185,74.22,72.66,73.31,489658
2021-12-06,73.34,73.84,72.82,73.44,569064
2021-12-07,72.115,72.72,71.53,72.29,557897
2021-12-08,72.64,73.4,72.08,73.225,504022
2021-12-09,73.31,73.52,72.7,72.855,276284
2021-12-10,73.115,73.21,72.25,72.66,233573
2021-12-13,72.54,73.44,71.99,73.42,317064
2021-12-14,72.34,74.02,72.34,73.74,336004
2021-12-15,73.73,75.37,73.73,75.28,337298
2021-12-16,75.455,76.495,75.28,75.91,436323
2021-12-17,76.56,77.74,75.55,75.73,509620
2021-12-20,75.77,76.49,74.99,76.45,341530
2021-12-21,76.2,76.28,74.89,75.55,464017
2021-12-22,75.445,76.55,75.13,76.15,297539
2021-12-23,76.23,76.255,75.4,75.74,201191
2021-12-27,76.04,76.605,75.79,76.56,157598
2021-12-28,76.66,77.09,76.23,76.81,127408
2021-12-29,76.8,77.17,76.49,76.95,113568
2021-12-30,77.08,77.56,76.97,77.16,130553
2021-12-31,77.13,77.5,76.63,76.63,143224
2022-01-03,76.58,76.94,75.37,76.88,216153
2022-01-04,76.29,77.27,75.94,77.05,245146
2022-01-05,77.36,79.8,77.36,78.9,554821
2022-01-06,78.77,79.57,77.96,78.84,261797
2022-01-07,78.73,80.53,78.51,80.295,527617
2022-01-10,80.47,82.43,79.67,82.37,537102
2022-01-11,82.42,82.54,80.655,81.66,220583
2022-01-12,81.09,81.36,80.685,81.21,355219
2022-01-13,80.91,81.715,80.38,81.33,241791
2022-01-14,81.475,81.8,80.785,81.38,187622
2022-01-18,81.32,82.14,80.805,81.55,358065
2022-01-19,81.11,81.97,80.505,81.32,161856
2022-01-20,80.73,81.855,80.565,80.73,531654
2022-01-21,81.21,81.415,79.32,79.97,463501
2022-01-24,79.735,80.11,77.98,78.27,146609
2022-01-25,78.38,79.74,77.78,79.44,335236
2022-01-26,79.375,80.34,78.745,79.18,400145
2022-01-27,78.745,81.575,78.73,80.57,479798
2022-01-28,80.0,80.96,79.19,80.96,334493
2022-01-31,80.96,81.71,80.82,81.43,317010
2022-02-01,81.87,82.08,81.09,81.89,231637
2022-02-02,81.635,82.285,81.27,81.98,501672
2022-02-03,81.67,81.8,78.41,79.005,673430
2022-02-04,78.73,79.53,78.2,78.56,342117
2022-02-07,78.79,78.79,77.45,77.59,784179
2022-02-08,77.03,77.32,75.84,76.91,463940
2022-02-09,77.0,77.325,76.42,76.52,585204
2022-02-10,76.46,76.735,75.93,76.56,413044
2022-02-11,76.44,77.89,76.26,76.65,234063
2022-02-14,76.63,76.67,75.135,76.46,258292
2022-02-15,77.5,78.19,77.37,77.81,210084
2022-02-16,77.16,77.765,76.945,77.24,256734
2022-02-17,76.75,76.915,76.005,76.375,318719
2022-02-18,76.26,76.83,75.905,76.37,197938
2022-02-22,76.765,76.79,75.63,75.95,305578
2022-02-23,76.15,76.435,75.64,75.85,165712
2022-02-24,75.1,75.3,72.875,73.5,773433
2022-02-25,74.27,77.29,74.25,76.3,466768
2022-02-28,74.97,76.73,74.795,76.55,360975
2022-03-01,76.45,77.76,75.96,76.33,307991
2022-03-02,76.32,77.205,76.095,76.66,207619
2022-03-03,76.865,77.53,76.43,77.15,175391
2022-03-04,76.68,77.84,76.03,77.84,291976
2022-03-07,77.04,78.28,76.1,77.74,504473
2022-03-09,77.71,78.225,77.05,77.78,429247
2022-03-10,77.66,78.16,77.37,77.88,251321
2022-03-11,78.305,79.625,78.225,78.26,250122
2022-03-14,77.925,78.6,77.36,77.75,383601
2022-03-15,78.04,79.0,77.45,78.66,543286
2022-03-16,79.07,79.075,77.665,78.11,651923
2022-03-17,78.26,79.355,78.125,78.94,463053
2022-03-18,78.99,79.72,78.66,79.05,286275
2022-03-21,79.76,80.42,78.94,79.035,369142
2022-03-22,79.29,79.77,78.79,79.28,215970
2022-03-23,79.32,80.575,79.25,79.71,169985
2022-03-24,79.91,80.66,79.73,80.39,261934
2022-03-25,80.48,81.375,80.48,81.33,225336
2022-03-28,81.37,81.65,80.735,81.21,137383
2022-03-29,81.55,81.7,80.76,81.55,217779
2022-03-30,81.805,82.69,81.69,82.41,255374
2022-03-31,82.81,83.365,81.96,81.98,293305
2022-04-01,82.2,83.58,81.64,83.53,352462
2022-04-04,83.47,83.865,82.77,83.49,187277
2022-04-05,83.64,85.4,83.51,83.73,403057
2022-04-06,84.38,85.55,84.125,84.97,573879
2022-04-07,85.74,87.1,84.97,86.83,368619
2022-04-08,86.67,87.825,86.44,87.75,391902
2022-04-11,88.24,89.47,86.21,86.64,372886
2022-04-12,85.92,86.54,85.235,85.62,313050
2022-04-13,85.77,86.18,84.87,86.14,393959
2022-04-14,86.29,87.505,85.5,86.9,440552
2022-04-18,86.5,87.44,85.69,86.08,217308
2022-04-19,85.92,86.09,85.12,85.81,252675
2022-04-20,85.54,86.805,85.52,86.5,333290
2022-04-21,86.4,87.22,85.42,86.23,245862
2022-04-22,85.695,86.14,84.51,84.65,238174
2022-04-25,84.71,85.805,83.565,85.46,338193
2022-04-26,85.2,86.185,84.395,84.52,313319
2022-04-27,84.32,85.12,83.6,84.46,388022
2022-04-28,85.7,89.36,85.47,88.55,1063580
2022-04-29,88.615,90.0,88.085,88.71,534789
2022-05-02,88.84,88.84,86.77,87.66,398994
2022-05-03,87.0,88.2,86.44,87.06,266609
2022-05-04,86.7,88.77,86.43,88.55,312570
2022-05-05,88.12,88.64,87.035,87.99,451182
2022-05-06,87.74,88.85,87.5,88.42,357494
2022-05-09,87.585,88.03,86.93,87.67,391627
2022-05-10,88.11,89.09,87.29,87.83,464256
2022-05-11,87.46,90.79,87.455,89.2,581890
2022-05-12,89.81,90.85,88.38,90.85,647390
2022-05-13,90.68,91.05,89.29,90.39,372985
2022-05-16,90.84,92.87,90.69,92.33,489369
2022-05-17,92.42,94.53,91.54,92.995,643697
2022-05-18,92.73,93.14,91.77,92.15,402256
2022-05-19,91.18,92.6,90.9,92.13,394791
2022-05-20,92.68,94.06,92.55,93.51,469114
2022-05-23,93.5,94.915,93.5,93.86,307312
2022-05-24,94.225,94.75,93.6,94.7,401514
2022-05-25,94.305,94.75,93.215,93.795,403440
2022-05-26,93.97,93.97,91.01,92.32,578906
2022-05-27,92.17,93.11,91.77,93.09,350262
2022-05-31,91.75,92.57,90.9,92.205,409201
2022-06-01,91.66,91.92,90.05,91.15,425789
2022-06-02,90.955,90.955,88.76,89.99,511234
2022-06-03,89.77,90.68,89.71,89.91,250336
2022-06-06,90.23,90.65,89.7,89.81,201429
2022-06-07,90.135,90.75,89.605,90.49,318381
2022-06-08,90.52,90.61,89.275,89.48,272332
2022-06-09,89.25,89.78,87.93,88.01,263519
2022-06-10,87.15,88.03,86.72,87.2,266940
2022-06-13,85.7,86.51,84.64,85.01,564068
2022-06-14,84.46,85.03,83.9,84.53,532256
2022-06-15,84.62,85.34,83.75,84.63,455212
2022-06-16,83.775,84.98,83.06,84.94,660365
2022-06-17,84.73,85.71,83.4,84.6,692419
2022-06-21,85.88,88.36,85.28,88.05,490179
2022-06-22,88.06,90.34,88.06,89.165,485568
2022-06-23,89.9,92.135,89.86,92.06,628745
2022-06-24,93.38,93.78,91.71,93.25,739710
2022-06-27,93.285,95.715,93.05,94.46,501136
2022-06-28,94.23,94.315,91.47,91.9,650441
2022-06-29,92.1,92.93,91.89,92.42,425997
2022-06-30,91.7,92.875,90.96,91.36,640560
2022-07-01,91.215,92.48,90.405,92.46,528495
2022-07-05,92.42,92.92,90.54,92.66,418101
2022-07-06,93.25,94.5,92.86,93.16,420607
2022-07-07,93.25,93.89,92.555,93.005,333258
2022-07-08,92.98,93.8,92.44,92.76,245726
2022-07-11,93.07,94.74,92.89,94.29,264649
2022-07-12,93.92,94.19,93.14,93.63,214833
2022-07-13,93.57,94.3,93.02,93.78,213566
2022-07-14,92.44,94.04,92.18,93.88,213471
2022-07-15,94.79,95.34,94.4,94.94,241170
2022-07-18,94.81,95.1,91.95,92.3,288923
2022-07-19,93.17,93.305,92.145,92.28,320204
2022-07-20,92.425,92.425,89.24,89.63,482956
2022-07-21,89.15,90.41,88.93,90.125,426254
2022-07-22,90.29,90.435,89.47,90.12,192580
2022-07-25,90.25,90.7,89.755,90.53,407472
2022-07-26,91.28,91.95,90.61,91.27,313469
2022-07-27,90.54,91.36,90.04,91.17,261199
2022-07-28,90.62,91.12,87.54,89.84,547486
2022-07-29,90.08,91.04,88.305,89.39,387304
2022-08-01,89.35,90.0,88.36,88.55,294388
2022-08-02,89.28,89.55,87.55,87.625,260031
2022-08-03,87.23,87.98,86.79,87.59,268867
2022-08-04,87.825,87.83,86.65,86.86,181183
2022-08-05,86.265,87.515,86.12,87.2,285505
2022-08-08,87.27,88.75,86.92,88.48,186144
2022-08-09,88.91,90.24,86.83,89.53,620788
2022-08-10,89.9,89.92,88.19,89.18,284436
2022-08-11,87.81,89.8,87.66,88.92,307192
2022-08-12,89.03,91.03,89.03,91.0,322133
