date,open,high,low,close,volume
2021-07-21,219.68,219.68,217.66,219.41,21277
2021-07-22,218.79,220.07,217.57,220.03,17077
2021-07-23,221.385,222.29,219.89,221.67,17534
2021-07-26,221.525,222.74,220.8,222.74,21417
2021-07-27,221.505,222.46,219.64,221.63,33530
2021-07-28,222.315,222.315,220.69,221.6,50687
2021-07-29,223.745,224.56,223.36,223.72,32996
2021-07-30,223.73,224.35,223.46,223.925,70547
2021-08-02,224.685,226.4,223.73,223.97,38680
2021-08-03,223.6,225.27,223.2,224.89,25891
2021-08-04,224.695,224.86,222.1,222.89,32676
2021-08-05,221.75,222.65,220.97,222.46,32823
2021-08-06,225.52,231.38,225.52,228.25,148736
2021-08-09,229.475,230.91,227.98,228.38,65696
2021-08-10,228.31,230.38,228.31,229.77,63218
2021-08-11,230.17,230.17,226.87,226.93,27982
2021-08-12,227.145,230.505,226.83,230.42,40184
2021-08-13,231.12,233.1,230.975,233.0,48856
2021-08-16,232.05,235.0,232.05,234.865,29480
2021-08-17,234.09,234.82,233.26,234.44,28951
2021-08-18,234.28,235.4,232.93,233.63,57901
2021-08-19,233.44,238.825,233.44,237.48,38597
2021-08-20,236.49,239.94,236.49,239.94,50701
2021-08-23,240.76,241.04,238.505,239.03,52764
2021-08-24,239.06,240.15,238.18,239.14,35130
2021-08-25,240.2,242.51,239.61,241.49,21606
2021-08-26,242.01,243.42,240.62,243.11,37621
2021-08-27,243.99,244.55,242.22,242.92,58427
2021-08-30,243.81,244.75,243.62,244.43,41838
2021-08-31,243.76,244.465,242.87,244.25,83682
2021-09-01,244.14,244.14,242.595,243.43,21017
2021-09-02,244.235,246.055,243.05,246.05,65486
2021-09-03,245.295,245.825,244.71,244.82,18909
2021-09-07,244.14,245.71,243.375,244.93,38695
2021-09-08,244.85,246.745,244.85,246.39,17921
2021-09-09,246.795,246.95,243.755,243.755,48985
2021-09-10,244.46,244.99,242.54,242.715,36212
2021-09-13,244.54,244.54,240.5,241.81,69814
2021-09-14,240.54,241.0,238.975,241.0,50880
2021-09-15,240.16,244.45,240.16,243.89,25830
2021-09-16,244.32,244.32,241.65,242.33,21222
2021-09-17,241.58,242.41,236.605,237.46,40356
2021-09-20,234.03,235.97,232.4,234.28,33358
2021-09-21,235.06,236.64,233.61,235.65,44924
2021-09-22,237.67,241.0,237.42,239.15,37279
2021-09-23,241.77,242.48,240.075,240.29,47471
2021-09-24,239.72,241.85,239.38,240.805,16740
2021-09-27,239.98,240.26,238.415,238.88,13329
2021-09-28,236.75,236.9,233.305,233.64,53770
2021-09-29,234.72,237.04,234.48,235.69,21258
2021-09-30,236.96,238.15,232.37,232.37,27800
2021-10-01,233.22,235.24,230.69,234.16,21064
2021-10-04,233.43,233.44,230.1,231.41,26724
2021-10-05,230.94,234.615,230.655,232.25,43228
2021-10-06,231.93,233.81,228.61,233.72,21893
2021-10-07,234.98,239.21,234.98,236.71,19961
2021-10-08,236.95,237.76,236.05,236.87,18594
2021-10-11,236.85,237.48,235.42,235.465,19124
2021-10-12,236.36,239.81,235.43,239.33,50270
2021-10-13,240.335,241.42,239.88,241.275,75578
2021-10-14,243.17,246.26,242.895,245.01,21859
2021-10-15,247.875,247.875,239.49,239.75,39815
2021-10-18,238.86,243.24,238.86,243.08,29274
2021-10-19,243.83,246.325,243.56,245.14,40432
2021-10-20,245.7,246.99,244.81,246.41,22938
2021-10-21,247.05,249.67,247.005,248.38,30677
2021-10-22,249.1,250.065,248.31,249.61,12443
2021-10-26,246.37,248.32,245.66,245.66,11117
2021-10-27,248.26,251.375,247.83,250.175,70052
2021-10-28,246.7,249.74,246.7,248.13,39130
2021-10-29,247.48,249.45,247.48,248.58,31965
