date,open,high,low,close,volume
2021-07-21,130.42,134.77,130.04,132.98,98633
2021-07-22,131.925,132.18,128.54,128.95,93969
2021-07-23,130.51,131.73,128.57,129.3,49897
2021-07-26,129.86,132.575,129.86,132.24,40290
2021-07-27,131.205,135.2,131.205,133.94,54810
2021-07-28,134.97,135.945,132.44,134.455,31588
2021-07-29,135.775,137.06,134.14,135.3,62365
2021-07-30,134.73,136.5,133.27,133.86,25813
2021-08-02,134.51,137.68,133.33,133.33,53955
2021-08-03,133.475,136.895,131.85,136.16,33140
2021-08-04,134.69,135.845,133.01,133.01,28226
2021-08-05,134.025,134.365,132.97,134.365,21262
2021-08-06,137.11,139.785,136.77,137.97,51268
2021-08-09,136.51,140.145,136.51,138.49,37656
2021-08-10,138.34,141.07,138.02,140.06,23384
2021-08-11,140.32,142.525,139.375,142.52,52500
2021-08-12,142.63,142.64,140.9,141.62,24025
2021-08-13,141.57,141.57,139.595,139.94,17717
2021-08-16,138.635,139.65,137.65,139.03,20095
2021-08-17,138.05,139.315,136.46,138.06,43549
2021-08-18,137.11,139.16,136.51,136.94,22280
2021-08-19,134.99,135.8,133.31,134.57,39772
2021-08-20,134.45,135.73,133.73,135.69,37876
2021-08-23,137.22,137.66,136.33,136.85,16945
2021-08-24,137.2,139.0,136.805,138.77,40317
2021-08-25,139.02,142.53,138.75,141.65,71570
2021-08-26,141.6,142.04,139.58,139.74,26059
2021-08-27,140.04,142.48,140.04,142.14,21234
2021-08-30,139.57,140.505,138.75,138.97,27774
2021-08-31,138.4,140.69,138.135,140.06,66278
2021-09-01,140.465,140.465,137.88,139.25,52525
2021-09-02,138.99,140.155,138.375,139.33,48335
2021-09-03,139.68,140.11,137.81,139.03,24968
2021-09-07,139.255,140.905,138.38,138.46,31688
2021-09-08,137.96,138.54,136.53,137.23,23579
2021-09-09,137.23,139.31,137.23,137.85,21234
2021-09-10,138.735,138.885,135.74,135.74,28407
2021-09-13,137.97,139.02,136.7,137.42,51806
2021-09-14,137.34,137.82,132.8,133.71,35168
2021-09-15,133.925,138.15,133.925,137.2,31825
2021-09-16,139.18,139.18,136.2,137.55,33211
2021-09-17,137.88,138.82,137.23,137.65,38821
2021-09-20,133.65,134.14,131.6,134.125,32257
2021-09-21,135.215,135.215,132.52,133.4,22141
2021-09-22,135.61,137.78,134.72,136.52,27199
2021-09-23,138.47,143.34,138.47,141.955,60797
2021-09-24,142.215,144.205,142.005,143.23,57645
2021-09-27,146.33,152.78,145.85,151.19,85727
2021-09-28,151.83,152.55,150.06,151.05,48720
2021-09-29,151.34,153.975,150.27,153.06,31315
2021-09-30,153.97,154.65,149.26,149.37,80137
2021-10-01,152.21,154.05,150.0,152.83,33921
2021-10-04,153.77,155.68,152.565,153.63,43427
2021-10-05,154.95,156.37,153.67,153.7,35987
2021-10-06,151.68,152.31,148.87,152.31,48196
2021-10-07,153.89,154.98,152.745,153.63,26427
2021-10-08,152.86,155.09,152.86,153.78,29425
2021-10-11,153.18,154.77,151.385,151.44,35122
2021-10-12,150.91,151.87,150.08,150.7,30544
2021-10-13,150.31,150.31,146.23,149.28,37988
2021-10-14,150.11,151.06,149.34,151.01,48244
2021-10-15,152.58,152.58,150.085,151.12,34236
2021-10-18,150.82,152.26,150.38,150.79,34529
2021-10-19,151.04,151.49,149.745,151.395,43278
2021-10-20,151.215,160.57,151.215,160.36,56618
2021-10-21,159.76,160.49,156.49,159.73,78728
2021-10-22,159.84,162.49,158.46,159.88,54206
2021-10-26,158.12,158.21,155.13,155.42,47838
2021-10-27,153.74,153.74,148.82,149.12,101001
2021-10-28,149.68,149.685,147.44,148.03,68832
2021-10-29,148.63,148.82,146.5,147.15,61347
2021-11-01,149.49,152.86,149.27,152.75,39407
2021-11-02,151.62,154.76,151.62,153.83,92150
2021-11-03,152.84,160.185,152.84,159.3,76530
2021-11-04,158.02,158.02,152.76,154.25,79277
2021-11-05,156.33,157.29,154.17,155.02,31379
2021-11-08,156.39,157.255,155.295,156.57,38094
2021-11-09,155.51,155.865,153.53,154.59,28723
2021-11-10,156.14,157.045,155.53,156.46,28850
2021-11-11,156.4,159.86,156.4,159.23,32438
2021-11-12,159.64,160.72,157.91,159.89,47099
2021-11-15,160.37,162.21,159.675,160.33,72727
2021-11-16,160.065,161.395,159.275,160.45,23365
2021-11-17,159.93,161.45,158.67,161.19,33644
2021-11-18,162.03,162.62,159.14,159.53,55477
2021-11-19,156.98,159.01,154.69,157.41,35630
2021-11-22,160.315,163.01,160.01,161.36,39196
2021-11-23,162.12,163.07,161.485,161.85,45468
2021-11-24,161.735,163.14,160.145,161.42,19758
2021-11-26,154.57,155.05,151.3,154.04,40409
2021-11-29,154.69,155.555,150.805,152.365,74738
2021-11-30,148.85,149.99,145.96,146.6,23633
2021-12-01,150.28,151.93,144.06,144.06,44453
2021-12-02,146.46,152.08,144.19,150.74,41936
2021-12-03,150.03,150.61,145.815,147.02,36913
2021-12-06,149.9,154.1,149.655,151.61,32140
2021-12-07,152.875,154.39,151.88,152.69,41423
2021-12-08,152.72,154.1,151.63,151.97,26681
2021-12-09,150.635,153.3,150.47,152.23,58594
2021-12-10,153.14,153.56,151.14,152.22,62405
2021-12-13,152.19,152.19,147.52,147.61,34207
2021-12-14,148.23,151.085,148.23,149.43,56806
2021-12-15,150.75,151.87,148.915,150.62,60610
2021-12-16,152.765,156.54,152.03,153.12,56692
2021-12-17,150.74,150.74,146.97,147.03,49714
2021-12-20,144.65,145.06,141.86,144.77,30388
2021-12-21,146.78,149.655,146.78,149.04,19007
2021-12-22,148.87,151.36,148.53,150.53,26870
2021-12-23,152.59,153.02,150.725,151.05,17966
2021-12-27,151.625,153.53,149.91,153.47,19634
2021-12-28,153.71,154.77,153.71,154.18,11979
2021-12-29,153.07,154.93,153.07,154.145,16065
2021-12-30,154.96,155.81,153.11,153.16,19640
2021-12-31,153.74,154.31,152.59,153.58,29338
2022-01-03,156.62,158.52,156.5,158.26,45460
2022-01-04,161.5,166.11,161.5,164.04,61512
2022-01-05,165.39,167.7,164.64,165.36,117155
2022-01-06,168.015,173.68,168.015,171.86,70908
2022-01-07,172.03,177.305,171.12,177.0,73969
2022-01-10,178.745,179.72,175.38,177.54,95923
2022-01-11,177.86,179.15,176.16,178.195,40287
2022-01-12,178.305,180.415,178.305,179.51,182653
2022-01-13,181.365,184.65,181.245,183.18,96185
2022-01-14,181.31,185.29,179.74,185.29,85164
2022-01-18,185.1,185.83,181.48,182.25,87578
2022-01-19,180.545,181.41,175.91,175.91,201774
2022-01-20,178.58,181.18,165.82,166.38,262863
2022-01-21,164.925,164.925,158.05,160.31,119768
2022-01-24,158.55,160.94,156.81,160.48,21357
2022-01-25,163.835,166.25,160.95,164.65,79240
