date,open,high,low,close,volume
2021-07-21,75.45,77.22,75.36,77.165,389803
2021-07-22,76.23,76.23,74.475,75.53,572241
2021-07-23,75.91,76.03,74.9,76.01,312429
2021-07-26,75.91,77.43,75.52,76.285,329092
2021-07-27,74.4,74.645,72.52,74.23,687795
2021-07-28,74.49,76.005,74.41,75.52,482194
2021-07-29,76.13,77.11,75.95,77.09,519169
2021-07-30,76.2,78.11,76.16,77.56,370776
2021-08-02,78.865,79.47,77.47,77.64,501645
2021-08-03,78.94,81.05,77.96,80.855,742540
2021-08-04,80.45,83.09,79.55,82.03,884983
2021-08-05,82.28,83.04,81.165,81.46,330683
2021-08-06,81.105,82.86,81.05,81.985,380759
2021-08-09,81.78,81.97,80.1,80.19,363457
2021-08-10,79.74,79.74,75.775,75.91,1264456
2021-08-11,76.04,76.04,73.73,75.03,1162388
2021-08-12,72.15,72.19,68.82,70.27,2849125
2021-08-13,70.24,71.23,69.9,70.93,1448185
2021-08-16,70.26,71.73,69.93,70.94,518799
2021-08-17,70.04,71.435,69.645,70.79,501552
2021-08-18,71.185,71.87,70.6,70.61,436786
2021-08-19,70.0,70.81,69.08,70.34,517810
2021-08-20,70.28,71.01,69.59,70.22,409753
2021-08-23,70.98,71.88,68.91,71.72,434587
2021-08-24,72.14,72.68,71.72,72.01,555872
2021-08-25,72.84,77.0,72.18,74.05,984201
2021-08-26,73.215,73.23,71.71,72.77,573504
2021-08-27,72.62,74.15,72.25,74.0,463685
2021-08-30,74.04,74.715,72.85,73.16,393234
2021-08-31,73.715,74.6,73.33,73.66,395143
2021-09-01,74.21,74.21,73.03,73.66,487517
2021-09-02,73.29,74.0,72.34,73.975,335024
2021-09-03,74.14,74.65,73.64,73.8,258806
2021-09-07,73.775,74.48,73.17,73.64,409023
2021-09-08,73.12,73.21,71.155,72.265,538718
2021-09-09,71.68,73.265,71.42,72.87,483241
2021-09-10,74.02,75.615,73.47,73.5,520403
2021-09-13,74.515,75.17,73.53,74.335,388678
2021-09-14,73.84,74.11,72.93,73.54,395272
2021-09-15,72.94,73.93,71.81,73.82,360670
2021-09-16,73.35,74.955,72.81,74.62,556281
2021-09-17,74.29,74.5,73.345,74.37,422339
2021-09-20,72.55,72.7,71.205,72.45,714989
2021-09-21,72.99,73.13,71.66,72.12,283165
2021-09-22,73.09,74.57,72.67,73.98,477879
2021-09-23,73.61,74.78,73.28,74.04,537717
2021-09-24,73.35,74.485,73.08,74.03,523390
2021-09-27,73.59,75.86,73.525,75.14,639325
2021-09-28,74.52,74.99,73.07,73.17,772873
2021-09-29,71.06,73.31,70.24,71.68,1056729
2021-09-30,72.16,72.58,70.88,70.97,415552
2021-10-01,71.18,71.525,70.12,70.95,453169
2021-10-04,70.53,71.56,70.4,70.64,473453
2021-10-05,71.11,71.11,69.635,70.46,355533
2021-10-06,69.71,70.36,69.05,69.95,599979
2021-10-07,70.31,71.67,70.13,70.505,591389
2021-10-08,70.89,70.94,69.71,70.13,329266
2021-10-11,69.75,70.32,69.18,69.19,508513
2021-10-12,69.37,69.37,65.67,66.73,931668
2021-10-13,66.76,67.4,66.23,66.4,356629
2021-10-14,67.3,68.065,66.82,67.8,550949
2021-10-15,68.09,68.42,67.48,67.7,348338
2021-10-18,67.01,67.6,66.32,67.26,324631
2021-10-19,67.35,67.885,66.645,67.57,496219
2021-10-20,67.09,69.2,67.01,68.25,457663
2021-10-21,67.855,68.7,67.67,68.66,317114
2021-10-22,68.47,69.065,67.085,67.49,582373
2021-10-25,69.625,71.12,68.545,68.705,609505
2021-10-26,69.285,69.805,68.48,68.94,570219
2021-10-27,68.58,68.685,67.46,68.26,355365
2021-10-28,69.395,70.34,69.235,69.59,514958
2021-10-29,68.38,69.55,68.04,69.09,367683
2021-11-01,68.94,70.97,68.94,70.715,438341
2021-11-02,70.41,70.845,70.06,70.78,252767
2021-11-03,70.6,71.33,70.285,71.25,222064
2021-11-04,72.37,72.45,71.04,72.25,559576
2021-11-05,73.01,73.71,72.375,72.91,375437
2021-11-08,73.32,75.02,73.13,74.555,538845
2021-11-09,75.09,76.27,74.58,75.61,557711
2021-11-10,74.165,75.13,73.205,73.39,496857
2021-11-11,74.0,74.96,73.63,74.55,469269
2021-11-12,74.99,78.015,74.97,77.3,748060
2021-11-15,77.77,78.25,76.61,76.77,423125
2021-11-16,76.52,77.13,75.8,76.805,417245
2021-11-17,76.38,76.535,75.195,75.48,348921
2021-11-18,76.89,77.49,75.75,77.03,420670
2021-11-19,79.09,83.82,79.08,83.02,1253390
2021-11-22,83.69,87.65,83.69,83.79,798364
2021-11-23,85.03,87.69,84.34,85.415,629814
2021-11-24,84.65,87.15,84.625,86.29,598886
2021-11-26,83.1,84.03,81.98,83.44,639714
2021-11-29,84.47,86.26,84.22,86.23,512066
2021-11-30,85.57,86.92,83.96,83.99,808793
2021-12-01,86.52,89.045,85.0,85.01,1028319
2021-12-02,82.6,83.57,81.37,82.89,691666
2021-12-03,83.67,84.42,80.64,81.63,483051
2021-12-06,81.875,83.22,80.53,82.45,422335
2021-12-07,84.41,87.02,84.37,85.815,584317
2021-12-08,85.38,86.33,84.09,86.03,330800
2021-12-09,85.18,86.53,84.64,84.94,216137
2021-12-10,84.48,85.67,84.18,85.55,351813
2021-12-13,86.655,87.35,84.23,84.32,290821
2021-12-14,83.03,84.75,82.94,83.325,230413
2021-12-15,83.365,85.76,82.07,85.76,354620
2021-12-16,85.94,86.11,82.16,82.69,367871
2021-12-17,81.28,83.225,80.95,83.1,488376
2021-12-20,82.1,83.225,80.91,82.0,562698
2021-12-21,88.975,91.14,87.38,90.66,1511980
2021-12-22,89.91,90.45,88.95,90.33,437665
2021-12-23,90.66,94.98,90.38,94.33,942429
2021-12-27,93.83,94.92,92.73,94.43,321525
2021-12-28,93.76,93.84,92.08,92.95,381879
