date,open,high,low,close,volume
2021-07-21,60.75,62.27,60.6,62.1,205230
2021-07-22,62.63,62.63,61.71,61.77,170979
2021-07-23,61.96,62.81,61.95,62.6,95325
2021-07-26,62.45,62.45,61.55,62.12,192360
2021-07-27,62.07,62.65,61.77,61.9,108717
2021-07-28,61.73,61.97,61.44,61.85,79728
2021-07-29,62.15,62.48,61.52,62.22,77259
2021-07-30,61.99,62.68,61.99,62.23,79266
2021-08-02,62.69,62.95,62.38,62.79,86691
2021-08-03,63.14,63.18,62.59,62.89,89289
2021-08-04,62.69,63.46,62.69,63.14,144240
2021-08-05,63.33,63.42,62.51,62.91,97638
2021-08-06,63.25,63.31,62.52,62.93,72594
2021-08-09,62.99,62.99,62.66,62.86,37959
2021-08-10,63.0,63.35,62.58,62.97,71583
2021-08-11,63.14,63.45,62.91,63.11,47142
2021-08-12,62.62,63.58,62.62,63.35,86205
2021-08-13,63.44,63.75,63.38,63.66,42939
2021-08-16,63.53,64.07,63.4,64.04,41349
2021-08-17,63.67,63.92,63.17,63.3,89466
2021-08-18,63.0,63.37,62.26,62.29,96918
2021-08-19,61.44,63.09,61.19,62.67,106077
2021-08-20,62.63,63.22,62.53,62.87,49893
2021-08-23,63.27,63.86,63.26,63.52,80880
2021-08-24,63.97,63.98,63.6,63.6,77916
2021-08-25,63.84,64.02,63.42,63.84,35526
2021-08-26,63.67,63.93,63.34,63.73,68961
2021-08-27,63.82,64.49,63.82,64.45,52563
2021-08-30,64.72,65.18,64.57,64.7,52491
2021-08-31,64.8,65.39,64.66,65.26,124311
2021-09-01,64.98,66.12,64.96,66.0,61095
2021-09-02,66.23,66.27,65.38,65.97,69678
2021-09-03,66.07,66.56,66.0,66.16,71475
2021-09-07,66.35,66.35,65.03,65.5,59358
2021-09-08,65.7,66.21,65.6,66.16,51216
2021-09-09,65.92,66.57,65.85,66.0,68490
2021-09-10,66.2,66.2,65.35,65.36,48642
2021-09-13,65.74,65.94,64.38,64.78,72168
2021-09-14,65.01,65.48,64.95,65.17,69381
2021-09-15,65.11,65.66,64.88,65.32,72678
2021-09-16,65.41,65.41,64.85,65.18,33402
2021-09-17,64.9,64.9,64.01,64.32,89313
2021-09-20,63.11,64.04,62.85,63.62,99360
2021-09-21,64.08,64.19,63.8,64.0,127329
2021-09-22,64.27,64.87,64.02,64.81,353196
2021-09-23,65.36,65.55,65.1,65.2,304872
2021-09-24,64.84,65.64,64.84,65.58,120243
2021-09-27,65.26,65.49,64.86,65.27,565278
2021-09-28,64.49,64.49,63.22,63.63,715491
2021-09-29,63.91,64.79,63.64,64.68,427464
2021-09-30,65.2,65.76,64.32,64.32,406653
2021-10-01,64.81,64.89,63.55,64.6,228153
2021-10-04,64.68,65.09,62.93,62.98,460329
2021-10-05,63.22,65.19,63.14,65.07,471180
2021-10-06,65.06,65.28,64.15,64.89,370962
2021-10-07,65.9,66.32,65.74,65.95,82083
2021-10-08,65.88,66.27,65.51,65.85,75960
2021-10-11,65.61,67.48,65.61,65.87,150987
2021-10-12,65.98,66.25,65.43,65.81,134409
2021-10-13,66.03,66.22,65.05,65.82,138825
2021-10-14,66.61,67.06,66.36,66.87,115101
2021-10-15,67.2,67.77,66.89,67.69,82071
2021-10-18,67.58,68.14,67.35,67.84,88509
2021-10-19,68.13,69.6,68.04,69.6,147630
2021-10-20,69.66,69.66,65.6,66.42,615330
2021-10-21,66.25,67.29,65.63,66.3,224862
2021-10-22,66.64,67.31,66.49,67.23,132459
2021-10-25,66.85,67.24,66.03,67.15,123405
2021-10-26,67.4,68.1,66.75,67.04,156561
2021-10-27,66.79,67.9,66.75,67.46,122679
2021-10-28,67.85,69.0,67.67,69.0,127233
2021-10-29,68.98,70.11,68.98,69.96,67482
2021-11-01,70.32,70.44,68.9,69.97,120717
2021-11-02,70.26,71.15,69.79,70.42,100062
2021-11-03,70.51,70.51,68.97,69.82,88257
2021-11-04,70.5,70.93,69.93,70.78,61563
2021-11-05,71.05,71.56,70.64,70.93,84666
2021-11-08,71.27,71.27,69.88,70.6,117897
2021-11-09,70.72,70.87,70.15,70.26,150078
2021-11-10,70.05,70.05,68.82,69.16,115323
2021-11-11,69.09,69.46,68.66,68.66,178401
2021-11-12,69.39,69.73,68.64,69.51,267840
2021-11-15,70.03,70.27,69.71,69.91,62205
2021-11-16,70.2,71.17,70.12,70.66,62199
2021-11-17,70.87,71.03,69.56,69.97,90024
2021-11-18,70.46,70.46,69.42,69.55,68931
2021-11-19,69.64,69.76,69.12,69.25,86730
2021-11-22,69.65,70.09,69.2,69.22,80691
2021-11-23,68.96,69.4,68.29,69.28,74715
2021-11-24,68.85,69.6,68.61,69.54,48507
2021-11-26,68.7,69.06,67.68,67.9,56682
2021-11-29,68.61,70.08,68.61,69.73,82188
2021-11-30,69.09,69.48,67.67,67.72,108831
2021-12-01,68.6,68.6,66.3,66.31,108285
2021-12-02,66.29,67.63,66.12,67.07,174852
2021-12-03,67.84,67.84,65.47,66.67,139215
2021-12-06,66.65,66.65,65.36,66.02,144948
2021-12-07,67.32,68.6,67.32,68.58,107796
2021-12-08,68.75,69.22,68.15,69.14,53058
2021-12-09,68.75,68.78,68.05,68.05,43818
2021-12-10,68.31,68.59,67.7,68.59,63615
2021-12-13,68.33,69.03,68.15,68.51,55944
2021-12-14,67.93,68.03,65.88,66.56,150825
2021-12-15,66.94,67.36,66.23,67.35,152361
2021-12-16,67.96,68.82,67.63,67.9,206040
2021-12-17,67.59,67.78,66.77,67.01,61584
2021-12-20,66.03,66.31,65.28,66.22,73917
2021-12-21,66.67,67.44,66.54,67.43,58077
2021-12-22,67.6,68.11,67.38,68.05,83370
2021-12-23,68.5,68.91,68.35,68.55,111150
2021-12-27,68.79,69.66,68.66,69.66,76656
2021-12-28,70.0,70.1,69.8,69.9,43707
2021-12-29,69.99,70.41,69.93,69.98,31947
2021-12-30,70.23,70.35,69.6,69.68,70902
2021-12-31,69.97,70.39,69.66,70.0,34728
2022-01-03,70.02,70.02,66.92,67.54,106188
2022-01-04,66.95,67.17,65.31,65.82,165171
2022-01-05,65.48,66.18,65.0,65.04,132792
2022-01-06,64.85,65.23,63.74,65.16,263400
2022-01-07,64.63,64.84,63.74,64.52,112617
2022-01-10,63.95,63.95,61.97,63.03,215511
2022-01-11,63.09,64.21,62.34,64.21,91758
2022-01-12,64.65,64.86,64.23,64.43,101082
2022-01-13,64.65,64.71,62.27,62.4,276516
2022-01-14,61.83,62.21,61.12,62.06,708918
2022-01-18,61.28,61.66,60.76,61.2,235155
2022-01-19,61.43,61.64,60.31,60.36,246762
2022-01-20,60.6,61.63,59.89,60.03,147300
2022-01-21,59.68,60.18,58.84,59.03,259293
2022-01-24,57.63,58.85,55.9,58.8,256104
2022-01-25,57.94,58.86,57.22,58.31,388002
2022-01-26,58.91,59.03,55.64,56.51,489342
2022-01-27,57.26,58.74,57.14,57.44,750342
2022-01-28,57.04,58.24,56.62,58.24,135363
2022-01-31,58.61,59.86,58.61,59.76,173490
2022-02-01,60.02,60.25,59.34,60.07,155820
2022-02-02,60.32,60.89,60.32,60.78,129357
2022-02-03,59.79,60.15,59.29,59.32,153939
2022-02-04,59.19,60.22,59.16,59.51,203046
2022-02-07,60.22,60.22,59.35,59.52,125670
2022-02-08,58.87,59.49,58.39,59.28,108606
2022-02-09,59.86,60.9,59.83,59.87,197091
2022-02-10,58.67,60.17,58.56,59.05,116640
2022-02-11,58.87,59.14,57.31,57.42,158724
2022-02-14,57.4,57.82,56.92,57.32,142347
2022-02-15,58.19,58.74,58.11,58.35,129555
2022-02-16,58.15,58.45,57.75,58.22,129663
2022-02-17,57.91,57.97,57.26,57.31,67764
2022-02-18,57.5,57.74,56.75,57.19,127332
2022-02-22,56.17,57.25,56.13,56.33,123837
2022-02-23,56.83,57.2,55.93,56.06,96015
2022-02-24,53.77,56.93,53.77,56.71,163836
2022-02-25,57.01,57.68,56.83,57.57,137376
2022-02-28,56.85,57.53,56.55,57.02,172029
2022-03-01,56.92,57.26,56.34,56.67,110289
2022-03-02,57.05,57.87,56.92,57.35,129276
2022-03-03,57.62,57.89,57.06,57.48,143520
2022-03-04,56.97,57.2,56.53,57.14,138081
2022-03-07,57.05,57.05,56.03,56.13,134904
2022-03-08,55.9,56.25,54.2,55.01,292875
2022-03-09,56.18,56.56,55.52,56.21,189711
2022-03-10,55.55,55.67,54.22,55.54,103869
2022-03-11,55.9,56.11,54.95,54.95,105132
2022-03-14,55.11,55.88,55.11,55.51,171519
2022-03-15,55.95,56.66,55.89,56.57,71763
2022-03-16,57.12,57.95,56.56,57.81,132969
2022-03-17,57.74,58.71,57.63,58.68,94575
2022-03-18,58.73,59.96,58.73,59.75,105816
2022-03-21,59.56,59.82,58.93,59.17,85464
2022-03-22,59.37,59.48,58.72,59.17,133491
2022-03-23,58.53,58.53,58.01,58.07,113400
2022-03-24,58.13,58.41,57.92,58.21,50625
2022-03-25,58.24,58.65,58.18,58.44,51762
2022-03-28,58.94,59.2,58.52,59.19,77364
2022-03-29,59.58,60.7,59.57,60.46,159804
2022-03-30,60.16,60.92,60.16,60.62,156801
2022-03-31,60.8,61.28,59.38,59.4,173079
2022-04-01,59.79,60.69,59.39,60.63,125115
2022-04-04,60.72,61.04,60.33,60.84,196680
2022-04-05,60.73,61.56,60.59,60.7,239016
2022-04-06,59.97,61.39,59.97,61.22,211695
2022-04-07,61.04,61.28,60.55,61.0,98115
2022-04-08,60.98,61.48,60.85,61.14,130941
2022-04-11,60.49,61.07,59.85,60.78,189282
2022-04-12,60.98,61.43,59.78,60.03,191412
2022-04-13,60.19,60.6,59.69,60.42,76344
2022-04-14,60.79,60.79,59.5,59.52,70560
2022-04-18,59.21,59.61,58.91,59.47,85962
2022-04-19,59.41,60.4,59.36,60.35,98340
2022-04-20,59.52,59.53,57.31,57.64,184092
2022-04-21,57.81,57.81,56.23,56.49,303060
2022-04-22,56.18,56.65,55.6,55.6,111510
2022-04-25,55.35,55.7,54.93,55.52,120408
2022-04-26,55.41,55.59,53.89,53.89,195405
2022-04-27,53.86,54.43,53.3,53.33,269883
2022-04-28,53.71,54.4,53.18,54.16,576462
2022-04-29,53.96,53.96,52.37,52.45,133128
2022-05-02,52.53,52.93,51.19,52.25,151230
2022-05-03,52.05,52.94,52.05,52.62,187968
2022-05-04,52.59,53.45,52.14,53.32,333627
2022-05-05,52.98,53.26,51.26,51.66,142089
2022-05-06,51.38,51.38,50.2,50.78,113511
2022-05-09,50.14,50.21,48.59,48.75,94599
2022-05-10,49.73,49.89,48.07,48.6,194058
2022-05-11,48.34,49.09,47.72,47.74,148593
2022-05-12,47.5,48.42,47.13,48.11,145812
2022-05-13,48.48,49.46,48.46,49.19,137781
2022-05-16,48.91,49.19,48.53,48.71,144804
2022-05-17,49.64,49.74,49.21,49.59,163026
2022-05-18,49.28,49.28,47.26,47.38,96474
2022-05-19,47.07,47.91,47.07,47.68,207120
2022-05-20,48.27,48.77,47.87,48.71,129516
2022-05-23,49.0,49.46,48.61,49.24,93039
2022-05-24,48.94,48.96,48.07,48.87,101076
2022-05-25,48.62,49.44,48.59,49.15,138189
2022-05-26,49.4,50.52,49.4,50.31,104277
2022-05-27,50.67,51.89,50.65,51.89,305919
2022-05-31,51.46,52.12,51.38,51.79,185061
2022-06-01,51.65,52.09,50.73,50.75,96864
2022-06-02,50.76,51.61,50.53,51.59,192885
2022-06-03,51.37,51.46,50.96,51.39,93087
2022-06-06,51.59,52.22,51.19,51.39,98166
