date,open,high,low,close,volume
2021-07-21,78.41,78.91,77.8,78.25,65772
2021-07-22,78.78,78.78,76.82,77.05,133563
2021-07-23,77.91,77.99,77.11,77.68,68444
2021-07-26,78.07,79.47,77.905,78.51,70993
2021-07-27,77.68,78.18,76.91,77.96,52834
2021-07-28,78.26,78.61,77.11,78.21,40240
2021-07-29,79.035,79.57,78.77,79.0,33665
2021-07-30,78.815,79.98,78.555,79.58,47182
2021-08-02,80.025,81.11,80.025,80.12,39867
2021-08-03,79.91,82.0,79.91,81.75,70118
2021-08-04,81.43,81.82,80.98,81.42,49507
2021-08-05,81.54,82.185,81.4,81.47,28420
2021-08-06,81.99,82.48,81.65,82.17,61040
2021-08-09,81.965,82.97,81.88,82.25,48615
2021-08-10,82.68,82.97,82.22,82.57,64761
2021-08-11,82.42,83.5,82.23,82.59,108101
2021-08-12,82.94,83.17,82.07,83.075,36155
2021-08-13,83.28,83.28,82.29,82.29,22166
2021-08-16,82.02,82.15,81.545,81.81,62107
2021-08-17,81.33,81.455,79.45,80.5,59006
2021-08-18,80.28,81.17,79.64,79.65,32925
2021-08-19,78.45,79.425,78.185,79.255,64334
2021-08-20,79.26,80.705,79.26,80.66,93148
2021-08-23,81.0,81.405,80.52,80.71,133164
2021-08-24,80.8,81.14,79.98,80.75,116381
2021-08-25,80.76,82.57,80.73,82.25,82372
2021-08-26,86.29,91.28,85.49,86.15,545378
2021-08-27,85.92,87.06,85.3,87.02,137725
2021-08-30,87.24,88.68,86.98,88.38,50201
2021-08-31,88.55,89.095,87.91,89.0,93772
2021-09-01,89.205,89.875,88.47,89.32,73185
2021-09-02,89.77,90.1,88.94,89.74,79553
2021-09-03,89.96,91.51,89.8,91.35,118530
2021-09-07,91.14,91.5,89.93,89.965,76162
2021-09-08,89.92,90.04,88.055,89.535,91297
2021-09-09,90.19,92.185,89.73,92.15,100307
2021-09-10,92.49,93.305,91.98,92.33,62138
2021-09-13,92.96,92.96,90.905,91.78,68159
2021-09-14,91.74,92.66,91.33,92.2,53187
2021-09-15,92.26,93.275,91.42,93.23,41192
2021-09-16,93.18,93.53,92.32,92.99,43054
2021-09-17,92.1,92.3,89.825,90.04,67521
2021-09-20,88.32,89.8,87.82,88.97,46291
2021-09-21,89.02,89.55,88.1,88.14,36164
2021-09-22,89.23,90.46,89.08,90.0,40493
2021-09-23,90.16,93.26,90.16,92.78,59693
2021-09-24,92.56,93.78,92.47,93.67,19327
2021-09-27,93.66,94.32,93.11,93.84,24136
2021-09-28,92.92,93.545,91.67,91.79,49401
2021-09-29,92.27,92.27,90.195,90.33,40532
2021-09-30,91.37,91.65,89.49,89.76,121396
2021-10-01,89.84,91.3,89.3,90.48,47638
2021-10-04,90.63,91.05,89.07,89.55,39738
