date,open,high,low,close,volume
2021-07-21,24.45,24.855,24.45,24.61,33258
2021-07-22,24.61,24.61,24.25,24.395,18565
2021-07-23,24.46,24.755,24.34,24.74,25092
2021-07-26,25.04,25.34,24.65,24.8,59859
2021-07-27,24.63,24.865,24.54,24.725,25081
2021-07-28,24.93,24.98,24.515,24.765,22570
2021-07-29,24.91,24.925,24.565,24.59,25572
2021-07-30,24.49,24.78,24.49,24.625,71355
2021-08-02,24.78,24.985,24.625,24.74,110932
2021-08-03,24.66,24.66,23.855,24.08,56720
2021-08-04,24.45,24.65,24.245,24.34,88597
2021-08-05,24.55,24.88,24.49,24.865,119330
2021-08-06,25.86,26.41,24.65,24.715,171240
2021-08-09,24.225,24.565,23.72,24.415,103894
2021-08-10,24.28,24.43,24.085,24.3,39407
2021-08-11,24.115,24.23,23.835,24.17,78902
2021-08-12,24.02,24.12,23.83,23.96,56844
2021-08-13,23.97,23.97,23.475,23.505,58662
2021-08-16,23.395,23.67,23.1,23.61,70351
2021-08-17,23.085,23.47,22.925,22.965,115899
2021-08-18,22.88,23.02,22.155,22.16,112339
2021-08-19,22.0,22.245,21.805,21.87,113498
2021-08-20,21.73,22.17,21.73,22.105,85219
2021-08-23,22.325,22.43,22.245,22.38,29809
2021-08-24,22.43,22.54,22.27,22.32,29440
2021-08-25,22.37,22.685,22.095,22.58,38727
2021-08-26,22.52,22.675,22.365,22.365,92516
2021-08-27,22.56,22.74,22.39,22.725,57193
2021-08-30,22.66,22.705,22.345,22.375,50957
2021-08-31,22.475,22.665,22.345,22.46,90733
2021-09-01,22.555,23.04,22.535,22.82,52979
2021-09-02,22.84,23.08,22.585,22.63,33903
2021-09-03,22.605,22.655,22.405,22.56,56572
2021-09-07,22.555,22.665,22.17,22.19,74215
2021-09-08,22.245,22.245,21.705,22.075,121230
2021-09-09,22.225,22.4,22.02,22.045,58091
2021-09-10,22.16,22.29,21.88,21.88,76951
2021-09-13,22.055,22.075,21.69,21.89,64172
2021-09-14,21.91,22.22,21.735,22.02,107689
2021-09-15,21.99,22.04,21.715,21.95,49923
2021-09-16,21.85,22.64,21.85,22.49,64103
2021-09-17,22.54,22.57,22.16,22.355,66295
2021-09-20,21.965,22.045,21.615,21.86,67470
2021-09-21,21.98,22.66,21.98,22.2,91643
2021-09-22,22.7,23.245,22.58,23.13,92388
2021-09-23,23.65,24.15,23.55,24.01,110366
2021-09-24,23.75,24.49,23.75,24.38,79695
2021-09-27,24.24,24.41,24.05,24.19,79069
2021-09-28,24.01,24.325,23.87,23.93,110341
2021-09-29,23.95,24.2,23.775,23.82,89363
2021-09-30,23.85,23.85,23.385,23.53,108540
2021-10-01,23.55,23.86,23.435,23.71,73949
2021-10-04,23.6,23.815,23.295,23.46,69026
2021-10-05,23.68,24.015,23.52,23.78,78792
2021-10-06,23.575,23.8,23.31,23.62,99533
2021-10-07,23.865,24.2,23.845,24.065,56073
2021-10-08,24.12,24.48,24.05,24.08,60646
2021-10-11,24.1,24.275,23.96,23.96,26876
2021-10-12,23.8,24.36,23.8,23.875,54705
2021-10-13,23.705,24.15,23.57,23.68,88980
2021-10-14,23.9,24.11,23.78,24.045,54071
2021-10-15,24.16,24.21,23.885,23.895,50088
2021-10-18,23.77,23.83,23.54,23.55,111015
2021-10-19,23.685,23.825,23.58,23.7,70667
2021-10-20,23.79,23.815,23.58,23.8,96926
2021-10-21,23.87,23.99,23.655,23.825,43386
2021-10-22,23.89,24.185,23.82,24.07,65566
2021-10-25,24.09,24.4,24.06,24.17,82822
2021-10-26,24.115,24.18,23.84,23.85,80236
2021-10-27,23.68,23.75,22.715,22.965,182541
2021-10-28,23.07,23.16,22.83,23.15,53485
2021-10-29,22.96,23.12,22.765,22.885,94176
2021-11-01,22.93,23.525,22.93,23.51,122800
2021-11-02,23.53,23.62,23.26,23.53,66271
2021-11-03,23.35,23.535,23.115,23.31,87348
2021-11-04,23.45,23.49,23.03,23.47,70462
2021-11-05,23.86,24.82,23.76,24.37,291773
2021-11-08,24.46,24.715,23.97,24.065,83363
2021-11-09,24.175,24.285,23.44,23.74,111111
2021-11-10,23.72,23.86,23.37,23.485,66978
2021-11-11,23.6,23.86,23.48,23.6,64105
2021-11-12,23.81,23.89,23.67,23.825,68783
2021-11-15,23.86,23.96,23.415,23.46,88726
2021-11-16,23.55,23.705,23.35,23.615,94856
2021-11-17,23.54,23.54,23.085,23.4,91009
2021-11-18,23.46,23.57,23.0,23.24,123334
2021-11-19,22.99,23.05,22.105,22.125,221810
2021-11-22,22.26,22.71,21.93,22.44,197927
2021-11-23,22.45,22.58,22.03,22.13,154045
2021-11-24,21.85,22.04,21.74,21.99,182835
2021-11-26,21.41,21.64,21.185,21.46,86556
2021-11-29,21.74,21.975,21.355,21.815,195596
2021-11-30,21.6,21.92,21.395,21.61,309290
