date,open,high,low,close,volume
2021-07-21,194.305,198.68,194.305,198.68,80078
2021-07-22,195.99,196.56,192.35,194.32,73982
2021-07-23,195.75,196.91,193.86,196.43,68122
2021-07-26,196.31,198.69,195.87,197.97,59193
2021-07-27,196.46,196.79,190.79,194.33,104087
2021-07-28,196.07,200.1,195.81,198.52,74871
2021-07-29,201.7,204.815,201.35,204.37,106978
2021-07-30,202.02,206.615,202.02,206.465,80102
2021-08-02,210.41,215.845,208.6,208.98,206475
2021-08-03,208.38,210.93,203.39,210.47,136102
2021-08-04,211.495,214.32,209.7,212.52,137718
2021-08-05,212.99,214.49,211.11,212.95,67406
2021-08-06,212.8,214.23,212.15,213.77,74851
2021-08-09,215.17,218.16,212.95,217.11,112208
2021-08-10,216.87,218.0,214.19,217.16,69399
2021-08-11,216.885,218.8,214.04,218.47,68770
2021-08-12,216.21,217.07,213.62,214.39,120153
2021-08-13,214.22,216.76,213.79,215.32,69307
2021-08-16,214.245,214.39,212.065,213.08,70952
2021-08-17,210.21,210.89,204.79,206.41,133256
2021-08-18,206.2,208.01,203.63,203.63,84479
2021-08-19,200.18,203.41,199.73,202.96,127044
2021-08-20,203.18,205.145,202.425,205.01,64020
2021-08-23,206.65,211.28,206.65,210.59,71181
2021-08-24,212.275,215.01,212.25,214.41,69413
2021-08-25,215.48,219.025,215.37,217.74,66432
2021-08-26,217.11,223.355,215.91,222.25,105490
2021-08-27,222.35,226.87,222.35,226.47,81958
2021-08-30,227.73,228.65,225.6,227.58,37045
2021-08-31,222.04,222.04,209.91,215.01,264163
2021-09-01,215.655,215.74,211.46,211.54,231055
2021-09-02,213.225,213.225,210.765,211.81,121207
2021-09-03,213.02,215.38,212.3,213.01,69189
2021-09-07,213.38,213.49,211.6,212.87,73815
2021-09-08,212.14,212.215,207.29,208.16,112341
2021-09-09,210.025,211.88,209.18,210.44,184065
2021-09-10,212.98,216.45,212.05,212.17,112509
2021-09-13,214.33,216.03,211.78,214.85,62974
2021-09-14,216.19,216.19,211.18,211.45,67430
2021-09-15,212.365,212.365,210.17,212.35,64804
2021-09-16,210.94,213.64,208.83,213.04,69246
2021-09-17,211.265,211.53,208.0,209.33,67998
2021-09-20,204.84,204.84,199.1,202.85,157752
2021-09-21,205.44,207.545,203.09,206.09,72934
2021-09-22,207.77,213.18,207.41,213.06,68517
2021-09-23,214.04,218.035,213.05,216.35,99220
2021-09-24,214.32,218.015,214.06,216.67,71431
2021-09-27,214.975,218.01,212.72,216.59,54990
2021-09-28,210.43,214.0,205.96,205.98,135847
2021-09-29,203.0,203.75,198.035,198.85,127671
2021-09-30,200.18,201.2,195.77,195.78,150340
2021-10-01,196.44,196.44,191.08,192.675,217820
2021-10-04,193.605,193.605,187.93,188.85,166099
2021-10-05,190.95,193.45,188.77,191.64,72787
2021-10-06,190.88,191.94,189.27,190.98,91402
2021-10-07,194.25,197.37,193.55,193.63,79460
2021-10-08,193.85,193.85,190.04,190.04,68327
2021-10-11,189.75,191.02,185.75,185.8,107481
2021-10-12,187.345,187.59,182.335,183.25,135391
2021-10-13,184.665,186.185,182.54,183.1,106013
2021-10-14,186.99,189.94,186.76,189.105,119075
2021-10-15,189.38,191.025,189.125,189.84,109521
2021-10-18,188.73,192.3,187.15,192.24,68423
2021-10-19,193.0,197.08,191.56,196.92,128941
2021-10-20,196.575,199.77,195.33,197.42,202511
2021-10-21,196.68,201.52,196.585,201.32,116188
2021-10-22,201.6,203.43,199.91,199.91,83463
2021-10-25,200.565,201.595,199.81,200.15,44212
2021-10-26,200.9,200.9,193.85,196.365,142965
2021-10-27,193.67,195.18,191.04,192.355,203375
2021-10-28,194.67,200.05,194.47,199.9,94497
2021-10-29,197.92,201.81,197.31,200.97,79043
2021-11-01,203.15,206.49,202.71,205.47,178910
2021-11-02,205.7,208.235,203.54,206.58,221896
