date,open,high,low,close,volume
2021-07-21,126.61,127.45,125.49,127.21,81784
2021-07-22,128.07,128.14,127.35,127.61,29190
2021-07-23,127.49,130.68,127.24,130.68,45458
2021-07-26,130.57,131.54,129.09,129.48,66244
2021-07-27,129.44,131.23,128.87,129.67,134768
2021-07-28,125.35,129.67,125.19,129.57,126252
2021-07-29,131.06,135.29,131.06,134.17,121246
2021-07-30,134.0,134.9,133.0,134.6,73066
2021-08-02,135.2,135.2,133.17,133.37,118350
2021-08-03,133.23,136.86,132.78,136.85,82754
2021-08-04,136.54,136.89,134.95,135.21,109940
2021-08-05,136.01,137.4,135.52,136.07,57920
2021-08-06,136.71,136.84,135.64,136.4,23652
2021-08-09,136.3,136.57,134.96,136.07,36610
2021-08-10,136.51,137.67,136.01,136.14,78602
2021-08-11,136.46,138.27,136.01,138.1,70016
2021-08-12,138.48,140.07,138.48,139.62,43852
2021-08-13,139.59,140.84,138.78,140.59,74694
2021-08-16,139.17,140.9,138.57,140.88,49036
2021-08-17,139.53,140.0,137.69,139.98,47912
2021-08-18,140.18,140.91,138.03,138.32,81998
2021-08-19,136.5,139.84,136.5,139.84,79468
2021-08-20,140.64,141.94,140.26,141.29,71764
2021-08-23,142.01,143.41,141.65,142.16,59182
2021-08-24,142.03,143.29,142.03,142.73,39752
2021-08-25,142.65,143.68,142.39,143.07,59272
2021-08-26,142.87,143.2,141.98,143.07,46816
2021-08-27,142.76,146.23,142.76,144.88,42148
2021-08-30,145.06,147.15,144.1,146.91,42838
2021-08-31,146.65,147.19,144.21,144.37,105354
2021-09-01,144.36,146.94,143.3,146.47,84300
2021-09-02,146.79,149.94,146.79,149.94,61688
2021-09-03,149.75,151.92,148.85,150.6,50058
2021-09-07,150.38,151.95,150.03,151.01,155050
2021-09-08,150.46,150.54,148.14,149.92,114414
2021-09-09,147.57,147.93,142.79,144.84,276848
2021-09-10,145.57,147.0,145.57,145.67,111954
2021-09-13,146.29,146.63,143.73,144.98,199360
2021-09-14,144.59,145.24,143.99,144.32,104102
2021-09-15,144.1,146.71,142.66,145.37,126840
2021-09-16,145.84,146.28,145.12,145.74,46608
2021-09-17,145.63,145.63,144.0,144.83,47106
2021-09-20,142.53,145.85,142.03,145.76,168180
2021-09-21,147.19,149.93,146.54,149.05,124832
2021-09-22,149.47,150.46,147.97,148.35,71642
2021-09-23,149.43,151.16,149.43,149.82,58942
2021-09-24,149.34,151.46,148.93,151.44,33170
2021-09-27,150.87,151.7,148.93,149.16,54004
2021-09-28,148.32,148.32,146.25,146.75,46172
