date,open,high,low,close,volume
2021-07-21,53.355,54.425,53.33,53.46,67790
2021-07-22,53.465,53.465,52.53,53.08,45938
2021-07-23,52.82,53.045,52.095,52.94,52339
2021-07-26,53.0,54.085,53.0,53.81,68368
2021-07-27,53.2,53.21,52.22,52.895,62490
2021-07-28,53.04,53.82,52.335,53.37,67200
2021-07-29,53.9,54.24,53.52,53.815,29617
2021-07-30,53.34,53.91,51.66,51.98,79781
2021-08-02,52.02,53.22,51.29,51.32,93362
2021-08-03,51.31,51.62,50.135,51.46,144822
2021-08-04,50.805,53.08,50.345,51.71,176777
2021-08-05,51.81,52.9,51.81,52.21,53768
2021-08-06,52.74,52.89,52.18,52.55,57662
2021-08-09,51.87,52.285,51.51,51.73,58143
2021-08-10,52.05,52.8,51.88,52.7,60760
2021-08-11,52.825,52.95,52.19,52.83,54663
2021-08-12,53.06,53.39,52.62,53.375,46339
2021-08-13,53.01,53.475,52.39,52.45,32772
2021-08-16,51.95,52.55,51.525,51.73,60229
2021-08-17,51.39,52.065,50.46,51.265,54710
2021-08-18,50.95,51.65,50.47,50.53,63535
2021-08-19,49.695,50.28,48.565,49.245,58749
2021-08-20,48.89,50.435,48.89,50.42,51156
2021-08-23,51.625,52.085,51.25,51.97,66392
2021-08-24,52.24,53.165,52.24,52.94,45988
2021-08-25,52.92,54.015,52.705,53.47,37287
2021-08-26,53.28,53.545,52.55,52.55,47774
2021-08-27,53.11,54.23,53.11,53.83,28143
2021-08-30,54.0,54.04,53.04,53.05,32832
2021-08-31,52.685,52.96,52.465,52.52,50020
2021-09-01,52.575,52.63,52.05,52.07,38906
2021-09-02,52.855,53.36,52.73,53.28,43057
2021-09-03,53.29,53.67,52.85,53.18,39455
2021-09-07,52.79,53.4,52.34,52.47,46237
2021-09-08,52.72,53.25,52.22,52.36,49594
2021-09-09,52.17,53.05,51.75,52.41,68350
2021-09-10,53.03,53.03,52.4,52.48,32098
2021-09-13,53.28,53.97,53.07,53.4,66456
2021-09-14,53.76,53.84,52.71,53.06,76796
2021-09-15,53.57,55.71,53.57,55.7,107134
2021-09-16,55.58,56.07,55.05,55.575,52491
2021-09-17,55.49,55.94,54.96,55.2,71793
2021-09-20,53.61,53.67,52.115,52.97,64589
2021-09-21,53.92,53.92,52.85,53.31,81542
2021-09-22,54.18,55.36,54.16,54.85,54583
2021-09-23,55.89,57.66,55.45,57.46,108426
2021-09-24,57.09,57.71,56.885,57.46,92316
2021-09-27,58.53,59.67,58.365,58.84,123227
2021-09-28,59.62,59.78,58.08,58.29,80584
2021-09-29,58.525,59.445,58.03,58.805,68514
2021-09-30,59.02,59.02,57.93,58.01,56698
2021-10-01,58.31,59.69,57.81,59.45,60566
2021-10-04,60.0,61.445,59.865,60.08,96884
2021-10-05,60.67,61.57,59.92,60.23,90160
2021-10-06,59.6,60.26,58.56,60.085,78129
2021-10-07,60.49,61.19,60.28,60.78,61507
2021-10-08,61.34,61.89,61.04,61.64,48303
2021-10-11,62.31,62.74,61.62,61.945,46636
2021-10-12,61.98,63.5,61.83,62.95,83119
2021-10-13,62.16,63.41,61.78,63.27,35084
2021-10-14,64.04,64.72,63.85,64.53,85800
2021-10-15,65.01,65.66,64.96,65.115,60736
2021-10-18,65.57,66.225,64.72,65.16,43442
2021-10-19,65.035,65.75,64.855,65.14,36578
2021-10-20,65.15,65.91,64.76,65.14,87923
2021-10-21,64.875,65.2,63.67,64.32,104227
2021-10-22,64.405,64.92,63.67,64.8,47978
2021-10-26,66.0,66.77,65.79,65.85,70964
2021-10-27,65.485,65.93,64.99,65.22,65782
2021-10-28,65.08,65.59,64.99,65.51,49777
2021-10-29,64.37,64.61,63.305,63.63,60926
2021-11-01,63.87,64.36,63.55,64.13,52436
2021-11-02,63.91,64.505,63.63,64.07,82010
2021-11-03,63.65,65.63,63.35,63.94,99185
2021-11-04,64.71,64.97,62.67,63.46,90800
2021-11-05,64.19,64.75,63.925,64.72,46643
2021-11-08,64.87,65.335,64.6,64.91,131873
2021-11-09,64.76,64.85,63.755,64.675,103815
2021-11-10,64.78,64.81,62.035,62.89,89446
2021-11-11,62.78,63.52,62.78,63.36,64760
2021-11-12,63.06,63.34,62.5,63.1,55944
2021-11-15,63.11,63.595,62.28,63.38,79953
2021-11-16,63.4,63.73,62.63,63.16,88716
2021-11-17,62.84,64.025,62.84,63.52,53821
2021-11-18,63.48,64.0,62.79,63.55,41519
2021-11-19,62.31,62.85,61.23,61.38,130359
2021-11-22,61.49,62.93,61.31,61.97,119304
2021-11-23,62.99,64.22,62.78,64.0,60733
2021-11-24,63.63,64.91,63.58,64.845,46844
2021-11-26,62.025,62.945,60.87,62.5,71844
2021-11-29,63.61,63.72,62.225,62.41,84602
2021-11-30,61.11,61.53,59.6,59.84,127720
2021-12-01,61.455,61.75,58.65,58.65,73514
2021-12-02,58.74,60.91,57.85,60.72,129626
2021-12-03,61.36,61.54,59.54,59.99,91648
2021-12-06,60.85,61.62,59.72,60.89,72081
2021-12-07,62.17,63.36,62.17,62.74,115396
2021-12-08,63.15,63.15,62.36,62.39,73978
2021-12-09,61.81,62.175,61.46,61.74,66534
2021-12-10,62.37,62.37,61.09,62.0,51855
2021-12-13,61.43,61.59,59.91,60.21,43285
2021-12-14,59.9,60.79,59.065,59.38,50054
2021-12-15,59.29,59.96,58.01,59.56,135561
2021-12-16,59.23,60.11,58.145,58.31,158619
2021-12-17,57.57,58.39,56.85,57.83,79235
2021-12-20,56.77,57.325,55.65,56.55,80018
2021-12-21,57.34,58.21,57.28,57.895,123156
2021-12-22,57.91,58.06,57.12,57.79,47294
2021-12-23,58.12,58.59,58.02,58.02,27973
2021-12-27,58.05,59.455,57.86,59.4,27430
2021-12-28,59.49,59.59,58.885,59.4,35146
2021-12-29,58.98,59.18,58.4,58.775,31529
2021-12-30,58.9,58.98,58.45,58.49,26030
2021-12-31,58.29,59.08,58.29,58.76,26939
2022-01-03,58.98,60.08,58.81,59.98,79421
2022-01-04,60.66,61.7,60.5,61.42,100838
2022-01-05,62.2,62.28,60.55,60.64,54657
2022-01-06,62.185,62.35,60.7,61.65,84617
2022-01-07,61.7,62.55,61.49,62.465,187724
2022-01-10,61.7,62.02,59.81,60.76,150921
2022-01-11,61.13,62.545,60.44,62.49,129878
2022-01-12,62.9,63.54,62.355,62.51,142434
2022-01-13,62.48,63.01,61.43,61.63,83320
2022-01-14,61.74,62.75,61.56,62.58,72973
2022-01-18,63.03,63.03,60.65,61.4,108174
2022-01-19,61.96,61.96,60.195,60.2,167305
2022-01-20,59.81,61.17,59.26,59.36,144752
2022-01-21,58.69,59.61,58.06,58.54,183528
2022-01-24,57.0,57.46,55.68,56.93,31397
2022-01-25,58.13,60.105,57.01,59.59,147920
2022-01-26,60.39,61.61,59.16,59.87,201437
2022-01-27,61.04,61.46,59.11,60.17,109772
2022-01-28,59.03,59.32,57.66,59.29,106664
2022-01-31,59.12,60.69,58.64,60.67,103894
2022-02-01,60.19,62.0,59.71,61.89,119335
2022-02-02,61.865,63.035,61.57,62.88,109379
2022-02-03,62.28,62.53,61.46,62.07,86422
2022-02-04,62.62,63.45,62.18,62.88,110148
2022-02-07,62.79,63.84,62.49,63.24,95829
2022-02-08,63.07,63.305,62.21,62.72,63417
2022-02-09,63.07,64.26,63.07,63.66,66472
2022-02-10,63.22,64.75,62.52,63.02,121436
2022-02-11,63.26,64.6,62.98,64.51,98823
2022-02-14,64.05,64.05,62.66,62.93,70919
2022-02-15,62.2,63.01,62.09,62.42,51998
2022-02-16,63.25,63.52,62.17,62.65,62802
2022-02-17,62.54,63.035,62.06,62.61,82550
2022-02-18,61.96,62.73,61.46,61.81,90799
2022-02-22,63.04,63.11,59.24,60.16,67701
2022-02-23,60.83,61.36,60.465,60.79,65524
2022-02-24,61.175,61.64,59.65,61.53,109211
2022-02-25,61.77,64.03,61.74,64.03,139216
2022-02-28,63.95,65.73,63.55,65.26,150878
2022-03-01,65.575,65.68,62.93,63.78,407107
2022-03-02,65.17,67.54,64.73,67.09,225048
2022-03-03,67.02,68.055,66.59,67.71,90043
2022-03-04,67.38,68.48,67.17,68.43,129983
2022-03-07,69.0,69.88,67.19,68.51,149251
2022-03-09,66.17,67.71,65.31,66.63,130378
2022-03-10,66.96,67.8,66.68,67.5,110394
2022-03-11,67.26,67.81,66.03,66.05,96099
2022-03-14,65.46,66.44,63.48,64.5,232022
2022-03-15,63.24,64.51,62.23,64.26,155222
2022-03-16,64.27,64.83,63.27,64.66,137360
2022-03-17,65.54,67.08,65.115,66.87,146794
2022-03-18,66.63,67.35,66.44,67.02,118411
2022-03-21,67.86,68.77,67.86,68.52,102968
2022-03-22,68.38,68.77,67.63,68.32,96003
2022-03-23,68.95,69.54,68.765,68.97,102319
2022-03-24,69.36,70.995,69.36,70.42,138997
2022-03-25,70.41,72.335,70.41,72.27,71892
2022-03-28,71.02,71.375,70.58,71.05,66883
2022-03-29,69.98,71.35,69.59,71.24,105906
2022-03-30,71.59,72.13,71.19,71.71,140409
2022-03-31,71.21,72.355,70.61,70.62,94224
2022-04-01,70.775,71.9,70.775,71.41,93799
2022-04-04,71.89,71.89,70.95,71.16,46113
2022-04-05,71.42,71.83,69.78,69.85,60102
2022-04-06,70.2,71.42,69.625,70.79,75687
2022-04-07,71.11,71.4,69.62,70.87,68623
2022-04-08,71.25,71.75,70.67,71.57,83169
2022-04-11,71.07,71.28,70.0,70.27,95212
2022-04-12,70.84,71.82,70.79,70.81,73612
2022-04-13,71.48,71.79,70.73,71.31,54649
2022-04-14,71.5,71.83,70.86,71.27,43020
2022-04-18,71.82,73.37,71.29,72.48,160667
2022-04-19,72.21,72.95,71.95,72.17,48092
2022-04-20,72.79,73.84,72.55,73.65,56937
2022-04-21,74.13,75.05,71.34,71.47,156206
2022-04-22,71.1,71.42,69.21,69.275,100692
2022-04-25,67.455,67.5,64.4,66.3,131032
2022-04-26,66.7,67.15,65.27,65.27,100284
2022-04-27,65.59,66.29,64.86,65.48,100013
2022-04-28,65.915,67.32,65.05,66.94,58291
2022-04-29,66.17,66.45,63.17,63.3,114655
2022-05-02,62.74,63.95,62.39,63.89,120636
2022-05-03,64.13,65.55,64.13,65.1,111057
2022-05-04,66.0,67.7,64.735,67.36,150370
2022-05-05,67.49,67.49,63.02,64.045,172236
2022-05-06,64.61,65.66,62.715,65.65,109316
2022-05-09,64.33,64.33,61.4,61.71,159343
2022-05-10,63.115,64.13,61.52,62.49,240021
2022-05-11,63.305,64.91,61.6,61.78,106715
2022-05-12,61.855,63.0,61.385,62.82,95820
2022-05-13,63.995,64.945,63.98,64.67,59614
2022-05-16,64.95,65.7,64.95,65.2,60979
2022-05-17,66.04,66.74,65.14,66.58,108020
2022-05-18,66.83,66.83,64.09,64.76,91740
2022-05-19,63.33,64.33,63.005,63.29,106847
2022-05-20,63.79,64.01,62.17,63.54,77896
2022-05-23,64.18,64.29,63.3,63.57,49373
2022-05-24,62.57,63.84,62.22,63.75,66423
2022-05-25,64.07,65.2,63.8,65.2,140664
2022-05-26,65.73,66.22,65.45,65.81,44867
2022-05-27,65.52,67.09,65.52,67.06,44770
2022-05-31,67.41,67.695,65.465,65.85,143605
2022-06-01,66.67,67.38,65.35,66.84,66883
2022-06-02,66.52,67.61,66.32,67.41,48936
2022-06-03,67.06,67.59,66.805,67.25,43579
2022-06-06,67.61,67.86,66.85,67.12,42153
2022-06-07,66.98,69.15,66.88,69.14,87233
2022-06-08,68.35,69.71,68.03,68.43,53839
2022-06-09,68.26,68.26,66.125,66.19,86692
2022-06-10,65.04,65.36,63.87,64.74,83286
2022-06-13,63.01,63.05,60.35,61.16,159723
2022-06-14,61.74,62.085,59.71,60.41,151912
2022-06-15,60.57,61.07,58.31,59.715,153672
2022-06-16,58.08,58.16,55.39,55.72,139693
2022-06-17,55.44,56.05,52.39,53.37,205171
2022-06-21,54.91,56.04,54.38,55.515,117472
2022-06-22,53.48,54.72,52.72,53.81,108430
2022-06-23,54.1,54.17,52.22,53.33,129348
2022-06-24,54.21,54.99,53.62,54.575,123391
2022-06-27,55.36,57.05,55.31,56.665,115224
2022-06-28,57.99,58.84,56.71,57.0,170668
2022-06-29,57.9,57.9,55.81,56.14,83517
2022-06-30,55.03,56.03,54.65,55.5,126751
2022-07-01,55.96,57.0,54.51,56.71,93037
2022-07-05,55.51,55.53,53.29,55.1,104080
2022-07-06,54.48,55.52,53.02,54.23,169698
2022-07-07,55.44,56.82,55.44,56.5,88942
2022-07-08,56.38,57.38,55.8,56.815,61687
