date,open,high,low,close,volume
2021-07-21,73.28,75.205,73.28,73.68,172331
2021-07-22,74.15,74.15,71.3,71.98,142171
2021-07-23,72.24,72.64,71.26,72.29,111501
2021-07-26,72.575,73.45,72.36,73.23,106399
2021-07-27,72.735,73.49,72.14,73.44,39375
2021-07-28,73.38,73.76,72.105,72.78,40474
2021-07-29,73.25,74.205,73.2,73.21,44313
2021-07-30,73.19,73.975,72.64,72.8,56788
2021-08-02,73.49,74.59,72.9,73.01,42445
2021-08-03,73.22,73.22,71.695,72.85,88982
2021-08-04,72.22,72.92,71.4,71.55,38905
2021-08-05,72.11,73.655,72.11,73.56,99662
2021-08-06,74.085,74.65,73.56,74.08,72427
2021-08-09,73.61,73.95,72.83,73.305,59566
2021-08-10,73.57,75.3,73.57,74.83,37965
2021-08-11,74.86,76.44,74.49,76.24,38982
2021-08-12,76.38,76.5,74.97,76.14,43355
2021-08-13,76.3,76.305,75.31,75.45,37226
2021-08-16,75.025,76.03,74.53,75.76,97089
2021-08-17,75.46,75.78,74.09,74.665,53460
2021-08-18,74.49,74.49,72.945,72.985,120985
2021-08-19,72.23,72.5,70.95,71.08,111296
2021-08-20,70.81,71.655,70.42,71.61,89951
2021-08-23,72.24,72.845,71.94,72.61,29737
2021-08-24,72.99,73.2,72.44,72.54,38558
2021-08-25,72.1,72.995,71.44,72.565,40928
2021-08-26,72.43,72.43,71.54,71.73,50792
2021-08-27,72.12,73.29,72.12,73.18,35990
2021-08-30,73.51,73.51,72.09,72.09,24701
2021-08-31,72.15,73.28,72.12,73.24,84869
2021-09-01,73.425,73.71,72.8,73.38,41019
2021-09-02,73.4,74.395,73.4,74.35,74303
2021-09-03,74.38,74.425,73.285,73.73,31675
2021-09-07,73.7,74.24,72.95,73.09,28842
2021-09-08,73.09,73.67,72.7,72.745,52490
2021-09-09,72.3,73.1,71.88,72.1,33370
2021-09-10,72.4,72.4,71.64,71.66,26366
2021-09-13,72.73,72.85,71.97,72.5,66779
2021-09-14,72.54,72.85,71.9,72.48,108663
2021-09-15,72.49,74.05,72.49,73.94,48250
2021-09-16,74.2,74.33,73.14,73.33,56255
2021-09-17,73.755,73.91,72.75,73.09,57358
2021-09-20,71.3,72.32,70.94,71.52,65567
2021-09-21,72.44,72.68,70.83,70.85,136892
2021-09-22,71.83,72.99,71.625,72.43,117848
2021-09-23,73.21,74.225,73.17,74.17,133001
2021-09-24,74.22,75.18,74.07,74.77,61860
2021-09-27,75.385,76.18,75.32,75.77,71379
2021-09-28,76.31,76.45,73.7,73.95,147315
2021-09-29,74.14,74.45,73.36,73.54,60984
2021-09-30,73.53,73.67,72.375,72.43,106815
2021-10-01,72.99,74.95,72.63,74.17,42486
2021-10-04,73.885,74.945,73.82,73.905,81583
2021-10-05,74.16,75.805,74.14,75.55,91760
2021-10-06,74.92,75.38,74.23,75.26,93284
2021-10-07,75.93,75.97,75.25,75.45,56807
2021-10-08,75.27,76.28,75.1,75.2,32766
2021-10-11,75.48,75.66,74.76,75.32,50258
2021-10-12,75.145,75.19,73.48,73.78,72234
2021-10-13,73.55,74.52,73.2,74.32,61436
2021-10-14,74.99,76.46,74.99,76.46,58221
2021-10-15,77.18,77.63,76.4,76.58,99867
2021-10-18,75.8,77.365,75.705,76.42,198611
2021-10-19,76.665,76.845,75.95,76.39,110510
2021-10-20,73.83,74.88,71.3,74.79,271903
2021-10-21,74.62,74.62,71.69,72.42,141379
2021-10-22,72.8,72.8,70.42,70.95,114439
2021-10-26,70.3,71.4,70.215,71.04,70746
2021-10-27,71.07,71.08,69.015,69.02,66582
2021-10-28,69.105,69.43,68.52,69.04,158139
2021-10-29,68.98,69.16,67.8,68.07,65625
2021-11-01,68.69,69.415,68.69,68.935,59099
2021-11-02,68.86,68.87,67.04,67.86,146152
2021-11-03,67.24,68.54,66.43,68.0,176399
2021-11-04,68.22,68.26,66.985,67.63,50351
2021-11-05,68.59,69.02,68.27,68.83,39300
2021-11-08,69.14,69.22,68.25,69.05,51283
2021-11-09,68.95,69.095,68.24,68.96,48239
2021-11-10,69.28,69.98,68.97,69.2,39037
2021-11-11,68.895,69.93,68.62,69.55,59400
2021-11-12,69.82,69.82,68.38,68.95,37525
2021-11-15,69.19,69.875,68.78,69.06,47101
2021-11-16,68.84,68.84,68.06,68.07,41199
2021-11-17,68.26,69.46,68.26,69.13,73571
2021-11-18,69.27,69.27,67.11,67.72,79276
2021-11-19,67.36,67.58,66.43,67.09,60107
2021-11-22,67.25,68.27,67.01,68.1,55592
2021-11-23,67.79,69.5,67.79,69.1,82659
2021-11-24,68.99,69.495,68.445,68.95,73460
2021-11-26,66.76,67.775,65.79,67.74,114092
2021-11-29,68.14,68.14,67.06,67.49,84537
2021-11-30,66.875,67.73,66.11,67.32,207656
2021-12-01,68.425,69.08,66.56,66.56,209759
2021-12-02,66.83,69.75,66.83,69.15,159005
2021-12-03,69.33,70.48,68.82,69.03,135750
2021-12-06,70.1,71.08,69.605,69.62,136931
2021-12-07,70.05,70.37,69.77,69.89,102279
2021-12-08,70.435,71.16,69.975,69.98,107847
2021-12-09,69.41,70.76,69.25,69.785,128427
2021-12-10,70.6,71.155,70.135,70.93,92027
2021-12-13,70.77,71.725,69.97,71.25,127482
2021-12-14,70.9,72.355,70.78,72.11,155190
2021-12-15,72.135,72.72,71.44,72.58,170361
2021-12-16,73.385,74.285,73.3,73.685,214877
2021-12-17,73.57,73.64,72.55,73.0,125265
2021-12-20,71.4,71.66,70.08,70.455,159651
2021-12-21,70.84,72.395,70.82,72.23,95623
2021-12-22,72.2,72.49,71.4,71.54,152639
2021-12-23,71.84,72.49,71.43,72.18,73190
2021-12-27,72.025,72.93,71.87,72.93,56737
2021-12-28,72.94,73.69,72.94,73.47,85544
2021-12-29,73.68,73.99,73.22,73.525,52844
2021-12-30,74.245,74.44,73.705,73.73,45465
2021-12-31,73.685,73.96,73.1,73.26,68421
2022-01-03,73.79,74.24,73.45,73.87,54100
2022-01-04,74.43,76.28,74.415,75.51,100893
2022-01-05,76.33,76.91,75.535,75.75,231439
2022-01-06,76.43,77.855,76.305,77.8,151072
2022-01-07,78.26,79.2,77.97,78.37,63731
2022-01-10,78.88,78.93,77.27,77.77,120990
2022-01-11,77.95,78.54,76.76,77.52,106469
2022-01-12,77.42,77.87,76.34,76.995,99062
2022-01-13,77.01,79.32,76.855,78.84,107211
2022-01-14,78.14,79.65,77.69,79.6,63791
2022-01-18,79.04,79.82,78.44,78.89,93847
2022-01-19,78.83,78.83,76.96,76.97,83751
2022-01-20,77.14,77.7,75.41,75.52,75028
2022-01-21,74.92,76.64,74.65,75.61,88854
2022-01-24,74.87,75.59,74.375,75.18,18309
2022-01-25,74.62,75.94,73.37,75.48,97979
2022-01-26,75.43,76.28,74.93,75.68,76147
2022-01-27,76.01,76.61,72.95,73.275,142126
2022-01-28,72.8,74.65,72.58,74.65,65246
2022-01-31,74.195,75.58,74.12,75.36,62111
2022-02-01,75.47,76.6,75.255,76.39,91688
2022-02-02,76.65,77.59,76.08,77.16,111746
2022-02-03,77.185,78.13,76.87,77.65,140288
2022-02-04,77.5,77.87,76.64,76.71,120516
2022-02-07,76.9,77.8,76.64,77.42,83977
2022-02-08,77.98,79.38,77.87,79.02,184930
2022-02-09,89.3,90.27,86.525,90.12,385523
2022-02-10,90.535,91.61,86.01,86.36,204887
2022-02-11,86.0,86.65,84.26,84.83,127855
2022-02-14,83.92,85.15,83.6,84.76,98757
2022-02-15,86.17,86.9,85.61,86.44,131386
2022-02-16,85.335,87.05,85.335,86.37,95418
2022-02-17,85.625,85.625,83.985,84.45,234644
2022-02-18,84.28,85.77,83.89,84.12,134273
2022-02-22,83.72,84.97,83.63,84.1,196309
2022-02-23,84.38,84.55,82.65,82.81,213305
2022-02-24,81.02,82.375,80.4,82.11,231977
2022-02-25,82.44,84.87,82.44,84.23,166171
2022-02-28,82.66,84.77,82.435,83.87,131310
2022-03-01,83.25,83.5,81.33,81.64,118273
2022-03-02,82.62,84.22,82.61,83.72,118524
2022-03-03,83.825,84.035,82.28,83.23,212023
2022-03-04,81.71,82.03,79.385,79.74,234862
2022-03-07,79.28,79.56,75.0,75.11,270854
