date,open,high,low,close,volume
2021-07-21,88.9,90.245,88.455,89.68,321465
2021-07-22,90.0,91.135,89.76,90.695,439434
2021-07-23,91.0,91.17,87.135,87.66,431549
2021-07-26,87.45,88.09,86.74,87.865,370715
2021-07-27,87.74,88.585,87.12,87.81,265338
2021-07-28,87.57,87.9,87.125,87.175,200536
2021-07-29,87.71,88.23,87.35,87.575,182825
2021-07-30,87.45,88.11,86.89,87.11,333212
2021-08-02,87.33,87.925,87.165,87.58,208673
2021-08-03,87.98,90.165,87.98,89.745,481074
2021-08-04,89.75,90.06,89.33,90.04,217256
2021-08-05,90.19,90.49,88.76,89.445,344205
2021-08-06,89.32,89.88,88.82,89.525,159640
2021-08-09,89.39,90.46,89.38,89.905,177210
2021-08-10,89.125,90.095,89.125,89.64,149325
2021-08-11,89.92,90.41,89.545,89.63,273710
2021-08-12,89.1,89.975,88.71,89.82,146320
2021-08-13,90.49,91.33,89.955,90.38,240493
2021-08-16,89.9,90.82,89.9,90.81,241758
2021-08-17,90.98,91.77,90.37,90.92,301631
2021-08-18,90.47,91.045,88.875,88.91,271922
2021-08-19,88.445,89.37,88.27,88.68,297285
2021-08-20,88.78,89.385,88.32,88.935,183218
2021-08-23,89.14,89.555,88.79,89.13,153804
2021-08-24,89.305,89.64,88.485,88.485,171972
2021-08-25,88.495,88.9,88.07,88.63,130695
2021-08-26,88.68,89.18,88.48,88.75,226542
2021-08-27,88.71,89.52,88.67,89.34,147487
2021-08-30,89.455,89.98,89.3,89.44,132632
2021-08-31,89.18,89.35,88.535,89.12,137271
2021-09-01,89.155,90.16,88.9,89.96,257374
2021-09-02,90.145,90.5,89.42,89.78,297858
2021-09-03,89.42,90.465,89.31,90.03,336294
2021-09-07,89.945,90.64,88.59,88.71,469552
2021-09-08,88.29,89.595,87.97,89.475,387685
2021-09-09,89.63,90.83,89.41,89.56,277807
2021-09-10,89.73,90.545,89.52,89.67,454477
2021-09-13,90.06,90.48,88.23,88.81,814557
2021-09-14,86.365,86.93,84.74,86.4,1364393
2021-09-15,86.61,88.35,86.17,87.75,737626
2021-09-16,87.66,87.96,86.19,87.225,654273
2021-09-17,86.33,87.57,85.96,86.45,1265192
2021-09-20,84.98,87.4,84.94,86.17,579606
2021-09-21,86.61,87.65,86.21,86.91,464161
2021-09-22,87.45,88.995,87.24,88.43,337067
2021-09-23,88.88,90.05,88.68,89.43,319369
2021-09-24,89.12,90.05,88.94,89.96,284385
2021-09-27,89.68,91.3,89.15,91.02,404360
2021-09-28,90.575,92.26,90.06,90.5,643922
2021-09-29,91.03,92.075,91.03,91.22,408926
2021-09-30,91.23,91.56,87.125,87.13,736273
2021-10-01,87.78,90.24,87.78,89.6,504812
2021-10-04,89.4,90.4,88.975,89.22,438838
2021-10-05,89.32,91.96,89.22,91.51,443975
2021-10-06,90.48,91.44,89.7,91.35,417070
2021-10-07,91.74,92.85,91.74,92.305,378829
2021-10-08,92.41,95.01,92.39,94.38,540347
2021-10-11,94.315,96.78,94.31,95.38,530056
2021-10-12,95.905,96.5,95.28,95.645,528198
2021-10-13,95.95,96.965,95.95,96.385,733813
2021-10-14,97.05,97.22,94.39,95.28,311717
2021-10-15,95.03,96.02,94.74,95.3,365557
2021-10-18,95.43,96.65,95.1,96.51,197557
2021-10-19,97.03,97.27,96.45,97.06,169301
2021-10-20,97.33,97.95,96.26,96.64,448983
2021-10-21,96.46,96.8,95.725,96.32,313525
2021-10-22,96.27,98.27,96.27,98.25,187299
2021-10-26,98.3,98.555,96.985,96.99,187807
2021-10-27,97.06,97.28,96.0,96.05,164546
2021-10-28,96.56,97.675,95.96,96.21,182023
2021-10-29,95.62,96.96,95.62,95.92,230907
2021-11-01,95.97,96.0,93.92,94.4,195340
2021-11-02,93.78,95.91,93.78,95.89,165966
2021-11-03,96.56,96.8,94.77,96.15,205785
2021-11-04,96.21,96.57,95.33,95.61,164264
2021-11-05,96.11,96.54,94.1,94.97,216588
2021-11-08,95.13,95.23,94.34,95.14,127201
2021-11-09,95.13,95.55,94.065,94.585,156404
2021-11-10,94.02,94.81,93.36,93.85,196686
2021-11-11,93.94,94.735,93.87,94.03,112519
2021-11-12,94.34,94.44,93.46,93.55,219278
2021-11-15,93.85,94.22,92.93,94.03,165779
2021-11-16,94.21,96.34,94.04,95.585,329347
2021-11-17,95.84,96.13,94.86,95.35,387374
2021-11-18,95.0,95.04,93.64,94.65,245299
2021-11-19,94.86,96.92,93.955,93.96,348172
2021-11-22,93.51,95.62,93.51,94.6,186141
2021-11-23,94.25,94.25,92.275,92.92,314844
2021-11-24,92.205,93.69,92.205,93.59,229720
2021-11-26,92.85,93.97,92.11,92.345,159936
2021-11-29,93.15,94.11,92.87,92.93,442181
2021-11-30,92.93,93.52,90.635,90.735,839062
2021-12-01,91.6,92.38,89.69,89.69,441029
2021-12-02,89.39,91.04,89.35,89.99,315838
2021-12-03,90.35,90.78,87.735,88.19,567339
2021-12-06,88.43,89.15,87.88,88.94,578874
2021-12-07,89.96,90.71,89.25,90.01,237508
2021-12-08,90.14,90.145,87.91,88.94,372743
2021-12-09,89.03,89.86,88.24,88.735,492636
2021-12-10,104.29,106.18,100.1,102.62,1752164
2021-12-13,102.4,104.36,100.55,100.93,773842
2021-12-14,99.995,101.455,99.46,99.88,315558
2021-12-15,100.515,103.75,100.32,103.75,1062090
2021-12-16,103.15,103.99,102.36,103.16,575219
2021-12-17,97.71,99.9,95.81,96.61,693565
2021-12-20,96.25,96.35,91.53,91.64,687372
2021-12-21,91.64,91.83,89.75,91.51,663542
2021-12-22,91.48,91.84,89.51,89.85,235309
2021-12-23,90.06,90.3,89.08,89.7,182478
2021-12-27,89.755,90.225,89.02,89.54,229632
2021-12-28,89.63,89.66,88.54,88.67,154954
2021-12-29,88.63,89.17,87.73,88.23,130765
2021-12-30,88.465,88.85,87.78,88.02,159793
2021-12-31,88.08,88.08,87.19,87.2,156022
2022-01-03,87.365,87.935,85.78,87.89,342732
2022-01-04,87.92,89.58,87.79,88.92,400244
2022-01-05,88.51,88.51,86.22,86.45,367089
2022-01-06,86.065,87.39,85.58,86.33,302640
2022-01-07,86.5,88.0,86.34,87.5,244500
2022-01-10,87.355,89.365,86.98,89.27,442674
2022-01-11,88.905,88.905,87.45,88.49,343576
2022-01-12,88.99,89.495,87.76,88.32,366860
2022-01-13,88.61,88.91,87.56,87.73,197767
2022-01-14,87.56,88.09,86.68,87.69,181674
2022-01-18,86.885,86.93,85.34,85.5,338382
2022-01-19,85.79,86.645,83.24,83.4,376439
2022-01-20,83.95,84.98,82.525,82.71,334147
2022-01-21,83.235,83.25,82.03,82.285,363664
2022-01-24,81.16,82.3,80.42,80.555,93101
2022-01-25,81.3,82.09,80.24,81.02,371160
2022-01-26,81.92,82.0,79.29,79.61,692588
2022-01-27,80.07,81.11,79.21,79.8,532022
2022-01-28,79.825,80.5,78.61,80.46,302807
2022-01-31,80.44,81.62,80.2,81.19,422610
2022-02-01,81.19,81.245,79.65,81.02,433765
2022-02-02,81.16,82.875,80.84,82.49,420637
2022-02-03,81.7,82.75,81.7,81.93,387830
2022-02-04,82.06,82.89,81.48,82.14,249406
2022-02-07,82.15,82.15,80.67,80.71,204076
2022-02-08,80.31,80.85,79.85,80.79,269695
2022-02-09,81.69,83.65,81.69,83.43,372066
2022-02-10,82.61,83.76,81.65,81.86,241239
2022-02-11,82.06,82.28,79.54,79.73,370173
2022-02-14,79.6,79.71,78.45,78.93,213309
2022-02-15,79.41,79.92,79.24,79.78,204124
2022-02-16,79.44,79.75,78.22,79.205,306906
2022-02-17,78.77,78.77,75.33,75.55,917669
2022-02-18,75.28,75.71,74.29,74.58,335082
2022-02-22,73.87,74.86,73.625,74.11,375070
2022-02-23,74.15,74.345,72.35,72.49,374702
2022-02-24,71.17,74.945,70.58,74.78,694106
2022-02-25,74.48,76.83,74.32,76.34,589088
2022-02-28,75.58,76.67,75.035,75.94,450522
2022-03-01,75.96,76.47,75.63,75.99,504631
2022-03-02,76.5,78.86,76.36,78.29,492398
2022-03-03,78.77,79.035,77.44,78.25,540063
2022-03-04,77.78,77.88,75.78,76.47,414855
2022-03-07,76.195,76.305,73.46,74.32,778938
2022-03-09,74.92,76.945,74.725,76.08,641068
2022-03-10,75.46,76.67,75.03,76.67,603150
2022-03-11,76.7,79.9,74.01,77.81,1374495
2022-03-14,77.93,78.52,75.52,77.11,758399
2022-03-15,78.01,81.52,77.135,80.61,1247168
2022-03-16,80.98,81.08,77.77,79.96,1053427
2022-03-17,79.85,81.26,79.325,80.595,722931
2022-03-18,79.53,81.93,78.89,81.71,821252
2022-03-21,81.49,81.87,80.27,80.98,393189
2022-03-22,81.32,82.21,80.835,81.89,377199
2022-03-23,81.14,81.38,80.23,80.37,416710
2022-03-24,80.585,82.795,80.585,82.25,295204
2022-03-25,82.21,82.83,81.24,81.73,295616
2022-03-28,81.92,83.705,81.88,83.59,403857
2022-03-29,84.37,84.37,83.135,84.31,361888
2022-03-30,83.91,84.33,83.13,83.37,192392
2022-03-31,83.06,83.91,82.59,82.74,328125
2022-04-01,83.085,83.325,81.49,82.02,255072
2022-04-04,82.34,84.28,82.34,84.08,269498
2022-04-05,83.48,84.52,82.69,82.97,298683
2022-04-06,81.92,82.455,81.47,82.15,298071
2022-04-07,81.47,82.01,80.78,81.57,430943
2022-04-08,81.22,81.82,80.33,80.97,291848
2022-04-11,80.56,81.09,79.71,79.84,265496
2022-04-12,80.005,80.97,79.03,79.33,396670
2022-04-13,79.12,79.955,78.63,79.78,294290
2022-04-14,79.905,80.34,79.33,79.47,396461
