date,open,high,low,close,volume
2021-07-21,58.9,59.51,58.65,58.77,169293
2021-07-22,58.56,58.56,57.98,58.07,65421
2021-07-23,58.27,58.57,58.1,58.39,116280
2021-07-26,58.42,58.42,57.79,57.94,156306
2021-07-27,58.2,58.2,55.85,56.36,333664
2021-07-28,56.11,56.11,55.17,55.17,358506
2021-07-29,55.71,56.19,55.31,55.53,519118
2021-07-30,55.36,55.83,55.2,55.33,251034
2021-08-02,55.59,56.2,54.66,54.71,140014
2021-08-03,54.83,55.49,54.03,54.57,250900
2021-08-04,54.28,54.75,53.97,54.07,218115
2021-08-05,54.43,54.43,53.35,53.38,313606
2021-08-06,53.83,53.99,53.33,53.36,194724
2021-08-09,53.25,53.93,53.06,53.26,606999
2021-08-10,53.27,53.82,52.88,53.17,204081
2021-08-11,53.52,55.19,53.37,55.19,196345
2021-08-12,55.22,55.46,54.55,54.68,189066
2021-08-13,54.73,54.73,54.0,54.09,54448
2021-08-16,53.87,54.29,53.53,54.1,67330
2021-08-17,53.35,53.46,52.7,53.41,227808
2021-08-18,53.17,53.49,53.14,53.33,284308
2021-08-19,53.03,53.77,52.87,53.54,402723
2021-08-20,53.49,53.79,53.09,53.52,158355
2021-08-23,53.65,53.93,53.26,53.6,296881
2021-08-24,53.89,54.55,53.76,54.52,153087
2021-08-25,54.25,54.83,54.21,54.63,290718
2021-08-26,54.43,54.55,54.14,54.32,170776
2021-08-27,54.44,54.94,54.27,54.81,191293
2021-08-30,54.87,54.95,54.5,54.65,137997
2021-08-31,54.6,54.73,54.32,54.59,137613
2021-09-01,54.79,55.14,54.51,55.09,176731
2021-09-02,55.28,56.13,55.12,55.94,267912
2021-09-03,55.77,56.81,55.77,56.3,158236
2021-09-07,56.35,56.35,54.77,55.01,299874
2021-09-08,54.75,54.93,54.14,54.89,212068
2021-09-09,55.0,55.65,54.96,55.46,362197
2021-09-10,55.67,56.1,55.32,55.71,445762
2021-09-13,56.51,56.57,55.42,56.25,490825
2021-09-14,56.49,56.49,55.61,55.97,300840
2021-09-15,56.0,56.89,55.97,56.39,180883
2021-09-16,56.21,56.47,54.9,54.96,218223
2021-09-17,54.81,54.81,54.01,54.37,193498
2021-09-20,53.61,53.69,52.96,53.25,225219
2021-09-21,53.47,53.47,52.49,52.69,96960
2021-09-22,53.33,53.71,52.9,52.93,186205
2021-09-23,53.41,54.35,53.41,53.89,105637
2021-09-24,53.61,54.05,53.61,53.68,75895
2021-09-27,54.01,54.79,53.88,54.39,102301
2021-09-28,54.47,54.69,53.77,53.89,84729
2021-09-29,53.87,54.43,53.46,54.05,116241
2021-09-30,54.07,54.15,52.61,52.61,140739
2021-10-01,52.93,53.47,52.38,52.91,138679
2021-10-04,53.03,53.27,52.33,52.51,100083
2021-10-05,52.53,54.87,52.0,54.51,336345
2021-10-06,53.8,54.59,53.56,54.58,81328
2021-10-07,55.14,55.63,55.0,55.3,190659
2021-10-08,55.66,56.78,55.41,56.51,157006
2021-10-11,56.54,56.55,55.79,55.87,96441
2021-10-12,55.79,56.31,55.57,55.75,142354
2021-10-13,55.8,56.31,55.17,56.11,105451
2021-10-14,56.34,57.87,56.34,57.69,128946
2021-10-15,58.05,58.25,57.63,57.91,98181
2021-10-18,57.66,57.85,56.99,57.17,106549
