date,open,high,low,close,volume
2021-07-21,155.78,156.12,154.575,155.225,125182
2021-07-22,155.085,155.75,153.985,155.23,169529
2021-07-23,155.615,157.75,155.3,157.2,106693
2021-07-26,157.01,157.47,156.04,157.08,127844
2021-07-27,157.26,158.64,157.045,157.97,109334
2021-07-28,157.55,157.91,155.95,156.45,114475
2021-07-29,157.1,157.35,156.22,156.8,118304
2021-07-30,157.43,157.6,156.65,156.86,104538
2021-08-02,157.095,157.11,155.59,156.35,81616
2021-08-03,156.53,157.11,156.41,156.75,98487
2021-08-04,156.185,156.6,153.95,154.07,116399
2021-08-05,154.77,155.145,153.89,154.3,104750
2021-08-06,153.76,154.74,153.65,154.29,105712
2021-08-09,154.7,154.765,153.72,154.37,65996
2021-08-10,154.31,155.26,154.06,154.44,69665
2021-08-11,154.71,156.01,154.5,155.03,140750
2021-08-12,155.23,155.26,154.63,155.07,48103
2021-08-13,154.97,156.66,154.94,156.54,49695
2021-08-16,157.09,158.05,156.745,158.04,82650
2021-08-17,157.87,158.41,157.25,157.89,76919
2021-08-18,157.63,158.19,156.2,156.24,88482
2021-08-19,155.82,159.39,155.82,158.89,187765
2021-08-20,158.86,159.55,158.29,158.32,111074
2021-08-23,157.515,158.45,157.515,157.85,51855
2021-08-24,157.62,157.62,155.69,155.86,91277
2021-08-25,155.45,155.58,154.19,155.22,88803
2021-08-26,155.5,155.5,154.115,154.65,82411
2021-08-27,154.56,155.4,154.22,154.935,78483
2021-08-30,155.21,156.15,155.03,156.04,109495
2021-08-31,155.935,156.455,155.395,156.4,135306
2021-09-01,156.855,158.19,156.52,157.93,105342
2021-09-02,156.81,157.26,155.91,156.95,64423
2021-09-03,156.57,157.39,155.915,157.07,46183
2021-09-07,156.76,156.76,153.75,154.58,105953
2021-09-08,154.66,156.73,154.42,156.73,103947
2021-09-09,156.94,156.94,155.41,155.74,63570
2021-09-10,155.975,156.23,155.01,155.48,53341
2021-09-13,156.07,157.28,155.42,155.83,57552
2021-09-14,156.37,156.62,154.84,155.1,85798
2021-09-15,155.22,156.36,154.85,156.02,78426
2021-09-16,155.16,156.11,153.82,155.53,179765
2021-09-17,155.0,155.12,153.85,154.085,89274
2021-09-20,153.52,154.93,152.47,153.6,140043
2021-09-21,154.03,156.1,152.98,153.58,98723
2021-09-22,153.94,155.06,153.47,154.0,76401
2021-09-23,153.75,154.87,153.68,154.11,76222
2021-09-24,153.92,154.56,153.58,154.22,60930
2021-09-27,153.74,154.1,152.42,152.74,107576
2021-09-28,152.14,152.47,150.17,151.06,141826
2021-09-29,150.83,153.16,150.79,152.33,88326
2021-09-30,153.235,153.41,150.44,150.44,103238
2021-10-01,151.19,151.58,149.54,150.89,112927
2021-10-04,150.755,152.27,149.51,150.26,215063
2021-10-05,151.3,152.36,150.1,151.025,170744
2021-10-06,150.6,155.15,149.99,154.99,190037
2021-10-07,155.865,157.74,155.595,156.4,160748
2021-10-08,156.625,156.69,155.49,155.94,84446
2021-10-11,156.26,157.18,155.71,156.29,79804
2021-10-12,156.235,157.81,156.235,156.95,91538
2021-10-13,157.54,158.035,156.04,158.0,299861
2021-10-14,158.73,159.49,158.73,159.32,178753
2021-10-15,159.5,159.53,157.51,158.8,89543
2021-10-18,158.33,158.65,156.87,158.09,70821
2021-10-19,158.26,160.15,157.54,160.1,139993
2021-10-20,160.21,161.85,160.09,161.24,96924
2021-10-21,161.3,161.38,158.99,159.07,131045
2021-10-22,159.78,160.41,159.57,159.95,160457
2021-10-25,159.7,159.86,158.8,159.2,81591
2021-10-26,159.18,161.38,159.17,161.17,108830
2021-10-27,161.63,161.78,159.575,160.64,86128
2021-10-28,160.595,161.69,160.595,161.56,96022
2021-10-29,161.34,162.1,160.945,161.61,116116
2021-11-01,161.215,161.46,160.215,161.27,80803
2021-11-02,161.55,162.77,161.01,162.77,93503
