date,open,high,low,close,volume
2021-07-21,52.49,53.19,52.275,52.85,105884
2021-07-22,52.3,52.665,51.41,52.49,99612
2021-07-23,53.215,54.36,52.89,54.06,76325
2021-07-26,54.29,54.77,53.17,53.34,135906
2021-07-27,52.11,53.49,51.595,53.36,151333
2021-07-28,53.66,54.05,52.48,52.61,108541
2021-07-29,53.385,55.58,53.23,55.05,102874
2021-07-30,54.805,55.66,54.65,54.87,82076
2021-08-02,55.305,55.56,54.795,54.95,76790
2021-08-03,55.2,55.39,54.44,55.375,57916
2021-08-04,54.85,55.46,53.31,53.31,90616
2021-08-05,53.435,54.09,53.14,53.5,76455
2021-08-06,53.87,54.045,52.81,52.94,71248
2021-08-09,52.7,53.22,52.46,52.57,15792
2021-08-10,52.49,54.09,52.38,53.425,64189
2021-08-11,53.29,55.37,52.95,55.36,70074
2021-08-12,55.62,55.78,54.275,54.5,39950
2021-08-13,54.7,54.87,53.91,54.33,51875
2021-08-16,54.34,55.14,53.78,54.63,30474
2021-08-17,53.865,54.05,52.065,52.445,55420
2021-08-18,51.73,53.35,51.67,52.33,80995
2021-08-19,51.72,52.29,51.38,51.71,49888
2021-08-20,51.8,53.0,51.74,52.72,45102
2021-08-23,52.38,52.72,51.505,52.435,38238
2021-08-24,52.765,54.415,52.65,53.6,52196
2021-08-25,53.77,54.53,53.575,54.23,58538
2021-08-26,54.21,54.26,53.315,53.82,57119
2021-08-27,53.97,55.33,53.96,54.87,76795
2021-08-30,54.88,54.99,54.18,54.18,41384
2021-08-31,54.2,54.32,53.36,53.875,46077
2021-09-01,54.02,54.7,53.74,54.7,47209
2021-09-02,54.91,54.97,54.045,54.19,62505
2021-09-03,54.08,54.255,52.825,53.395,53220
2021-09-07,53.19,53.55,52.58,52.71,87517
2021-09-08,49.75,50.83,49.525,49.55,250093
2021-09-09,49.38,49.545,48.44,48.49,159865
2021-09-10,48.88,49.065,47.855,47.94,77471
2021-09-13,48.24,48.445,47.48,48.29,168223
2021-09-14,48.615,48.88,46.92,47.16,121402
2021-09-15,46.9,47.61,46.7,47.565,81284
2021-09-16,47.495,48.95,47.485,48.23,70824
2021-09-17,48.06,48.9,47.9,48.64,82733
2021-09-20,47.59,48.12,46.775,47.39,62491
2021-09-21,47.47,47.63,46.66,47.1,48717
2021-09-22,47.585,48.6,47.585,47.88,172544
2021-09-23,48.26,48.42,47.31,47.33,142952
2021-09-24,47.25,47.75,46.78,47.47,96035
2021-09-27,47.18,48.47,46.96,48.34,140230
2021-09-28,47.79,48.41,46.9,47.19,150064
2021-09-29,47.39,48.3,47.39,47.94,57209
2021-09-30,48.155,48.155,45.9,45.92,71424
2021-10-01,46.31,46.54,45.615,46.09,33760
2021-10-04,45.82,46.9,45.82,46.25,56471
2021-10-05,46.59,46.92,46.03,46.52,43315
2021-10-06,46.47,47.36,46.19,46.99,69696
2021-10-07,47.49,48.29,47.45,47.66,58952
2021-10-08,47.66,47.96,47.135,47.35,65884
2021-10-11,47.23,47.74,47.185,47.24,35768
2021-10-12,47.5,48.04,47.18,47.865,69245
2021-10-13,48.12,48.455,47.61,47.8,103138
2021-10-14,48.24,49.295,48.1,49.275,109924
2021-10-15,49.84,49.84,48.37,48.41,108445
2021-10-18,48.34,49.41,47.95,49.39,48653
2021-10-19,49.5,49.55,49.08,49.23,29206
2021-10-20,49.595,50.54,49.51,50.2,40616
2021-10-21,50.205,50.42,49.61,50.12,45543
2021-10-22,50.36,50.845,49.655,49.7,48712
2021-10-26,49.34,49.93,47.88,48.68,162920
2021-10-27,49.54,51.32,48.75,48.75,239083
