date,open,high,low,close,volume
2021-07-21,28.27,28.46,28.09,28.09,79432
2021-07-22,28.13,28.16,27.915,28.065,64103
2021-07-23,28.09,28.32,28.06,28.25,44945
2021-07-26,28.27,28.45,28.205,28.37,87885
2021-07-27,28.23,28.81,28.19,28.75,102126
2021-07-28,28.725,28.85,28.37,28.585,103809
2021-07-29,28.57,28.695,28.5,28.61,72183
2021-07-30,28.63,28.825,28.265,28.375,179375
2021-08-02,28.45,28.64,28.37,28.46,99600
2021-08-03,28.465,28.565,28.265,28.555,222309
2021-08-04,28.41,28.49,28.155,28.43,104910
2021-08-05,28.58,28.87,28.505,28.87,170972
2021-08-06,28.89,29.47,28.85,29.22,148800
2021-08-09,29.25,29.25,28.9,29.04,163353
2021-08-10,29.08,29.135,28.92,28.925,209012
2021-08-11,28.99,29.225,28.93,29.205,206371
2021-08-12,29.13,29.225,29.025,29.09,42968
2021-08-13,29.09,29.465,29.07,29.42,194815
2021-08-16,29.5,29.745,29.275,29.365,163443
2021-08-17,29.22,29.355,29.015,29.345,87027
2021-08-18,29.29,29.33,29.065,29.18,98229
2021-08-19,29.21,29.555,29.13,29.175,80251
2021-08-20,29.1,29.78,29.04,29.765,232654
2021-08-23,29.705,29.715,29.08,29.2,210984
2021-08-24,29.26,29.3,29.04,29.22,166381
2021-08-25,29.085,29.395,28.95,29.22,230951
2021-08-26,29.175,29.25,29.04,29.05,98878
2021-08-27,29.13,29.31,29.12,29.22,140246
2021-08-30,29.14,29.32,29.14,29.18,135944
2021-08-31,29.085,29.45,29.085,29.34,210598
2021-09-01,29.67,30.085,29.6,30.03,446365
2021-09-02,30.03,30.4,30.01,30.4,161528
2021-09-03,30.315,30.38,30.08,30.08,189605
2021-09-07,30.05,30.34,29.94,30.1,444821
2021-09-08,30.06,30.705,30.06,30.46,140098
2021-09-09,29.98,30.225,29.77,29.77,196075
2021-09-10,29.84,29.935,29.6,29.605,192097
2021-09-13,29.86,29.89,29.48,29.525,157884
2021-09-14,29.66,29.69,29.3,29.37,190098
2021-09-15,29.35,29.68,29.305,29.465,154710
2021-09-16,29.42,29.505,29.055,29.11,252422
2021-09-17,29.0,29.115,28.66,28.69,137426
2021-09-20,28.52,28.88,28.33,28.62,147000
2021-09-21,28.705,28.89,28.405,28.43,136922
2021-09-22,28.54,28.7,28.385,28.475,125510
2021-09-23,28.46,28.74,28.46,28.55,124511
2021-09-24,28.67,28.73,28.395,28.42,65057
2021-09-27,28.52,28.82,28.35,28.36,119670
2021-09-28,28.42,28.525,28.13,28.23,150425
2021-09-29,28.27,28.66,28.24,28.47,162086
2021-09-30,28.52,28.52,27.9,27.905,156424
2021-10-01,28.15,28.195,27.85,27.95,179382
2021-10-04,27.92,28.39,27.92,28.3,155784
2021-10-05,28.36,28.445,28.21,28.24,85980
2021-10-06,28.205,28.57,28.02,28.54,142049
2021-10-07,28.59,28.805,28.345,28.4,99462
2021-10-08,28.4,28.57,28.32,28.375,77602
2021-10-11,28.29,28.425,28.14,28.19,65769
2021-10-12,28.18,28.44,28.12,28.27,52627
2021-10-13,28.27,28.5,28.05,28.5,46770
2021-10-14,28.56,28.77,28.49,28.72,79107
2021-10-15,28.76,28.915,28.7,28.84,102295
2021-10-18,28.61,28.765,28.505,28.55,53345
2021-10-19,28.72,28.915,28.68,28.89,60937
2021-10-20,29.04,29.305,29.04,29.22,81096
2021-10-21,29.14,29.195,28.99,29.01,38317
2021-10-22,29.09,29.23,29.09,29.14,58502
2021-10-26,28.99,29.295,28.98,29.095,61017
2021-10-27,29.21,29.225,28.935,29.0,63048
2021-10-28,28.975,29.11,28.865,29.06,57970
2021-10-29,29.085,29.16,28.685,28.81,51744
2021-11-01,28.77,29.295,28.73,29.275,122229
2021-11-02,29.37,29.4,29.025,29.25,108310
2021-11-03,29.21,29.405,29.14,29.32,116922
2021-11-04,29.13,29.42,28.695,28.885,176782
2021-11-05,29.08,29.3,28.69,28.725,157854
2021-11-08,28.79,28.81,28.53,28.68,89186
2021-11-09,28.71,28.84,28.56,28.75,143806
2021-11-10,28.835,29.05,28.73,28.775,165976
2021-11-11,28.59,28.91,28.58,28.765,146813
2021-11-12,28.75,28.82,28.56,28.575,245067
2021-11-15,28.77,28.855,28.67,28.835,102475
2021-11-16,28.88,28.915,28.69,28.69,111562
2021-11-17,28.61,28.695,28.445,28.485,173010
2021-11-18,28.48,28.56,28.175,28.26,131165
2021-11-19,28.22,28.42,27.97,28.395,199243
2021-11-22,28.33,28.63,28.11,28.515,267441
2021-11-23,28.55,28.83,28.42,28.74,88378
2021-11-24,28.73,28.78,28.565,28.66,62612
2021-11-26,28.22,28.44,28.165,28.195,73897
2021-11-29,28.29,28.56,28.24,28.43,117563
2021-11-30,28.23,28.41,27.75,27.83,211325
2021-12-01,28.12,28.49,27.87,27.87,213150
2021-12-02,28.02,28.51,28.01,28.23,197315
2021-12-03,28.44,28.815,28.35,28.66,203274
2021-12-06,28.96,29.535,28.93,29.205,243019
2021-12-07,29.2,29.465,29.09,29.32,151216
2021-12-08,29.33,29.42,29.12,29.16,168993
2021-12-09,28.71,28.8,28.41,28.6,113623
2021-12-10,28.7,28.77,28.59,28.74,165775
2021-12-13,28.6,28.98,28.6,28.88,117941
2021-12-14,28.96,29.05,28.67,28.815,125281
2021-12-15,28.96,29.42,28.87,29.27,173944
2021-12-16,29.3,29.76,29.27,29.48,131803
2021-12-17,29.45,29.755,29.39,29.55,171363
2021-12-20,29.245,29.56,29.04,29.5,114917
2021-12-21,29.69,29.88,29.28,29.42,137145
2021-12-22,29.345,29.555,29.265,29.41,160687
2021-12-23,29.41,29.63,29.39,29.41,66429
2021-12-27,29.415,29.54,29.275,29.54,54858
2021-12-28,29.59,29.78,29.59,29.78,38192
2021-12-29,29.78,29.89,29.745,29.81,60580
2021-12-30,29.9,29.98,29.77,29.95,54381
2021-12-31,29.94,30.14,29.825,30.055,53114
2022-01-03,30.14,30.18,29.625,30.13,159044
2022-01-04,30.13,30.33,29.945,29.99,110636
2022-01-05,29.98,30.325,29.84,30.05,111789
2022-01-06,30.04,30.16,29.895,30.015,79841
2022-01-07,29.98,30.435,29.81,30.26,85041
2022-01-10,30.28,30.39,30.115,30.23,69367
2022-01-11,30.31,30.385,29.825,29.96,89276
2022-01-12,29.87,30.2,29.84,29.97,141972
2022-01-13,29.99,30.175,29.85,30.0,112534
2022-01-14,29.97,30.06,29.805,29.96,71307
2022-01-18,29.85,30.04,29.61,29.9,86621
2022-01-19,29.9,30.08,29.79,29.82,79404
2022-01-20,29.86,30.205,29.64,29.7,144650
2022-01-21,29.8,29.91,29.57,29.65,122823
2022-01-24,29.62,29.63,29.095,29.405,41782
2022-01-25,29.285,29.735,29.175,29.55,151598
2022-01-26,29.64,29.77,29.1,29.29,143113
2022-01-27,29.51,29.735,29.225,29.355,120362
2022-01-28,29.25,29.69,29.19,29.685,136015
2022-01-31,29.52,29.69,29.375,29.69,153147
2022-02-01,29.59,29.74,29.42,29.52,118520
2022-02-02,29.58,29.76,29.48,29.72,189744
2022-02-03,29.73,29.86,29.635,29.68,59712
2022-02-04,29.54,29.67,29.2,29.42,54489
2022-02-07,29.335,29.415,29.15,29.295,70146
2022-02-08,29.46,29.62,29.36,29.53,82507
2022-02-09,29.65,29.65,29.405,29.5,103342
2022-02-10,29.31,29.455,28.725,28.785,113277
2022-02-11,28.84,29.06,28.58,28.665,94741
2022-02-14,28.795,28.81,28.11,28.35,205890
2022-02-15,28.5,28.67,28.13,28.255,99516
2022-02-16,28.25,28.435,28.085,28.235,92735
2022-02-17,28.14,28.275,27.915,28.17,159890
2022-02-18,27.07,27.15,25.735,26.1,936195
2022-02-22,25.8,26.835,25.8,26.82,652991
2022-02-23,26.73,26.96,25.985,26.095,527377
2022-02-24,25.9,26.16,25.56,25.93,327521
