date,open,high,low,close,volume
2021-07-21,310.98,311.01,308.22,308.24,33621
2021-07-22,308.595,309.92,307.52,309.37,31100
2021-07-23,309.91,314.33,309.61,313.79,25483
2021-07-26,313.885,314.1,311.47,313.565,19258
2021-07-27,312.08,315.11,312.08,313.99,37575
2021-07-28,314.24,315.79,311.89,313.03,27354
2021-07-29,314.195,314.91,311.81,311.83,21033
2021-07-30,312.42,316.5,312.42,312.42,54328
2021-08-02,313.685,314.785,311.01,311.11,69383
2021-08-03,311.73,312.05,307.25,309.085,73966
2021-08-04,311.09,313.2,304.79,306.53,112031
2021-08-05,308.14,308.71,304.55,308.68,76079
2021-08-06,309.675,310.745,304.82,304.94,33681
2021-08-09,304.37,310.28,304.37,309.85,38694
2021-08-10,311.65,314.77,310.24,311.015,28829
2021-08-11,311.31,313.03,310.86,311.93,20874
2021-08-12,312.3,315.45,312.3,315.04,31455
2021-08-13,314.99,316.15,313.37,314.7,23509
2021-08-16,315.1,318.505,314.28,318.18,37525
2021-08-17,317.38,320.02,316.42,319.54,31656
2021-08-18,318.66,321.0,318.075,320.355,50741
2021-08-19,320.485,323.71,320.455,322.32,38280
2021-08-20,320.9,326.435,320.69,324.46,24387
2021-08-23,324.91,325.13,321.16,321.34,24287
2021-08-24,320.53,320.53,314.97,318.04,24991
2021-08-25,316.93,318.44,315.82,316.37,40958
2021-08-26,316.5,319.21,316.35,316.35,26264
2021-08-27,317.665,318.61,315.78,317.84,31150
2021-08-30,317.64,320.68,317.64,320.42,15473
2021-08-31,319.51,324.12,316.88,323.73,30896
2021-09-01,324.06,330.2,322.33,329.73,36956
2021-09-02,330.82,331.1,327.42,331.1,18915
2021-09-03,329.47,330.93,326.01,330.75,15407
2021-09-07,331.17,331.17,324.22,326.9,28170
2021-09-08,326.15,332.92,326.15,330.45,16314
2021-09-09,328.7,330.49,323.78,324.14,31820
2021-09-10,323.77,326.82,323.12,323.12,23915
2021-09-13,323.835,326.63,321.06,321.06,18462
2021-09-14,318.67,319.38,315.31,317.2,15618
2021-09-15,317.79,321.89,317.79,319.5,15968
2021-09-16,321.095,321.095,316.17,317.27,16502
2021-09-17,314.63,317.4,310.55,310.9,20731
2021-09-20,309.35,315.57,308.695,312.09,20274
2021-09-21,314.175,315.39,312.27,312.27,18843
2021-09-22,312.02,312.38,307.86,309.02,31626
2021-09-23,308.09,309.025,304.91,305.385,39332
2021-09-24,305.46,305.46,302.63,304.04,18896
2021-09-27,303.22,305.27,296.72,296.75,34602
2021-09-28,294.31,301.05,293.04,299.51,35053
2021-09-29,299.54,304.225,299.54,302.48,24906
2021-09-30,303.36,303.36,296.61,297.1,35181
2021-10-01,297.53,298.93,293.89,297.01,23035
2021-10-04,298.205,298.87,295.82,298.14,51236
2021-10-05,297.56,298.235,294.93,295.23,25303
2021-10-06,295.27,302.09,293.88,301.28,24590
2021-10-07,303.75,304.77,300.52,301.52,20790
2021-10-08,300.59,302.01,299.27,299.83,14929
2021-10-11,299.39,302.385,299.06,302.33,18360
2021-10-12,304.12,313.17,303.81,311.25,30758
2021-10-13,310.52,317.92,310.52,317.29,20154
2021-10-14,317.94,326.16,317.94,325.96,31090
2021-10-15,325.34,325.34,316.98,319.41,52894
2021-10-18,318.73,323.78,318.67,322.21,20399
2021-10-19,323.575,323.59,320.29,320.9,23055
2021-10-20,321.91,322.545,319.97,322.46,34894
2021-10-21,321.895,323.1,320.74,322.52,22728
2021-10-22,323.72,326.91,323.72,326.415,11198
2021-10-26,327.58,328.43,324.3,326.86,23940
2021-10-27,327.685,327.685,322.08,322.465,16409
2021-10-28,325.205,332.1,325.205,331.645,34049
2021-10-29,331.01,335.55,330.64,332.49,51968
2021-11-01,333.8,333.8,324.25,331.38,33230
2021-11-02,333.45,340.675,333.45,338.2,71004
2021-11-03,339.46,340.84,330.17,332.68,32556
2021-11-04,331.165,337.06,331.165,332.255,32609
2021-11-05,332.58,332.58,319.9,322.91,56161
2021-11-08,319.79,324.745,319.22,323.36,14857
2021-11-09,324.2,326.77,323.26,324.99,21918
2021-11-10,326.49,329.075,326.46,327.14,20863
2021-11-11,325.915,329.14,325.915,329.14,8727
2021-11-12,329.245,330.955,325.62,329.2,15972
2021-11-15,328.92,331.69,326.315,331.69,10201
2021-11-16,331.82,332.22,326.91,328.035,11450
2021-11-17,324.96,334.91,323.635,333.25,19098
2021-11-18,333.37,337.25,330.335,335.795,20407
2021-11-19,335.68,335.99,331.72,331.72,18725
2021-11-22,333.02,333.02,328.88,329.13,35894
2021-11-23,328.02,331.67,328.02,330.66,10931
2021-11-24,330.1,335.81,330.1,334.94,10365
2021-11-26,332.54,334.77,327.28,327.28,13674
2021-11-29,330.32,334.805,330.12,332.08,18560
2021-11-30,330.13,333.08,326.09,327.46,44333
2021-12-01,327.09,336.67,325.48,325.48,20527
2021-12-02,330.03,338.45,330.03,334.57,38590
2021-12-03,334.16,335.81,331.52,335.33,54011
2021-12-06,337.265,340.38,334.58,339.48,45901
2021-12-07,340.65,343.96,339.43,340.21,35830
2021-12-08,339.01,343.72,337.22,343.54,65166
2021-12-09,343.915,344.875,341.715,342.24,47688
2021-12-10,343.225,348.27,343.225,348.08,29514
2021-12-13,348.62,357.02,348.62,355.02,28278
2021-12-14,356.315,356.315,347.565,352.12,80520
2021-12-15,358.06,362.96,357.82,361.59,48122
2021-12-16,359.46,363.9,359.46,363.11,35616
2021-12-17,362.73,368.53,361.265,361.63,54737
2021-12-20,363.11,366.64,357.94,366.1,24936
2021-12-21,367.63,367.96,361.02,361.76,22743
2021-12-22,365.31,365.99,363.02,365.42,21580
2021-12-23,363.24,364.49,359.51,362.38,23010
2021-12-27,363.02,368.68,363.02,368.68,34910
2021-12-28,368.72,370.69,367.54,370.64,21474
2021-12-29,371.36,373.06,369.26,372.53,16395
2021-12-30,371.65,373.82,370.01,372.51,23392
2021-12-31,373.29,377.295,372.89,374.575,7357
2022-01-03,373.09,373.09,359.805,365.105,39110
2022-01-04,365.28,367.675,363.55,365.465,38999
2022-01-05,364.18,365.49,357.87,361.95,25702
2022-01-06,364.94,366.76,359.76,365.72,34685
2022-01-07,363.695,363.78,355.85,355.94,35621
2022-01-10,356.2,361.36,355.765,360.0,38283
2022-01-11,360.075,363.635,357.515,362.81,36138
2022-01-12,362.63,368.755,362.63,367.32,33531
2022-01-13,367.16,368.43,363.53,364.32,29381
2022-01-14,363.17,364.32,358.28,361.93,27672
2022-01-18,360.425,360.96,355.91,359.84,34859
2022-01-19,363.165,364.4,356.87,356.87,37232
2022-01-20,362.29,362.29,351.65,352.32,30568
2022-01-21,354.62,356.1,351.03,353.285,43953
2022-01-24,351.81,351.98,343.885,347.86,7401
2022-01-25,349.58,354.75,345.6,352.59,50894
2022-01-26,353.84,357.26,345.89,347.25,80638
2022-01-27,349.345,353.53,343.535,346.82,131058
2022-01-28,346.62,360.58,341.26,360.58,56906
2022-01-31,360.01,363.41,356.0,358.4,64320
2022-02-01,358.32,359.72,350.8,355.53,48845
2022-02-02,355.995,370.62,355.995,370.23,51679
2022-02-03,366.735,369.24,366.25,367.35,25039
2022-02-04,365.81,367.43,361.0,362.86,41033
2022-02-07,362.81,364.67,360.55,362.74,28566
2022-02-08,363.22,365.435,360.785,362.37,19710
2022-02-09,367.14,369.54,364.59,369.17,21150
2022-02-10,362.11,367.31,357.2,359.21,33549
2022-02-11,359.76,361.28,354.48,358.13,28910
2022-02-14,357.21,360.655,354.58,355.37,27300
2022-02-15,356.975,357.345,351.03,351.7,19778
2022-02-16,353.11,353.13,347.05,351.64,21586
2022-02-17,350.55,350.55,345.77,346.1,24070
2022-02-18,345.85,346.63,343.47,343.48,23399
2022-02-22,344.28,346.27,340.5,342.845,33322
2022-02-23,367.38,367.38,352.32,353.5,98823
2022-02-24,348.735,353.04,343.57,351.65,91021
2022-02-25,353.72,362.62,353.72,362.6,35837
2022-02-28,358.12,359.99,352.71,355.08,41202
2022-03-01,358.41,361.71,355.095,359.13,41223
2022-03-02,359.97,366.08,359.97,365.02,38336
2022-03-03,368.25,374.06,366.61,373.2,45514
2022-03-04,370.89,379.56,370.095,377.3,47794
2022-03-07,374.84,379.99,374.84,376.06,49966
2022-03-09,370.41,372.82,365.89,369.625,33257
2022-03-10,368.59,371.1,366.67,369.84,26314
2022-03-11,372.46,372.46,365.75,365.94,19877
2022-03-14,366.69,368.74,358.82,360.06,65213
2022-03-15,362.625,362.625,352.17,355.15,69932
2022-03-16,356.46,359.61,351.47,358.02,102882
2022-03-17,361.23,367.1,359.88,365.65,42605
2022-03-18,371.53,371.9,363.99,365.8,32142
2022-03-21,367.89,370.54,365.61,367.61,64079
2022-03-22,369.63,370.84,365.4,370.55,48511
2022-03-23,368.68,370.51,366.86,368.01,51607
2022-03-24,369.15,373.09,368.11,373.09,69068
2022-03-25,373.01,376.31,371.06,376.2,88531
2022-03-28,379.72,384.72,378.24,382.99,39840
2022-03-29,389.62,398.39,382.79,396.56,53910
2022-03-30,395.18,396.5,393.77,395.94,23546
2022-03-31,397.95,400.17,390.39,390.39,40282
2022-04-01,391.4,397.15,391.35,396.59,39760
2022-04-04,395.55,395.96,388.97,394.35,36916
2022-04-05,393.14,402.365,393.14,395.345,50479
2022-04-06,396.175,409.44,395.09,408.74,76202
2022-04-07,403.25,410.22,403.25,409.28,40206
2022-04-08,409.97,411.74,408.565,408.775,39046
2022-04-11,410.905,410.905,398.815,401.74,30520
2022-04-12,400.24,407.47,399.19,406.7,38527
2022-04-13,407.7,407.7,403.38,405.55,39560
2022-04-14,408.48,410.56,404.275,408.66,33649
2022-04-18,409.67,411.62,407.52,409.27,36317
2022-04-19,413.255,415.89,411.465,413.07,27090
2022-04-20,414.225,421.26,414.225,420.31,23566
2022-04-21,420.71,421.06,412.54,412.54,20886
2022-04-22,410.64,410.64,402.12,402.44,30209
2022-04-25,403.475,403.475,392.86,399.03,53287
2022-04-26,401.28,403.1,393.73,394.42,48397
2022-04-27,394.83,399.91,391.155,391.41,33930
2022-04-28,393.91,399.63,391.35,398.84,38792
2022-04-29,391.47,391.47,370.51,370.87,60013
2022-05-02,370.89,372.225,352.89,359.98,84199
2022-05-03,359.225,360.455,353.29,356.35,56076
2022-05-04,347.67,356.0,346.06,355.325,69889
2022-05-05,355.73,356.75,345.625,349.19,62018
2022-05-06,346.835,346.835,332.62,337.0,40410
2022-05-09,329.13,329.99,312.73,313.76,67162
2022-05-10,318.585,320.15,311.465,312.55,71397
2022-05-11,315.06,319.72,312.09,312.09,74731
2022-05-12,313.975,314.55,309.8,313.925,54683
