date,open,high,low,close,volume
2025-08-07,11.695,12.1,10.575,11.8,2206034
2025-08-08,11.45,11.855,10.38,10.53,2763271
2025-08-11,10.34,10.65,9.955,10.12,2483162
2025-08-12,10.23,11.28,10.14,10.99,1374908
2025-08-13,11.2,17.53,11.17,15.0,4713779
2025-08-14,14.865,14.865,13.68,14.365,1241944
2025-08-15,14.38,14.585,13.67,13.67,874854
2025-08-18,13.62,13.89,13.23,13.48,526957
2025-08-19,13.425,13.5,12.965,13.485,657287
2025-08-20,13.555,14.03,13.335,13.97,482171
2025-08-21,13.98,16.295,13.98,16.035,1678012
2025-08-22,15.535,16.64,15.31,16.01,506819
2025-08-25,15.925,16.385,15.78,15.96,295583
2025-08-26,15.79,15.9,15.15,15.82,306640
2025-08-27,15.675,15.675,14.63,14.82,386243
2025-08-28,14.8,15.0,14.42,14.685,229306
2025-08-29,14.66,14.77,14.39,14.695,147352
2025-09-02,14.55,14.66,14.2,14.45,201381
2025-09-03,14.445,15.305,14.39,15.07,247319
2025-09-04,14.7,14.84,14.42,14.74,167893
2025-09-05,14.69,15.17,14.495,14.995,335748
2025-09-08,15.07,15.23,14.75,15.2,270783
2025-09-09,15.0,15.465,14.76,15.21,303073
2025-09-10,15.355,15.79,14.83,15.115,196212
2025-09-11,15.02,17.58,13.99,17.49,1403358
2025-09-12,17.5,18.87,16.9,18.79,1090277
2025-09-15,18.86,19.02,18.25,18.56,264398
2025-09-16,18.39,18.57,17.46,17.51,391799
2025-09-17,17.59,18.3,17.59,17.925,172318
2025-09-18,17.99,18.13,17.67,17.9,175784
2025-09-19,17.95,19.225,17.71,18.9,488699
2025-09-22,18.875,19.29,18.49,18.58,217758
2025-09-23,18.62,20.86,18.29,19.73,722169
2025-09-24,19.59,20.04,19.02,19.105,240004
2025-09-25,18.81,19.34,18.75,18.92,222338
2025-09-26,18.825,19.14,18.69,18.915,213645
2025-09-29,19.1,19.69,18.33,19.5,260559
2025-09-30,19.44,20.08,18.875,18.91,286114
2025-10-01,18.85,19.12,18.62,18.885,214789
2025-10-02,18.95,19.12,18.605,18.625,131211
2025-10-03,18.7,19.45,18.7,19.105,165475
2025-10-06,19.16,19.205,18.685,19.12,109153
2025-10-07,19.075,19.22,18.24,18.48,424520
2025-10-08,18.4,18.87,18.15,18.515,224690
2025-10-09,18.44,18.44,17.9,17.965,179957
2025-10-10,18.06,18.08,16.9,17.005,173153
2025-10-13,17.23,17.54,17.04,17.095,136439
2025-10-14,16.935,17.44,16.64,17.29,113587
2025-10-15,17.41,17.67,17.095,17.45,131085
2025-10-16,17.325,17.37,16.76,16.895,215686
2025-10-17,16.82,16.99,16.51,16.79,173901
2025-10-20,16.86,17.07,16.65,16.98,114225
2025-10-21,17.025,17.03,16.45,16.515,252914
