date,open,high,low,close,volume
2021-07-21,89.58,90.55,89.315,89.55,30851
2021-07-22,89.02,89.43,88.71,89.23,24242
2021-07-23,89.645,89.86,88.8,89.74,35284
2021-07-26,90.0,90.6,87.87,88.2,36118
2021-07-27,87.09,88.705,87.09,88.06,34517
2021-07-28,88.68,90.55,87.05,89.68,31376
2021-07-29,90.875,91.885,90.09,91.43,41872
2021-07-30,91.46,91.46,90.56,90.93,24292
2021-08-02,91.71,93.25,89.04,89.04,42111
2021-08-03,89.63,91.22,88.31,91.22,29212
2021-08-04,90.4,90.96,89.03,89.03,48832
2021-08-05,89.47,94.12,89.47,92.59,69935
2021-08-06,94.33,94.55,92.1,92.33,48935
2021-08-09,91.67,92.52,90.24,92.07,63538
2021-08-10,92.05,94.83,91.47,94.25,29809
2021-08-11,94.41,97.32,94.15,97.14,73951
2021-08-12,97.815,99.44,97.45,98.36,50221
2021-08-13,97.91,98.28,97.12,97.36,32253
2021-08-16,96.48,97.34,96.395,96.96,27513
2021-08-17,95.43,95.47,92.87,95.02,61535
2021-08-18,95.28,96.945,95.19,96.31,33696
2021-08-19,95.585,96.17,94.92,95.81,62989
2021-08-20,96.12,96.4,95.29,96.36,27299
2021-08-23,97.04,98.01,96.57,97.51,33240
2021-08-24,98.04,99.33,97.98,99.02,24144
2021-08-25,99.32,102.68,99.18,102.26,58020
2021-08-26,101.97,102.84,101.15,101.625,63824
2021-08-27,103.17,103.635,101.75,103.35,34623
2021-08-30,104.05,104.335,103.05,103.435,31578
2021-08-31,103.68,103.68,102.03,102.11,42553
2021-09-01,102.55,102.55,100.7,101.75,66567
2021-09-02,110.31,114.61,109.0,114.06,234353
2021-09-03,114.25,116.41,113.495,116.02,142058
2021-09-07,115.57,116.08,113.56,115.3,81922
2021-09-08,115.25,116.72,114.87,115.65,84148
2021-09-09,115.36,116.28,113.97,114.48,65737
2021-09-10,115.125,117.06,114.53,115.735,95151
2021-09-13,116.2,116.695,114.58,115.15,74828
2021-09-14,115.29,116.6,114.57,116.02,67556
2021-09-15,115.6,119.595,115.13,118.18,44435
2021-09-16,118.12,119.32,116.69,116.89,83960
2021-09-17,118.22,118.775,116.51,118.41,76156
2021-09-20,115.25,117.03,114.19,116.68,58170
2021-09-21,116.73,116.73,113.93,114.93,92397
