date,open,high,low,close,volume
2021-07-21,139.87,142.22,139.72,142.15,233264
2021-07-22,142.0,142.79,141.57,142.47,119334
2021-07-23,143.21,144.98,142.1,144.865,236819
2021-07-26,144.05,144.33,142.26,143.51,152656
2021-07-27,142.87,142.96,138.23,140.985,226738
2021-07-28,141.49,142.88,140.16,142.36,292357
2021-07-29,146.615,151.51,146.615,150.91,890834
2021-07-30,149.385,150.38,148.45,149.81,314128
2021-08-02,150.21,152.26,148.29,148.84,319134
2021-08-03,148.85,149.56,146.615,147.98,148806
2021-08-04,148.005,149.14,147.47,148.34,158676
2021-08-05,147.24,147.465,144.61,146.87,241999
2021-08-06,146.175,148.22,145.94,146.3,161683
2021-08-09,146.795,147.68,145.77,146.95,225376
2021-08-10,147.29,147.48,144.9,145.83,180622
2021-08-11,146.06,146.74,144.43,146.63,188520
2021-08-12,147.375,148.0,146.43,147.12,259365
2021-08-13,147.01,149.29,146.97,148.65,242323
2021-08-16,148.4,149.06,146.74,148.15,148243
2021-08-17,146.99,146.99,143.59,144.47,220932
2021-08-18,143.8,144.64,142.0,142.04,246599
2021-08-19,140.56,141.43,139.05,140.72,311851
2021-08-20,140.815,142.255,140.46,142.16,102812
2021-08-23,142.7,144.61,142.385,144.11,171013
2021-08-24,144.52,145.57,143.87,144.44,158985
2021-08-25,144.65,145.43,143.465,143.925,134471
2021-08-26,143.23,143.68,141.65,142.39,206291
2021-08-27,142.43,144.935,142.03,144.9,176795
2021-08-30,145.555,147.86,145.555,145.9,180271
2021-08-31,146.66,147.53,144.59,146.67,297300
2021-09-01,146.81,148.1,146.235,146.48,358087
2021-09-02,146.64,146.76,144.52,145.1,186150
2021-09-03,144.92,145.83,144.28,144.65,156538
2021-09-07,144.675,144.71,143.15,143.73,160546
2021-09-08,143.54,143.54,141.49,142.53,242396
2021-09-09,142.49,143.54,141.45,141.49,125495
2021-09-10,143.11,145.98,142.545,142.69,138392
2021-09-13,144.215,144.67,142.07,143.41,121413
2021-09-14,144.45,144.69,140.65,141.18,184283
2021-09-15,140.735,140.735,137.565,138.27,372972
2021-09-16,137.58,138.96,137.53,138.4,364216
2021-09-17,137.89,137.89,133.155,133.61,488803
2021-09-20,131.48,133.05,130.63,132.86,244731
2021-09-21,133.78,133.82,131.35,131.81,190193
2021-09-22,132.725,133.465,131.995,133.05,143289
2021-09-23,133.77,135.14,133.25,133.92,112168
2021-09-24,133.19,134.54,132.89,133.86,116028
2021-09-27,132.625,134.03,132.1,133.51,115109
2021-09-28,131.8,132.65,129.74,129.91,230157
2021-09-29,130.72,131.42,128.905,129.29,170472
2021-09-30,130.36,131.05,128.705,129.06,209527
2021-10-01,129.795,130.005,126.505,128.67,162614
2021-10-04,128.98,129.68,125.93,126.69,233860
2021-10-05,126.1,128.75,125.71,127.48,305526
2021-10-06,126.35,128.24,126.085,128.08,281243
2021-10-07,129.58,130.655,127.63,127.84,235079
2021-10-08,128.15,128.18,126.255,126.53,151330
2021-10-11,126.1,127.19,124.91,124.92,217034
2021-10-12,125.4,125.42,122.205,123.075,316747
2021-10-13,125.255,126.255,123.55,125.01,267185
2021-10-14,126.205,129.3,125.99,128.64,341196
2021-10-15,129.02,130.46,128.87,130.26,187927
2021-10-18,129.14,130.24,128.36,130.1,157223
2021-10-19,131.04,132.8,130.32,132.52,187855
2021-10-20,132.49,133.005,131.275,132.24,253404
2021-10-21,131.895,133.26,131.45,133.26,168966
2021-10-22,132.75,133.68,131.5,131.62,145545
2021-10-25,131.69,133.145,131.33,131.88,118598
2021-10-26,132.87,133.71,131.145,131.95,175530
2021-10-27,131.62,132.35,130.57,131.18,127276
2021-10-28,131.95,133.83,131.87,133.73,151191
2021-10-29,132.7,133.67,132.49,133.04,158396
2021-11-01,132.64,134.86,132.56,134.85,221898
2021-11-02,134.45,135.71,134.29,135.22,254881
2021-11-03,135.74,138.83,135.04,138.55,553170
2021-11-04,156.42,159.5,153.38,156.16,1588451
2021-11-05,157.075,168.505,155.94,163.12,1203472
2021-11-08,163.335,167.63,161.46,165.84,459397
2021-11-09,166.6,169.5,164.51,166.72,482482
2021-11-10,164.77,166.1,159.045,159.765,394858
2021-11-11,161.78,165.54,161.39,164.42,306143
2021-11-12,165.12,166.01,164.33,164.84,250999
2021-11-15,166.52,169.91,165.88,168.52,470961
2021-11-16,168.11,183.58,167.095,181.84,1130246
2021-11-17,180.495,186.3,178.66,183.57,738739
2021-11-18,185.22,188.63,182.78,186.26,615957
2021-11-19,184.775,186.55,182.34,185.03,371299
2021-11-22,181.0,188.66,180.98,181.4,494178
2021-11-23,180.16,181.33,177.1,181.11,417566
2021-11-24,179.59,180.77,177.39,180.73,238660
2021-11-26,175.69,180.16,175.12,175.85,307566
2021-11-29,179.48,184.04,179.08,183.75,400871
2021-11-30,183.1,186.72,180.37,180.485,368062
2021-12-01,181.26,183.04,175.32,175.44,490590
2021-12-02,171.96,177.82,171.265,176.93,454108
2021-12-03,177.9,180.02,173.71,176.71,603863
2021-12-06,176.71,176.77,172.295,175.43,280161
2021-12-07,179.05,184.72,178.58,183.84,304688
2021-12-08,182.54,183.655,180.92,182.64,152691
2021-12-09,182.1,187.83,181.94,182.26,354519
2021-12-10,185.46,185.51,181.24,183.88,184607
2021-12-13,186.76,191.25,183.16,183.3,472008
2021-12-14,181.54,183.885,179.42,182.05,274569
