date,open,high,low,close,volume
2021-07-21,75.72,79.125,75.72,78.905,221121
2021-07-22,77.69,78.29,76.35,77.765,165331
2021-07-23,78.08,78.78,76.99,77.695,194713
2021-07-26,77.59,80.86,77.12,80.75,197193
2021-07-27,79.74,80.89,79.01,80.58,151357
2021-07-28,81.03,81.77,78.2,80.105,101276
2021-07-29,80.92,82.08,79.965,80.01,87219
2021-07-30,78.7,79.45,76.41,76.91,176957
2021-08-02,76.96,79.3,75.095,75.44,154665
2021-08-03,75.125,75.125,71.84,74.54,227917
2021-08-04,73.25,74.1,70.75,72.715,406634
2021-08-05,72.88,78.39,72.88,78.1,268861
2021-08-06,79.07,79.07,76.56,78.95,345390
2021-08-09,78.28,78.28,75.85,77.36,75691
2021-08-10,77.59,81.34,77.39,80.76,128337
2021-08-11,79.835,81.99,78.7,81.82,90051
2021-08-12,81.245,81.245,78.9,80.33,66082
2021-08-13,80.19,80.33,78.26,78.9,66431
2021-08-16,77.83,78.7,76.11,78.45,69316
2021-08-17,76.55,77.19,75.23,75.96,75189
2021-08-18,75.655,78.59,74.42,77.21,99949
2021-08-19,76.125,76.52,73.57,76.52,118300
2021-08-20,76.375,78.355,76.04,78.2,140102
2021-08-23,79.17,80.965,78.89,80.26,119990
2021-08-24,81.5,83.5,81.42,82.87,112798
2021-08-25,82.775,84.185,81.25,83.4,84506
2021-08-26,82.91,83.22,80.23,80.825,94003
2021-08-27,80.895,83.69,80.895,83.25,124117
2021-08-30,83.69,83.69,81.3,81.9,103251
2021-08-31,81.55,83.405,81.55,82.77,99919
2021-09-01,83.41,83.78,81.9,82.28,87934
2021-09-02,82.3,83.93,80.81,82.9,96780
2021-09-03,82.415,82.79,78.75,79.41,169175
2021-09-07,77.685,81.71,77.48,81.47,84302
2021-09-08,81.75,82.59,79.82,80.3,55963
2021-09-09,80.085,82.91,80.0,81.62,70008
2021-09-10,82.615,83.265,81.51,81.57,151004
2021-09-13,82.37,84.63,80.21,83.85,156146
2021-09-14,83.57,84.87,82.0,82.44,80825
2021-09-15,81.72,83.51,80.77,83.28,73725
2021-09-16,83.35,83.695,82.33,82.55,89207
2021-09-17,82.625,84.82,82.625,83.85,142890
2021-09-20,81.735,83.33,80.88,83.0,111340
2021-09-21,83.71,84.82,82.24,82.89,95684
2021-09-22,83.47,86.18,83.445,85.3,138118
2021-09-23,86.37,89.21,86.34,88.19,183731
2021-09-24,87.88,91.3,87.88,90.7,173934
2021-09-27,92.115,95.22,92.01,92.41,197542
2021-09-28,92.05,94.515,91.71,91.98,115751
2021-09-29,92.365,92.93,90.33,90.76,92752
2021-09-30,89.92,90.02,88.29,88.99,85331
2021-10-01,92.43,93.83,91.57,92.34,166411
2021-10-04,92.03,93.09,90.47,91.05,84787
2021-10-05,91.71,92.49,90.5,91.01,55037
2021-10-06,89.75,90.71,88.46,90.1,68954
2021-10-07,90.76,90.76,88.59,88.78,86953
2021-10-08,89.27,90.0,87.6,87.74,74234
2021-10-11,87.34,88.64,86.61,87.34,85505
2021-10-12,87.42,89.19,87.41,88.66,65632
2021-10-13,88.53,88.53,86.445,86.73,117329
2021-10-14,87.57,88.14,86.75,86.89,112716
2021-10-15,87.84,88.57,86.27,86.35,110151
2021-10-18,86.15,86.6,84.6,85.89,102370
2021-10-19,85.6,85.83,84.1,84.48,168778
2021-10-20,84.29,85.34,83.625,83.91,79588
2021-10-21,84.0,84.84,83.22,83.735,72273
2021-10-22,83.19,84.87,82.86,84.63,99347
2021-10-26,86.28,86.66,84.41,84.41,78747
2021-10-27,84.9,85.1,83.42,83.49,89828
2021-10-28,83.44,84.76,82.54,84.19,90467
2021-10-29,84.12,86.255,83.535,84.45,273421
2021-11-01,84.615,88.41,83.98,88.335,99696
2021-11-02,87.43,88.52,86.43,87.8,92120
2021-11-03,87.17,90.32,86.85,89.8,94519
2021-11-04,90.27,90.75,88.265,88.76,60652
2021-11-05,93.97,98.01,93.77,96.63,481533
2021-11-08,97.33,98.18,93.24,93.73,105888
2021-11-09,92.4,92.92,90.44,91.37,112497
2021-11-10,90.0,91.43,87.85,88.755,125415
2021-11-11,89.0,89.0,86.19,86.31,86542
2021-11-12,86.12,86.585,83.47,84.56,97253
2021-11-15,85.105,86.79,85.085,85.28,123445
2021-11-16,84.99,85.0,82.82,83.35,112185
2021-11-17,83.0,83.91,82.07,83.27,78357
2021-11-18,83.72,83.72,82.115,82.93,68213
2021-11-19,82.02,82.02,78.745,80.51,150020
2021-11-22,80.53,81.78,78.92,79.25,93595
2021-11-23,80.24,80.32,78.3,78.83,71754
2021-11-24,78.15,79.92,77.33,78.35,55184
2021-11-26,70.98,71.44,67.925,68.0,372100
2021-11-29,72.4,72.5,68.105,69.91,220770
2021-11-30,68.8,70.08,66.91,69.9,291083
2021-12-01,71.24,72.325,64.23,64.23,456690
2021-12-02,65.62,69.3,64.33,68.91,296834
2021-12-03,67.985,68.63,66.19,66.76,141928
2021-12-06,68.605,74.41,67.8,72.27,286631
2021-12-07,73.285,74.39,71.07,71.64,174396
2021-12-08,73.22,77.4,72.68,75.43,245706
2021-12-09,73.84,75.42,73.635,74.71,134835
2021-12-10,75.815,75.815,73.48,75.51,91485
2021-12-13,73.83,74.01,70.95,72.11,126262
2021-12-14,71.15,73.28,71.12,71.61,122340
2021-12-15,71.13,71.13,68.22,70.63,164822
2021-12-16,71.95,72.23,68.38,68.78,183513
2021-12-17,68.6,73.23,68.6,72.42,443545
2021-12-20,70.15,74.515,69.73,72.62,287764
2021-12-21,74.64,77.185,74.35,76.57,421219
2021-12-22,76.15,79.96,75.985,79.44,144390
2021-12-23,80.53,80.53,78.0,79.53,143204
2021-12-27,76.76,78.765,75.63,78.52,79395
2021-12-28,77.54,80.03,77.54,78.26,80331
2021-12-29,76.74,78.77,76.74,78.23,70840
2021-12-30,77.975,79.9,76.73,77.35,160407
2021-12-31,76.87,78.09,76.34,76.9,81537
2022-01-03,77.88,81.74,77.74,80.81,153277
2022-01-04,82.33,83.49,81.78,82.375,146903
2022-01-05,83.21,83.71,79.98,80.63,122540
2022-01-06,81.41,82.76,77.5,77.92,240848
2022-01-07,78.75,82.475,78.56,81.04,171730
2022-01-10,80.83,80.86,77.22,79.91,131940
2022-01-11,79.66,82.3,78.73,81.735,127513
2022-01-12,82.19,82.58,80.76,82.23,136453
2022-01-13,82.65,85.31,82.5,83.44,171555
2022-01-14,83.26,84.215,81.82,84.19,74754
2022-01-18,83.24,84.19,81.93,82.34,99883
2022-01-19,82.19,82.8,80.75,81.7,116535
2022-01-20,81.65,85.13,80.93,81.18,189960
2022-01-21,80.67,80.915,77.56,79.08,219071
2022-01-24,77.11,77.94,74.55,75.91,66061
2022-01-25,77.14,80.645,75.93,80.18,176576
2022-01-26,81.395,83.66,80.47,81.13,115654
2022-01-27,81.73,82.065,75.515,75.96,183477
2022-01-28,75.4,76.34,71.92,74.54,178845
2022-01-31,73.62,77.94,72.78,77.83,198582
2022-02-01,78.41,81.825,78.38,81.25,200832
2022-02-02,80.69,81.93,79.765,81.23,101864
2022-02-03,80.39,81.2,78.99,79.36,236559
2022-02-04,78.39,78.55,74.95,75.62,440787
2022-02-07,76.9,82.88,76.9,82.0,260142
2022-02-08,83.22,86.55,82.12,86.33,232556
2022-02-09,87.04,89.51,87.04,88.07,215287
2022-02-10,87.105,90.52,86.88,87.83,224003
2022-02-11,87.94,89.47,83.78,83.945,198201
2022-02-14,84.255,86.165,82.6,82.77,152816
2022-02-15,85.55,86.88,84.51,86.27,175214
2022-02-16,85.575,88.79,85.575,87.08,160122
2022-02-17,85.37,86.25,84.62,85.18,99890
2022-02-18,84.68,85.32,83.0,83.67,137567
2022-02-22,82.26,84.73,82.1,83.05,156808
2022-02-23,84.08,84.45,79.84,80.0,152583
2022-02-24,76.38,81.58,75.605,81.39,209205
2022-02-25,82.24,83.8,80.88,83.76,103570
2022-02-28,82.12,82.13,79.115,80.72,252045
2022-03-01,79.14,79.19,73.06,73.67,296150
2022-03-02,75.29,75.95,73.92,75.46,247822
2022-03-03,75.94,76.95,71.645,71.86,355605
2022-03-04,70.09,70.97,68.26,69.56,261325
2022-03-07,68.72,69.31,63.07,63.28,336133
2022-03-09,68.79,70.31,67.26,68.08,291654
2022-03-10,66.74,70.97,66.25,69.52,160824
2022-03-11,69.93,70.28,68.32,68.355,108737
2022-03-14,68.61,70.4,66.57,68.12,328669
2022-03-15,69.49,71.725,68.99,70.69,215134
2022-03-16,72.05,74.7,71.89,74.52,326623
2022-03-17,72.82,74.95,71.85,74.95,101249
2022-03-18,74.3,76.83,73.97,76.26,145722
2022-03-21,75.04,75.83,74.31,75.675,179649
2022-03-22,75.47,77.725,75.01,76.87,256447
2022-03-23,76.0,77.015,75.11,75.46,159742
2022-03-24,75.67,76.99,74.99,76.91,81494
2022-03-25,76.9,77.76,76.35,76.98,132892
2022-03-28,77.39,78.75,76.97,78.57,75660
2022-03-29,80.01,81.18,79.07,80.9,133772
2022-03-30,80.12,81.645,79.91,81.48,78896
2022-03-31,81.46,85.37,81.46,83.79,244673
2022-04-01,84.17,84.17,82.57,83.65,83589
2022-04-04,83.21,83.72,82.16,83.405,126013
2022-04-05,85.94,87.59,82.94,83.42,133121
2022-04-06,81.58,81.9,78.84,80.285,130736
2022-04-07,80.19,80.19,76.82,79.2,222728
2022-04-08,78.71,79.06,77.15,77.88,72604
2022-04-11,76.95,79.88,76.95,78.74,76491
2022-04-12,79.5,80.12,78.48,78.82,79256
2022-04-13,80.21,82.47,80.21,81.97,98036
2022-04-14,82.69,84.83,82.42,82.58,69255
2022-04-18,81.58,82.79,81.0,81.32,41593
2022-04-19,82.4,84.9,82.4,84.525,100593
2022-04-20,84.44,85.88,84.08,84.35,81359
2022-04-21,86.97,87.6,83.11,83.41,145485
2022-04-22,83.25,83.64,81.17,81.7,83423
2022-04-25,80.02,82.46,79.74,82.43,79588
2022-04-26,82.04,82.04,78.62,78.66,70790
2022-04-27,78.93,80.405,77.89,79.6,72137
2022-04-28,80.835,81.29,78.63,80.66,85037
2022-04-29,80.82,81.46,77.15,77.66,118034
2022-05-02,77.58,78.76,76.155,78.4,114910
2022-05-03,78.77,79.21,76.4,77.57,97014
2022-05-04,77.51,78.03,74.73,77.88,276085
2022-05-05,76.935,78.79,72.97,73.65,271918
2022-05-06,72.55,73.13,69.745,69.83,171838
2022-05-09,68.73,68.73,61.17,61.39,251316
2022-05-10,66.17,66.17,60.12,60.92,178729
2022-05-11,61.385,64.46,59.84,59.94,153198
2022-05-12,58.76,60.33,56.29,57.78,196134
2022-05-13,59.175,62.495,58.75,61.67,108217
2022-05-16,61.45,63.0,61.19,61.345,162976
2022-05-17,63.34,64.46,61.91,63.93,114888
2022-05-18,62.65,63.08,58.95,59.6,117257
2022-05-19,58.81,59.72,57.32,57.41,225463
2022-05-20,58.63,58.92,53.61,55.4,163891
2022-05-23,55.88,56.14,53.61,55.38,78427
2022-05-24,54.33,54.41,49.18,49.71,251542
2022-05-25,49.15,51.7,48.93,51.085,330918
2022-05-26,52.18,56.15,52.16,55.53,244774
2022-05-27,56.62,58.21,56.53,58.2,148707
2022-05-31,57.72,58.77,57.48,58.06,210498
2022-06-01,58.4,58.98,54.63,55.57,99476
2022-06-02,55.805,57.79,55.75,57.75,100741
2022-06-03,56.46,57.12,55.52,56.32,83907
2022-06-06,57.1,57.35,55.96,56.82,65560
2022-06-07,56.23,57.18,55.63,56.735,129852
2022-06-08,55.4,56.27,53.78,53.84,165953
2022-06-09,53.68,53.68,49.36,49.37,294432
2022-06-10,48.02,49.46,45.62,45.74,465989
2022-06-13,43.905,43.905,40.93,41.285,288288
2022-06-14,41.86,42.11,39.015,39.49,323604
2022-06-15,39.79,40.405,38.87,39.7,377875
2022-06-16,37.85,38.515,34.84,35.11,566041
2022-06-17,35.31,37.44,34.12,37.3,415265
2022-06-21,37.91,37.93,36.44,37.02,323528
2022-06-22,36.35,37.67,36.19,36.68,203508
2022-06-23,36.31,36.93,34.88,36.1,287000
2022-06-24,36.38,41.79,36.09,41.77,271784
2022-06-27,41.56,41.8,39.01,40.335,224988
2022-06-28,40.92,42.78,39.98,40.14,124389
2022-06-29,38.57,38.57,35.55,36.015,428628
2022-06-30,35.06,35.43,33.0,34.905,332294
2022-07-01,35.09,35.8,34.11,35.29,218232
2022-07-05,33.79,36.465,32.73,36.34,240772
2022-07-06,35.75,36.665,33.67,33.7,227654
2022-07-07,34.47,35.83,34.28,35.5,208114
2022-07-08,35.16,35.735,33.935,34.43,135724
2022-07-11,33.9,34.035,32.28,32.6,149753
2022-07-12,32.36,34.02,32.04,33.37,469161
2022-07-13,32.21,33.09,31.77,32.62,214587
2022-07-14,31.89,32.67,31.09,31.27,141043
2022-07-15,31.81,32.77,31.105,32.73,199741
2022-07-18,34.18,35.8,34.1,34.36,253802
2022-07-19,36.36,36.85,35.705,36.335,215797
2022-07-20,36.3,39.065,36.25,38.96,135640
2022-07-21,36.28,36.29,35.055,35.76,329350
2022-07-22,36.225,36.36,34.445,34.84,340333
2022-07-25,34.78,34.84,33.36,34.45,176820
2022-07-26,34.0,34.0,33.01,33.135,116005
2022-07-27,34.395,34.945,33.55,34.915,181350
2022-07-28,36.87,38.22,35.46,37.88,248036
2022-07-29,37.025,38.75,36.4,38.74,230043
2022-08-01,36.945,37.255,34.515,35.785,765593
2022-08-02,35.355,37.745,35.11,36.655,595756
2022-08-03,37.07,39.08,37.05,38.85,273043
2022-08-04,39.16,39.75,38.12,39.46,502448
2022-08-05,38.72,40.94,38.43,39.675,195543
2022-08-08,40.68,42.225,39.99,40.23,229892
2022-08-09,39.04,39.36,37.31,37.99,152447
2022-08-10,39.88,42.485,39.81,41.67,170157
2022-08-11,43.27,43.905,41.39,41.68,158489
2022-08-12,42.005,42.5,41.83,42.36,223072
2022-08-15,41.79,43.025,41.57,42.39,94244
2022-08-16,42.19,44.38,41.62,44.07,272773
2022-08-17,42.85,43.02,41.205,41.89,148913
2022-08-18,41.63,41.85,40.635,41.85,78833
2022-08-19,40.68,40.83,39.05,39.66,131761
2022-08-22,38.27,38.37,37.75,37.81,147474
2022-08-23,38.31,39.585,38.31,38.96,208849
2022-08-24,39.01,41.975,38.97,41.92,219140
2022-08-25,42.43,44.63,42.42,44.12,232733
2022-08-26,44.22,44.93,42.28,42.28,195395
2022-08-29,41.41,42.92,41.19,42.17,199401
2022-08-30,43.07,43.73,40.85,41.745,120096
2022-08-31,42.77,42.88,40.545,40.85,93523
2022-09-01,40.075,41.0,38.82,40.98,122968
2022-09-02,41.87,42.15,40.45,41.11,123485
2022-09-06,42.03,42.6,40.22,41.83,199815
2022-09-07,41.86,44.05,41.75,43.78,146556
2022-09-08,42.7,45.175,42.7,45.15,157271
2022-09-09,45.905,47.62,45.765,47.25,450898
2022-09-12,48.255,48.8,47.145,48.11,558128
2022-09-13,45.51,47.395,45.51,46.44,425984
2022-09-14,46.85,49.0,45.98,48.92,294203
2022-09-15,49.005,52.1,49.005,50.84,571272
2022-09-16,49.5,51.01,48.9,50.43,233258
2022-09-19,49.99,52.35,49.99,50.72,205844
2022-09-20,50.71,51.415,48.9,49.49,205350
2022-09-21,49.11,49.39,45.92,46.74,364472
2022-09-22,47.19,48.48,46.22,46.98,286923
2022-09-23,45.38,46.01,43.32,44.41,370585
2022-09-26,45.05,46.26,44.0,44.03,153779
2022-09-27,45.64,47.75,44.78,45.74,218791
2022-09-28,45.86,47.63,45.52,47.39,151957
2022-09-29,46.02,46.27,43.35,43.66,304382
2022-09-30,41.6,41.93,37.73,37.905,574499
2022-10-03,38.495,39.34,37.0,37.52,410148
2022-10-04,38.97,43.995,38.68,43.835,399998
2022-10-05,42.02,43.775,41.49,43.44,341740
2022-10-06,43.27,45.5,42.65,44.01,302558
2022-10-07,43.82,44.16,42.58,43.56,263044
2022-10-10,43.65,43.65,40.22,41.01,122043
2022-10-11,40.825,41.42,38.84,40.685,355196
2022-10-12,40.9,45.64,40.35,45.31,252946
2022-10-13,44.3,45.94,43.6,44.69,241790
2022-10-14,45.88,46.445,44.52,44.64,266863
2022-10-17,45.81,46.39,44.755,45.12,156300
2022-10-18,47.13,49.1,47.01,48.62,329369
2022-10-19,48.015,48.7,46.44,46.67,337384
2022-10-20,47.21,48.96,47.08,47.51,138892
2022-10-21,46.925,49.335,46.6,49.2,159358
2022-10-24,48.86,49.965,47.75,49.79,178272
2022-10-25,49.52,51.05,49.23,50.89,265984
2022-10-26,50.57,52.9,50.5,50.7,160669
2022-10-27,51.43,52.01,50.165,50.35,123697
2022-10-28,50.05,52.79,49.925,52.65,177842
2022-10-31,53.5,54.27,51.91,53.37,142229
2022-11-01,55.0,55.01,51.98,51.985,153603
2022-11-02,51.14,52.455,49.535,49.65,332403
2022-11-03,47.15,54.17,46.73,53.795,601649
2022-11-04,56.13,56.37,53.25,54.77,322629
2022-11-07,55.32,55.33,51.75,52.01,214908
2022-11-08,52.9,54.89,52.59,54.3,189299
2022-11-09,53.16,53.77,52.295,52.52,151226
2022-11-10,55.13,57.95,55.13,57.76,200607
2022-11-11,58.25,59.45,57.04,58.48,148624
2022-11-14,59.21,59.78,57.565,58.06,142839
2022-11-15,59.96,61.35,59.71,60.68,251872
2022-11-16,58.88,60.56,58.16,60.135,207558
2022-11-17,57.95,58.81,57.06,57.82,223622
2022-11-18,59.11,60.04,57.49,58.69,132587
2022-11-21,58.73,58.95,57.21,58.78,68570
2022-11-22,58.83,59.74,57.63,58.75,94589
2022-11-23,58.52,59.425,57.88,59.32,103450
2022-11-25,59.225,60.2,59.225,59.765,24072
2022-11-28,59.16,59.83,58.03,58.14,70871
2022-11-29,58.9,60.33,58.41,59.94,80925
2022-11-30,60.14,60.14,58.08,59.935,124949
2022-12-01,60.44,61.72,60.42,60.92,134578
2022-12-02,59.66,60.84,59.19,60.58,121905
2022-12-05,60.175,61.53,59.17,59.42,107401
2022-12-06,57.94,58.68,56.26,57.61,202285
2022-12-07,57.45,58.365,56.09,56.56,63475
2022-12-08,57.625,58.35,56.61,57.14,65899
2022-12-09,57.52,57.52,56.18,56.2,75768
2022-12-12,55.84,57.04,54.99,56.99,167545
2022-12-13,59.97,60.09,55.1,55.76,180580
2022-12-14,55.82,56.295,54.19,55.295,141368
2022-12-15,54.11,55.075,53.78,54.66,83898
2022-12-16,53.55,54.89,53.03,53.4,113392
2022-12-19,53.24,53.24,50.82,51.49,180495
2022-12-20,51.21,52.02,50.71,50.87,165986
2022-12-21,51.01,53.4,50.955,51.82,153031
2022-12-22,51.3,51.3,48.36,49.52,131280
2022-12-23,49.41,50.0,48.45,49.785,97455
2022-12-27,49.42,50.315,48.76,48.91,126007
2022-12-28,48.91,49.29,47.915,47.995,194000
2022-12-29,48.35,50.19,47.98,49.79,226643
2022-12-30,49.11,49.7,48.88,49.43,125527
2023-01-03,50.53,50.8,48.685,48.7,171286
2023-01-04,49.5,52.92,49.25,52.64,149789
2023-01-05,51.15,53.805,50.8,53.37,157634
2023-01-06,54.05,55.13,53.36,55.03,145235
2023-01-09,55.95,57.435,55.11,57.315,106432
2023-01-10,57.78,59.21,57.15,58.92,130785
2023-01-11,59.16,59.66,58.545,59.18,174905
2023-01-12,60.245,63.36,59.45,62.425,222408
2023-01-13,61.47,63.525,61.47,63.465,178541
2023-01-17,63.525,64.47,62.79,64.18,195475
2023-01-18,65.085,65.21,61.99,62.215,214557
2023-01-19,61.0,61.65,59.96,60.765,226983
2023-01-20,61.49,63.39,61.31,62.98,139850
2023-01-23,63.445,63.85,62.97,63.4,112717
2023-01-24,62.835,64.68,62.72,63.995,126004
2023-01-25,62.83,63.95,61.835,63.88,127970
2023-01-26,64.54,64.61,63.08,63.93,76896
2023-01-27,64.02,64.57,63.35,63.81,71877
2023-01-30,62.74,64.68,62.63,63.02,109966
2023-01-31,63.85,64.94,63.12,64.94,137066
2023-02-01,65.24,67.42,64.38,67.23,142448
2023-02-02,68.315,70.17,67.65,69.32,202747
2023-02-03,68.22,69.34,67.66,68.46,121137
2023-02-06,67.5,69.5,67.5,69.08,225292
2023-02-07,72.48,75.72,70.16,74.02,632973
2023-02-08,74.42,75.415,72.14,74.55,250813
2023-02-09,75.56,76.26,72.945,73.51,187095
2023-02-10,72.75,72.835,70.87,71.65,149889
2023-02-13,71.845,74.16,71.685,74.0,141363
2023-02-14,73.7,75.71,73.42,75.36,141220
2023-02-15,75.01,76.0,73.9,75.76,77579
2023-02-16,74.855,74.94,73.7,73.91,123111
2023-02-17,73.4,73.69,72.56,73.03,78251
2023-02-21,72.04,73.44,71.4,71.74,141612
2023-02-22,71.73,72.68,71.09,71.52,57088
2023-02-23,72.385,72.54,70.68,71.73,77922
2023-02-24,70.085,70.49,69.105,70.16,159832
2023-02-27,71.455,72.57,71.36,72.05,113061
2023-02-28,71.13,71.36,69.68,70.66,141453
2023-03-01,70.91,72.19,70.7,71.47,123529
2023-03-02,70.845,72.035,69.84,71.97,93638
2023-03-03,73.03,74.385,72.1,74.02,105274
2023-03-06,74.21,75.82,73.91,74.17,101834
2023-03-07,74.22,75.03,73.11,73.245,98310
2023-03-08,72.89,73.4,71.04,72.2,186157
2023-03-09,71.71,71.76,67.92,68.26,186399
2023-03-10,67.97,68.86,64.94,66.86,254240
