date,open,high,low,close,volume
2021-07-21,65.09,66.44,65.09,65.87,46302
2021-07-22,65.45,65.45,64.18,64.45,20965
2021-07-23,65.065,65.245,64.245,65.03,24265
2021-07-26,65.42,65.42,64.23,64.83,19958
2021-07-27,64.385,65.83,64.385,65.28,31456
2021-07-28,65.39,65.39,64.23,64.605,8534
2021-07-29,65.36,66.29,65.27,65.285,20996
2021-07-30,65.49,66.3,65.13,65.39,26690
2021-08-02,66.145,67.07,64.52,64.56,34204
2021-08-03,64.61,64.61,63.73,64.285,35041
2021-08-04,64.05,64.35,62.99,63.04,30131
2021-08-05,63.49,65.315,63.49,65.315,63859
2021-08-06,66.86,68.18,66.25,66.34,37563
2021-08-09,65.69,66.29,65.255,65.37,24960
2021-08-10,65.29,66.77,65.125,66.25,28662
2021-08-11,66.325,66.87,65.935,66.73,25523
2021-08-12,66.96,66.96,65.67,66.4,23812
2021-08-13,66.48,66.48,65.85,66.21,32967
2021-08-16,65.86,66.09,65.225,65.565,11718
2021-08-17,65.06,65.06,63.585,64.56,16199
2021-08-18,64.18,65.0,63.92,64.465,56796
2021-08-19,64.25,64.68,63.63,64.37,17141
2021-08-20,63.46,65.07,63.235,64.86,16744
2021-08-23,65.21,65.51,64.775,65.09,12509
2021-08-24,65.29,65.585,64.76,65.5,38917
2021-08-25,65.27,67.305,65.27,67.1,56756
2021-08-26,66.73,67.035,66.355,66.75,29344
2021-08-27,67.64,68.25,67.345,68.06,44523
2021-08-30,67.88,68.3,67.46,68.23,37524
2021-08-31,68.105,69.08,68.105,68.655,67565
2021-09-01,69.0,69.24,68.41,69.0,21799
2021-09-02,69.115,69.22,68.39,69.2,30878
2021-09-03,68.8,69.47,68.5,69.37,30812
2021-09-07,69.235,69.27,68.2,69.06,65331
2021-09-08,68.55,69.47,68.44,69.04,30771
2021-09-09,68.37,68.7,68.19,68.41,58428
2021-09-10,68.135,68.135,66.21,66.23,63928
2021-09-13,66.91,68.7,66.7,68.09,20458
2021-09-14,67.66,68.02,66.99,67.53,34735
2021-09-15,67.79,68.85,67.605,68.76,36887
2021-09-16,68.97,69.565,68.605,69.27,43205
2021-09-17,69.33,69.33,67.9,68.31,34891
2021-09-20,67.11,67.975,66.52,67.58,32531
2021-09-21,68.16,68.38,67.18,67.18,24294
2021-09-22,67.4,68.42,67.4,68.08,34467
2021-09-23,68.62,68.865,68.155,68.28,43575
2021-09-24,68.0,68.64,67.94,68.305,40744
2021-09-27,68.83,69.58,68.17,68.465,44963
2021-09-28,67.62,68.6,67.62,68.18,67440
2021-09-29,68.38,68.89,68.18,68.65,43578
2021-09-30,68.75,68.8,67.055,67.4,75786
