date,open,high,low,close,volume
2021-07-21,86.31,87.2,86.19,86.97,32404
2021-07-22,86.23,86.5,85.54,85.67,20793
2021-07-23,86.34,86.59,85.53,85.67,37333
2021-07-26,85.79,87.33,85.79,86.66,68122
2021-07-27,85.37,86.39,85.14,86.0,42645
2021-07-28,86.25,87.15,85.2,86.77,33411
2021-07-29,87.54,87.86,86.24,87.32,69010
2021-07-30,87.36,88.01,85.75,86.29,55992
2021-08-02,87.05,88.93,86.77,86.88,88365
2021-08-03,85.83,86.57,84.64,86.33,35956
2021-08-04,85.91,86.62,85.61,85.64,19146
2021-08-05,86.75,86.94,86.06,86.86,89191
2021-08-06,88.31,89.6,88.17,89.3,26071
2021-08-09,88.64,90.69,88.64,90.2,23283
2021-08-10,90.4,92.3,90.08,91.47,55809
2021-08-11,91.86,92.32,91.45,92.32,25002
2021-08-12,91.96,93.51,91.96,92.71,69090
2021-08-13,93.2,93.2,92.17,92.63,12928
2021-08-16,90.71,91.96,90.64,91.89,19003
2021-08-17,90.68,91.34,89.67,90.8,14797
2021-08-18,90.12,91.39,89.89,89.89,25983
2021-08-19,89.35,89.35,88.04,88.77,20113
2021-08-20,88.96,90.85,88.94,90.53,60706
2021-08-23,91.2,91.59,91.1,91.33,43545
2021-08-24,91.61,91.88,91.23,91.65,96165
2021-08-25,91.91,94.39,91.91,93.49,22567
2021-08-26,93.67,93.67,92.51,92.99,62782
2021-08-27,93.33,95.39,93.33,95.39,26557
2021-08-30,95.13,95.13,93.68,93.68,24304
2021-08-31,93.43,94.25,92.97,93.3,39174
2021-09-01,92.53,93.64,92.0,93.35,23854
2021-09-02,93.35,93.85,93.19,93.34,14421
2021-09-03,93.67,93.67,92.48,92.71,15564
2021-09-07,92.54,93.63,92.31,92.37,24064
2021-09-08,92.2,92.39,91.39,91.39,20104
2021-09-09,91.61,93.85,91.47,91.89,44536
2021-09-10,91.93,91.93,90.22,90.51,25551
2021-09-13,91.7,91.7,90.29,91.06,40956
2021-09-14,91.23,91.68,89.28,89.44,49377
2021-09-15,88.81,90.84,88.81,90.57,14691
2021-09-16,90.08,90.35,89.62,89.66,22132
2021-09-17,89.62,90.49,88.41,89.15,71412
2021-09-20,87.57,87.83,85.92,87.25,65518
2021-09-21,87.96,87.96,85.54,85.99,33634
2021-09-22,87.075,87.72,86.76,86.815,35250
2021-09-23,88.31,91.75,88.31,91.59,52056
2021-09-24,91.1,94.06,91.1,93.1,86139
2021-09-27,94.02,95.0,93.87,94.465,46108
2021-09-28,94.73,94.73,92.87,93.155,32077
2021-09-29,93.0,93.99,92.795,93.59,26246
2021-09-30,93.86,94.35,92.005,92.27,228386
2021-10-01,92.745,95.2,92.65,94.59,48107
2021-10-04,94.8,96.09,93.16,93.38,53733
2021-10-05,93.88,94.83,93.235,94.57,53599
2021-10-06,93.81,94.7,92.42,94.525,22056
2021-10-07,95.68,97.185,95.67,95.89,26511
2021-10-08,95.24,96.56,95.15,96.36,28035
2021-10-11,97.82,98.325,96.515,96.515,19857
2021-10-12,96.79,97.76,96.145,97.11,42052
2021-10-13,97.16,97.16,95.445,96.47,38815
2021-10-14,97.96,98.15,97.34,98.1,17915
2021-10-15,99.38,101.01,98.47,100.14,33987
2021-10-18,100.795,101.015,100.23,100.36,30659
2021-10-19,100.21,100.72,99.98,100.27,16008
2021-10-20,100.145,101.595,100.145,101.595,27499
2021-10-21,98.285,102.0,97.5,101.79,216609
2021-10-22,102.08,102.9,100.7,102.555,50328
2021-10-26,102.43,103.36,102.15,102.34,56539
2021-10-27,101.59,102.84,99.925,99.99,40730
2021-10-28,99.76,100.395,98.195,99.56,68060
2021-10-29,99.93,100.165,98.4,98.63,37779
2021-11-01,99.445,99.97,98.77,99.65,23107
2021-11-02,99.735,100.99,99.04,100.96,23401
2021-11-03,100.65,102.41,100.65,102.08,30000
2021-11-04,101.16,101.25,99.79,100.5,24608
2021-11-05,101.765,102.09,99.94,99.99,16408
2021-11-08,100.87,100.97,99.87,100.405,25874
2021-11-09,100.22,100.38,99.39,99.96,25064
2021-11-10,100.02,100.27,99.46,99.63,44101
2021-11-11,99.415,100.97,99.415,100.77,17002
2021-11-12,100.72,100.72,98.94,99.97,86269
2021-11-15,99.82,100.06,98.68,99.375,39633
2021-11-16,99.035,100.55,98.95,99.58,35487
2021-11-17,98.7,98.99,98.02,98.54,50773
2021-11-18,98.59,98.59,97.33,97.84,52133
2021-11-19,96.43,99.04,96.07,98.11,55248
2021-11-22,99.04,100.01,98.14,98.67,33607
2021-11-23,99.11,100.8,98.755,100.76,31895
2021-11-24,101.29,102.555,101.29,102.47,43124
2021-11-26,99.15,99.29,97.35,98.57,32814
2021-11-29,100.03,101.66,98.955,100.57,64315
2021-11-30,99.65,101.06,97.63,98.29,112242
2021-12-01,100.32,101.165,94.92,94.92,60500
2021-12-02,95.02,98.59,95.02,97.91,49209
2021-12-03,99.72,99.72,95.05,95.7,74376
2021-12-06,97.44,99.29,96.5,97.91,37670
2021-12-07,98.93,99.49,98.49,98.93,31928
2021-12-08,99.96,99.96,98.15,98.85,36627
2021-12-09,98.26,99.28,97.66,97.965,30244
2021-12-10,98.44,98.54,96.46,97.63,23918
2021-12-13,96.73,97.28,96.04,96.36,28935
2021-12-14,96.4,97.29,95.455,96.39,33405
2021-12-15,95.9,97.81,95.58,97.67,53987
2021-12-16,98.5,100.22,98.35,98.93,65314
2021-12-17,97.41,99.09,96.91,97.38,55484
2021-12-20,95.77,95.77,93.09,94.83,42183
2021-12-21,96.235,97.18,95.855,97.03,44248
2021-12-22,97.02,98.23,96.33,98.04,62478
2021-12-23,98.46,99.98,98.46,99.44,39989
2021-12-27,100.22,101.05,99.54,101.02,25389
2021-12-28,101.28,102.65,101.28,102.17,51270
2021-12-29,102.72,103.39,102.12,102.12,49905
2021-12-30,102.47,103.075,100.98,101.025,17793
2021-12-31,101.43,101.43,100.37,100.42,32388
2022-01-03,101.285,102.98,101.0,102.87,60522
2022-01-04,103.9,108.62,103.9,107.49,74617
2022-01-05,108.365,108.93,104.91,105.02,83372
2022-01-06,106.425,107.2,104.78,106.49,74882
2022-01-07,106.76,109.1,106.76,109.1,42591
2022-01-10,108.1,108.63,106.3,107.74,62623
2022-01-11,107.01,108.985,106.75,108.98,136981
2022-01-12,109.16,110.23,108.93,109.57,57125
2022-01-13,109.71,110.01,108.08,108.41,55070
2022-01-14,107.0,108.57,106.37,108.47,39546
2022-01-18,107.58,107.58,104.48,104.99,42701
2022-01-19,105.145,105.145,102.12,102.18,60200
2022-01-20,102.15,104.61,101.59,101.7,50644
2022-01-21,101.175,101.175,97.935,98.41,75689
2022-01-24,95.39,96.6,94.54,95.59,16385
2022-01-25,96.495,98.21,94.03,96.79,60073
