date,open,high,low,close,volume
2021-07-21,254.79,255.34,252.29,255.25,16816
2021-07-22,257.82,258.4,256.685,257.79,12803
2021-07-23,258.385,260.085,258.38,259.82,20143
2021-07-26,256.91,259.98,256.08,259.84,23575
2021-07-27,259.23,265.13,259.23,264.375,28859
2021-07-28,263.37,266.84,262.705,266.13,37742
2021-07-29,267.54,269.955,266.15,269.55,14526
2021-07-30,268.62,272.69,268.57,271.94,12189
2021-08-02,268.92,270.66,265.73,268.65,27234
2021-08-03,268.78,273.17,268.19,273.17,21550
2021-08-04,273.715,277.49,272.7,272.7,37428
2021-08-05,270.95,271.29,263.2,267.4,70513
2021-08-06,275.95,276.885,268.28,274.66,43427
2021-08-09,275.29,278.38,274.04,277.97,25889
2021-08-10,277.63,277.86,273.84,275.34,16844
2021-08-11,274.7,275.42,272.325,272.455,22223
2021-08-12,271.79,275.56,271.79,275.38,18554
2021-08-13,274.32,275.19,273.47,274.9,25407
2021-08-16,275.355,280.33,274.94,280.08,35223
2021-08-17,279.63,281.785,279.26,280.56,27847
2021-08-18,281.21,283.04,279.58,279.59,20191
2021-08-19,279.4,286.115,279.37,283.015,11911
2021-08-20,281.69,287.71,281.69,285.71,17202
2021-08-23,288.49,289.98,285.53,285.77,24685
2021-08-24,285.515,287.01,282.065,282.34,24311
2021-08-25,282.91,286.06,281.76,285.75,12191
2021-08-26,285.83,285.83,282.98,285.2,17987
2021-08-27,286.79,288.57,286.79,287.03,13553
2021-08-30,286.83,290.54,286.83,289.09,12635
2021-08-31,288.975,290.61,287.39,290.56,16650
2021-09-01,288.865,288.865,283.61,288.07,25095
2021-09-02,290.475,294.49,290.0,294.42,17567
2021-09-03,291.93,296.22,291.64,295.78,12183
2021-09-07,295.04,296.74,292.33,295.88,22613
2021-09-08,292.89,298.3,292.89,297.39,17932
2021-09-09,299.99,301.12,295.51,295.51,25878
2021-09-10,296.785,298.08,295.47,295.62,22287
2021-09-13,296.53,297.16,287.59,289.12,20359
2021-09-14,289.01,293.79,289.01,292.17,42771
2021-09-15,291.21,292.51,289.08,290.44,27501
2021-09-16,287.02,287.76,282.63,286.17,42051
2021-09-17,285.95,287.86,284.14,286.04,24961
2021-09-20,282.06,286.615,281.095,284.73,33469
2021-09-21,287.02,291.57,287.02,288.35,22377
2021-09-22,289.1,290.57,286.88,288.31,8654
2021-09-23,288.7,289.4,282.1,282.715,38127
2021-09-24,278.88,280.095,278.43,279.43,40334
2021-09-27,276.63,276.67,268.49,270.485,43195
2021-09-28,267.65,267.65,262.3,264.67,48929
2021-09-29,265.675,267.2,264.52,265.41,23820
2021-09-30,268.355,269.385,263.55,263.55,26213
2021-10-01,263.23,263.46,257.91,262.18,35742
2021-10-04,260.7,260.7,253.99,255.01,29273
2021-10-05,256.185,260.36,256.185,258.16,29363
2021-10-06,255.1,256.52,252.525,256.17,28558
2021-10-07,260.1,260.665,254.91,254.97,37367
2021-10-08,256.97,256.97,253.0,253.97,29817
2021-10-11,253.64,255.06,251.57,251.63,17829
2021-10-12,253.21,254.03,251.735,252.25,36329
2021-10-13,254.3,254.3,251.48,252.12,46390
2021-10-14,256.12,256.48,253.555,254.62,29242
2021-10-15,257.005,257.455,255.51,255.52,52772
2021-10-18,253.76,257.49,252.14,257.05,30199
2021-10-19,260.08,263.24,260.05,260.05,32773
2021-10-20,262.38,263.22,259.49,261.55,26474
