date,open,high,low,close,volume
2021-07-21,492.915,494.785,490.675,493.75,37471
2021-07-22,491.99,496.74,490.66,491.75,56898
2021-07-23,494.01,498.055,490.3,497.03,45465
2021-07-26,496.65,496.775,486.94,489.375,36717
2021-07-27,489.14,493.31,486.005,493.28,44325
2021-07-28,492.72,492.99,486.13,488.22,39270
2021-07-29,492.06,493.03,488.91,492.46,48794
2021-07-30,490.51,491.9,489.74,491.03,21036
2021-08-02,493.225,493.225,487.63,488.54,30180
2021-08-03,488.64,493.05,487.45,492.3,20392
2021-08-04,492.65,495.93,488.9,490.16,21192
2021-08-05,492.25,492.71,486.725,489.84,22900
2021-08-06,490.41,491.07,487.065,487.88,27208
2021-08-09,487.19,487.19,483.54,485.13,8568
2021-08-10,485.67,486.2,478.35,479.39,37894
2021-08-11,481.5,481.5,477.24,480.64,32176
2021-08-12,478.43,480.165,475.66,479.5,30127
2021-08-13,482.56,483.41,477.93,481.085,16305
2021-08-16,478.59,486.08,478.59,485.27,21818
2021-08-17,482.99,486.365,481.45,486.125,16878
2021-08-18,482.43,485.59,478.215,478.28,34109
2021-08-19,477.32,480.14,475.08,477.12,26220
2021-08-20,478.33,482.14,478.02,479.95,64626
2021-08-23,481.0,484.72,479.575,482.52,32926
2021-08-24,484.015,484.505,478.805,479.33,19303
2021-08-25,478.49,481.275,476.59,480.24,22697
2021-08-26,477.445,478.945,476.17,478.14,18878
2021-08-27,480.495,482.81,476.36,477.94,9087
2021-08-30,478.615,484.9,478.615,482.915,14284
2021-08-31,480.84,484.42,480.09,483.29,18451
2021-09-01,483.4,485.185,480.345,483.11,23707
2021-09-02,485.11,486.69,483.595,485.81,13757
2021-09-03,485.525,489.21,482.875,486.675,19125
2021-09-07,486.5,486.5,476.965,476.965,12331
2021-09-08,477.46,483.07,477.46,482.98,32104
2021-09-09,484.025,485.6,478.07,478.83,20273
2021-09-10,480.05,481.74,474.145,474.58,19976
2021-09-13,475.5,478.13,467.64,471.91,19361
2021-09-14,472.53,472.53,468.51,468.81,8381
2021-09-15,468.05,476.41,466.955,474.86,17571
2021-09-16,472.83,475.14,470.72,473.63,10728
2021-09-17,471.03,471.2,466.0,466.42,16982
2021-09-20,462.35,467.67,457.91,461.63,25541
2021-09-21,460.98,465.85,458.56,458.56,25319
2021-09-22,464.02,464.02,458.23,460.29,23921
2021-09-23,465.15,465.63,462.03,462.655,17943
2021-09-24,461.94,465.99,461.28,465.99,14264
2021-09-27,464.685,464.685,458.97,461.36,21266
2021-09-28,460.47,460.47,452.385,452.855,27755
2021-09-29,455.45,458.61,453.42,455.62,8108
2021-09-30,459.01,459.09,445.92,445.97,18960
2021-10-01,448.05,450.66,439.95,447.26,22842
2021-10-04,450.55,457.35,444.6,445.515,35963
2021-10-05,447.315,453.34,444.62,446.88,25922
2021-10-06,444.24,453.99,442.44,453.99,37286
2021-10-07,460.52,462.39,452.295,453.29,23044
2021-10-08,451.72,453.46,449.85,451.7,19215
2021-10-11,451.39,454.79,451.39,451.88,12641
2021-10-12,453.1,454.015,450.7,452.325,15971
2021-10-13,452.995,457.18,451.925,456.53,28178
2021-10-14,458.93,462.95,458.93,462.81,9341
2021-10-15,464.75,469.8,464.75,467.31,16439
2021-10-18,465.34,470.05,464.46,468.3,23068
2021-10-19,470.82,475.46,470.82,474.14,16696
2021-10-20,475.425,475.425,471.8,475.04,18258
2021-10-21,471.455,481.03,470.12,480.88,20640
2021-10-22,486.19,502.24,486.19,487.09,69288
2021-10-26,486.82,490.95,486.49,488.725,16883
2021-10-27,489.59,491.29,481.7,481.8,18430
2021-10-28,485.01,487.575,484.32,486.735,23633
2021-10-29,485.09,488.38,484.09,487.86,21044
2021-11-01,489.215,490.47,477.23,479.01,24474
2021-11-02,479.735,480.805,476.5,478.46,19656
2021-11-03,476.74,479.5,469.74,478.55,19810
2021-11-04,482.05,488.19,481.52,487.66,25216
2021-11-05,490.46,490.46,483.31,484.11,14223
2021-11-08,484.165,488.57,481.465,488.57,16213
2021-11-09,488.105,489.395,484.7,489.27,19539
2021-11-10,489.31,489.31,482.48,485.91,17331
2021-11-11,484.31,485.47,477.32,479.37,19542
2021-11-12,483.62,488.0,478.96,487.615,23839
2021-11-15,488.925,491.315,485.6,485.6,16368
2021-11-16,488.67,494.775,488.67,492.47,31476
2021-11-17,489.41,492.27,484.92,490.63,30210
2021-11-18,493.85,493.85,484.995,486.51,39942
2021-11-19,486.53,501.39,486.53,498.38,40023
2021-11-22,493.72,498.56,492.335,492.65,17609
2021-11-23,490.35,490.35,482.245,485.51,28195
2021-11-24,480.78,484.99,476.97,484.84,55258
2021-11-26,479.55,484.21,475.16,475.765,16769
2021-11-29,478.19,482.61,475.69,481.45,27132
2021-11-30,476.98,479.41,461.32,462.96,39108
2021-12-01,470.25,472.82,459.92,459.92,44991
2021-12-02,462.32,468.25,460.47,466.93,49144
2021-12-03,465.75,468.4,459.95,466.74,27619
2021-12-06,468.18,474.13,467.13,472.5,23949
2021-12-07,474.06,478.32,469.47,471.93,39336
2021-12-08,473.14,473.14,468.56,471.73,41405
2021-12-09,470.425,471.21,467.17,468.28,19589
2021-12-10,469.01,473.52,469.01,473.28,16369
2021-12-13,474.025,476.585,471.75,476.1,18278
2021-12-14,475.41,475.41,462.16,466.57,18554
2021-12-15,470.31,481.36,468.1,479.27,42418
2021-12-16,481.68,488.13,481.55,487.135,32050
2021-12-17,483.615,486.22,473.53,475.275,30187
2021-12-20,471.04,471.04,462.15,467.035,40460
2021-12-21,468.93,474.26,466.11,472.24,27254
2021-12-22,472.18,473.815,467.615,472.94,47650
2021-12-23,473.95,480.675,473.95,479.225,28008
2021-12-27,481.39,488.36,481.035,488.34,21098
2021-12-28,487.85,492.63,487.85,491.82,12605
2021-12-29,490.565,493.97,489.905,491.01,23169
2021-12-30,490.59,492.185,489.87,490.46,14498
2021-12-31,488.4,494.035,487.71,491.85,11047
2022-01-03,490.685,492.07,472.41,474.9,37749
2022-01-04,476.235,476.235,468.98,470.15,61402
2022-01-05,470.91,473.77,466.06,466.96,50320
2022-01-06,465.2,475.06,463.58,471.65,24980
2022-01-07,470.82,471.48,461.1,461.1,28188
2022-01-10,456.09,456.09,446.44,453.86,39095
2022-01-11,448.63,461.47,446.66,460.35,29349
2022-01-12,461.96,466.51,461.71,464.885,16539
2022-01-13,465.75,466.05,454.575,455.53,21298
2022-01-14,451.45,451.45,436.995,447.94,44289
2022-01-18,439.0,445.58,438.09,445.46,60754
2022-01-19,449.12,452.78,442.065,442.51,33323
2022-01-20,443.6,450.87,438.91,439.51,43491
2022-01-21,440.365,444.44,437.365,438.07,37276
2022-01-24,430.92,432.47,425.5,428.62,10910
2022-01-25,430.05,430.99,419.8,428.0,36937
2022-01-26,432.15,435.41,420.64,426.84,44112
2022-01-27,430.39,431.705,422.26,423.53,28164
2022-01-28,423.08,435.29,418.43,435.135,39663
2022-01-31,434.54,437.17,430.27,437.13,54247
2022-02-01,438.38,442.71,433.4,441.77,34949
2022-02-02,450.335,462.18,449.14,452.15,83429
2022-02-03,452.25,464.24,452.25,460.965,69630
2022-02-04,453.05,455.45,446.31,448.1,34867
2022-02-07,448.745,450.04,442.83,442.95,21832
2022-02-08,441.065,448.19,437.41,445.89,44635
2022-02-09,455.01,455.01,449.815,453.91,18228
2022-02-10,448.555,451.095,440.56,442.35,32779
2022-02-11,442.91,445.44,434.59,437.84,32809
2022-02-14,439.635,443.085,437.03,441.94,33505
2022-02-15,446.62,446.62,439.65,441.96,54220
2022-02-16,441.475,445.59,436.49,445.06,28402
2022-02-17,443.04,444.6,437.575,438.355,30755
2022-02-18,439.61,442.5,437.28,440.44,76178
2022-02-22,439.56,443.37,435.365,439.2,31660
2022-02-23,441.17,441.23,428.9,429.465,42698
2022-02-24,420.52,444.335,420.03,444.28,57439
2022-02-25,443.915,449.99,439.58,448.46,26293
2022-02-28,445.11,450.09,439.87,448.24,50376
2022-03-01,448.8,453.28,443.1,446.88,56600
2022-03-02,445.36,450.17,442.67,448.915,33296
2022-03-03,452.84,456.51,447.675,449.9,38793
2022-03-04,446.845,456.98,444.29,454.82,35093
2022-03-07,451.85,453.71,444.935,445.09,32191
2022-03-09,442.81,446.81,441.26,443.76,24105
2022-03-10,437.0,440.04,434.45,436.24,33453
2022-03-11,437.02,439.23,432.31,432.31,30070
2022-03-14,431.41,440.34,430.615,435.255,39210
2022-03-15,436.76,447.32,435.87,445.8,26019
