date,open,high,low,close,volume
2021-07-21,333.45,333.745,330.955,331.79,24119
2021-07-22,328.48,334.45,328.035,334.23,40195
2021-07-23,333.6,337.31,333.6,336.75,14787
2021-07-26,336.44,338.36,333.28,338.18,30931
2021-07-27,338.195,341.01,335.955,340.62,20300
2021-07-28,339.25,342.31,339.25,340.3,43701
2021-07-29,341.97,343.46,337.69,338.26,27079
2021-07-30,342.32,346.425,340.11,341.02,64093
2021-08-02,341.1,344.515,340.44,341.97,34306
2021-08-03,345.77,350.46,344.905,346.02,46022
2021-08-04,346.15,349.84,341.93,349.06,35596
2021-08-05,349.77,350.105,343.49,346.74,51559
2021-08-06,345.97,348.49,345.29,347.22,29742
2021-08-09,347.93,347.96,345.25,346.53,18473
2021-08-10,346.635,347.72,341.06,341.38,28402
2021-08-11,342.53,347.33,342.16,346.62,40980
2021-08-12,346.75,350.55,346.32,350.15,45184
2021-08-13,351.265,354.17,349.78,353.89,23720
2021-08-16,353.16,355.53,351.81,352.605,19692
2021-08-17,352.84,359.79,352.84,359.61,29232
2021-08-18,359.0,359.0,351.635,353.645,24427
2021-08-19,354.285,361.03,352.855,359.81,52007
2021-08-20,360.175,364.185,359.94,362.16,44789
2021-08-23,360.58,360.845,357.88,358.14,16371
2021-08-24,358.775,358.775,351.85,352.625,22786
2021-08-25,351.885,351.885,348.43,349.46,40420
2021-08-26,350.62,351.87,348.16,350.22,61888
2021-08-27,350.86,353.815,349.185,352.78,36819
2021-08-30,352.955,358.93,352.955,358.63,35371
2021-08-31,355.15,359.51,354.345,358.94,44289
2021-09-01,357.43,367.17,357.43,366.4,25956
2021-09-02,366.86,368.735,362.25,366.55,30589
2021-09-03,365.43,368.18,362.935,366.5,53222
2021-09-07,364.56,365.51,359.02,365.18,34938
2021-09-08,363.92,369.535,363.92,368.72,38505
2021-09-09,365.79,368.34,359.75,359.75,76273
2021-09-10,361.0,361.12,351.76,352.72,68508
2021-09-13,356.72,357.85,351.2,352.67,44181
2021-09-14,355.55,359.84,354.38,356.76,38805
2021-09-15,356.99,357.12,353.23,355.61,19088
2021-09-16,355.515,356.9,352.58,355.65,22318
2021-09-17,353.97,355.67,351.35,352.7,23135
2021-09-20,352.51,356.46,349.845,353.43,32577
2021-09-21,354.85,358.6,354.19,354.43,16160
2021-09-22,354.02,360.8,353.4,358.4,34436
2021-09-23,357.3,357.92,351.26,353.39,19293
2021-09-24,352.675,353.29,343.68,344.94,82998
2021-09-27,344.62,344.62,335.85,335.885,44703
2021-09-28,333.35,335.27,329.73,331.56,43399
2021-09-29,334.74,335.25,331.97,332.73,28029
2021-09-30,334.44,335.17,330.55,330.55,32172
2021-10-01,334.68,336.07,329.825,333.53,31728
2021-10-04,335.26,335.26,329.8,334.05,40407
2021-10-05,333.69,335.055,329.425,331.005,34392
2021-10-06,332.13,336.99,327.22,336.99,37604
2021-10-07,337.39,343.28,337.39,337.88,42118
2021-10-08,336.81,336.97,329.61,329.79,40793
2021-10-11,328.93,332.98,328.555,329.78,43153
2021-10-12,330.77,336.28,330.72,334.17,39710
2021-10-13,332.09,332.61,323.99,326.57,91664
2021-10-14,328.52,331.55,325.99,326.71,57481
2021-10-15,326.67,330.39,323.0,326.98,26912
2021-10-18,324.67,327.04,323.04,323.26,30925
2021-10-19,329.11,335.585,327.65,332.065,30722
2021-10-20,334.57,336.86,334.15,336.32,21211
2021-10-21,336.93,340.39,333.88,340.29,17227
2021-10-22,339.68,346.805,339.68,345.31,24024
2021-10-25,343.85,349.69,343.14,349.36,34554
2021-10-26,351.61,355.35,350.42,354.12,23824
2021-10-27,356.29,356.29,348.32,349.06,30594
2021-10-28,350.42,353.39,349.085,352.88,31490
